date,kaf
1921-10-31,9.564455
1921-11-30,16.366705
1921-12-31,15.243753
1922-01-31,35.237465
1922-02-28,35.624691
1922-03-31,21.981466
1922-04-30,9.53864
1922-05-31,2.852557
1922-06-30,0.322687
1922-07-31,0.968062
1922-08-31,0
1922-09-30,1.045507
1922-10-31,5.059739
1922-11-30,13.17061
1922-12-31,19.585636
1923-01-31,19.926195
1923-02-28,22.164156
1923-03-31,17.479729
1923-04-30,8.944895
1923-05-31,2.237961
1923-06-30,0.486513
1923-07-31,0.208506
1923-08-31,1.605494
1923-09-30,2.078107
1923-10-31,7.619725
1923-11-30,5.963263
1923-12-31,15.073805
1924-01-31,16.018204
1924-02-29,11.177892
1924-03-31,8.364058
1924-04-30,4.478901
1924-05-31,9.396657
1924-06-30,0.77445
1924-07-31,0.296872
1924-08-31,0.916432
1924-09-30,2.942909
1924-10-31,3.6558
1924-11-30,12.941255
1924-12-31,17.834188
1925-01-31,18.61261
1925-02-28,16.798611
1925-03-31,16.180042
1925-04-30,4.475923
1925-05-31,2.738375
1925-06-30,0.701969
1925-07-31,0.111203
1925-08-31,0.173755
1925-09-30,1.146781
1925-10-31,3.6558
1925-11-30,12.941255
1925-12-31,17.834188
1926-01-31,18.61261
1926-02-28,16.798611
1926-03-31,16.180042
1926-04-30,4.475923
1926-05-31,2.738375
1926-06-30,0.701969
1926-07-31,0.111203
1926-08-31,0.173755
1926-09-30,1.146781
1926-10-31,8.68739
1926-11-30,18.915291
1926-12-31,30.525583
1927-01-31,32.707596
1927-02-28,23.514231
1927-03-31,27.452887
1927-04-30,16.832666
1927-05-31,2.001307
1927-06-30,0.569221
1927-07-31,0.167152
1927-08-31,0.460798
1927-09-30,1.757356
1927-10-31,9.564455
1927-11-30,16.366705
1927-12-31,15.243753
1928-01-31,35.237465
1928-02-29,35.624691
1928-03-31,21.981466
1928-04-30,9.53864
1928-05-31,2.852557
1928-06-30,0.322687
1928-07-31,0.968062
1928-08-31,0
1928-09-30,1.045507
1928-10-31,7.619725
1928-11-30,5.963263
1928-12-31,15.073805
1929-01-31,16.018204
1929-02-28,11.177892
1929-03-31,8.364058
1929-04-30,4.478901
1929-05-31,9.396657
1929-06-30,0.77445
1929-07-31,0.296872
1929-08-31,0.916432
1929-09-30,2.942909
1929-10-31,3.6558
1929-11-30,12.941255
1929-12-31,17.834188
1930-01-31,18.61261
1930-02-28,16.798611
1930-03-31,16.180042
1930-04-30,4.475923
1930-05-31,2.738375
1930-06-30,0.701969
1930-07-31,0.111203
1930-08-31,0.173755
1930-09-30,1.146781
1930-10-31,7.619725
1930-11-30,5.963263
1930-12-31,15.073805
1931-01-31,24.214462
1931-02-28,14.004634
1931-03-31,6.595731
1931-04-30,3.975509
1931-05-31,9.577362
1931-06-30,0.542115
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,0.903525
1931-11-30,21.684593
1931-12-31,48.971043
1932-01-31,24.033758
1932-02-29,26.021513
1932-03-31,2.349164
1932-04-30,3.343041
1932-05-31,0.813172
1932-06-30,0
1932-07-31,0
1932-08-31,0
1932-09-30,0
1932-10-31,0
1932-11-30,3.885156
1932-12-31,18.070496
1933-01-31,34.876057
1933-02-28,1.987754
1933-03-31,17.438028
1933-04-30,1.355287
1933-05-31,4.065861
1933-06-30,0.090352
1933-07-31,0
1933-08-31,0
1933-09-30,0
1933-10-31,8.673838
1933-11-30,0
1933-12-31,32.52689
1934-01-31,7.047493
1934-02-28,25.750456
1934-03-31,0
1934-04-30,1.716697
1934-05-31,9.306305
1934-06-30,3.975509
1934-07-31,0
1934-08-31,0
1934-09-30,3.885156
