date,kaf
1921-09-30,128
1921-10-31,109.077225
1921-11-30,86.687256
1921-12-31,63.17881
1922-01-31,48.632771
1922-02-28,54.957745
1922-03-31,65.503212
1922-04-30,60.024567
1922-05-31,57.509338
1922-06-30,50.144173
1922-07-31,43.317966
1922-08-31,36.924259
1922-09-30,31
1922-10-31,31
1922-11-30,31
1922-12-31,42.17981
1923-01-31,53.265339
1923-02-28,56.988716
1923-03-31,67.523247
1923-04-30,62.028294
1923-05-31,56.434933
1923-06-30,49.083206
1923-07-31,42.272121
1923-08-31,35.891663
1923-09-30,31
1923-10-31,31
1923-11-30,31
1923-12-31,42.17981
1924-01-31,46.614384
1924-02-29,41.040546
1924-03-31,51.660934
1924-04-30,58.028542
1924-05-31,55.535118
1924-06-30,48.194649
1924-07-31,41.396225
1924-08-31,35.026859
1924-09-30,31
1924-10-31,31
1924-11-30,31
1924-12-31,42.17981
1925-01-31,48.535343
1925-02-28,42.955727
1925-03-31,53.565804
1925-04-30,59.918026
1925-05-31,57.403961
1925-06-30,50.040115
1925-07-31,43.215393
1925-08-31,36.822987
1925-09-30,31
1925-10-31,31
1925-11-30,31
1925-12-31,42.17981
1926-01-31,48.535343
1926-02-28,42.955727
1926-03-31,53.565804
1926-04-30,59.918026
1926-05-31,57.403961
1926-06-30,50.040115
1926-07-31,43.215393
1926-08-31,36.822987
1926-09-30,31
1926-10-31,31
1926-11-30,31
1926-12-31,38.105621
1927-01-31,47.882332
1927-02-28,42.304684
1927-03-31,52.918266
1927-04-30,59.275719
1927-05-31,56.768669
1927-06-30,49.412769
1927-07-31,42.596989
1927-08-31,36.212414
1927-09-30,31
1927-10-31,31
1927-11-30,37.064678
1927-12-31,48.235844
1928-01-31,59.311787
1928-02-29,67.159142
1928-03-31,77.638924
1928-04-30,72.062279
1928-05-31,66.359299
1928-06-30,58.883434
1928-07-31,43.317966
1928-08-31,36.924259
1928-09-30,31
1928-10-31,31
1928-11-30,31
1928-12-31,42.17981
1929-01-31,48.39349
1929-02-28,42.814301
1929-03-31,51.660934
1929-04-30,58.028542
1929-05-31,55.535118
1929-06-30,48.194649
1929-07-31,41.396225
1929-08-31,35.026859
1929-09-30,31
1929-10-31,31
1929-11-30,31
1929-12-31,42.17981
1930-01-31,47.209084
1930-02-28,41.633457
1930-03-31,52.250652
1930-04-30,59.918026
