date,kaf
1921-10-31,145.988
1921-11-30,119.541
1921-12-31,170.029
1922-01-31,160.592
1922-02-28,308.077
1922-03-31,297.351
1922-04-30,469.384
1922-05-31,518.356
1922-06-30,812.851
1922-07-31,313.409
1922-08-31,153.941
1922-09-30,147.673
1922-10-31,162.671
1922-11-30,136.841
1922-12-31,242.313
1923-01-31,357.425
1923-02-28,271.975
1923-03-31,223.577
1923-04-30,416.527
1923-05-31,429.722
1923-06-30,213.907
1923-07-31,135.796
1923-08-31,147.068
1923-09-30,163.315
1923-10-31,182.697
1923-11-30,132.95
1923-12-31,120.591
1924-01-31,111.713
1924-02-29,122.01
1924-03-31,115.248
1924-04-30,119.008
1924-05-31,122.974
1924-06-30,66.598
1924-07-31,62.082
1924-08-31,70.017
1924-09-30,89.068
1924-10-31,106.609
1924-11-30,109.729
1924-12-31,113.862
1925-01-31,106.36
1925-02-28,152.855
1925-03-31,148.707
1925-04-30,416.527
1925-05-31,429.722
1925-06-30,130.523
1925-07-31,97.94
1925-08-31,91.17
1925-09-30,111.932
1925-10-31,130.998
1925-11-30,119.664
1925-12-31,117.912
1926-01-31,112.735
1926-02-28,128.435
1926-03-31,130.902
1926-04-30,264.792
1926-05-31,272.929
1926-06-30,94.523
1926-07-31,81.712
1926-08-31,85.917
1926-09-30,109.784
1926-10-31,120.662
1926-11-30,134.62
1926-12-31,126.181
1927-01-31,127.327
1927-02-28,219.049
1927-03-31,190.185
1927-04-30,339.172
1927-05-31,350.477
1927-06-30,136.914
1927-07-31,115.527
1927-08-31,109.128
1927-09-30,128.91
1927-10-31,162.385
1927-11-30,154.051
1927-12-31,141.851
1928-01-31,146.518
1928-02-29,140.665
1928-03-31,336.122
1928-04-30,338.546
1928-05-31,349.65
1928-06-30,109.737
1928-07-31,95.804
1928-08-31,93.427
1928-09-30,115.127
1928-10-31,134.178
1928-11-30,123.638
1928-12-31,119.101
1929-01-31,114.839
1929-02-28,126.195
1929-03-31,128.509
1929-04-30,190.412
1929-05-31,196.07
1929-06-30,86.066
1929-07-31,74.068
1929-08-31,79
1929-09-30,104.721
1929-10-31,112.187
1929-11-30,111.533
1929-12-31,102.68
1930-01-31,105.251
1930-02-28,125.365
