date,kaf
1921-10-31,0
1921-11-30,22.37
1921-12-31,28.229
1922-01-31,34.857
1922-02-28,24.325
1922-03-31,0
1922-04-30,83.391
1922-05-31,0
1922-06-30,45.664
1922-07-31,0
1922-08-31,30.4
1922-09-30,0
1922-10-31,39.242
1922-11-30,22.741
1922-12-31,29.783
1923-01-31,26.288
1923-02-28,35.284
1923-03-31,30.62
1923-04-30,81.028
1923-05-31,79.09
1923-06-30,0
1923-07-31,31.602
1923-08-31,30.402
1923-09-30,30.15
1923-10-31,1.122
1923-11-30,22.394
1923-12-31,27.172
1924-01-31,23.802
1924-02-29,20.001
1924-03-31,33.149
1924-04-30,31.68
1924-05-31,0
1924-06-30,0
1924-07-31,18.036
1924-08-31,0
1924-09-30,0
1924-10-31,22.458
1924-11-30,13.666
1924-12-31,26.287
1925-01-31,24.053
1925-02-28,22.995
1925-03-31,40.321
1925-04-30,49.983
1925-05-31,176.778
1925-06-30,24.065
1925-07-31,19.609
1925-08-31,19.545
1925-09-30,0
1925-10-31,28.778
1925-11-30,26.364
1925-12-31,22.99
1926-01-31,18.971
1926-02-28,13.268
1926-03-31,37.597
1926-04-30,138.45
1926-05-31,151.197
1926-06-30,138.381
1926-07-31,0
1926-08-31,19.545
1926-09-30,0
1926-10-31,0
1926-11-30,17.354
1926-12-31,19.271
1927-01-31,25.865
1927-02-28,17.398
1927-03-31,49.468
1927-04-30,176.441
1927-05-31,75.709
1927-06-30,37.578
1927-07-31,30.477
1927-08-31,30.54
1927-09-30,30.035
1927-10-31,39.925
1927-11-30,23.958
1927-12-31,29.188
1928-01-31,25.161
1928-02-29,32.718
1928-03-31,114.135
1928-04-30,125.435
1928-05-31,29.955
1928-06-30,0
1928-07-31,19.496
1928-08-31,19.46
1928-09-30,19.754
1928-10-31,45.345
1928-11-30,27.266
1928-12-31,27.141
1929-01-31,28.777
1929-02-28,14.036
1929-03-31,25.928
1929-04-30,70.593
1929-05-31,0
1929-06-30,0
1929-07-31,18.125
1929-08-31,17.977
