date,kaf
1921-10-31,48.993046
1921-11-30,11.900761
1921-12-31,12.297451
1922-01-31,14.28349
1922-02-28,13.090043
1922-03-31,12.304292
1922-04-30,89.997208
1922-05-31,78.796608
1922-06-30,21.621008
1922-07-31,15.372108
1922-08-31,15.372108
1922-09-30,14.876234
1922-10-31,47.603565
1922-11-30,11.900761
1922-12-31,12.297451
1923-01-31,13.883862
1923-02-28,12.695768
1923-03-31,83.899361
1923-04-30,86.727188
1923-05-31,79.782692
1923-06-30,55.933575
1923-07-31,18.446177
1923-08-31,18.446177
1923-09-30,17.851141
1923-10-31,48.993046
1923-11-30,11.900761
1923-12-31,12.297451
1924-01-31,14.28349
1924-02-29,13.090043
1924-03-31,12.295103
1924-04-30,27.049063
1924-05-31,24.91317
1924-06-30,8.921024
1924-07-31,9.218391
1924-08-31,9.218391
1924-09-30,8.921024
1924-10-31,35.48811
1924-11-30,11.900761
1924-12-31,12.297451
1925-01-31,13.087884
1925-02-28,11.899028
1925-03-31,12.297451
1925-04-30,45.638493
1925-05-31,38.794491
1925-06-30,11.904902
1925-07-31,12.298762
1925-08-31,12.298762
1925-09-30,11.902029
1925-10-31,39.078785
1925-11-30,11.900761
1925-12-31,12.297451
1926-01-31,13.490472
1926-02-28,12.296036
1926-03-31,12.295103
1926-04-30,27.049063
1926-05-31,24.91317
1926-06-30,8.921024
1926-07-31,9.218391
1926-08-31,9.218391
1926-09-30,8.921024
1926-10-31,35.48811
1926-11-30,11.900761
1926-12-31,12.297451
1927-01-31,13.087884
1927-02-28,11.899028
1927-03-31,12.297451
1927-04-30,45.638493
1927-05-31,38.794491
1927-06-30,11.904902
1927-07-31,12.298762
1927-08-31,12.298762
1927-09-30,11.902029
1927-10-31,39.078785
1927-11-30,11.900761
1927-12-31,12.297451
1928-01-31,13.490472
1928-02-29,12.296036
1928-03-31,12.297451
1928-04-30,45.638493
1928-05-31,38.794491
1928-06-30,11.904902
1928-07-31,12.298762
1928-08-31,12.298762
1928-09-30,11.902029
1928-10-31,39.078785
1928-11-30,11.900761
1928-12-31,12.297451
1929-01-31,13.490472
1929-02-28,12.296036
1929-03-31,12.295103
1929-04-30,27.049063
1929-05-31,24.91317
1929-06-30,8.921024
1929-07-31,9.218391
1929-08-31,9.218391
1929-09-30,8.921024
1929-10-31,35.48811
1929-11-30,11.900761
1929-12-31,12.297451
1930-01-31,13.087884
1930-02-28,11.899028
1930-03-31,7.685907
1930-04-30,22.809792
1930-05-31,22.80979
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,0
1930-10-31,6.763598
1930-11-30,11.900761
1930-12-31,12.297451
1931-01-31,7.685907
1931-02-28,6.94211
1931-03-31,6.063479
1931-04-30,17.994843
1931-05-31,17.994841
1931-06-30,0
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,5.335861
1931-11-30,9.388613
1931-12-31,9.701567
1932-01-31,6.063479
1932-02-29,5.476691
1932-03-31,7.685907
1932-04-30,22.809792
1932-05-31,22.80979
1932-06-30,0
1932-07-31,0
1932-08-31,0
1932-09-30,0
1932-10-31,6.763598
1932-11-30,11.900761
1932-12-31,12.297451
1933-01-31,7.685907
1933-02-28,6.94211
1933-03-31,6.845658
1933-04-30,20.316149
1933-05-31,20.316145
1933-06-30,0
1933-07-31,0
1933-08-31,0
1933-09-30,0
1933-10-31,6.024179
1933-11-30,10.59973
1933-12-31,10.953053
1934-01-31,6.845658
1934-02-28,6.183175
1934-03-31,5.786524
1934-04-30,17.172911
1934-05-31,17.172909
1934-06-30,0
1934-07-31,0
1934-08-31,0
1934-09-30,0
1934-10-31,5.092141
1934-11-30,8.959779
1934-12-31,9.258438
1935-01-31,5.786524
1935-02-28,5.226538
1935-03-31,7.685907
1935-04-30,22.809792
1935-05-31,22.80979
1935-06-30,0
1935-07-31,0
1935-08-31,0
1935-09-30,0
1935-10-31,6.763598
1935-11-30,11.900761
1935-12-31,12.297451
1936-01-31,7.685907
1936-02-29,6.94211
1936-03-31,12.295103
1936-04-30,27.049063
1936-05-31,24.91317
1936-06-30,8.921024
1936-07-31,9.218391
1936-08-31,9.218391
1936-09-30,8.921024
1936-10-31,35.48811
1936-11-30,11.900761
1936-12-31,12.297451
1937-01-31,13.087884
1937-02-28,11.899028
1937-03-31,12.297451
1937-04-30,45.638493
1937-05-31,38.794491
1937-06-30,11.904902
1937-07-31,12.298762
1937-08-31,12.298762
1937-09-30,11.902029
1937-10-31,39.078785
1937-11-30,11.900761
1937-12-31,12.297451
1938-01-31,13.490472
1938-02-28,12.296036
1938-03-31,98.57637
1938-04-30,117.070152
1938-05-31,100.716125
1938-06-30,65.454178
1938-07-31,26.378033
1938-08-31,24.594902
1938-09-30,23.801521
1938-10-31,51.766125
1938-11-30,17.851141
1938-12-31,18.446177
1939-01-31,22.018587
1939-02-28,20.232084
1939-03-31,12.304292
1939-04-30,89.997208
1939-05-31,78.796608
1939-06-30,21.621008
1939-07-31,15.372108
1939-08-31,15.372108
1939-09-30,14.876234
1939-10-31,47.603565
1939-11-30,11.900761
1939-12-31,12.297451
1940-01-31,13.883862
1940-02-29,12.695768
1940-03-31,83.899361
1940-04-30,86.727188
1940-05-31,79.782692
1940-06-30,55.933575
1940-07-31,18.446177
1940-08-31,18.446177
1940-09-30,17.851141
1940-10-31,48.993046
1940-11-30,11.900761
1940-12-31,12.297451
1941-01-31,14.28349
1941-02-28,13.090043
1941-03-31,83.899361
1941-04-30,86.727188
1941-05-31,79.782692
1941-06-30,55.933575
1941-07-31,18.446177
1941-08-31,18.446177
1941-09-30,17.851141
1941-10-31,48.993046
1941-11-30,11.900761
1941-12-31,12.297451
1942-01-31,14.28349
1942-02-28,13.090043
1942-03-31,98.57637
1942-04-30,117.070152
1942-05-31,100.716125
1942-06-30,65.454178
1942-07-31,26.378033
1942-08-31,24.594902
1942-09-30,23.801521
1942-10-31,51.766125
1942-11-30,17.851141
1942-12-31,18.446177
1943-01-31,22.018587
1943-02-28,20.232084
1943-03-31,98.57637
1943-04-30,117.070152
1943-05-31,100.716125
1943-06-30,65.454178
1943-07-31,26.378033
1943-08-31,24.594902
1943-09-30,23.801521
1943-10-31,51.766125
1943-11-30,17.851141
1943-12-31,18.446177
1944-01-31,22.018587
1944-02-29,20.232084
1944-03-31,12.304292
1944-04-30,89.997208
1944-05-31,78.796608
1944-06-30,21.621008
1944-07-31,15.372108
1944-08-31,15.372108
1944-09-30,14.876234
1944-10-31,47.603565
1944-11-30,11.900761
1944-12-31,12.297451
1945-01-31,13.883862
1945-02-28,12.695768
1945-03-31,83.899361
1945-04-30,86.727188
1945-05-31,79.782692
1945-06-30,55.933575
1945-07-31,18.446177
1945-08-31,18.446177
1945-09-30,17.851141
1945-10-31,48.993046
1945-11-30,11.900761
1945-12-31,12.297451
1946-01-31,14.28349
1946-02-28,13.090043
1946-03-31,83.899361
1946-04-30,86.727188
1946-05-31,79.782692
1946-06-30,55.933575
1946-07-31,18.446177
1946-08-31,18.446177
1946-09-30,17.851141
1946-10-31,48.993046
1946-11-30,11.900761
1946-12-31,12.297451
1947-01-31,14.28349
1947-02-28,13.090043
1947-03-31,12.297451
1947-04-30,45.638493
1947-05-31,38.794491
1947-06-30,11.904902
1947-07-31,12.298762
1947-08-31,12.298762
1947-09-30,11.902029
1947-10-31,39.078785
1947-11-30,11.900761
1947-12-31,12.297451
1948-01-31,13.490472
1948-02-29,12.296036
1948-03-31,12.295103
1948-04-30,27.049063
1948-05-31,24.91317
1948-06-30,8.921024
1948-07-31,9.218391
1948-08-31,9.218391
1948-09-30,8.921024
1948-10-31,35.48811
1948-11-30,11.900761
1948-12-31,12.297451
1949-01-31,13.087884
1949-02-28,11.899028
1949-03-31,12.295103
1949-04-30,27.049063
1949-05-31,24.91317
1949-06-30,8.921024
1949-07-31,9.218391
1949-08-31,9.218391
