date,kaf
1921-10-31,251.437
1921-11-30,321.138
1921-12-31,918.34
1922-01-31,1010.789
1922-02-28,2514.324
1922-03-31,1518.359
1922-04-30,1252.719
1922-05-31,2099.252
1922-06-30,1779.108
1922-07-31,491.898
1922-08-31,245.949
1922-09-30,808.88
1922-10-31,374.688
1922-11-30,660.12
1922-12-31,1359.846
1923-01-31,1287.165
1923-02-28,869.251
1923-03-31,573.046
1923-04-30,638.122
1923-05-31,510.939
1923-06-30,355.833
1923-07-31,399.667
1923-08-31,245.949
1923-09-30,188.714
1923-10-31,251.437
1923-11-30,268.96
1923-12-31,278.712
1924-01-31,360.858
1924-02-29,526.986
1924-03-31,591.071
1924-04-30,316.114
1924-05-31,245.949
1924-06-30,238.015
1924-07-31,245.949
1924-08-31,184.462
1924-09-30,189.714
1924-10-31,186.95
1924-11-30,211.591
1924-12-31,360.697
1925-01-31,480.276
1925-02-28,3725.82
1925-03-31,804.789
1925-04-30,628.941
1925-05-31,561.815
1925-06-30,330.593
1925-07-31,307.436
1925-08-31,215.205
1925-09-30,189.714
1925-10-31,251.437
1925-11-30,271.095
1925-12-31,278.712
1926-01-31,666.88
1926-02-28,2053.442
1926-03-31,769.582
1926-04-30,434.427
1926-05-31,642.393
1926-06-30,306.816
1926-07-31,317.418
1926-08-31,215.205
1926-09-30,189.714
1926-10-31,248.437
1926-11-30,935.513
1926-12-31,825.477
1927-01-31,2048.585
1927-02-28,6323.98
1927-03-31,2646.754
1927-04-30,2715.014
1927-05-31,977.846
1927-06-30,305.453
1927-07-31,491.898
1927-08-31,245.949
1927-09-30,1194.725
1927-10-31,470.762
1927-11-30,948.342
1927-12-31,532.826
1928-01-31,1091.499
1928-02-29,1588.345
1928-03-31,4389.505
1928-04-30,808.022
1928-05-31,524.823
1928-06-30,456.592
1928-07-31,619.281
1928-08-31,245.949
1928-09-30,688.013
1928-10-31,365.081
1928-11-30,632.228
1928-12-31,282.712
1929-01-31,440.217
1929-02-28,599.691
1929-03-31,554.179
1929-04-30,457.659
1929-05-31,436.56
1929-06-30,431.006
1929-07-31,245.949
1929-08-31,184.462
1929-09-30,189.714
1929-10-31,189.95
1929-11-30,208.591
1929-12-31,661.496
1930-01-31,958.316
1930-02-28,780.821
1930-03-31,1145.985
1930-04-30,480.989
1930-05-31,416.527
1930-06-30,422.477
1930-07-31,307.436
1930-08-31,215.205
1930-09-30,189.714
1930-10-31,249.437
1930-11-30,269.095
1930-12-31,276.712
1931-01-31,345.6
1931-02-28,462.592
1931-03-31,453.617
1931-04-30,465.121
1931-05-31,245.949
1931-06-30,238.015
1931-07-31,245.949
1931-08-31,184.462
1931-09-30,189.714
1931-10-31,189.95
1931-11-30,211.591
1931-12-31,789.555
1932-01-31,1102.762
1932-02-29,855.556
1932-03-31,662.909
1932-04-30,663.666
1932-05-31,524.823
1932-06-30,590.278
1932-07-31,307.436
1932-08-31,215.205
1932-09-30,189.714
1932-10-31,251.437
1932-11-30,268.095
1932-12-31,279.712
1933-01-31,502.707
1933-02-28,379.763
1933-03-31,445.088
1933-04-30,554.501
1933-05-31,440.997
1933-06-30,431.006
1933-07-31,245.949
1933-08-31,184.462
1933-09-30,189.714
1933-10-31,188.95
1933-11-30,208.591
1933-12-31,412.542
1934-01-31,866.996
1934-02-28,633.12
1934-03-31,653.302
1934-04-30,575.6
1934-05-31,436.56
1934-06-30,422.477
1934-07-31,245.949
1934-08-31,184.462
1934-09-30,189.714
1934-10-31,184.462
1934-11-30,338.382
1934-12-31,222.225
1935-01-31,1720.762
1935-02-28,554.01
1935-03-31,1140.693
1935-04-30,2883.669
1935-05-31,914.623
1935-06-30,496.336
1935-07-31,399.667
1935-08-31,245.949
1935-09-30,189.714
1935-10-31,249.437
1935-11-30,297.44
1935-12-31,279.712
1936-01-31,2141.47
1936-02-29,4997.727
1936-03-31,1739.69
1936-04-30,802.231
1936-05-31,670.657
1936-06-30,383.279
1936-07-31,399.667
1936-08-31,245.949
1936-09-30,189.714
1936-10-31,248.437
1936-11-30,268.095
1936-12-31,285.712
1937-01-31,674.398
1937-02-28,2319.085
1937-03-31,2836.5
1937-04-30,872.611
1937-05-31,798.594
1937-06-30,629.315
1937-07-31,399.667
1937-08-31,245.949
1937-09-30,189.714
1937-10-31,250.437
1937-11-30,1351.041
1937-12-31,4146.811
1938-01-31,2874.926
1938-02-28,7398.599
1938-03-31,8757.975
1938-04-30,4715.018
1938-05-31,4084.905
1938-06-30,2220.308
1938-07-31,491.898
1938-08-31,245.949
1938-09-30,1227.266
1938-10-31,461.154
1938-11-30,815.567
1938-12-31,331.257
1939-01-31,417.556
1939-02-28,462.592
1939-03-31,462.146
1939-04-30,575.6
1939-05-31,245.949
1939-06-30,238.015
1939-07-31,322.058
1939-08-31,215.205
1939-09-30,189.714
1939-10-31,249.437
1939-11-30,268.095
1939-12-31,278.712
1940-01-31,2283.525
1940-02-29,3264.514
1940-03-31,6089.34
1940-04-30,4150.018
1940-05-31,262.313
1940-06-30,355.114
1940-07-31,593.704
1940-08-31,245.949
1940-09-30,688.013
1940-10-31,365.081
1940-11-30,632.228
1940-12-31,2167.279
1941-01-31,5861.651
1941-02-28,6631.712
1941-03-31,5600.896
1941-04-30,4055.958
1941-05-31,2051.909
1941-06-30,424.956
1941-07-31,491.898
1941-08-31,245.949
1941-09-30,1245.861
1941-10-31,470.762
1941-11-30,837.866
1941-12-31,3506.614
1942-01-31,4457.948
1942-02-28,7071.232
1942-03-31,1401.836
1942-04-30,2757.165
1942-05-31,1608.206
1942-06-30,913.359
1942-07-31,491.898
1942-08-31,245.949
1942-09-30,1255.158
1942-10-31,441.94
1942-11-30,966.937
1942-12-31,1394.529
1943-01-31,4524.507
1943-02-28,3343.734
1943-03-31,5122
1943-04-30,1449.656
1943-05-31,472.46
1943-06-30,336.395
1943-07-31,651.641
1943-08-31,245.949
1943-09-30,1152.886
1943-10-31,461.154
1943-11-30,740.921
1943-12-31,285.264
1944-01-31,667.573
1944-02-29,1147.476
1944-03-31,613.595
1944-04-30,474.989
