date,kaf
1921-10-31,524.089
1921-11-30,323.423
1921-12-31,283.935
1922-01-31,302.293
1922-02-28,340.196
1922-03-31,728.145
1922-04-30,662.285
1922-05-31,708.905
1922-06-30,686.085
1922-07-31,674.585
1922-08-31,708.955
1922-09-30,597.816
1922-10-31,647.368
1922-11-30,316.843
1922-12-31,417.726
1923-01-31,471.685
1923-02-28,425.341
1923-03-31,720.426
1923-04-30,662.285
1923-05-31,708.905
1923-06-30,604.682
1923-07-31,668.824
1923-08-31,684.365
1923-09-30,507.706
1923-10-31,640.297
1923-11-30,391.253
1923-12-31,402.327
1924-01-31,458.949
1924-02-29,381.988
1924-03-31,440.558
1924-04-30,351.431
1924-05-31,598.601
1924-06-30,603.137
1924-07-31,674.585
1924-08-31,684.365
1924-09-30,575.891
1924-10-31,623.278
1924-11-30,311.665
1924-12-31,505.991
1925-01-31,378.819
1925-02-28,347.944
1925-03-31,719.847
1925-04-30,662.285
1925-05-31,674.585
1925-06-30,653.005
1925-07-31,674.585
1925-08-31,708.955
1925-09-30,600.224
1925-10-31,638.562
1925-11-30,321.689
1925-12-31,401.105
1926-01-31,466.199
1926-02-28,361.83
1926-03-31,695.698
1926-04-30,658.835
1926-05-31,674.585
1926-06-30,653.005
1926-07-31,708.955
1926-08-31,708.955
1926-09-30,600.224
1926-10-31,637.337
1926-11-30,393.963
1926-12-31,499.976
1927-01-31,348.352
1927-02-28,369.16
1927-03-31,715.04
1927-04-30,662.285
1927-05-31,674.585
1927-06-30,676.805
1927-07-31,674.585
1927-08-31,708.955
1927-09-30,510.114
1927-10-31,601.492
1927-11-30,319.106
1927-12-31,512.386
1928-01-31,351.215
1928-02-29,368.938
1928-03-31,738.513
1928-04-30,662.285
1928-05-31,603.707
1928-06-30,287.262
1928-07-31,708.955
1928-08-31,583.027
1928-09-30,231.325
1928-10-31,362.935
1928-11-30,248.447
1928-12-31,490.303
1929-01-31,409.299
1929-02-28,386.127
1929-03-31,473.042
1929-04-30,353.126
1929-05-31,646.164
1929-06-30,602.404
1929-07-31,681.161
1929-08-31,684.365
1929-09-30,597.816
1929-10-31,621.493
1929-11-30,310.408
1929-12-31,499.85
1930-01-31,397.765
1930-02-28,381.329
1930-03-31,722.806
1930-04-30,555.933
1930-05-31,552.722
1930-06-30,337.932
1930-07-31,666.076
1930-08-31,566.689
1930-09-30,404.22
1930-10-31,450.969
1930-11-30,273.492
1930-12-31,259.046
1931-01-31,524.638
1931-02-28,328.674
1931-03-31,417.589
1931-04-30,105.639
1931-05-31,161.515
1931-06-30,228.897
1931-07-31,466.301
1931-08-31,370.037
1931-09-30,379.379
1931-10-31,450.969
1931-11-30,295.93
1931-12-31,494.567
1932-01-31,347.205
1932-02-29,325.212
1932-03-31,660.536
1932-04-30,538.264
1932-05-31,681.243
1932-06-30,553.556
1932-07-31,590.717
1932-08-31,593.606
1932-09-30,480.835
1932-10-31,565.04
1932-11-30,260.148
1932-12-31,352.016
1933-01-31,452.013
1933-02-28,384.907
1933-03-31,583.071
1933-04-30,346.744
1933-05-31,565.77
1933-06-30,565.934
1933-07-31,663.798
1933-08-31,684.365
1933-09-30,507.061
1933-10-31,615.766
1933-11-30,299.322
1933-12-31,498.215
1934-01-31,361.161
1934-02-28,352.539
1934-03-31,443.39
1934-04-30,351.431
1934-05-31,613.171
1934-06-30,653.005
1934-07-31,681.161
1934-08-31,684.365
1934-09-30,573.867
1934-10-31,616.292
1934-11-30,373.574
1934-12-31,477.552
1935-01-31,340.494
1935-02-28,351.394
1935-03-31,711.829
1935-04-30,662.285
1935-05-31,699.125
1935-06-30,653.005
1935-07-31,699.175
1935-08-31,708.955
1935-09-30,465.097
1935-10-31,563.714
1935-11-30,378.799
1935-12-31,445.137
1936-01-31,380.444
1936-02-29,389.69
1936-03-31,738.513
1936-04-30,662.285
1936-05-31,674.585
1936-06-30,653.005
1936-07-31,674.585
1936-08-31,708.955
1936-09-30,507.775
1936-10-31,642.082
1936-11-30,368.554
1936-12-31,446.53
1937-01-31,316.694
1937-02-28,491.584
1937-03-31,738.513
1937-04-30,662.285
1937-05-31,708.905
1937-06-30,676.805
1937-07-31,699.175
1937-08-31,708.955
1937-09-30,600.404
1937-10-31,660.256
1937-11-30,380.734
1937-12-31,685.285
1938-01-31,441.672
1938-02-28,462.873
1938-03-31,734.334
1938-04-30,662.285
1938-05-31,708.905
1938-06-30,686.085
1938-07-31,674.585
1938-08-31,684.365
1938-09-30,520.302
1938-10-31,648.489
1938-11-30,317.835
1938-12-31,506.901
1939-01-31,358.086
1939-02-28,327.215
1939-03-31,705.174
1939-04-30,539.783
1939-05-31,674.585
1939-06-30,653.005
1939-07-31,708.955
1939-08-31,708.955
1939-09-30,597.885
1939-10-31,639.332
1939-11-30,307.494
1939-12-31,372.036
1940-01-31,393.068
1940-02-29,330.549
1940-03-31,738.513
1940-04-30,662.285
1940-05-31,699.125
1940-06-30,676.805
1940-07-31,708.955
1940-08-31,708.955
1940-09-30,600.403
1940-10-31,658.671
1940-11-30,318.263
1940-12-31,519.983
1941-01-31,412.78
1941-02-28,438.441
1941-03-31,738.513
1941-04-30,662.285
1941-05-31,708.905
1941-06-30,676.805
1941-07-31,699.175
1941-08-31,708.955
1941-09-30,599.405
1941-10-31,668.392
1941-11-30,341.678
1941-12-31,574.391
1942-01-31,509.504
1942-02-28,479.618
1942-03-31,734.334
1942-04-30,662.285
1942-05-31,708.905
1942-06-30,686.085
1942-07-31,699.175
1942-08-31,708.955
1942-09-30,600.404
1942-10-31,663.107
1942-11-30,326.83
1942-12-31,534.814
1943-01-31,484.185
1943-02-28,458.809
1943-03-31,738.513
1943-04-30,662.285
1943-05-31,674.944
1943-06-30,653.005
1943-07-31,708.955
1943-08-31,684.365
1943-09-30,507.775
1943-10-31,648.446
1943-11-30,316.579
1943-12-31,515.7
1944-01-31,352.334
1944-02-29,350.78
1944-03-31,722.806
1944-04-30,539.783
1944-05-31,674.585
1944-06-30,653.005
1944-07-31,674.585
1944-08-31,708.955
1944-09-30,600.293
1944-10-31,643.747
1944-11-30,377.292
1944-12-31,511.09
1945-01-31,365.985
1945-02-28,437.938
1945-03-31,738.513
1945-04-30,638.076
1945-05-31,699.125
1945-06-30,676.805
1945-07-31,708.955
1945-08-31,708.955
1945-09-30,600.413
1945-10-31,670.011
1945-11-30,395.201
1945-12-31,710.629
1946-01-31,508.703
1946-02-28,492.759
1946-03-31,738.513
1946-04-30,653.005
1946-05-31,674.585
1946-06-30,653.005
1946-07-31,708.955
1946-08-31,684.365
1946-09-30,597.885
1946-10-31,652.055
1946-11-30,397.502
1946-12-31,547.39
1947-01-31,362.836
1947-02-28,404.27
1947-03-31,722.806
1947-04-30,593.853
1947-05-31,674.585
1947-06-30,653.005
1947-07-31,674.585
1947-08-31,708.955
1947-09-30,597.885
1947-10-31,639.439
1947-11-30,372.798
1947-12-31,363.268
1948-01-31,502.958
1948-02-29,340.172
1948-03-31,722.806
1948-04-30,662.285
1948-05-31,699.125
1948-06-30,683.625
1948-07-31,681.401
1948-08-31,708.955
1948-09-30,600.293
1948-10-31,640.234
1948-11-30,373.736
1948-12-31,507.618
1949-01-31,360.453
1949-02-28,339.431
1949-03-31,722.806
1949-04-30,632.883
1949-05-31,674.585
1949-06-30,653.005
1949-07-31,674.585
1949-08-31,708.955
1949-09-30,600.412
1949-10-31,635.721
1949-11-30,359.257
1949-12-31,388.61
1950-01-31,422.117
1950-02-28,378.731
1950-03-31,706.621
1950-04-30,662.285
1950-05-31,699.125
1950-06-30,676.805
1950-07-31,699.175
1950-08-31,708.955
1950-09-30,494.038
1950-10-31,586.198
1950-11-30,335.421
1950-12-31,473.66
1951-01-31,288.839
1951-02-28,368.106
1951-03-31,734.465
1951-04-30,662.285
1951-05-31,708.905
1951-06-30,676.805
1951-07-31,708.955
1951-08-31,708.955
1951-09-30,600.413
1951-10-31,647.603
1951-11-30,278.111
1951-12-31,505.142
1952-01-31,414.605
1952-02-29,372.372
1952-03-31,734.334
1952-04-30,662.285
1952-05-31,708.905
1952-06-30,686.085
1952-07-31,699.865
1952-08-31,708.955
1952-09-30,623.107
1952-10-31,666.684
1952-11-30,306.622
1952-12-31,505.621
1953-01-31,409.934
1953-02-28,440.622
1953-03-31,722.806
1953-04-30,657.222
1953-05-31,708.905
1953-06-30,686.085
1953-07-31,699.175
1953-08-31,708.955
1953-09-30,603.455
1953-10-31,642.068
1953-11-30,280.76
1953-12-31,504.213
1954-01-31,353.559
1954-02-28,372.757
1954-03-31,706.859
1954-04-30,662.285
1954-05-31,674.585
1954-06-30,653.005
1954-07-31,708.955
1954-08-31,684.365
1954-09-30,597.885
1954-10-31,628.14
1954-11-30,305.098
1954-12-31,507.886
