date,kaf
1921-10-31,258.25
1921-11-30,118.9924217
1921-12-31,78.71087619
1922-01-31,258.25
1922-02-28,233.25
1922-03-31,258.25
1922-04-30,273.72
1922-05-31,282.79
1922-06-30,273.72
1922-07-31,258.25
1922-08-31,258.25
1922-09-30,249.92
1922-10-31,258.25
1922-11-30,129.5916917
1922-12-31,258.25
1923-01-31,258.25
1923-02-28,233.25
1923-03-31,270.1278681
1923-04-30,273.72
1923-05-31,282.79
1923-06-30,249.92
1923-07-31,258.25
1923-08-31,258.25
1923-09-30,249.92
1923-10-31,258.25
1923-11-30,114.3431247
1923-12-31,219.7399556
1924-01-31,258.25
1924-02-29,233.25
1924-03-31,15.29085837
1924-04-30,150.7803248
1924-05-31,258.25
1924-06-30,249.92
1924-07-31,258.25
1924-08-31,258.25
1924-09-30,249.92
1924-10-31,258.25
1924-11-30,113.4462354
1924-12-31,258.25
1925-01-31,258.25
1925-02-28,233.25
1925-03-31,264.3557338
1925-04-30,273.72
1925-05-31,258.25
1925-06-30,249.92
1925-07-31,258.25
1925-08-31,258.25
1925-09-30,249.92
1925-10-31,258.25
1925-11-30,118.5987144
1925-12-31,163.2363682
1926-01-31,258.25
1926-02-28,233.25
1926-03-31,258.25
1926-04-30,249.92
1926-05-31,258.25
1926-06-30,249.92
1926-07-31,282.84
1926-08-31,258.25
1926-09-30,249.92
1926-10-31,258.25
1926-11-30,249.92
1926-12-31,123.0137584
1927-01-31,258.25
1927-02-28,233.25
1927-03-31,258.25
1927-04-30,249.92
1927-05-31,258.25
1927-06-30,249.92
1927-07-31,258.25
1927-08-31,258.25
1927-09-30,249.92
1927-10-31,258.25
1927-11-30,125.2173459
1927-12-31,258.25
1928-01-31,258.25
1928-02-29,233.25
1928-03-31,258.25
1928-04-30,273.72
1928-05-31,258.25
1928-06-30,201.4973704
1928-07-31,282.84
1928-08-31,258.25
1928-09-30,80.76040792
1928-10-31,158.4238453
1928-11-30,66.17106965
1928-12-31,258.25
1929-01-31,258.25
1929-02-28,233.25
1929-03-31,231.2849233
1929-04-30,194.7706433
1929-05-31,258.25
1929-06-30,249.92
1929-07-31,258.25
1929-08-31,258.25
1929-09-30,249.92
1929-10-31,258.25
1929-11-30,114.4839069
1929-12-31,258.25
1930-01-31,258.25
1930-02-28,233.25
1930-03-31,282.84
1930-04-30,249.92
1930-05-31,258.25
1930-06-30,237.6348034
1930-07-31,258.25
1930-08-31,258.25
1930-09-30,181.8132391
1930-10-31,203.8822924
1930-11-30,105.0537962
1930-12-31,118.4864215
1931-01-31,258.25
1931-02-28,163.6145097
1931-03-31,166.4446122
1931-04-30,4.911644624
1931-05-31,48.13200118
1931-06-30,139.9452876
1931-07-31,241.3126744
1931-08-31,258.25
1931-09-30,96.65309727
1931-10-31,150.0547315
1931-11-30,101.8566585
1931-12-31,258.25
1932-01-31,258.25
1932-02-29,233.25
1932-03-31,258.25
1932-04-30,249.92
1932-05-31,258.25
1932-06-30,249.92
1932-07-31,246.719878
1932-08-31,258.25
1932-09-30,249.92
1932-10-31,258.25
1932-11-30,106.064244
1932-12-31,178.6007312
1933-01-31,258.25
1933-02-28,213.8919063
1933-03-31,258.25
1933-04-30,119.7064369
1933-05-31,258.25
1933-06-30,249.92
1933-07-31,207.8075984
1933-08-31,258.25
1933-09-30,249.92
1933-10-31,258.25
1933-11-30,105.4499757
1933-12-31,258.25
1934-01-31,258.25
1934-02-28,233.25
1934-03-31,201.3971568
1934-04-30,187.7747286
1934-05-31,258.25
1934-06-30,249.92
1934-07-31,258.25
1934-08-31,258.25
1934-09-30,249.92
1934-10-31,258.25
1934-11-30,184.6628452
1934-12-31,124.5346811
1935-01-31,258.25
1935-02-28,233.25
1935-03-31,258.25
1935-04-30,249.92
1935-05-31,258.25
1935-06-30,249.92
1935-07-31,258.25
1935-08-31,258.25
1935-09-30,249.92
1935-10-31,239.7007638
1935-11-30,114.6942385
1935-12-31,146.0587842
1936-01-31,258.25
1936-02-29,233.25
1936-03-31,258.25
1936-04-30,273.72
1936-05-31,258.25
1936-06-30,249.92
1936-07-31,258.25
1936-08-31,258.25
1936-09-30,249.92
1936-10-31,258.25
1936-11-30,118.9933086
1936-12-31,146.2231652
1937-01-31,258.25
1937-02-28,233.25
1937-03-31,258.25
1937-04-30,249.92
1937-05-31,282.79
1937-06-30,249.92
1937-07-31,258.25
1937-08-31,258.25
1937-09-30,249.92
1937-10-31,258.25
1937-11-30,249.92
1937-12-31,258.25
1938-01-31,258.25
1938-02-28,233.25
1938-03-31,258.25
1938-04-30,273.72
1938-05-31,282.79
1938-06-30,273.72
1938-07-31,258.25
1938-08-31,258.25
1938-09-30,249.92
1938-10-31,258.25
1938-11-30,136.6564523
1938-12-31,258.25
1939-01-31,258.25
1939-02-28,151.4823793
1939-03-31,258.25
1939-04-30,249.92
1939-05-31,258.25
1939-06-30,249.92
1939-07-31,282.84
1939-08-31,271.532245
1939-09-30,249.92
1939-10-31,258.25
1939-11-30,115.7159098
1939-12-31,163.7058465
1940-01-31,258.25
1940-02-29,233.25
1940-03-31,258.25
1940-04-30,273.72
1940-05-31,258.25
1940-06-30,249.92
1940-07-31,282.84
1940-08-31,258.25
1940-09-30,249.92
1940-10-31,258.25
1940-11-30,122.6433969
1940-12-31,114.827925
1941-01-31,258.25
1941-02-28,233.25
1941-03-31,258.25
1941-04-30,249.92
1941-05-31,282.79
1941-06-30,258.5733148
1941-07-31,258.25
1941-08-31,258.25
1941-09-30,249.92
1941-10-31,258.25
1941-11-30,136.8515525
1941-12-31,255.1702751
1942-01-31,258.25
1942-02-28,233.25
1942-03-31,258.25
1942-04-30,273.72
1942-05-31,282.79
1942-06-30,273.72
1942-07-31,258.25
1942-08-31,258.25
1942-09-30,249.92
1942-10-31,258.25
1942-11-30,138.9841379
1942-12-31,258.25
1943-01-31,258.25
1943-02-28,233.25
1943-03-31,258.25
1943-04-30,249.92
1943-05-31,258.25
1943-06-30,249.92
1943-07-31,282.84
1943-08-31,258.25
