date,kaf
1921-10-31,5.467
1921-11-30,0.725
1921-12-31,0.052
1922-01-31,0.083
1922-02-28,0.231
1922-03-31,1.971
1922-04-30,18.115
1922-05-31,46.924
1922-06-30,62.678
1922-07-31,62.767
1922-08-31,51.086
1922-09-30,20.208
1922-10-31,5.467
1922-11-30,0.725
1922-12-31,0.052
1923-01-31,0.083
1923-02-28,0.231
1923-03-31,1.971
1923-04-30,18.115
1923-05-31,46.924
1923-06-30,62.678
1923-07-31,62.767
1923-08-31,51.086
1923-09-30,20.208
1923-10-31,5.467
1923-11-30,0.725
1923-12-31,0.052
1924-01-31,0.083
1924-02-29,0.231
1924-03-31,1.971
1924-04-30,18.115
1924-05-31,46.924
1924-06-30,62.678
1924-07-31,62.767
1924-08-31,51.086
1924-09-30,20.208
1924-10-31,5.467
1924-11-30,0.725
1924-12-31,0.052
1925-01-31,0.083
1925-02-28,0.231
1925-03-31,1.971
1925-04-30,18.115
1925-05-31,46.924
1925-06-30,62.678
1925-07-31,62.767
1925-08-31,51.086
1925-09-30,20.208
1925-10-31,5.467
1925-11-30,0.725
1925-12-31,0.052
1926-01-31,0.083
1926-02-28,0.231
1926-03-31,1.971
1926-04-30,18.115
1926-05-31,46.924
1926-06-30,62.678
1926-07-31,62.767
1926-08-31,51.086
1926-09-30,20.208
1926-10-31,5.467
1926-11-30,0.725
1926-12-31,0.052
1927-01-31,0.083
1927-02-28,0.231
1927-03-31,1.971
1927-04-30,18.115
1927-05-31,46.924
1927-06-30,62.678
1927-07-31,62.767
1927-08-31,51.086
1927-09-30,20.208
1927-10-31,5.467
1927-11-30,0.725
1927-12-31,0.052
1928-01-31,0.083
1928-02-29,0.231
1928-03-31,1.971
1928-04-30,18.115
1928-05-31,46.924
1928-06-30,62.678
1928-07-31,62.767
1928-08-31,51.086
1928-09-30,20.208
1928-10-31,5.467
1928-11-30,0.725
1928-12-31,0.052
1929-01-31,0.083
1929-02-28,0.231
1929-03-31,1.971
1929-04-30,18.115
1929-05-31,46.924
1929-06-30,62.678
1929-07-31,62.767
1929-08-31,51.086
1929-09-30,20.208
1929-10-31,5.467
1929-11-30,0.725
1929-12-31,0.052
1930-01-31,0.083
1930-02-28,0.231
1930-03-31,1.971
