date,kaf
1921-10-31,0.37
1921-11-30,0.21
1921-12-31,0.07
1922-01-31,0.05
1922-02-28,0.1
1922-03-31,0.23
1922-04-30,0.38
1922-05-31,0.61
1922-06-30,0.8
1922-07-31,0.96
1922-08-31,0.85
1922-09-30,0.56
1922-10-31,0.36
1922-11-30,0.12
1922-12-31,0.06
1923-01-31,0.06
1923-02-28,0.12
1923-03-31,0.29
1923-04-30,0.3
1923-05-31,0.61
1923-06-30,0.8
1923-07-31,0.96
1923-08-31,0.88
1923-09-30,0.52
1923-10-31,0.36
1923-11-30,0.21
1923-12-31,0.07
1924-01-31,0.07
1924-02-29,0.15
1924-03-31,0.26
1924-04-30,0.51
1924-05-31,0.68
1924-06-30,0.81
1924-07-31,0.96
1924-08-31,0.89
1924-09-30,0.54
1924-10-31,0.35
1924-11-30,0.16
1924-12-31,0.05
1925-01-31,0.06
1925-02-28,0.12
1925-03-31,0.26
1925-04-30,0.33
1925-05-31,0.57
1925-06-30,0.8
1925-07-31,0.96
1925-08-31,0.83
1925-09-30,0.5
1925-10-31,0.35
1925-11-30,0.15
1925-12-31,0.07
1926-01-31,0.06
1926-02-28,0.12
1926-03-31,0.29
1926-04-30,0.41
1926-05-31,0.61
1926-06-30,0.81
1926-07-31,0.96
1926-08-31,0.9
1926-09-30,0.53
1926-10-31,0.37
1926-11-30,0.21
1926-12-31,0.06
1927-01-31,0.06
1927-02-28,0.11
1927-03-31,0.25
1927-04-30,0.44
1927-05-31,0.6
1927-06-30,0.8
1927-07-31,0.96
1927-08-31,0.86
1927-09-30,0.5
1927-10-31,0.37
1927-11-30,0.1
1927-12-31,0.06
1928-01-31,0.06
1928-02-29,0.14
1928-03-31,0.27
1928-04-30,0.42
1928-05-31,0.64
1928-06-30,0.81
1928-07-31,0.96
1928-08-31,0.93
1928-09-30,0.55
1928-10-31,0.36
1928-11-30,0.15
1928-12-31,0.06
1929-01-31,0.05
1929-02-28,0.12
1929-03-31,0.25
1929-04-30,0.35
1929-05-31,0.62
1929-06-30,0.8
1929-07-31,0.96
1929-08-31,0.92
1929-09-30,0.54
1929-10-31,0.38
1929-11-30,0.23
1929-12-31,0.07
1930-01-31,0.06
1930-02-28,0.13
1930-03-31,0.26
1930-04-30,0.44
1930-05-31,0.54
1930-06-30,0.81
1930-07-31,0.96
1930-08-31,0.87
1930-09-30,0.5
1930-10-31,0.36
1930-11-30,0.18
1930-12-31,0.07
1931-01-31,0.06
1931-02-28,0.11
1931-03-31,0.28
1931-04-30,0.6
1931-05-31,0.67
1931-06-30,0.8
1931-07-31,0.94
1931-08-31,0.99
1931-09-30,0.52
1931-10-31,0.37
1931-11-30,0.15
1931-12-31,0.06
1932-01-31,0.06
1932-02-29,0.11
1932-03-31,0.27
1932-04-30,0.42
1932-05-31,0.6
1932-06-30,0.81
1932-07-31,0.96
1932-08-31,0.89
1932-09-30,0.55
1932-10-31,0.36
1932-11-30,0.22
1932-12-31,0.06
1933-01-31,0.05
1933-02-28,0.11
1933-03-31,0.25
1933-04-30,0.43
1933-05-31,0.53
1933-06-30,0.8
1933-07-31,0.95
1933-08-31,0.91
1933-09-30,0.52
1933-10-31,0.39
1933-11-30,0.22
1933-12-31,0.06
1934-01-31,0.06
1934-02-28,0.11
1934-03-31,0.32
1934-04-30,0.61
1934-05-31,0.64
1934-06-30,0.8
1934-07-31,0.96
1934-08-31,0.95
1934-09-30,0.55
1934-10-31,0.36
1934-11-30,0.13
1934-12-31,0.06
1935-01-31,0.06
1935-02-28,0.1
1935-03-31,0.21
1935-04-30,0.33
1935-05-31,0.6
1935-06-30,0.81
1935-07-31,0.96
1935-08-31,0.93
1935-09-30,0.55
1935-10-31,0.35
1935-11-30,0.14
1935-12-31,0.07
1936-01-31,0.07
1936-02-29,0.11
1936-03-31,0.27
1936-04-30,0.47
1936-05-31,0.64
1936-06-30,0.8
1936-07-31,0.96
1936-08-31,0.94
1936-09-30,0.56
1936-10-31,0.36
1936-11-30,0.2
1936-12-31,0.06
1937-01-31,0.05
1937-02-28,0.1
1937-03-31,0.23
1937-04-30,0.37
1937-05-31,0.63
1937-06-30,0.8
1937-07-31,0.96
1937-08-31,0.96
1937-09-30,0.55
1937-10-31,0.38
1937-11-30,0.17
1937-12-31,0.07
1938-01-31,0.06
1938-02-28,0.1
1938-03-31,0.2
1938-04-30,0.38
1938-05-31,0.61
1938-06-30,0.81
1938-07-31,0.96
1938-08-31,0.9
1938-09-30,0.55
1938-10-31,0.36
1938-11-30,0.17
1938-12-31,0.06
1939-01-31,0.06
1939-02-28,0.11
1939-03-31,0.25
1939-04-30,0.58
1939-05-31,0.62
1939-06-30,0.81
1939-07-31,0.96
1939-08-31,0.97
1939-09-30,0.54
1939-10-31,0.37
1939-11-30,0.23
1939-12-31,0.08
1940-01-31,0.06
1940-02-29,0.11
1940-03-31,0.26
1940-04-30,0.44
1940-05-31,0.66
1940-06-30,0.81
1940-07-31,0.96
1940-08-31,0.94
1940-09-30,0.51
1940-10-31,0.37
1940-11-30,0.16
1940-12-31,0.08
1941-01-31,0.06
1941-02-28,0.1
1941-03-31,0.25
1941-04-30,0.32
1941-05-31,0.6
1941-06-30,0.8
1941-07-31,0.96
1941-08-31,0.8
1941-09-30,0.52
1941-10-31,0.35
1941-11-30,0.18
1941-12-31,0.06
1942-01-31,0.06
1942-02-28,0.11
1942-03-31,0.28
1942-04-30,0.35
1942-05-31,0.57
1942-06-30,0.81
1942-07-31,0.96
1942-08-31,0.93
