date,kaf
date,FLOW_LOC(KAF)
1921-10-31,0
1921-11-30,0
1921-12-31,11.658
1922-01-31,9.998
1922-02-28,41.297
1922-03-31,25.185
1922-04-30,12.674
1922-05-31,5.107
1922-06-30,1.539
1922-07-31,0.121
1922-08-31,0
1922-09-30,0
1922-10-31,0
1922-11-30,1.067
1922-12-31,13.884
1923-01-31,16.024
1923-02-28,10.208
1923-03-31,4.874
1923-04-30,16.578
1923-05-31,3.943
1923-06-30,1.543
1923-07-31,0.319
1923-08-31,0
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,1
1924-01-31,1
1924-02-29,2
1924-03-31,3
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,0
1924-11-30,1
1924-12-31,1
1925-01-31,1
1925-02-28,15
1925-03-31,6
1925-04-30,10
1925-05-31,3
1925-06-30,1
1925-07-31,0
1925-08-31,0
1925-09-30,0
1925-10-31,0
1925-11-30,0
1925-12-31,1
1926-01-31,1
1926-02-28,6
1926-03-31,3
1926-04-30,13
1926-05-31,1
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,0
1926-10-31,0
1926-11-30,7
1926-12-31,5
1927-01-31,4
1927-02-28,33
1927-03-31,13
1927-04-30,15
1927-05-31,3
1927-06-30,1
1927-07-31,0
1927-08-31,0
1927-09-30,0
1927-10-31,0
1927-11-30,5
1927-12-31,4
1928-01-31,6
1928-02-29,8
1928-03-31,15
1928-04-30,8
1928-05-31,1
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,0
1928-10-31,0
1928-11-30,0
1928-12-31,1
1929-01-31,1
1929-02-28,3
1929-03-31,4
1929-04-30,1
1929-05-31,1
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,0
1930-01-31,3
1930-02-28,4
1930-03-31,6
1930-04-30,1
1930-05-31,0
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,0
1930-10-31,0
1930-11-30,0.024
1930-12-31,0.116
1931-01-31,0.932
1931-02-28,0.979
1931-03-31,0.657
1931-04-30,0.243
1931-05-31,0.091
1931-06-30,0.003
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,0
1931-11-30,0
1931-12-31,23.796
1932-01-31,16.22
1932-02-29,50.633
1932-03-31,9.365
1932-04-30,4.357
1932-05-31,2.812
1932-06-30,0.75
1932-07-31,0.023
1932-08-31,0
1932-09-30,0
1932-10-31,0
1932-11-30,0
1932-12-31,0.229
1933-01-31,3.692
1933-02-28,3.709
1933-03-31,5.681
1933-04-30,2.224
1933-05-31,1.678
1933-06-30,0.508
1933-07-31,0.012
1933-08-31,0
1933-09-30,0
1933-10-31,0
1933-11-30,0
1933-12-31,0.574
1934-01-31,1.83
1934-02-28,6.104
1934-03-31,2.105
1934-04-30,0.489
1934-05-31,0.059
1934-06-30,0.024
1934-07-31,0
1934-08-31,0
1934-09-30,0
1934-10-31,0
1934-11-30,0.533
1934-12-31,2.08
1935-01-31,22.338
1935-02-28,10.241
1935-03-31,19.203
1935-04-30,33.697
1935-05-31,9.131
1935-06-30,1.805
1935-07-31,0.367
1935-08-31,0.027
1935-09-30,0
1935-10-31,0.258
1935-11-30,0.421
1935-12-31,0.743
1936-01-31,5.317
1936-02-29,72.032
1936-03-31,16.626
1936-04-30,14.894
1936-05-31,3.63
1936-06-30,1.686
1936-07-31,0.325
1936-08-31,0.015
1936-09-30,0.03
1936-10-31,0.141
1936-11-30,0.411
1936-12-31,2.292
1937-01-31,5.193
1937-02-28,66.089
1937-03-31,35.435
1937-04-30,18.464
1937-05-31,5.571
1937-06-30,1.754
1937-07-31,0.406
1937-08-31,0.081
1937-09-30,0.076
1937-10-31,0.146
1937-11-30,0.418
1937-12-31,9.844
1938-01-31,14.314
1938-02-28,69.477
1938-03-31,122.975
1938-04-30,24.206
1938-05-31,11.879
1938-06-30,3.62
1938-07-31,1.305
1938-08-31,0.418
1938-09-30,0.286
1938-10-31,0.906
1938-11-30,1.141
1938-12-31,1.355
1939-01-31,2.094
1939-02-28,5.904
1939-03-31,7.065
1939-04-30,3.637
1939-05-31,1.295
1939-06-30,0.301
1939-07-31,0.017
1939-08-31,0
1939-09-30,0.308
1939-10-31,0.623
1939-11-30,0.338
1939-12-31,0.652
1940-01-31,32.41
1940-02-29,29.923
1940-03-31,21.471
1940-04-30,10.175
1940-05-31,3.566
1940-06-30,0.866
1940-07-31,0.108
1940-08-31,0.015
1940-09-30,0.006
1940-10-31,0.159
1940-11-30,0.352
1940-12-31,14.345
1941-01-31,15.317
1941-02-28,48.223
1941-03-31,37.667
1941-04-30,30.276
1941-05-31,8.104
1941-06-30,2.63
1941-07-31,0.662
1941-08-31,0.194
1941-09-30,0.14
1941-10-31,0.395
1941-11-30,0.766
1941-12-31,16.651
1942-01-31,14.204
1942-02-28,15.945
1942-03-31,16.22
1942-04-30,13.859
1942-05-31,8.559
1942-06-30,2.64
1942-07-31,0.638
1942-08-31,0.067
1942-09-30,0.082
1942-10-31,0.13
1942-11-30,2.449
1942-12-31,2.444
1943-01-31,21.502
1943-02-28,14.606
1943-03-31,42.476
1943-04-30,11.431
1943-05-31,4.417
1943-06-30,1.733
1943-07-31,0.454
1943-08-31,0.061
1943-09-30,0.043
1943-10-31,0.19
1943-11-30,0.475
1943-12-31,0.929
1944-01-31,2.043
1944-02-29,8.68
1944-03-31,13.097
1944-04-30,4.197
1944-05-31,2.186
1944-06-30,0.653
1944-07-31,0.026
1944-08-31,0
1944-09-30,0
1944-10-31,0
1944-11-30,2.487
1944-12-31,2.329
1945-01-31,1.908
1945-02-28,33.511
1945-03-31,27.872
1945-04-30,11.984
1945-05-31,4.024
1945-06-30,1.574
1945-07-31,0.16
1945-08-31,0
1945-09-30,0
1945-10-31,0.329
1945-11-30,0.915
1945-12-31,10.053
1946-01-31,4.16
1946-02-28,3.731
1946-03-31,9.033
1946-04-30,8.586
1946-05-31,2.099
1946-06-30,0.613
1946-07-31,0.034
1946-08-31,0
1946-09-30,0
1946-10-31,0.045
1946-11-30,3.308
1946-12-31,4.988
1947-01-31,2.073
1947-02-28,4.394
1947-03-31,3.181
1947-04-30,1.833
1947-05-31,0.473
1947-06-30,0.126
1947-07-31,0
1947-08-31,0
1947-09-30,0
1947-10-31,0
1947-11-30,0.112
1947-12-31,0.292
1948-01-31,0.323
1948-02-29,0.502
1948-03-31,4.784
1948-04-30,14.489
1948-05-31,2.713
1948-06-30,0.863
1948-07-31,0.033
1948-08-31,0
1948-09-30,0
1948-10-31,0
1948-11-30,0.003
1948-12-31,0.426
1949-01-31,0.802
1949-02-28,2.677
1949-03-31,13.441
1949-04-30,3.467
1949-05-31,1.442
1949-06-30,0.217
1949-07-31,0.006
1949-08-31,0
1949-09-30,0
1949-10-31,0
1949-11-30,0.006
1949-12-31,0.431
1950-01-31,4.543
1950-02-28,12.429
1950-03-31,3.269
1950-04-30,5.201
1950-05-31,1.318
1950-06-30,0.158
1950-07-31,0.003
1950-08-31,0
1950-09-30,0
1950-10-31,0
1950-11-30,26.099
1950-12-31,28.924
1951-01-31,15.679
1951-02-28,11.679
1951-03-31,10.268
1951-04-30,4.225
1951-05-31,2.668
1951-06-30,0.497
1951-07-31,0.041
1951-08-31,0
1951-09-30,0
1951-10-31,0
1951-11-30,0.541
1951-12-31,12.531
1952-01-31,42.101
1952-02-29,13.751
1952-03-31,47.923
1952-04-30,19.44
1952-05-31,7.145
1952-06-30,2.18
1952-07-31,0.633
1952-08-31,0.121
1952-09-30,0.062
1952-10-31,0.116
1952-11-30,0.587
1952-12-31,5.328
1953-01-31,11.584
1953-02-28,2.765
1953-03-31,3.142
1953-04-30,2.636
1953-05-31,1.882
1953-06-30,1.124
1953-07-31,0.048
1953-08-31,0
1953-09-30,0
1953-10-31,0
