date,kaf
1921-10-31,0
1921-11-30,0
1921-12-31,11.65805
1922-01-31,9.997884
1922-02-28,41.297455
1922-03-31,25.185322
1922-04-30,12.674379
1922-05-31,5.10716
1922-06-30,1.539372
1922-07-31,0.121131
1922-08-31,0
1922-09-30,0
1922-10-31,0
1922-11-30,1.066909
1922-12-31,13.883901
1923-01-31,16.023668
1923-02-28,10.207735
1923-03-31,4.873507
1923-04-30,16.57785
1923-05-31,3.9432
1923-06-30,1.542942
1923-07-31,0.319121
1923-08-31,0
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,1
1924-01-31,1
1924-02-29,2
1924-03-31,3
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,0
1924-11-30,1
1924-12-31,1
1925-01-31,1
1925-02-28,15
1925-03-31,6
1925-04-30,10
1925-05-31,3
1925-06-30,1
1925-07-31,0
1925-08-31,0
1925-09-30,0
1925-10-31,0
1925-11-30,0
1925-12-31,1
1926-01-31,1
1926-02-28,6
1926-03-31,3
1926-04-30,13
1926-05-31,1
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,0
1926-10-31,0
1926-11-30,7
1926-12-31,5
1927-01-31,4
1927-02-28,33
1927-03-31,13
1927-04-30,15
1927-05-31,3
1927-06-30,1
1927-07-31,0
1927-08-31,0
1927-09-30,0
1927-10-31,0
1927-11-30,5
1927-12-31,4
1928-01-31,6
1928-02-29,8
1928-03-31,15
1928-04-30,8
1928-05-31,1
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,0
1928-10-31,0
1928-11-30,0
1928-12-31,1
1929-01-31,1
1929-02-28,3
1929-03-31,4
1929-04-30,1
1929-05-31,1
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,0
1930-01-31,3
1930-02-28,4
1930-03-31,6
1930-04-30,1
1930-05-31,0
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,0
1930-10-31,0
1930-11-30,0.02398
1930-12-31,0.116212
1931-01-31,0.931537
