date,kaf
1921-09-30,58
1921-10-31,30.838955
1921-11-30,30.794085
1921-12-31,42.419338
1922-01-31,52.382629
1922-02-28,93.680084
1922-03-31,117
1922-04-30,129.399139
1922-05-31,133.80217
1922-06-30,41.945599
1922-07-31,41.710213
1922-08-31,41.440868
1922-09-30,41.239777
1922-10-31,41.095024
1922-11-30,42.107231
1922-12-31,55.947456
1923-01-31,71.923622
1923-02-28,82.131363
1923-03-31,86.805191
1923-04-30,103.089172
1923-05-31,106.497749
1923-06-30,107.359222
1923-07-31,106.76577
1923-08-31,106.045105
1923-09-30,105.530518
1923-10-31,105.160103
1923-11-30,105
1923-12-31,105.924477
1924-01-31,106.853905
1924-02-29,108.541222
1924-03-31,111.285233
1924-04-30,110.835365
1924-05-31,63.278847
1924-06-30,15.967422
1924-07-31,10.149698
1924-08-31,10.084157
1924-09-30,10.035224
1924-10-31,10
1924-11-30,10.984655
1924-12-31,11.976386
1925-01-31,12.967821
1925-02-28,27.914963
1925-03-31,33.837128
1925-04-30,43.690163
1925-05-31,46.449242
1925-06-30,47.114368
1925-07-31,46.715076
1925-08-31,46.437237
1925-09-30,46.211903
1925-10-31,46.049698
1925-11-30,45.986839
1925-12-31,46.952305
1926-01-31,47.920654
1926-02-28,53.807018
1926-03-31,56.676647
1926-04-30,69.269035
1926-05-31,57.521832
1926-06-30,10.245037
1926-07-31,10.158211
1926-08-31,10.084157
1926-09-30,10.035224
1926-10-31,10
1926-11-30,16.97348
1926-12-31,21.957329
1927-01-31,25.940197
1927-02-28,58.854439
1927-03-31,71.689537
1927-04-30,80.433975
1927-05-31,83.018478
1927-06-30,83.445053
1927-07-31,82.737854
1927-08-31,82.210403
1927-09-30,81.811478
1927-10-31,81.524315
1927-11-30,86.400368
1927-12-31,90.337318
1928-01-31,96.273735
1928-02-29,104.273735
1928-03-31,119
1928-04-30,126.597092
1928-05-31,126.8918
1928-06-30,119.853973
1928-07-31,106.75618
1928-08-31,106.029968
1928-09-30,105.515457
1928-10-31,105.145103
1928-11-30,105
1928-12-31,105.930038
1929-01-31,106.859467
1929-02-28,109.859467
1929-03-31,113.59816
1929-04-30,114.421967
1929-05-31,86.114868
1929-06-30,38.65073
1929-07-31,26.368423
1929-08-31,26.183712
1929-09-30,26.056656
1929-10-31,25.965197
1929-11-30,25.929171
1929-12-31,25.908945
1930-01-31,28.889866
1930-02-28,32.854591
1930-03-31,38.765419
1930-04-30,39.646423
1930-05-31,17.700485
1930-06-30,17.581139
1930-07-31,17.432138
1930-08-31,17.327547
1930-09-30,17.243465
1930-10-31,17.18294
1930-11-30,17.1824
1930-12-31,17.286547
1931-01-31,18.206059
1931-02-28,19.145201
1931-03-31,19.756443
1931-04-30,19.894524
1931-05-31,10.328341
1931-06-30,10.261292
1931-07-31,10.174327
1931-08-31,10.097486
1931-09-30,10.048488
1931-10-31,10.013217
1931-11-30,10
1931-12-31,33.772385
1932-01-31,49.959816
1932-02-29,100.593071
1932-03-31,109.432991
1932-04-30,103.593971
1932-05-31,105.858955
1932-06-30,105.859306
1932-07-31,104.984764
1932-08-31,104.24305
1932-09-30,103.737206
1932-10-31,103.373093
1932-11-30,103.212601
1932-12-31,103.378334
1933-01-31,107
1933-02-28,110.709328
1933-03-31,116.123055
1933-04-30,118.00145
1933-05-31,74.865921
1933-06-30,27.983955
1933-07-31,27.758986
1933-08-31,27.551001
1933-09-30,27.417309
1933-10-31,27.321075
1933-11-30,27.281322
1933-12-31,27.836397
1934-01-31,29.647303
1934-02-28,35.68327
1934-03-31,37.701267
1934-04-30,37.984146
1934-05-31,24.276167
1934-06-30,10.242716
1934-07-31,10.155909
1934-08-31,10.084157
1934-09-30,10.035224
1934-10-31,10
1934-11-30,10.517316
1934-12-31,12.588088
1935-01-31,34.903481
1935-02-28,45.144539
1935-03-31,64.19944
