date,kaf
1921-09-30,176
1921-10-31,140.808517
1921-11-30,173.585495
1921-12-31,249.510193
1922-01-31,326.323364
1922-02-28,413.400696
1922-03-31,295.706268
1922-04-30,123.634033
1922-05-31,169.690094
1922-06-30,491.321014
1922-07-31,480.195465
1922-08-31,294.889465
1922-09-30,188.536697
1922-10-31,120
1922-11-30,170.020554
1922-12-31,275.204559
1923-01-31,353.961884
1923-02-28,434.3638
1923-03-31,335.916412
1923-04-30,308.80423
1923-05-31,297.039886
1923-06-30,237.188385
1923-07-31,152.898453
1923-08-31,120
1923-09-30,190.204742
1923-10-31,229.005676
1923-11-30,287.62384
1923-12-31,327.37793
1924-01-31,365.8349
1924-02-29,407.467041
1924-03-31,447.753937
1924-04-30,514.204529
1924-05-31,482.013519
1924-06-30,306.052094
1924-07-31,162.406784
1924-08-31,120
1924-09-30,134.684448
1924-10-31,120
1924-11-30,152.97699
1924-12-31,190.397125
1925-01-31,229.22168
1925-02-28,316.643311
1925-03-31,200.769394
1925-04-30,143.164474
1925-05-31,193.164886
1925-06-30,139.347565
1925-07-31,120
1925-08-31,120
1925-09-30,120
1925-10-31,120
1925-11-30,165.335266
1925-12-31,211.027863
1926-01-31,246.777847
1926-02-28,319.331757
1926-03-31,188.394852
1926-04-30,272.730896
1926-05-31,354.550049
1926-06-30,209.86496
1926-07-31,120
1926-08-31,120
1926-09-30,122.715096
1926-10-31,120
1926-11-30,172.920303
1926-12-31,241.312073
1927-01-31,287.030334
1927-02-28,434.282257
1927-03-31,382.515991
1927-04-30,341.172272
1927-05-31,360.120911
1927-06-30,456.694763
1927-07-31,382.80542
1927-08-31,216.010757
1927-09-30,149.849792
1927-10-31,130.944489
1927-11-30,240.645782
1927-12-31,305.881073
1928-01-31,363.182373
1928-02-29,432.164703
1928-03-31,386.777863
1928-04-30,320.307312
1928-05-31,357.650482
1928-06-30,219.682922
1928-07-31,120
1928-08-31,120
1928-09-30,142.011261
1928-10-31,120
1928-11-30,144.478607
1928-12-31,177.539902
1929-01-31,196.725861
1929-02-28,232.785828
1929-03-31,226.116455
1929-04-30,232.282944
1929-05-31,225.965744
1929-06-30,162.161453
1929-07-31,120
1929-08-31,120
1929-09-30,146.405884
1929-10-31,120
1929-11-30,137.823257
1929-12-31,161.972687
1930-01-31,178.075638
