date,kaf
1921-10-31,0
1921-11-30,0
1921-12-31,2.812533
1922-01-31,4.417029
1922-02-28,7.545221
1922-03-31,1.884408
1922-04-30,0
1922-05-31,0.03515
1922-06-30,0
1922-07-31,0
1922-08-31,0
1922-09-30,0
1922-10-31,0
1922-11-30,0.977751
1922-12-31,5.769307
1923-01-31,6.671142
1923-02-28,1.34069
1923-03-31,0
1923-04-30,3.259795
1923-05-31,0.178257
1923-06-30,0
1923-07-31,0
1923-08-31,0
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,0
1924-01-31,0
1924-02-29,0
1924-03-31,0.958985
1924-04-30,0
1924-05-31,0
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,0
1924-11-30,0.804128
1924-12-31,3.188022
1925-01-31,1.246873
1925-02-28,6.539219
1925-03-31,1.998097
1925-04-30,2.499398
1925-05-31,0.193554
1925-06-30,0
1925-07-31,0
1925-08-31,0
1925-09-30,0
1925-10-31,0
1925-11-30,0
1925-12-31,0.285158
1926-01-31,0
1926-02-28,5.804904
1926-03-31,0.23679
1926-04-30,3.795087
1926-05-31,0.201234
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,0
1926-10-31,0
1926-11-30,1.259621
1926-12-31,1.673234
1927-01-31,2.778195
1927-02-28,6.701825
1927-03-31,2.134434
1927-04-30,1.518172
1927-05-31,0.084763
1927-06-30,0
1927-07-31,0
1927-08-31,0
1927-09-30,0
1927-10-31,0
1927-11-30,0.943019
1927-12-31,1.758137
1928-01-31,0
1928-02-29,0.287038
1928-03-31,3.804117
1928-04-30,1.142833
1928-05-31,0.043511
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,0
1928-10-31,0
1928-11-30,0.343746
1928-12-31,1.18916
1929-01-31,1.094948
1929-02-28,0.151609
1929-03-31,0.689586
1929-04-30,0
1929-05-31,0.014728
1929-06-30,0
1929-07-31,0
1929-08-31,0
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,0.276966
1930-01-31,2.556251
1930-02-28,2.491773
1930-03-31,2.114725
