date,kaf
1921-10-31,1.471
1921-11-30,1.514
1921-12-31,2.515
1922-01-31,3.225
1922-02-28,4.492
1922-03-31,4.28
1922-04-30,3.618
1922-05-31,3.044
1922-06-30,2.919
1922-07-31,0.493
1922-08-31,1.477
1922-09-30,3.533
1922-10-31,3.034
1922-11-30,2.962
1922-12-31,3.928
1923-01-31,4.108
1923-02-28,3.534
1923-03-31,2.798
1923-04-30,1.455
1923-05-31,0.126
1923-06-30,4.999
1923-07-31,0.673
1923-08-31,1.358
1923-09-30,4.293
1923-10-31,3.94
1923-11-30,2.968
1923-12-31,2.996
1924-01-31,2.874
1924-02-29,2.589
1924-03-31,2.567
1924-04-30,0.187
1924-05-31,0
1924-06-30,0.344
1924-07-31,0
1924-08-31,0
1924-09-30,2.355
1924-10-31,2.118
1924-11-30,1.834
1924-12-31,2.055
1925-01-31,2.254
1925-02-28,2.718
1925-03-31,2.176
1925-04-30,2.512
1925-05-31,2.544
1925-06-30,2.652
1925-07-31,1.162
1925-08-31,1.11
1925-09-30,3.031
1925-10-31,2.75
1925-11-30,2.477
1925-12-31,2.441
1926-01-31,2.784
1926-02-28,2.879
1926-03-31,2.314
1926-04-30,2.257
1926-05-31,1.483
1926-06-30,1.395
1926-07-31,0
1926-08-31,0.353
1926-09-30,3.616
1926-10-31,2.786
1926-11-30,2.997
1926-12-31,2.65
1927-01-31,3.215
1927-02-28,3.927
1927-03-31,3.15
1927-04-30,3.272
1927-05-31,2.64
1927-06-30,2.809
1927-07-31,0.552
1927-08-31,1.637
1927-09-30,3.444
1927-10-31,3.496
1927-11-30,3.311
1927-12-31,3.435
1928-01-31,3.483
1928-02-29,3.065
1928-03-31,3.597
1928-04-30,2.653
1928-05-31,2.624
1928-06-30,1.93
1928-07-31,0.278
1928-08-31,1.739
1928-09-30,3.596
1928-10-31,3.574
1928-11-30,3.327
1928-12-31,3.474
1929-01-31,3.363
1929-02-28,3.064
1929-03-31,2.837
1929-04-30,1.49
1929-05-31,0.713
1929-06-30,0.733
1929-07-31,0.078
1929-08-31,0.174
1929-09-30,3.454
1929-10-31,2.775
1929-11-30,2.115
1929-12-31,2.268
1930-01-31,2.472
1930-02-28,2.277
1930-03-31,2.305
1930-04-30,1.064
1930-05-31,0.813
1930-06-30,1.24
1930-07-31,1.942
1930-08-31,1.533
1930-09-30,1.83
1930-10-31,2.407
1930-11-30,2.093
1930-12-31,1.986
1931-01-31,2.397
1931-02-28,2.102
1931-03-31,1.981
1931-04-30,0.281
1931-05-31,0.545
1931-06-30,0.718
1931-07-31,0.32
1931-08-31,0.763
1931-09-30,1.197
1931-10-31,1.335
1931-11-30,1.229
1931-12-31,2.109
1932-01-31,2.235
1932-02-29,2.97
1932-03-31,2.307
1932-04-30,2.056
1932-05-31,2.062
1932-06-30,1.8
1932-07-31,1.592
1932-08-31,0.909
1932-09-30,2.228
1932-10-31,2.296
1932-11-30,2.057
1932-12-31,2.212
1933-01-31,3.001
1933-02-28,2.353
1933-03-31,2.509
1933-04-30,1.774
1933-05-31,1.409
1933-06-30,0.94
1933-07-31,0.863
1933-08-31,1.719
1933-09-30,1.917
1933-10-31,2.571
1933-11-30,1.974
1933-12-31,2.733
1934-01-31,2.17
1934-02-28,2.771
1934-03-31,2.194
1934-04-30,0.658
1934-05-31,0.457
1934-06-30,0.379
1934-07-31,1.114
1934-08-31,1.151
1934-09-30,1.363
1934-10-31,1.523
1934-11-30,1.759
1934-12-31,1.792
1935-01-31,3.056
1935-02-28,2.642
1935-03-31,3.323
1935-04-30,3.623
1935-05-31,3.141
1935-06-30,2.824
1935-07-31,2.147
1935-08-31,1.017
1935-09-30,2.777
1935-10-31,2.898
1935-11-30,2.603
1935-12-31,2.748
1936-01-31,3.344
1936-02-29,4.939
1936-03-31,5.016
1936-04-30,4.183
1936-05-31,3.413
1936-06-30,3.495
1936-07-31,1.375
1936-08-31,1.417
1936-09-30,3.782
1936-10-31,3.341
1936-11-30,2.829
1936-12-31,3.298
1937-01-31,3.823
1937-02-28,4.538
1937-03-31,7.074
1937-04-30,5.058
1937-05-31,4.254
1937-06-30,4.261
1937-07-31,1.923
1937-08-31,2.283
1937-09-30,3.772
1937-10-31,3.453
1937-11-30,3.201
1937-12-31,3.703
1938-01-31,4.517
1938-02-28,6.183
1938-03-31,2.077
1938-04-30,6.437
1938-05-31,5.558
1938-06-30,5.338
1938-07-31,2.8
1938-08-31,2.788
1938-09-30,2.911
1938-10-31,3.997
1938-11-30,3.243
1938-12-31,4.476
1939-01-31,3.282
1939-02-28,3.601
1939-03-31,5.081
1939-04-30,3.381
1939-05-31,1.231
1939-06-30,1.934
1939-07-31,1.135
1939-08-31,1.21
1939-09-30,4.87
1939-10-31,3.638
1939-11-30,2.975
1939-12-31,2.826
1940-01-31,4.715
1940-02-29,5.578
1940-03-31,6.025
1940-04-30,5.186
1940-05-31,1.616
1940-06-30,5.294
1940-07-31,1.706
1940-08-31,1.955
1940-09-30,4.524
1940-10-31,3.752
1940-11-30,3.188
1940-12-31,4.53
1941-01-31,5.548
1941-02-28,5.246
1941-03-31,4.756
1941-04-30,8.681
1941-05-31,5.86
1941-06-30,5.45
1941-07-31,2.553
1941-08-31,3.129
1941-09-30,1.983
1941-10-31,3.404
1941-11-30,3.03
1941-12-31,3.67
1942-01-31,3.014
1942-02-28,4.025
1942-03-31,3.955
1942-04-30,7.534
1942-05-31,3.9
1942-06-30,6.895
1942-07-31,3.84
1942-08-31,1.525
1942-09-30,2.647
1942-10-31,3.697
1942-11-30,3.076
1942-12-31,4.141
1943-01-31,0.841
1943-02-28,3.818
1943-03-31,2.932
1943-04-30,9.69
1943-05-31,6.084
1943-06-30,5.042
1943-07-31,1.664
1943-08-31,2.399
1943-09-30,3.868
1943-10-31,2.978
1943-11-30,2.834
1943-12-31,4.617
1944-01-31,3.923
1944-02-29,4.093
1944-03-31,5.879
1944-04-30,4.322
1944-05-31,2.806
1944-06-30,2.352
1944-07-31,2.123
1944-08-31,2.139
1944-09-30,5.257
1944-10-31,4.394
1944-11-30,4.477
1944-12-31,4.429
1945-01-31,4.67
1945-02-28,4.742
1945-03-31,5.018
1945-04-30,4.392
1945-05-31,2.076
1945-06-30,4.808
1945-07-31,0.909
1945-08-31,2.063
1945-09-30,5.172
1945-10-31,4.476
1945-11-30,4.11
1945-12-31,4.982
1946-01-31,3.823
1946-02-28,1.887
1946-03-31,4.857
1946-04-30,2.848
1946-05-31,1.828
1946-06-30,6.052
1946-07-31,1.212
1946-08-31,2.243
1946-09-30,5.038
1946-10-31,4.075
1946-11-30,3.6
1946-12-31,3.655
1947-01-31,3.787
1947-02-28,3.256
1947-03-31,3.149
1947-04-30,1.491
1947-05-31,0.301
1947-06-30,1.47
1947-07-31,0.76
1947-08-31,1.156
1947-09-30,4.46
1947-10-31,3.668
1947-11-30,3.221
1947-12-31,3.074
1948-01-31,3.202
1948-02-29,2.806
