date,kaf
1921-10-31,4.3
1921-11-30,4.58
1921-12-31,43.099998
1922-01-31,42.82
1922-02-28,161.660004
1922-03-31,131.779999
1922-04-30,143.850006
1922-05-31,235.020004
1922-06-30,156.929993
1922-07-31,31.059999
1922-08-31,6.72
1922-09-30,4.39
1922-10-31,6.1
1922-11-30,18.110001
1922-12-31,80.43
1923-01-31,78.690002
1923-02-28,48.720001
1923-03-31,55.599998
1923-04-30,134.240005
1923-05-31,130.5
1923-06-30,54.73
1923-07-31,18.74
1923-08-31,8.34
1923-09-30,6.87
1923-10-31,2.71
1923-11-30,6.12
1923-12-31,5.26
1924-01-31,11.94
1924-02-29,14.22
1924-03-31,12.36
1924-04-30,35.349998
1924-05-31,27.59
1924-06-30,0
1924-07-31,4.91
1924-08-31,0
1924-09-30,0
1924-10-31,1.96
1924-11-30,12.41
1924-12-31,15.55
1925-01-31,19.66
1925-02-28,142.589996
1925-03-31,77.139999
1925-04-30,159.830002
1925-05-31,108.639999
1925-06-30,32.98
1925-07-31,11.76
1925-08-31,0
1925-09-30,0
1925-10-31,0
1925-11-30,1.71
1925-12-31,6.26
1926-01-31,6.35
1926-02-28,66.980003
1926-03-31,41.939999
1926-04-30,103.800003
1926-05-31,48.98
1926-06-30,12.83
1926-07-31,1.81
1926-08-31,0
1926-09-30,0
1926-10-31,1.68
1926-11-30,31.58
1926-12-31,22.52
1927-01-31,32.5
1927-02-28,144.520004
1927-03-31,83.220001
1927-04-30,190
1927-05-31,99.290001
1927-06-30,24.780001
1927-07-31,16.190001
1927-08-31,4.49
1927-09-30,6.72
1927-10-31,0.54
1927-11-30,22.51
1927-12-31,21.610001
1928-01-31,22.66
1928-02-29,51.610001
1928-03-31,184.919998
1928-04-30,124.269997
1928-05-31,70.970001
1928-06-30,23.25
1928-07-31,4.52
1928-08-31,0.2
1928-09-30,0
1928-10-31,0
1928-11-30,1.29
1928-12-31,6.61
1929-01-31,9.26
1929-02-28,23.65
1929-03-31,35.900002
1929-04-30,55.599998
1929-05-31,73.419998
1929-06-30,33.290001
1929-07-31,5.64
1929-08-31,0
1929-09-30,0
1929-10-31,0
1929-11-30,0
1929-12-31,3.53
1930-01-31,17.129999
1930-02-28,29.360001
1930-03-31,72.07
1930-04-30,73.419998
1930-05-31,57
1930-06-30,29.83
1930-07-31,8.74
1930-08-31,0.01
1930-09-30,0
1930-10-31,1.22
1930-11-30,6.87
1930-12-31,2.21
1931-01-31,11.29
1931-02-28,20.68
1931-03-31,18.77
1931-04-30,24.530001
1931-05-31,25.620001
1931-06-30,2.71
1931-07-31,0
1931-08-31,0
1931-09-30,0
1931-10-31,0.08
1931-11-30,2.54
1931-12-31,75.160004
1932-01-31,47.669998
1932-02-29,174.5
1932-03-31,84.089996
1932-04-30,98.550003
1932-05-31,148.350006
1932-06-30,62.259998
1932-07-31,30.74
1932-08-31,14.87
1932-09-30,5.64
1932-10-31,1.92
1932-11-30,0
1932-12-31,6.36
1933-01-31,17.1
1933-02-28,17.780001
1933-03-31,40.080002
1933-04-30,48.439999
1933-05-31,61.119999
1933-06-30,56.740002
1933-07-31,19
1933-08-31,6.97
1933-09-30,0
1933-10-31,0
1933-11-30,3.46
1933-12-31,17.35
1934-01-31,35.209999
1934-02-28,50.279999
1934-03-31,47.75
1934-04-30,35.889999
1934-05-31,18.24
1934-06-30,9.69
1934-07-31,0
1934-08-31,0.05
1934-09-30,0
1934-10-31,2.48
1934-11-30,11.12
1934-12-31,18.450001
1935-01-31,64.099998
1935-02-28,51.57
1935-03-31,77.389999
1935-04-30,259.98999
1935-05-31,148.899994
1935-06-30,48.080002
1935-07-31,17.49
1935-08-31,5.63
1935-09-30,0
1935-10-31,3.79
1935-11-30,9.09
1935-12-31,9.65
1936-01-31,65.190002
1936-02-29,281.380005
