date,kaf
1921-10-31,735.0487763
1921-11-30,772.6255825
1921-12-31,854.4886273
1922-01-31,896.6546315
1922-02-28,1053.577167
1922-03-31,1187.716368
1922-04-30,1353.196681
1922-05-31,1731.162209
1922-06-30,1875.73896
1922-07-31,1780.239522
1922-08-31,1688.505777
1922-09-30,1604.192928
1922-10-31,1539.0783
1922-11-30,1533.961112
1922-12-31,1596.455814
1923-01-31,1658.058308
1923-02-28,1689.999
1923-03-31,1689.999
1923-04-30,1712.999
1923-05-31,2002.0
1923-06-30,2030.0
1923-07-31,2006.772144
1923-08-31,1870.441489
1923-09-30,1755.254016
1923-10-31,1689.999
1923-11-30,1690.0
1923-12-31,1690.0
1924-01-31,1690.0
1924-02-29,1689.999
1924-03-31,1689.999
1924-04-30,1712.999
1924-05-31,1752.369714
1924-06-30,1722.623541
1924-07-31,1665.143722
1924-08-31,1587.066156
1924-09-30,1544.812788
1924-10-31,1532.08224
1924-11-30,1537.202138
1924-12-31,1544.14655
1925-01-31,1555.858308
1925-02-28,1689.999
1925-03-31,1689.999
1925-04-30,1689.999
1925-05-31,1780.0
1925-06-30,1935.0
1925-07-31,1902.876693
1925-08-31,1807.548017
1925-09-30,1711.556861
1925-10-31,1651.276958
1925-11-30,1639.839741
1925-12-31,1635.928463
1926-01-31,1632.856308
1926-02-28,1689.999
1926-03-31,1689.999
1926-04-30,1712.999
1926-05-31,1856.930184
1926-06-30,1773.834212
1926-07-31,1677.685114
1926-08-31,1597.248521
1926-09-30,1552.564143
1926-10-31,1498.122735
1926-11-30,1516.028651
1926-12-31,1529.378131
1927-01-31,1553.928308
1927-02-28,1689.999
1927-03-31,1689.999
1927-04-30,1712.999
1927-05-31,1870.0
1927-06-30,1968.36801
1927-07-31,1890.051647
1927-08-31,1796.77616
1927-09-30,1744.275382
1927-10-31,1678.739629
1927-11-30,1680.580675
1927-12-31,1684.401335
1928-01-31,1690.0
1928-02-29,1689.999
1928-03-31,1689.999
1928-04-30,1712.999
1928-05-31,1960.0
1928-06-30,2011.46262
1928-07-31,1959.048108
1928-08-31,1825.557935
1928-09-30,1746.786178
1928-10-31,1689.999
1928-11-30,1680.635977
1928-12-31,1676.898734
1929-01-31,1676.464308
1929-02-28,1689.999
1929-03-31,1689.999
1929-04-30,1712.999
1929-05-31,1949.799165
1929-06-30,1967.112042
1929-07-31,1904.757394
1929-08-31,1808.088565
1929-09-30,1731.018238
1929-10-31,1675.936679
1929-11-30,1664.975807
1929-12-31,1659.813777
1930-01-31,1669.088308
1930-02-28,1689.999
1930-03-31,1689.999
1930-04-30,1712.999
1930-05-31,1990.0
1930-06-30,1988.285907
1930-07-31,1957.230158
1930-08-31,1825.935599
1930-09-30,1739.925002
1930-10-31,1686.531517
1930-11-30,1683.549055
1930-12-31,1677.189904
1931-01-31,1680.633895
1931-02-28,1689.999
1931-03-31,1689.999
1931-04-30,1712.999
1931-05-31,1696.557842
1931-06-30,1670.195002
1931-07-31,1544.271246
1931-08-31,1465.997941
1931-09-30,1426.124303
1931-10-31,1424.935868
1931-11-30,1417.722231
1931-12-31,1484.252694
1932-01-31,1523.948308
1932-02-29,1689.999
1932-03-31,1689.999
1932-04-30,1712.999
1932-05-31,1980.0
1932-06-30,2030.0
1932-07-31,1987.584153
1932-08-31,1857.524368
1932-09-30,1755.914831
1932-10-31,1689.999
1932-11-30,1690.0
1932-12-31,1688.960464
1933-01-31,1688.998308
1933-02-28,1689.999
1933-03-31,1689.999
1933-04-30,1712.999
1933-05-31,1984.08156
1933-06-30,1958.078749
1933-07-31,1885.28355
1933-08-31,1770.424857
1933-09-30,1673.018512
1933-10-31,1618.457379
1933-11-30,1612.055844
1933-12-31,1620.830918
1934-01-31,1648.168308
1934-02-28,1689.999
1934-03-31,1689.999
1934-04-30,1712.999
1934-05-31,1792.933473
1934-06-30,1722.500539
1934-07-31,1627.242755
1934-08-31,1548.910439
1934-09-30,1503.975207
1934-10-31,1506.087274
1934-11-30,1546.808517
1934-12-31,1572.616799
1935-01-31,1646.878308
1935-02-28,1689.999
1935-03-31,1689.999
1935-04-30,1712.999
1935-05-31,1895.0
1935-06-30,1949.462287
1935-07-31,1844.779007
1935-08-31,1706.160829
1935-09-30,1599.757536
1935-10-31,1539.236786
1935-11-30,1529.832986
1935-12-31,1521.584559
1936-01-31,1569.614589
1936-02-29,1689.999
1936-03-31,1689.999
1936-04-30,1712.999
1936-05-31,1960.0
1936-06-30,2030.0
1936-07-31,1962.965355
1936-08-31,1856.541586
1936-09-30,1756.559751
1936-10-31,1689.999
1936-11-30,1690.0
1936-12-31,1689.331335
1937-01-31,1690.0
1937-02-28,1689.999
1937-03-31,1689.999
1937-04-30,1712.999
1937-05-31,1990.0
1937-06-30,1956.145806
1937-07-31,1783.093968
1937-08-31,1690.318133
1937-09-30,1618.237135
1937-10-31,1559.007554
1937-11-30,1549.54832
1937-12-31,1644.721335
1938-01-31,1690.0
1938-02-28,1689.999
1938-03-31,1689.999
1938-04-30,1689.999
1938-05-31,1730.0
1938-06-30,2025.0
1938-07-31,2030.0
1938-08-31,1933.598034
1938-09-30,1742.259148
1938-10-31,1673.509636
1938-11-30,1669.886849
1938-12-31,1667.24418
1939-01-31,1672.258308
1939-02-28,1689.999
1939-03-31,1689.999
1939-04-30,1712.999
1939-05-31,1763.415557
1939-06-30,1696.606338
1939-07-31,1578.121785
1939-08-31,1494.573718
1939-09-30,1434.0035
1939-10-31,1392.709512
1939-11-30,1390.152424
1939-12-31,1391.138348
1940-01-31,1517.048308
1940-02-29,1689.999
1940-03-31,1689.999
1940-04-30,1712.999
1940-05-31,1990.0
1940-06-30,1952.818389
1940-07-31,1861.591534
1940-08-31,1757.705849
1940-09-30,1652.400852
1940-10-31,1593.639817
1940-11-30,1582.523001
1940-12-31,1636.111335
1941-01-31,1690.0
1941-02-28,1689.999
1941-03-31,1689.999
1941-04-30,1689.999
1941-05-31,1830.0
1941-06-30,1972.720508
1941-07-31,1792.625081
1941-08-31,1697.749564
1941-09-30,1652.612874
1941-10-31,1592.358531
1941-11-30,1579.666608
1941-12-31,1615.751335
1942-01-31,1690.0
1942-02-28,1689.999
1942-03-31,1689.999
1942-04-30,1712.999
1942-05-31,1765.0
1942-06-30,2027.0
1942-07-31,1858.596877
1942-08-31,1764.824899
1942-09-30,1719.597345
1942-10-31,1659.034733
1942-11-30,1666.276857
1942-12-31,1687.788243
1943-01-31,1690.0
1943-02-28,1689.999
1943-03-31,1689.999
1943-04-30,1712.999
1943-05-31,1970.0
1943-06-30,2030.0
1943-07-31,2014.970765
1943-08-31,1862.862966
1943-09-30,1734.47965
1943-10-31,1674.816626
1943-11-30,1663.180373
1943-12-31,1654.726789
1944-01-31,1656.868308
1944-02-29,1689.999
1944-03-31,1689.999
1944-04-30,1712.999
1944-05-31,1950.135061
1944-06-30,1903.609864
1944-07-31,1694.473237
1944-08-31,1580.287277
1944-09-30,1525.998792
1944-10-31,1474.940538
1944-11-30,1500.372032
1944-12-31,1523.95523
1945-01-31,1539.556632
1945-02-28,1689.999
1945-03-31,1689.999
1945-04-30,1712.999
1945-05-31,1975.0
1945-06-30,1891.129977
1945-07-31,1723.930019
1945-08-31,1626.096638
1945-09-30,1561.135499
1945-10-31,1508.383185
1945-11-30,1514.589672
1945-12-31,1621.96737
1946-01-31,1673.302354
1946-02-28,1689.999
1946-03-31,1689.999
1946-04-30,1712.999
1946-05-31,1975.0
1946-06-30,2030.0
1946-07-31,1945.136175
1946-08-31,1810.015577
1946-09-30,1704.721992
1946-10-31,1645.380025
1946-11-30,1651.351693
1946-12-31,1665.75844
1947-01-31,1667.058308
1947-02-28,1689.999
1947-03-31,1689.999
1947-04-30,1712.999
1947-05-31,2002.0
1947-06-30,1992.812855
1947-07-31,1910.432529
1947-08-31,1822.343324
1947-09-30,1738.439172
1947-10-31,1689.999
1947-11-30,1690.0
1947-12-31,1688.758335
1948-01-31,1690.0
1948-02-29,1689.999
1948-03-31,1689.999
1948-04-30,1712.999
1948-05-31,1950.0
1948-06-30,2011.261939
1948-07-31,1936.057365
1948-08-31,1840.337609
1948-09-30,1742.426906
1948-10-31,1689.999
1948-11-30,1683.945795
1948-12-31,1680.786251
1949-01-31,1679.494308
1949-02-28,1689.999
1949-03-31,1689.999
1949-04-30,1712.999
1949-05-31,2002.0
1949-06-30,1905.833186
1949-07-31,1661.596154
1949-08-31,1581.676637
1949-09-30,1537.073706
1949-10-31,1536.155475
1949-11-30,1578.929972
1949-12-31,1576.380962
1950-01-31,1624.63925
1950-02-28,1689.999
1950-03-31,1689.999
1950-04-30,1712.999
1950-05-31,1884.462743
1950-06-30,1840.868174
1950-07-31,1649.499745
1950-08-31,1551.156942
1950-09-30,1508.434566
1950-10-31,1464.064506
1950-11-30,1638.563708
1950-12-31,1690.0
1951-01-31,1690.0
1951-02-28,1689.999
1951-03-31,1689.999
1951-04-30,1712.999
1951-05-31,1832.59981
1951-06-30,1738.88936
1951-07-31,1605.829933
1951-08-31,1508.747463
1951-09-30,1413.135744
1951-10-31,1364.857096
1951-11-30,1365.029252
1951-12-31,1429.736632
1952-01-31,1598.476308
1952-02-29,1689.999
1952-03-31,1689.999
1952-04-30,1689.999
1952-05-31,1895.0
1952-06-30,2030.0
1952-07-31,1874.736688
1952-08-31,1758.894061
1952-09-30,1674.074236
1952-10-31,1613.633206
1952-11-30,1600.437703
1952-12-31,1613.132222
1953-01-31,1674.648308
1953-02-28,1689.999
1953-03-31,1689.999
1953-04-30,1712.999
1953-05-31,1990.0
1953-06-30,1997.551955
1953-07-31,1845.976639
1953-08-31,1761.726769
1953-09-30,1679.584217
1953-10-31,1630.09029
1953-11-30,1628.451149
1953-12-31,1629.97773
1954-01-31,1645.956308
1954-02-28,1689.999
1954-03-31,1689.999
1954-04-30,1712.999
1954-05-31,2002.0
1954-06-30,1943.506583
1954-07-31,1837.2198
1954-08-31,1749.690875
1954-09-30,1685.623054
1954-10-31,1631.271167
1954-11-30,1626.956852
1954-12-31,1637.357894
1955-01-31,1670.166308
1955-02-28,1689.999
1955-03-31,1689.999
1955-04-30,1712.999
1955-05-31,1702.057365
1955-06-30,1613.661657
1955-07-31,1397.877566
1955-08-31,1247.38425
1955-09-30,1204.503205
1955-10-31,1196.063318
1955-11-30,1191.015976
1955-12-31,1541.390659
1956-01-31,1690.0
1956-02-29,1689.999
1956-03-31,1689.999
1956-04-30,1712.999
1956-05-31,1915.0
1956-06-30,2030.0
1956-07-31,1936.632113
1956-08-31,1825.369952
1956-09-30,1730.879461
1956-10-31,1674.956472
1956-11-30,1659.068737
1956-12-31,1648.982066
1957-01-31,1650.428308
1957-02-28,1689.999
1957-03-31,1689.999
1957-04-30,1712.999
1957-05-31,1975.0
1957-06-30,1898.164902
1957-07-31,1796.508364
1957-08-31,1702.132589
1957-09-30,1609.353268
1957-10-31,1562.5525
1957-11-30,1555.043678
1957-12-31,1561.438004
1958-01-31,1584.596308
1958-02-28,1689.999
1958-03-31,1689.999
1958-04-30,1689.999
1958-05-31,1910.0
1958-06-30,2030.0
1958-07-31,1928.188239
1958-08-31,1798.501099
1958-09-30,1710.340346
1958-10-31,1649.634064
1958-11-30,1633.165279
1958-12-31,1615.933913
1959-01-31,1635.968308
1959-02-28,1689.999
1959-03-31,1689.999
1959-04-30,1712.999
1959-05-31,1911.081326
1959-06-30,1892.836979
1959-07-31,1847.608265
1959-08-31,1751.587202
1959-09-30,1679.603566
1959-10-31,1627.122023
1959-11-30,1621.598352
1959-12-31,1620.758615
1960-01-31,1626.568308
1960-02-29,1689.999
1960-03-31,1689.999
1960-04-30,1712.999
1960-05-31,2002.0
1960-06-30,1984.862795
1960-07-31,1943.961488
1960-08-31,1811.529113
1960-09-30,1735.918605
1960-10-31,1685.378592
1960-11-30,1678.642746
1960-12-31,1683.28279
1961-01-31,1682.498308
1961-02-28,1689.999
1961-03-31,1689.999
1961-04-30,1712.999
1961-05-31,1812.337132
1961-06-30,1741.382173
1961-07-31,1664.023473
1961-08-31,1587.504844
1961-09-30,1543.754558
1961-10-31,1541.802435
1961-11-30,1539.875461
1961-12-31,1538.432215
1962-01-31,1536.738308
1962-02-28,1689.999
1962-03-31,1689.999
1962-04-30,1712.999
1962-05-31,1864.282654
1962-06-30,1814.283768
1962-07-31,1747.545049
1962-08-31,1653.212692
1962-09-30,1560.352131
1962-10-31,1512.247929
1962-11-30,1504.739242
1962-12-31,1511.503395
1963-01-31,1553.606308
1963-02-28,1689.999
1963-03-31,1689.999
1963-04-30,1712.999
1963-05-31,1980.0
1963-06-30,2010.170114
1963-07-31,1897.687783
1963-08-31,1804.419244
1963-09-30,1715.240805
1963-10-31,1659.08924
1963-11-30,1670.842401
1963-12-31,1670.684562
1964-01-31,1683.668039
1964-02-29,1689.999
1964-03-31,1689.999
1964-04-30,1712.999
1964-05-31,1714.965062
1964-06-30,1625.116893
1964-07-31,1367.874653
1964-08-31,1291.230477
1964-09-30,1254.787051
1964-10-31,1261.002599
1964-11-30,1285.670409
1964-12-31,1503.538335
1965-01-31,1690.0
1965-02-28,1689.999
1965-03-31,1689.999
1965-04-30,1712.999
1965-05-31,1900.0
1965-06-30,1983.760575
1965-07-31,1844.197172
1965-08-31,1725.180407
1965-09-30,1635.474141
1965-10-31,1574.107605
1965-11-30,1619.078703
1965-12-31,1656.711335
1966-01-31,1690.0
1966-02-28,1689.999
1966-03-31,1689.999
1966-04-30,1712.999
1966-05-31,1895.263501
1966-06-30,1788.726541
1966-07-31,1651.914079
1966-08-31,1564.297704
1966-09-30,1504.332054
1966-10-31,1452.027026
1966-11-30,1462.234497
1966-12-31,1558.843055
1967-01-31,1634.574308
1967-02-28,1689.999
1967-03-31,1689.999
1967-04-30,1689.999
1967-05-31,1880.0
1967-06-30,2030.0
1967-07-31,1866.803269
1967-08-31,1784.504736
1967-09-30,1708.869635
1967-10-31,1661.055836
1967-11-30,1647.789575
1967-12-31,1643.15341
1968-01-31,1648.788308
1968-02-29,1689.999
1968-03-31,1689.999
1968-04-30,1712.999
1968-05-31,1701.420688
1968-06-30,1595.584299
1968-07-31,1461.557706
1968-08-31,1377.721488
1968-09-30,1291.173229
1968-10-31,1237.013476
1968-11-30,1240.7671
1968-12-31,1274.788335
1969-01-31,1690.0
1969-02-28,1689.999
1969-03-31,1689.999
1969-04-30,1689.999
1969-05-31,1930.0
1969-06-30,2030.0
1969-07-31,1856.036318
1969-08-31,1674.839329
1969-09-30,1642.042281
1969-10-31,1654.610524
1969-11-30,1665.998484
1969-12-31,1690.0
1970-01-31,1686.592453
1970-02-28,1689.999
1970-03-31,1689.999
1970-04-30,1712.999
1970-05-31,1989.382365
1970-06-30,1918.758405
1970-07-31,1807.9763
1970-08-31,1684.923099
1970-09-30,1594.256464
1970-10-31,1544.100703
1970-11-30,1565.176073
1970-12-31,1616.868936
1971-01-31,1661.571308
1971-02-28,1689.999
1971-03-31,1689.999
1971-04-30,1712.999
1971-05-31,2002.0
1971-06-30,1973.38009
1971-07-31,1787.001447
1971-08-31,1709.865077
1971-09-30,1633.768667
1971-10-31,1589.696507
1971-11-30,1594.937338
1971-12-31,1628.472009
1972-01-31,1654.159308
1972-02-29,1689.999
1972-03-31,1689.999
1972-04-30,1712.999
1972-05-31,1765.333267
1972-06-30,1670.653114
1972-07-31,1514.883644
1972-08-31,1449.827284
1972-09-30,1415.824582
1972-10-31,1424.232017
1972-11-30,1439.143707
1972-12-31,1466.460317
1973-01-31,1551.260308
1973-02-28,1689.999
1973-03-31,1689.999
1973-04-30,1712.999
1973-05-31,1980.0
1973-06-30,1924.809874
1973-07-31,1817.03939
1973-08-31,1707.658005
1973-09-30,1668.028661
1973-10-31,1617.305267
1973-11-30,1636.075605
1973-12-31,1690.0
