date,kaf
1921-10-31,296.016
1921-11-30,1.482
1921-12-31,5.51
1922-01-31,2.901
1922-02-28,25.76
1922-03-31,28.54
1922-04-30,59.434
1922-05-31,292.362
1922-06-30,150.511
1922-07-31,28.54
1922-08-31,28.54
1922-09-30,27.62
1922-10-31,28.54
1922-11-30,27.62
1922-12-31,28.54
1923-01-31,28.54
1923-02-28,25.76
1923-03-31,28.54
1923-04-30,27.62
1923-05-31,186.896
1923-06-30,145.289
1923-07-31,100.1
1923-08-31,25.289
1923-09-30,18.39
1923-10-31,19.343
1923-11-30,27.62
1923-12-31,28.54
1924-01-31,28.54
1924-02-29,25.584
1924-03-31,28.54
1924-04-30,27.62
1924-05-31,29.716
1924-06-30,27.62
1924-07-31,28.54
1924-08-31,28.54
1924-09-30,27.62
1924-10-31,28.54
1924-11-30,27.62
1924-12-31,28.54
1925-01-31,28.54
1925-02-28,25.76
1925-03-31,28.54
1925-04-30,27.62
1925-05-31,263.864
1925-06-30,234.101
1925-07-31,50.632
1925-08-31,28.54
1925-09-30,27.62
1925-10-31,28.54
1925-11-30,27.62
1925-12-31,28.54
1926-01-31,28.54
1926-02-28,25.76
1926-03-31,28.54
1926-04-30,58.453
1926-05-31,209.11
1926-06-30,27.62
1926-07-31,28.54
1926-08-31,28.54
1926-09-30,27.62
1926-10-31,28.54
1926-11-30,27.62
1926-12-31,28.54
1927-01-31,28.54
1927-02-28,25.76
1927-03-31,28.54
1927-04-30,27.62
1927-05-31,344.511
1927-06-30,229.711
1927-07-31,28.54
1927-08-31,19.01
1927-09-30,18.39
1927-10-31,19.01
1927-11-30,25.146
1927-12-31,28.54
1928-01-31,20.199
1928-02-29,18.244
1928-03-31,19.01
1928-04-30,76.692
1928-05-31,266.226
1928-06-30,99.51
1928-07-31,19.801
1928-08-31,28.54
1928-09-30,27.62
1928-10-31,28.54
1928-11-30,27.62
1928-12-31,28.54
1929-01-31,28.54
1929-02-28,25.76
1929-03-31,28.54
1929-04-30,27.62
1929-05-31,155.216
1929-06-30,27.62
1929-07-31,28.54
1929-08-31,28.54
1929-09-30,27.62
1929-10-31,28.54
1929-11-30,27.62
1929-12-31,28.54
1930-01-31,28.54
1930-02-28,25.76
1930-03-31,21.631
1930-04-30,27.62
1930-05-31,227.264
1930-06-30,27.62
1930-07-31,28.54
1930-08-31,28.54
1930-09-30,27.62
1930-10-31,28.54
1930-11-30,27.62
1930-12-31,28.54
1931-01-31,28.54
1931-02-28,25.76
1931-03-31,28.54
1931-04-30,27.62
1931-05-31,28.54
1931-06-30,27.62
1931-07-31,28.54
1931-08-31,28.54
1931-09-30,27.62
1931-10-31,28.54
1931-11-30,27.62
1931-12-31,28.54
1932-01-31,28.54
1932-02-29,25.76
1932-03-31,28.54
1932-04-30,99.594
