date,kaf
1921-09-30,216.6
1921-10-31,127.11
1921-11-30,76.382
1921-12-31,30.1
1922-01-31,30.1
1922-02-28,30.1
1922-03-31,30.1
1922-04-30,30.1
1922-05-31,151.967
1922-06-30,300.774
1922-07-31,295.515
1922-08-31,251.6
1922-09-30,236.822
1922-10-31,238.025
1922-11-30,245.88
1922-12-31,271.001
1923-01-31,287.328
1923-02-28,301.3
1923-03-31,297.407
1923-04-30,301.3
1923-05-31,265.967
1923-06-30,301.295
1923-07-31,300.39
1923-08-31,298.589
1923-09-30,293.365
1923-10-31,301.3
1923-11-30,293.165
1923-12-31,284.803
1924-01-31,287.061
1924-02-29,301.3
1924-03-31,275.527
1924-04-30,275.951
1924-05-31,274.668
1924-06-30,224.034
1924-07-31,170.128
1924-08-31,116.862
1924-09-30,65.775
1924-10-31,30.1
1924-11-30,30.1
1924-12-31,48.127
1925-01-31,59.194
1925-02-28,103.185
1925-03-31,145.926
1925-04-30,178.596
1925-05-31,265.967
1925-06-30,300.629
1925-07-31,265.696
1925-08-31,224.311
1925-09-30,213.383
1925-10-31,219.357
1925-11-30,225.203
1925-12-31,238.322
1926-01-31,244.599
1926-02-28,260.575
1926-03-31,251.7
1926-04-30,301.3
1926-05-31,301.143
1926-06-30,263.83
1926-07-31,211.285
1926-08-31,158.031
1926-09-30,106.698
1926-10-31,97.832
1926-11-30,122.715
1926-12-31,140.786
1927-01-31,155.963
1927-02-28,195.945
1927-03-31,230.993
1927-04-30,255.484
1927-05-31,222.967
1927-06-30,300.834
1927-07-31,276.763
1927-08-31,224.558
1927-09-30,170.746
1927-10-31,169.566
1927-11-30,201.935
1927-12-31,211.05
1928-01-31,215.953
1928-02-29,223.417
1928-03-31,301.3
1928-04-30,301.3
1928-05-31,301.187
1928-06-30,300.766
1928-07-31,280.355
1928-08-31,277.968
1928-09-30,276.177
1928-10-31,275.223
1928-11-30,277.158
1928-12-31,283.325
1929-01-31,288.652
1929-02-28,297.625
1929-03-31,301.3
1929-04-30,293.884
1929-05-31,295.967
1929-06-30,300.868
1929-07-31,259.56
1929-08-31,220.824
1929-09-30,219.427
1929-10-31,218.56
1929-11-30,218.404
1929-12-31,231.508
1930-01-31,242.783
1930-02-28,264.759
1930-03-31,279.484
1930-04-30,301.3
1930-05-31,285.967
1930-06-30,300.911
1930-07-31,269.669
1930-08-31,269.51
1930-09-30,267.986
1930-10-31,269.058
1930-11-30,275.849
1930-12-31,280.001
1931-01-31,288.328
1931-02-28,301.3
1931-03-31,295.85
1931-04-30,298.71
1931-05-31,299.989
1931-06-30,259.219
1931-07-31,205.605
1931-08-31,151.914
1931-09-30,100.628
1931-10-31,48.166
1931-11-30,34.668
1931-12-31,44.693
1932-01-31,58.76
1932-02-29,90.751
1932-03-31,102.559
1932-04-30,121.514
1932-05-31,211.967
1932-06-30,300.646
1932-07-31,300.329
1932-08-31,299.693
1932-09-30,298.636
1932-10-31,297.513
1932-11-30,278.218
1932-12-31,269.208
1933-01-31,273.518
1933-02-28,279.493
1933-03-31,285.097
1933-04-30,292.426
1933-05-31,252.967
1933-06-30,300.919
1933-07-31,264.326
1933-08-31,250.944
1933-09-30,250.229
1933-10-31,249.06
1933-11-30,249.86
1933-12-31,266.007
1934-01-31,282.328
1934-02-28,301.3
1934-03-31,300.294
1934-04-30,301.3
1934-05-31,287.974
1934-06-30,257.228
1934-07-31,204.471
1934-08-31,151.603
1934-09-30,100.27
1934-10-31,51.781
1934-11-30,30.1
1934-12-31,30.1
1935-01-31,30.1
1935-02-28,40.601
1935-03-31,56.613
1935-04-30,116.409
1935-05-31,209.967
1935-06-30,300.527
1935-07-31,300.364
1935-08-31,289.223
1935-09-30,278.203
1935-10-31,270.79
1935-11-30,266.405
1935-12-31,263.155
1936-01-31,275.938
1936-02-29,301.3
1936-03-31,246.121
1936-04-30,301.3
1936-05-31,248.967
1936-06-30,300.774
1936-07-31,266.704
1936-08-31,221.836
1936-09-30,212.725
1936-10-31,212.781
1936-11-30,198.961
1936-12-31,202.902
1937-01-31,209.139
1937-02-28,250.116
1937-03-31,225.459
1937-04-30,160.52
1937-05-31,257.967
1937-06-30,300.817
1937-07-31,256.931
1937-08-31,206.242
1937-09-30,180.993
1937-10-31,171.805
1937-11-30,176.669
1937-12-31,281.803
1938-01-31,299.534
1938-02-28,301.3
1938-03-31,292.67
1938-04-30,241.997
1938-05-31,301.3
1938-06-30,300.757
1938-07-31,300.384
1938-08-31,257.427
1938-09-30,250.891
1938-10-31,260.03
1938-11-30,271.862
1938-12-31,280.998
1939-01-31,290.328
1939-02-28,301.3
1939-03-31,288.611
1939-04-30,301.3
1939-05-31,301.3
1939-06-30,259.498
1939-07-31,206.205
1939-08-31,152.638
1939-09-30,108.694
1939-10-31,124.261
1939-11-30,127.166
1939-12-31,134.227
1940-01-31,186.438
1940-02-29,220.418
1940-03-31,286.803
1940-04-30,248.244
1940-05-31,265.967
1940-06-30,300.638
1940-07-31,252.918
1940-08-31,206.36
1940-09-30,205.075
1940-10-31,205.297
1940-11-30,208.155
1940-12-31,236.251
1941-01-31,256.542
1941-02-28,252.78
1941-03-31,233.813
1941-04-30,238.433
1941-05-31,218.967
1941-06-30,300.97
1941-07-31,292.773
1941-08-31,248.95
1941-09-30,196.929
1941-10-31,188.098
1941-11-30,199.939
1941-12-31,253.049
1942-01-31,283.762
1942-02-28,301.3
1942-03-31,275.798
1942-04-30,301.3
1942-05-31,190.539
1942-06-30,298.595
1942-07-31,300.41
1942-08-31,249.08
1942-09-30,189.523
1942-10-31,168.473
1942-11-30,205.332
1942-12-31,233.449
1943-01-31,275.762
1943-02-28,301.3
1943-03-31,243.946
1943-04-30,301.3
1943-05-31,301.3
1943-06-30,301.252
1943-07-31,276.807
1943-08-31,270.099
1943-09-30,268.353
1943-10-31,269.415
1943-11-30,272.206
1943-12-31,276.336
1944-01-31,287.662
1944-02-29,300.635
1944-03-31,301.3
1944-04-30,198.84
1944-05-31,282.967
1944-06-30,301.209
1944-07-31,260.506
1944-08-31,213.919
1944-09-30,172.744
1944-10-31,175.068
1944-11-30,204.935
1944-12-31,231.048
1945-01-31,246.328
1945-02-28,301.3
1945-03-31,254.559
1945-04-30,155.273
1945-05-31,231.967
1945-06-30,300.723
1945-07-31,277.629
1945-08-31,230.082
1945-09-30,186.302
1945-10-31,203.006
1945-11-30,236.844
1945-12-31,275.981
1946-01-31,295.708
1946-02-28,301.3
1946-03-31,284.617
1946-04-30,301.3
1946-05-31,288.967
1946-06-30,301.022
1946-07-31,261.627
1946-08-31,259.284
1946-09-30,248.486
1946-10-31,243.553
1946-11-30,263.403
1946-12-31,284.554
1947-01-31,289.844
1947-02-28,301.3
1947-03-31,301.3
1947-04-30,301.3
1947-05-31,301.254
1947-06-30,272.293
1947-07-31,219.926
1947-08-31,173.711
1947-09-30,152.076
1947-10-31,168.504
1947-11-30,172.415
1947-12-31,173.927
1948-01-31,190.142
1948-02-29,198.038
1948-03-31,179.94
1948-04-30,182.77
