date,kaf
1921-09-30,159
1921-10-31,149.072525
1921-11-30,140.691177
1921-12-31,135.229889
1922-01-31,137.810211
1922-02-28,141.273422
1922-03-31,145.345078
1922-04-30,164.836533
1922-05-31,161.295929
1922-06-30,148.802032
1922-07-31,132.608597
1922-08-31,116.86203
1922-09-30,103.663673
1922-10-31,94.215263
1922-11-30,83.332352
1922-12-31,78.240501
1923-01-31,80.895348
1923-02-28,98.508255
1923-03-31,102.151527
1923-04-30,113.948471
1923-05-31,109.260544
1923-06-30,97.466904
1923-07-31,82.004128
1923-08-31,66.828842
1923-09-30,54.319534
1923-10-31,46.100792
1923-11-30,34.473652
1923-12-31,28.812675
1924-01-31,26.134642
1924-02-29,29.623936
1924-03-31,31.636499
1924-04-30,34.296856
1924-05-31,34.4454
1924-06-30,30.699329
1924-07-31,25.151705
1924-08-31,20.179295
1924-09-30,17.567797
1924-10-31,17.5
1924-11-30,17.5
1924-12-31,18.961576
1925-01-31,19.210714
1925-02-28,82.207817
1925-03-31,87.846924
1925-04-30,117.997803
1925-05-31,112.014702
1925-06-30,99.082962
1925-07-31,83.1353
1925-08-31,67.807968
1925-09-30,54.976902
1925-10-31,45.616386
1925-11-30,18.152107
1925-12-31,19.623613
1926-01-31,21.98262
1926-02-28,56.829071
1926-03-31,54.968269
1926-04-30,60.989185
1926-05-31,50.477173
1926-06-30,36.620285
1926-07-31,25.170498
1926-08-31,20.184498
1926-09-30,17.574751
1926-10-31,17.5
1926-11-30,21.019121
1926-12-31,17.5
1927-01-31,26.399708
1927-02-28,44.109547
1927-03-31,59.485325
1927-04-30,91.871284
1927-05-31,84.595085
1927-06-30,71.985878
1927-07-31,56.335754
1927-08-31,41.19725
1927-09-30,40.9431
1927-10-31,41.03685
1927-11-30,19.852619
1927-12-31,21.3095
1928-01-31,26.364113
1928-02-29,45.608963
1928-03-31,78.597183
1928-04-30,91.249451
1928-05-31,82.394264
1928-06-30,78.959381
1928-07-31,73.0765
1928-08-31,67.702675
1928-09-30,64.787277
1928-10-31,64.529533
1928-11-30,51.600052
1928-12-31,53.015987
1929-01-31,57.264835
1929-02-28,68.294212
1929-03-31,76.942978
1929-04-30,84.702972
1929-05-31,84.214081
1929-06-30,81.370651
1929-07-31,75.3685
1929-08-31,69.964752
1929-09-30,67.040512
1929-10-31,66.755981
1929-11-30,66.652565
1929-12-31,66.610374
1930-01-31,77.220848
1930-02-28,87.305031
1930-03-31,121.960213
1930-04-30,123.774277
1930-05-31,123.857773
1930-06-30,119.511871
1930-07-31,113.372185
1930-08-31,107.806
1930-09-30,104.810158
1930-10-31,104.648926
1930-11-30,104.511185
1930-12-31,104.637688
1931-01-31,107.4459
1931-02-28,110.681831
1931-03-31,113.109055
1931-04-30,113.314384
1931-05-31,111.019981
1931-06-30,30.588585
1931-07-31,25.186832
1931-08-31,20.20249
1931-09-30,17.593767
1931-10-31,17.523773
1931-11-30,17.5
1931-12-31,46.942589
1932-01-31,60.214912
1932-02-29,112.171944
1932-03-31,113.890129
1932-04-30,108.282944
1932-05-31,99.816017
1932-06-30,86.222107
1932-07-31,70.24588
1932-08-31,54.96685
1932-09-30,42.184231
1932-10-31,32.738022
1932-11-30,25.676374
1932-12-31,22.69685
1933-01-31,26.501974
1933-02-28,27.124598
1933-03-31,29.64048
1933-04-30,32.522629
1933-05-31,34.135391
1933-06-30,30.744959
1933-07-31,25.211105
1933-08-31,20.221388
1933-09-30,17.611738
1933-10-31,17.530371
1933-11-30,17.5
1933-12-31,23.904179
1934-01-31,37.47382
1934-02-28,53.816517
1934-03-31,53.262272
1934-04-30,45.370541
1934-05-31,33.778057
1934-06-30,30.626379
1934-07-31,25.095625
1934-08-31,20.113991
1934-09-30,17.5
1934-10-31,17.5
1934-11-30,17.5
1934-12-31,17.5
1935-01-31,43.316471
1935-02-28,45.136723
1935-03-31,68.704559
1935-04-30,116.958298
1935-05-31,113.437332
1935-06-30,101.256676
1935-07-31,87.08239
1935-08-31,83.59285
1935-09-30,83.062599
1935-10-31,82.74128
1935-11-30,64.782295
1935-12-31,64.884453
1936-01-31,74.406738
1936-02-29,98.116096
1936-03-31,111.500687
1936-04-30,128.283371
1936-05-31,120.692734
1936-06-30,109.880478
1936-07-31,94.474678
1936-08-31,79.053467
1936-09-30,66.118484
1936-10-31,56.567383
1936-11-30,38.279819
1936-12-31,36.177448
1937-01-31,39.120922
1937-02-28,42.722065
1937-03-31,47.196182
1937-04-30,63.10043
1937-05-31,58.706501
