date,kaf
1921-10-31,0.476666
1921-11-30,0.205833
1921-12-31,0.1125
1922-01-31,0.1025
1922-02-28,0.174167
1922-03-31,0.265833
1922-04-30,0.400833
1922-05-31,0.701666
1922-06-30,0.903333
1922-07-31,1.08
1922-08-31,1.001666
1922-09-30,0.75
1922-10-31,0.454166
1922-11-30,0.188333
1922-12-31,0.1125
1923-01-31,0.113333
1923-02-28,0.174167
1923-03-31,0.301667
1923-04-30,0.43
1923-05-31,0.673333
1923-06-30,0.840833
1923-07-31,1.071666
1923-08-31,1.001666
1923-09-30,0.74
1923-10-31,0.465
1923-11-30,0.213333
1923-12-31,0.105833
1924-01-31,0.111667
1924-02-29,0.1975
1924-03-31,0.279167
1924-04-30,0.478333
1924-05-31,0.745833
1924-06-30,0.9075
1924-07-31,1.066666
1924-08-31,1.001666
1924-09-30,0.714166
1924-10-31,0.448333
1924-11-30,0.199167
1924-12-31,0.104167
1925-01-31,0.12
1925-02-28,0.190833
1925-03-31,0.298333
1925-04-30,0.450833
1925-05-31,0.6925
1925-06-30,0.920833
1925-07-31,1.0775
1925-08-31,1.001666
1925-09-30,0.683333
1925-10-31,0.451667
1925-11-30,0.195833
1925-12-31,0.109167
1926-01-31,0.11
1926-02-28,0.1925
1926-03-31,0.34
1926-04-30,0.551666
1926-05-31,0.7425
1926-06-30,0.961666
1926-07-31,1.094166
1926-08-31,1.001666
1926-09-30,0.704166
1926-10-31,0.49
1926-11-30,0.2175
1926-12-31,0.108333
1927-01-31,0.125
1927-02-28,0.188333
1927-03-31,0.273333
1927-04-30,0.424167
1927-05-31,0.671666
1927-06-30,0.895833
1927-07-31,1.08
1927-08-31,1.001666
1927-09-30,0.700833
1927-10-31,0.481667
1927-11-30,0.203333
1927-12-31,0.105
1928-01-31,0.115833
1928-02-29,0.1775
1928-03-31,0.3125
1928-04-30,0.443333
1928-05-31,0.736666
1928-06-30,0.904166
1928-07-31,1.0725
1928-08-31,1.001666
1928-09-30,0.72
1928-10-31,0.460833
1928-11-30,0.1975
1928-12-31,0.101667
1929-01-31,0.105
1929-02-28,0.165
1929-03-31,0.275
1929-04-30,0.3775
1929-05-31,0.688333
1929-06-30,0.8925
1929-07-31,1.069166
1929-08-31,1.001666
1929-09-30,0.7125
1929-10-31,0.489166
1929-11-30,0.198333
1929-12-31,0.1125
1930-01-31,0.110833
1930-02-28,0.185833
1930-03-31,0.279167
1930-04-30,0.435833
1930-05-31,0.600833
1930-06-30,0.886666
1930-07-31,1.0625
1930-08-31,1.001666
1930-09-30,0.669166
1930-10-31,0.46
1930-11-30,0.2025
1930-12-31,0.105
1931-01-31,0.12
1931-02-28,0.1925
1931-03-31,0.31
1931-04-30,0.526666
1931-05-31,0.78
1931-06-30,0.893333
1931-07-31,1.102499
1931-08-31,1.001666
1931-09-30,0.698333
1931-10-31,0.460833
1931-11-30,0.190833
1931-12-31,0.105
1932-01-31,0.11
1932-02-29,0.170833
1932-03-31,0.299167
1932-04-30,0.4125
1932-05-31,0.691666
1932-06-30,0.919166
1932-07-31,1.076666
