date,kaf
1921-10-31,9.947
1921-11-30,2.84
1921-12-31,6.809
1922-01-31,6.328
1922-02-28,1.59
1922-03-31,11.154
1922-04-30,17.211
1922-05-31,11.777
1922-06-30,11.525
1922-07-31,9.061
1922-08-31,10.347
1922-09-30,10.544
1922-10-31,9.947
1922-11-30,9.138
1922-12-31,12.456
1923-01-31,8.025
1923-02-28,0.375
1923-03-31,2.319
1923-04-30,9.979
1923-05-31,8.863
1923-06-30,25.803
1923-07-31,15.123
1923-08-31,10.347
1923-09-30,10.544
1923-10-31,17.134
1923-11-30,6.065
1923-12-31,3.795
1924-01-31,2.906
1924-02-29,0.06
1924-03-31,0.0
1924-04-30,0.0
1924-05-31,3.209
1924-06-30,4.697
1924-07-31,9.061
1924-08-31,10.347
1924-09-30,10.544
1924-10-31,9.947
1924-11-30,8.797
1924-12-31,6.381
1925-01-31,5.188
1925-02-28,1.23
1925-03-31,2.669
1925-04-30,18.412
1925-05-31,7.339
1925-06-30,11.525
1925-07-31,9.061
1925-08-31,10.347
1925-09-30,10.544
1925-10-31,9.947
1925-11-30,6.065
1925-12-31,3.795
1926-01-31,2.906
1926-02-28,0.585
1926-03-31,0.0
1926-04-30,7.027
1926-05-31,2.565
1926-06-30,4.697
1926-07-31,9.061
1926-08-31,10.347
1926-09-30,10.544
1926-10-31,9.947
1926-11-30,15.193
1926-12-31,5.439
1927-01-31,6.223
1927-02-28,1.155
1927-03-31,5.764
1927-04-30,20.099
1927-05-31,6.562
1927-06-30,11.525
1927-07-31,9.061
1927-08-31,10.347
1927-09-30,10.544
1927-10-31,9.947
1927-11-30,8.797
1927-12-31,6.381
1928-01-31,4.66
1928-02-29,0.315
1928-03-31,15.713
1928-04-30,9.979
1928-05-31,4.753
1928-06-30,8.503
1928-07-31,9.061
1928-08-31,10.347
1928-09-30,10.544
1928-10-31,9.947
1928-11-30,6.065
1928-12-31,4.943
1929-01-31,4.66
1929-02-28,0.18
1929-03-31,0.75
1929-04-30,4.56
1929-05-31,3.209
1929-06-30,8.503
1929-07-31,9.061
1929-08-31,10.347
1929-09-30,10.544
1929-10-31,9.947
1929-11-30,2.84
1929-12-31,0.0
1930-01-31,5.852
1930-02-28,0.18
1930-03-31,9.683
1930-04-30,0.0
1930-05-31,3.209
1930-06-30,4.697
1930-07-31,9.061
1930-08-31,10.347
1930-09-30,10.544
1930-10-31,9.947
1930-11-30,2.84
1930-12-31,0.0
1931-01-31,3.818
1931-02-28,0.075
1931-03-31,0.0
1931-04-30,0.0
1931-05-31,0.0
1931-06-30,4.697
1931-07-31,9.061
1931-08-31,10.347
1931-09-30,10.544
1931-10-31,9.947
1931-11-30,2.84
1931-12-31,11.25
1932-01-31,7.17
1932-02-29,0.735
1932-03-31,0.725
1932-04-30,0.0
1932-05-31,5.476
1932-06-30,8.503
1932-07-31,9.061
1932-08-31,10.347
1932-09-30,10.544
1932-10-31,9.947
1932-11-30,2.84
1932-12-31,0.0
1933-01-31,5.852
1933-02-28,0.105
1933-03-31,0.725
1933-04-30,0.0
1933-05-31,4.753
1933-06-30,8.503
1933-07-31,9.061
1933-08-31,10.347
1933-09-30,10.544
1933-10-31,9.947
1933-11-30,2.84
1933-12-31,6.809
1934-01-31,6.328
1934-02-28,0.345
1934-03-31,0.0
1934-04-30,0.0
1934-05-31,0.0
1934-06-30,8.503
1934-07-31,9.061
1934-08-31,10.347
1934-09-30,10.544
1934-10-31,9.947
1934-11-30,6.065
1934-12-31,5.439
1935-01-31,8.328
1935-02-28,0.12
1935-03-31,8.53
1935-04-30,22.09
1935-05-31,11.777
1935-06-30,11.525
1935-07-31,19.939
