date,kaf
1921-10-31,42563.843079807135
1921-11-30,42558.171549807135
1921-12-31,42598.51816980713
1922-01-31,42602.18243980713
1922-02-28,42644.26317980713
1922-03-31,42630.22489435872
1922-04-30,42582.98206146576
1922-05-31,42675.530431398256
1922-06-30,42695.80721677916
1922-07-31,42590.54685827386
1922-08-31,42553.64591860173
1922-09-30,42538.102598601734
1922-10-31,42532.208858601734
1922-11-30,42538.414328601735
1922-12-31,42580.155948601736
1923-01-31,42584.918218601735
1923-02-28,42577.86595860174
1923-03-31,42572.64422860174
1923-04-30,42621.33539860174
1923-05-31,42647.983768534235
1923-06-30,42629.38555391514
1923-07-31,42591.67919540984
1923-08-31,42570.19925573771
1923-09-30,42563.47093573771
1923-10-31,42568.72319573771
1923-11-30,42555.56366573771
1923-12-31,42549.26128573771
1924-01-31,42546.44155573771
1924-02-29,42541.81529573771
1924-03-31,42541.25371252776
1924-04-30,42515.891593232656
1924-05-31,42450.915853232655
1924-06-30,42366.331973232656
1924-07-31,42302.51794015472
1924-08-31,42285.60680048259
1924-09-30,42283.85448048259
1924-10-31,42284.238740482586
1924-11-30,42287.50321048259
1924-12-31,42298.836830482585
1925-01-31,42291.925100482586
1925-02-28,42308.50684048259
1925-03-31,42321.80811048259
1925-04-30,42376.49128048259
1925-05-31,42430.68865041508
1925-06-30,42390.68143579599
1925-07-31,42324.34707729069
1925-08-31,42301.35313761856
1925-09-30,42294.92281761856
1925-10-31,42295.76607761856
1925-11-30,42295.49554761856
1925-12-31,42299.049167618556
1926-01-31,42295.08543761855
1926-02-28,42302.82417761855
1926-03-31,42301.82644761855
1926-04-30,42362.69861761855
1926-05-31,42359.156987551054
1926-06-30,42317.59977293196
1926-07-31,42270.27941442665
1926-08-31,42259.61847475452
1926-09-30,42258.37615475452
1926-10-31,42259.835414754525
1926-11-30,42278.06188475453
1926-12-31,42278.53250475453
1927-01-31,42277.663774754525
1927-02-28,42310.938514754525
1927-03-31,42317.149784754525
1927-04-30,42341.494954754526
1927-05-31,42369.54432468702
1927-06-30,42373.90511006793
1927-07-31,42297.65975156263
1927-08-31,42275.2898118905
1927-09-30,42266.1584918905
1927-10-31,42268.4347518905
1927-11-30,42275.3902218905
1927-12-31,42282.6788418905
1928-01-31,42275.338111890494
1928-02-29,42271.286851890494
1928-03-31,42310.45812189049
1928-04-30,42319.77029189049
1928-05-31,42325.88566182299
1928-06-30,42238.53578182299
1928-07-31,42140.46457182299
1928-08-31,42131.10763215086
1928-09-30,42133.89131215086
1928-10-31,42141.02757215086
1928-11-30,42145.70804215086
1928-12-31,42144.07066215086
1929-01-31,42132.30093215086
1929-02-28,42126.13567215086
1929-03-31,42127.378942150855
1929-04-30,42109.342590271146
1929-05-31,42049.32785027115
1929-06-30,41975.59097027115
1929-07-31,41926.53106235034
1929-08-31,41924.883122678206
1929-09-30,41926.07280267821
1929-10-31,41926.03106267821
1929-11-30,41921.75653267821
1929-12-31,41919.07715267821
1930-01-31,41922.89242267821
1930-02-28,41917.738162678215
1930-03-31,41921.989432678216
1930-04-30,41920.855110712575
1930-05-31,41849.15137071258
1930-06-30,41794.00349071258
1930-07-31,41713.691280712585
1930-08-31,41710.682341040454
1930-09-30,41710.970021040455
1930-10-31,41704.443281040454
1930-11-30,41703.775751040455
1930-12-31,41702.12737104045
1931-01-31,41704.534641040445
1931-02-28,41692.30438104045
1931-03-31,41684.51765104045
1931-04-30,41646.80981688255
1931-05-31,41574.58207688255
1931-06-30,41494.955196882554
1931-07-31,41461.088838377254
1931-08-31,41455.54689870512
1931-09-30,41450.78757870512
1931-10-31,41446.484838705124
1931-11-30,41446.315308705125
1931-12-31,41487.978928705124
1932-01-31,41483.54319870513
1932-02-29,41521.38393870513
1932-03-31,41510.778208705124
1932-04-30,41528.78937870512
1932-05-31,41565.65474863762
1932-06-30,41575.10253401853
1932-07-31,41512.58717551323
1932-08-31,41488.9352358411
1932-09-30,41478.102915841104
1932-10-31,41482.04117584111
1932-11-30,41477.65564584111
1932-12-31,41472.6402658411
1933-01-31,41482.2645358411
1933-02-28,41469.3682758411
1933-03-31,41468.8675458411
1933-04-30,41443.50727386881
1933-05-31,41396.164398742534
1933-06-30,41403.35818412344
1933-07-31,41360.98482561814
1933-08-31,41353.53788594601
1933-09-30,41354.16456594601
1933-10-31,41351.38182594601
1933-11-30,41344.45829594601
1933-12-31,41361.63091594601
1934-01-31,41346.510185946005
1934-02-28,41345.89392594601
1934-03-31,41343.81519594601
1934-04-30,41357.98936594601
1934-05-31,41347.20483587851
1934-06-30,41316.038401259415
1934-07-31,41286.820042754116
1934-08-31,41281.54510308198
1934-09-30,41275.34978308198
1934-10-31,41276.725043081984
1934-11-30,41278.17351308199
1934-12-31,41284.795133081985
1935-01-31,41304.031403081986
1935-02-28,41293.917143081984
1935-03-31,41310.24941308198
1935-04-30,41388.47058308198
1935-05-31,41399.80195301448
1935-06-30,41389.92973839539
1935-07-31,41313.37337989009
1935-08-31,41289.54544021795
1935-09-30,41282.16412021795
1935-10-31,41279.63338021795
1935-11-30,41272.51885021795
1935-12-31,41274.891470217946
1936-01-31,41276.32074021795
1936-02-29,41352.83048021795
1936-03-31,41343.08875021795
1936-04-30,41359.427920217946
1936-05-31,41376.91529015044
1936-06-30,41346.21307553135
1936-07-31,41285.033717026046
1936-08-31,41262.79877735391
1936-09-30,41254.213457353915
1936-10-31,41253.349717353914
1936-11-30,41246.62218735392
1936-12-31,41262.892807353914
1937-01-31,41260.71307735391
1937-02-28,41303.47381735391
1937-03-31,41324.408087353906
1937-04-30,41335.69725735391
1937-05-31,41385.6196272864
1937-06-30,41336.78241266731
1937-07-31,41263.71505416201
1937-08-31,41240.66311448987
1937-09-30,41234.59279448987
1937-10-31,41233.616054489874
1937-11-30,41228.08952448988
1937-12-31,41257.34414448988
1938-01-31,41260.94141448988
1938-02-28,41343.63515448988
1938-03-31,41411.16442448988
1938-04-30,41395.14659448988
1938-05-31,41417.890964422375
1938-06-30,41436.69674980328
1938-07-31,41337.531391297984
1938-08-31,41292.44545162585
1938-09-30,41277.31913162585
1938-10-31,41265.255391625855
1938-11-30,41262.30686162586
1938-12-31,41254.31548162586
1939-01-31,41252.47275162586
1939-02-28,41247.60749162586
1939-03-31,41245.69076162586
1939-04-30,41255.34393162586
1939-05-31,41249.829301558355
1939-06-30,41221.61908693926
1939-07-31,41191.12372843396
1939-08-31,41189.723788761825
1939-09-30,41188.29446876183
1939-10-31,41184.88672876183
1939-11-30,41179.05819876183
1939-12-31,41173.838818761826
1940-01-31,41215.463088761826
1940-02-29,41245.96982876183
1940-03-31,41267.46209876183
1940-04-30,41272.98426876184
1940-05-31,41287.072638694335
1940-06-30,41255.40942407524
1940-07-31,41189.48206556994
1940-08-31,41172.72712589781
1940-09-30,41171.85480589781
1940-10-31,41166.54006589781
1940-11-30,41160.761535897815
1940-12-31,41201.06215589781
1941-01-31,41194.988425897805
1941-02-28,41230.39616589781
1941-03-31,41254.50743589781
1941-04-30,41265.18060589781
1941-05-31,41303.60997583031
1941-06-30,41300.00176121121
1941-07-31,41221.01040270591
1941-08-31,41189.90046303378
1941-09-30,41174.04014303378
1941-10-31,41168.13040303378
1941-11-30,41159.36687303378
1941-12-31,41187.51049303378
1942-01-31,41191.78076303378
1942-02-28,41183.28650303378
1942-03-31,41192.55077303378
1942-04-30,41224.46194303378
1942-05-31,41245.59331296627
1942-06-30,41259.47009834718
1942-07-31,41185.16673984188
1942-08-31,41150.83380016975
1942-09-30,41135.94048016975
1942-10-31,41127.03074016975
1942-11-30,41123.243210169756
1942-12-31,41130.478830169755
1943-01-31,41143.40310016976
1943-02-28,41151.21684016976
1943-03-31,41208.19311016976
1943-04-30,41199.77128016976
1943-05-31,41206.87765010226
1943-06-30,41168.217435483166
1943-07-31,41106.546076977866
1943-08-31,41090.30713730573
1943-09-30,41081.979817305735
1943-10-31,41077.33707730573
1943-11-30,41070.164547305736
1943-12-31,41069.50516730573
1944-01-31,41064.79843730573
1944-02-29,41071.42417730574
1944-03-31,41071.83144730574
1944-04-30,41078.51761730574
1944-05-31,41082.36098723824
1944-06-30,41059.78877261914
1944-07-31,41027.18141411384
1944-08-31,41025.65947444171
1944-09-30,41023.88415444171
1944-10-31,41023.868414441706
1944-11-30,41032.082884441705
1944-12-31,41029.1675044417
1945-01-31,41014.0457744417
1945-02-28,41049.1525144417
1945-03-31,41058.40278444171
1945-04-30,41063.148954441705
1945-05-31,41074.7993243742
1945-06-30,41067.13310975511
1945-07-31,41017.11575124981
1945-08-31,41001.61781157768
1945-09-30,40992.06149157768
1945-10-31,40994.85075157768
1945-11-30,40991.33722157768
1945-12-31,41004.88984157768
1946-01-31,41001.77011157768
1946-02-28,40986.57885157768
1946-03-31,40985.08312157768
1946-04-30,41007.63229157768
1946-05-31,41041.33566151017
1946-06-30,41001.452446891075
1946-07-31,40949.99008838578
1946-08-31,40940.13714871364
1946-09-30,40930.811828713646
1946-10-31,40928.42408871365
1946-11-30,40934.71455871365
1946-12-31,40931.599178713645
1947-01-31,40914.98744871365
1947-02-28,40902.87418871365
1947-03-31,40906.94345871365
1947-04-30,40919.24862871365
1947-05-31,40845.20488871365
1947-06-30,40767.61700871365
1947-07-31,40739.39265020835
1947-08-31,40739.096710536214
1947-09-30,40740.15639053622
1947-10-31,40733.14965053622
1947-11-30,40727.088120536224
1947-12-31,40720.90874053622
1948-01-31,40708.78001053622
1948-02-29,40697.41175053622
1948-03-31,40703.42202053622
1948-04-30,40716.63019053622
1948-05-31,40734.253560468715
1948-06-30,40736.64234584962
1948-07-31,40689.45898734432
1948-08-31,40681.27204767219
1948-09-30,40679.19772767219
1948-10-31,40669.914987672186
1948-11-30,40660.129457672185
1948-12-31,40661.583077672185
1949-01-31,40649.64334767219
1949-02-28,40639.82608767219
1949-03-31,40659.46935767219
1949-04-30,40674.52252767219
1949-05-31,40669.45989760469
1949-06-30,40648.6236829856
1949-07-31,40616.9103244803
1949-08-31,40612.624384808165
1949-09-30,40610.20606480817
1949-10-31,40604.74032480817
1949-11-30,40600.42579480817
1949-12-31,40598.70441480817
1950-01-31,40604.95368480817
1950-02-28,40602.00542480817
1950-03-31,40606.28469480817
1950-04-30,40629.86186480817
1950-05-31,40627.26523474067
1950-06-30,40611.639020121576
1950-07-31,40570.94166161628
1950-08-31,40564.717721944144
1950-09-30,40560.32040194415
1950-10-31,40557.64466194415
1950-11-30,40604.00913194415
1950-12-31,40672.785751944146
1951-01-31,40626.77102194414
1951-02-28,40610.70076194414
1951-03-31,40606.53503194414
1951-04-30,40599.905201944144
1951-05-31,40616.31857187664
1951-06-30,40585.28235725754
1951-07-31,40534.17099875224
1951-08-31,40522.97405908011
1951-09-30,40514.56673908011
1951-10-31,40515.53999908011
1951-11-30,40513.32946908011
1951-12-31,40550.80008908011
1952-01-31,40585.057359080114
1952-02-29,40579.21009908012
1952-03-31,40610.51136908012
1952-04-30,40649.86553908012
1952-05-31,40683.111909012616
1952-06-30,40639.224694393524
1952-07-31,40550.83733588822
1952-08-31,40527.84639621609
1952-09-30,40519.11507621609
1952-10-31,40516.89333621609
1952-11-30,40518.80180621609
1952-12-31,40550.869426216086
1953-01-31,40539.21569621609
1953-02-28,40522.59843621609
1953-03-31,40514.87770621609
1953-04-30,40521.77587621609
1953-05-31,40514.492246148584
1953-06-30,40509.73803152949
1953-07-31,40475.829673024185
1953-08-31,40465.82973335205
1953-09-30,40465.282413352055
1953-10-31,40465.37467335205
1953-11-30,40459.950143352056
1953-12-31,40455.39476335205
1954-01-31,40454.93003335205
1954-02-28,40447.85077335205
1954-03-31,40476.496043352054
1954-04-30,40477.87821335205
1954-05-31,40488.789583284546
1954-06-30,40446.10336866545
1954-07-31,40408.384010160145
1954-08-31,40406.767070488015
1954-09-30,40404.527750488014
1954-10-31,40396.91101048802
1954-11-30,40393.63648048802
1954-12-31,40403.132100488016
1955-01-31,40425.08437048802
1955-02-28,40418.12211048802
1955-03-31,40412.17138048802
1955-04-30,40416.712550488024
1955-05-31,40410.912920420524
1955-06-30,40392.92570580143
1955-07-31,40367.65234729613
