date,kaf
1921-10-31,19.77
1921-11-30,14.41420723
1921-12-31,11.96
1922-01-31,11.42
1922-02-28,11.82
1922-03-31,39.49549635
1922-04-30,159.8044605
1922-05-31,248.7330041
1922-06-30,253.06
1922-07-31,255.91
1922-08-31,201.4635443
1922-09-30,23.63
1922-10-31,17.76
1922-11-30,13.53
1922-12-31,11.96
1923-01-31,11.42
1923-02-28,11.82
1923-03-31,48.34560915
1923-04-30,148.1238205
1923-05-31,249.85
1923-06-30,253.06
1923-07-31,253.9549698
1923-08-31,202.1561586
1923-09-30,23.63
1923-10-31,56.81924052
1923-11-30,13.53
1923-12-31,11.96
1924-01-31,11.42
1924-02-29,11.82
1924-03-31,73.65884915
1924-04-30,160.2554605
1924-05-31,249.61
1924-06-30,252.747
1924-07-31,255.563
1924-08-31,254.965
1924-09-30,134.6964286
1924-10-31,69.10170862
1924-11-30,13.53
1924-12-31,11.96
1925-01-31,11.42
1925-02-28,11.82
1925-03-31,24.21118415
1925-04-30,113.355729
1925-05-31,190.8446787
1925-06-30,253.06
1925-07-31,253.9549698
1925-08-31,202.1561586
1925-09-30,23.63
1925-10-31,39.68600065
1925-11-30,13.53
1925-12-31,11.96
1926-01-31,11.42
1926-02-28,11.82
1926-03-31,48.34560915
1926-04-30,139.7353998
1926-05-31,249.85
1926-06-30,253.06
1926-07-31,253.7872905
1926-08-31,202.1561586
1926-09-30,45.55980412
1926-10-31,57.71969124
1926-11-30,13.53
1926-12-31,11.96
1927-01-31,11.42
1927-02-28,11.82
1927-03-31,12.74
1927-04-30,57.01448168
1927-05-31,167.4312725
1927-06-30,224.4220506
1927-07-31,253.9549698
1927-08-31,202.1561586
1927-09-30,23.63
1927-10-31,17.76
1927-11-30,13.53
1927-12-31,11.96
1928-01-31,11.42
1928-02-29,11.82
1928-03-31,60.47724915
1928-04-30,156.3158605
1928-05-31,249.85
1928-06-30,253.06
1928-07-31,255.91
1928-08-31,214.2877986
1928-09-30,41.55182857
1928-10-31,69.72483646
1928-11-30,13.53
1928-12-31,11.96
1929-01-31,11.42
1929-02-28,11.82
1929-03-31,64.80684915
1929-04-30,160.2554605
1929-05-31,249.85
1929-06-30,253.06
1929-07-31,255.91
1929-08-31,255.3
1929-09-30,134.6964286
1929-10-31,69.10170862
1929-11-30,13.53
1929-12-31,11.96
1930-01-31,11.42
1930-02-28,11.82
1930-03-31,60.47724915
1930-04-30,160.2554605
1930-05-31,249.85
1930-06-30,253.06
1930-07-31,255.91
1930-08-31,255.3
1930-09-30,134.6964286
1930-10-31,68.17670862
1930-11-30,13.53
1930-12-31,11.96
1931-01-31,11.42
1931-02-28,11.82
1931-03-31,64.59484915
1931-04-30,169.3194605
1931-05-31,249.61
1931-06-30,252.747
1931-07-31,255.563
1931-08-31,254.965
1931-09-30,134.6964286
1931-10-31,68.17670862
1931-11-30,13.53
1931-12-31,11.96
1932-01-31,11.42
1932-02-29,11.82
1932-03-31,12.74
1932-04-30,124.3788644
1932-05-31,164.0581757
1932-06-30,217.9148469
1932-07-31,253.6079698
1932-08-31,201.8211586
1932-09-30,33.9778437
1932-10-31,56.81924052
1932-11-30,13.53
1932-12-31,11.96
1933-01-31,11.42
1933-02-28,11.82
1933-03-31,48.13360915
1933-04-30,148.1238205
1933-05-31,249.61
1933-06-30,252.747
1933-07-31,255.563
1933-08-31,201.8211586
1933-09-30,80.43179315
1933-10-31,56.81924052
1933-11-30,13.53
1933-12-31,11.96
1934-01-31,11.42
1934-02-28,11.82
1934-03-31,52.46320915
1934-04-30,148.1238205
1934-05-31,249.61
1934-06-30,252.747
1934-07-31,255.563
1934-08-31,201.8211586
1934-09-30,103.6579469
1934-10-31,57.49337124
1934-11-30,13.53
1934-12-31,11.96
1935-01-31,11.42
1935-02-28,11.82
1935-03-31,12.74
1935-04-30,16.77
1935-05-31,91.34392873
1935-06-30,175.6745496
1935-07-31,250.6525373
1935-08-31,201.6538031
1935-09-30,23.63
1935-10-31,17.76
1935-11-30,13.53
1935-12-31,11.96
1936-01-31,11.42
1936-02-29,11.82
1936-03-31,12.74
1936-04-30,16.77
1936-05-31,136.2176604
1936-06-30,203.0840168
1936-07-31,251.9693653
1936-08-31,201.5878423
1936-09-30,23.63
1936-10-31,17.76
1936-11-30,13.53
1936-12-31,11.96
1937-01-31,11.42
1937-02-28,11.82
1937-03-31,12.74
1937-04-30,16.77
1937-05-31,102.3290887
1937-06-30,181.0297061
1937-07-31,245.0996807
1937-08-31,201.3522869
1937-09-30,23.63
1937-10-31,17.76
1937-11-30,13.53
1937-12-31,11.96
1938-01-31,11.42
1938-02-28,11.82
1938-03-31,12.74
1938-04-30,16.77
1938-05-31,22.07
1938-06-30,25.84
1938-07-31,105.6458616
1938-08-31,202.1561586
1938-09-30,23.63
1938-10-31,18.68203376
1938-11-30,13.53
1938-12-31,11.96
1939-01-31,11.42
1939-02-28,11.82
1939-03-31,48.34560915
1939-04-30,149.9060605
1939-05-31,249.85
1939-06-30,253.06
1939-07-31,253.5369444
1939-08-31,202.042632
1939-09-30,23.63
1939-10-31,17.76
1939-11-30,13.53
1939-12-31,11.96
1940-01-31,11.42
1940-02-29,11.82
1940-03-31,12.74
1940-04-30,16.77
1940-05-31,98.69566873
1940-06-30,208.6318998
1940-07-31,253.0383844
1940-08-31,201.9184618
1940-09-30,23.63
1940-10-31,17.76
1940-11-30,13.53
1940-12-31,11.96
1941-01-31,11.42
1941-02-28,11.82
1941-03-31,12.74
1941-04-30,16.77
1941-05-31,22.07
1941-06-30,60.16271166
1941-07-31,217.1387758
1941-08-31,200.4972287
1941-09-30,23.63
1941-10-31,17.76
1941-11-30,13.53
1941-12-31,11.96
1942-01-31,11.42
1942-02-28,11.82
1942-03-31,12.74
1942-04-30,16.77
1942-05-31,86.56402873
1942-06-30,207.0121595
1942-07-31,249.7206504
1942-08-31,201.7581952
1942-09-30,23.63
1942-10-31,17.76
1942-11-30,13.53
1942-12-31,11.96
1943-01-31,11.42
1943-02-28,11.82
1943-03-31,12.74
1943-04-30,16.77
1943-05-31,123.3600623
1943-06-30,249.6440937
1943-07-31,252.7989444
1943-08-31,201.8201901
1943-09-30,25.86541171
1943-10-31,57.74424052
1943-11-30,13.53
1943-12-31,11.96
1944-01-31,11.42
1944-02-29,11.82
1944-03-31,45.24665193
1944-04-30,148.1238205
1944-05-31,249.85
1944-06-30,227.489442
1944-07-31,253.4139444
1944-08-31,202.0190346
1944-09-30,23.63
1944-10-31,17.76
1944-11-30,13.53
1944-12-31,11.96
1945-01-31,11.42
1945-02-28,11.82
1945-03-31,12.74
1945-04-30,20.08116816
1945-05-31,165.8196036
1945-06-30,211.9169604
1945-07-31,252.4086244
1945-08-31,201.9213358
1945-09-30,23.63
1945-10-31,17.76
1945-11-30,13.53
1945-12-31,11.96
1946-01-31,11.42
1946-02-28,11.82
1946-03-31,48.34560915
1946-04-30,96.59525928
1946-05-31,246.7675439
1946-06-30,253.06
1946-07-31,253.9549698
1946-08-31,202.1561586
1946-09-30,23.63
1946-10-31,17.76
1946-11-30,13.53
1946-12-31,11.96
1947-01-31,11.42
1947-02-28,11.82
1947-03-31,48.34560915
1947-04-30,148.1238205
1947-05-31,249.85
1947-06-30,253.06
1947-07-31,255.91
1947-08-31,202.1561586
1947-09-30,122.5647886
1947-10-31,57.74424052
1947-11-30,13.53
1947-12-31,11.96
1948-01-31,11.42
1948-02-29,11.82
1948-03-31,48.34560915
1948-04-30,148.1238205
1948-05-31,249.85
1948-06-30,219.5604025
1948-07-31,252.8506044
1948-08-31,202.1251631
1948-09-30,49.50153632
1948-10-31,57.73363124
1948-11-30,13.53
1948-12-31,11.96
1949-01-31,11.42
1949-02-28,11.82
1949-03-31,48.34560915
1949-04-30,144.1842205
1949-05-31,215.2130909
1949-06-30,253.06
1949-07-31,253.3376844
1949-08-31,202.1396525
1949-09-30,23.63
1949-10-31,17.76
1949-11-30,13.53
1949-12-31,11.96
1950-01-31,11.42
1950-02-28,11.82
1950-03-31,12.74
1950-04-30,16.77
1950-05-31,159.4980381
1950-06-30,215.6392826
1950-07-31,253.5931662
1950-08-31,202.1561586
1950-09-30,23.63
1950-10-31,17.76
1950-11-30,13.53
1950-12-31,11.96
1951-01-31,11.42
1951-02-28,11.82
1951-03-31,12.74
1951-04-30,58.61610365
1951-05-31,232.8967994
1951-06-30,215.9230215
1951-07-31,253.3208987
1951-08-31,202.1561586
1951-09-30,23.63
1951-10-31,17.76
1951-11-30,13.53
1951-12-31,11.96
1952-01-31,11.42
1952-02-29,11.82
1952-03-31,12.74
1952-04-30,16.77
1952-05-31,22.07
1952-06-30,25.84
1952-07-31,155.1028547
1952-08-31,202.1561586
1952-09-30,23.63
1952-10-31,17.76
1952-11-30,13.53
1952-12-31,11.96
1953-01-31,11.42
1953-02-28,11.82
1953-03-31,48.34560915
1953-04-30,148.1238205
1953-05-31,249.85
1953-06-30,253.06
1953-07-31,253.9549698
1953-08-31,202.1561586
1953-09-30,32.83040012
1953-10-31,57.74424052
1953-11-30,13.53
1953-12-31,11.96
1954-01-31,11.42
1954-02-28,11.82
1954-03-31,31.96625349
1954-04-30,110.1326767
1954-05-31,249.85
1954-06-30,253.06
1954-07-31,253.2527653
1954-08-31,202.1561586
1954-09-30,73.4797039
1954-10-31,57.68935124
1954-11-30,13.53
1954-12-31,11.96
1955-01-31,11.42
1955-02-28,11.82
1955-03-31,26.88508333
1955-04-30,37.29670073
1955-05-31,166.9684218
1955-06-30,215.3457909
1955-07-31,253.4285958
1955-08-31,202.1561586
1955-09-30,23.63
1955-10-31,17.76
1955-11-30,13.53
1955-12-31,11.96
1956-01-31,11.42
1956-02-29,11.82
1956-03-31,12.74
1956-04-30,16.77
1956-05-31,108.5523661
