date,kaf
31.10.1921,145.988312
30.11.1921,119.540916
31.12.1921,170.028748
31.01.1922,160.592377
28.02.1922,308.076965
31.03.1922,297.350891
30.04.1922,469.384308
31.05.1922,518.35614
30.06.1922,812.851074
31.07.1922,313.408661
31.08.1922,153.940536
30.09.1922,147.672897
31.10.1922,162.670654
30.11.1922,136.840591
31.12.1922,242.312561
31.01.1923,357.424744
28.02.1923,271.975372
31.03.1923,223.577362
30.04.1923,416.52655
31.05.1923,429.721619
30.06.1923,213.906998
31.07.1923,135.795639
31.08.1923,147.068344
30.09.1923,163.314514
31.10.1923,182.696716
30.11.1923,132.949738
31.12.1923,120.591248
31.01.1924,111.713158
29.02.1924,122.009689
31.03.1924,115.247612
30.04.1924,119.007553
31.05.1924,122.974457
30.06.1924,78.39566
31.07.1924,76.585121
31.08.1924,73.285973
30.09.1924,89.067795
31.10.1924,106.608864
30.11.1924,109.729141
31.12.1924,113.861946
31.01.1925,106.360222
28.02.1925,152.855484
31.03.1925,148.707214
30.04.1925,416.52655
31.05.1925,429.72168
30.06.1925,130.523254
31.07.1925,117.679092
31.08.1925,131.969559
30.09.1925,111.932068
31.10.1925,130.99823
30.11.1925,119.664169
31.12.1925,117.91198
31.01.1926,112.734772
28.02.1926,128.435104
31.03.1926,130.902435
30.04.1926,264.79187
31.05.1926,272.929108
30.06.1926,130.20163
31.07.1926,122.511932
31.08.1926,126.71653
30.09.1926,109.784073
31.10.1926,120.662003
30.11.1926,134.620331
31.12.1926,126.181145
31.01.1927,127.327423
28.02.1927,219.049316
31.03.1927,190.184891
30.04.1927,339.1716
31.05.1927,350.477295
30.06.1927,147.622314
31.07.1927,133.265427
31.08.1927,133.361877
30.09.1927,159.626251
31.10.1927,175.532272
30.11.1927,154.050659
31.12.1927,141.851135
31.01.1928,146.518448
29.02.1928,140.664749
31.03.1928,376.922424
30.04.1928,338.546387
31.05.1928,349.650391
30.06.1928,109.736671
31.07.1928,95.803902
31.08.1928,93.426826
30.09.1928,130.711044
31.10.1928,134.177505
30.11.1928,123.637726
31.12.1928,119.100784
31.01.1929,114.839012
28.02.1929,126.194748
31.03.1929,128.509079
30.04.1929,190.412109
31.05.1929,196.070038
30.06.1929,86.066269
31.07.1929,83.893227
31.08.1929,79.000298
30.09.1929,104.721458
31.10.1929,112.18676
30.11.1929,111.533249
31.12.1929,102.680466
31.01.1930,105.250961
28.02.1930,125.364601
31.03.1930,131.474655
30.04.1930,190.412109
31.05.1930,196.070023
30.06.1930,78.291573
31.07.1930,86.370918
31.08.1930,88.086861
30.09.1930,107.846275
31.10.1930,85.346008
30.11.1930,113.185242
31.12.1930,107.877266
31.01.1931,100.804749
28.02.1931,120.378159
31.03.1931,105.864143
30.04.1931,79.315979
31.05.1931,89.257111
30.06.1931,109.42984
31.07.1931,71.94342
31.08.1931,108.582878
30.09.1931,87.301735
31.10.1931,72.206116
30.11.1931,95.153587
31.12.1931,163.803879
31.01.1932,130.06813
29.02.1932,255.988495
31.03.1932,164.921982
30.04.1932,264.79187
31.05.1932,281.981293
30.06.1932,128.234253
31.07.1932,126.800507
31.08.1932,127.212265
30.09.1932,118.529854
31.10.1932,118.912468
30.11.1932,122.670105
31.12.1932,112.688072
31.01.1933,114.866241
28.02.1933,124.290497
31.03.1933,134.15239
30.04.1933,190.412094
31.05.1933,196.14325
30.06.1933,94.392761
31.07.1933,79.567345
31.08.1933,79.117157
30.09.1933,107.666748
31.10.1933,90.984711
30.11.1933,106.015297
31.12.1933,114.16713
31.01.1934,110.255096
28.02.1934,127.172432
31.03.1934,120.236061
30.04.1934,119.007553
31.05.1934,122.41301
30.06.1934,70.384834
31.07.1934,67.865868
31.08.1934,66.665894
30.09.1934,85.044022
31.10.1934,75.906967
30.11.1934,104.976097
31.12.1934,110.605919
31.01.1935,151.389084
28.02.1935,134.58876
31.03.1935,170.27713
30.04.1935,416.52652
31.05.1935,429.404663
30.06.1935,171.741882
31.07.1935,121.602005
31.08.1935,103.24971
30.09.1935,162.716553
31.10.1935,151.967422
30.11.1935,128.069153
31.12.1935,122.89389
31.01.1936,131.327545
29.02.1936,602.974792
31.03.1936,428.746399
30.04.1936,425.012146
31.05.1936,471.210724
30.06.1936,164.385666
31.07.1936,155.869507
31.08.1936,147.067215
30.09.1936,169.867218
31.10.1936,175.82753
30.11.1936,131.880157
31.12.1936,133.01503
31.01.1937,182.008911
28.02.1937,870.180725
31.03.1937,658.041016
30.04.1937,554.590698
31.05.1937,659.278931
30.06.1937,184.169098
31.07.1937,143.516159
31.08.1937,188.730682
30.09.1937,146.778061
31.10.1937,154.155045
30.11.1937,144.363693
31.12.1937,403.31601
31.01.1938,365.975159
28.02.1938,1312.331909
31.03.1938,1826.702026
30.04.1938,1094.666382
31.05.1938,1343.038086
30.06.1938,1052.690796
31.07.1938,529.070251
31.08.1938,191.601227
30.09.1938,266.107758
31.10.1938,228.373413
30.11.1938,162.175079
31.12.1938,140.203003
31.01.1939,147.343994
28.02.1939,161.180496
31.03.1939,189.650299
30.04.1939,338.546417
31.05.1939,314.3703
30.06.1939,93.47049
31.07.1939,85.355476
31.08.1939,130.487442
30.09.1939,118.109665
31.10.1939,140.412018
30.11.1939,117.130249
31.12.1939,111.615944
31.01.1940,200.511017
29.02.1940,218.937668
31.03.1940,503.519745
30.04.1940,460.419617
31.05.1940,430.410736
30.06.1940,189.778183
31.07.1940,112.425034
31.08.1940,112.053818
30.09.1940,142.825073
31.10.1940,159.838959
30.11.1940,128.29599
31.12.1940,240.080368
31.01.1941,280.721466
28.02.1941,865.493591
31.03.1941,783.195068
30.04.1941,586.857605
31.05.1941,692.301636
30.06.1941,441.408142
31.07.1941,430.815552
31.08.1941,176.261917
30.09.1941,155.095459
31.10.1941,184.033524
30.11.1941,160.345734
31.12.1941,231.174088
31.01.1942,468.943176
28.02.1942,453.217529
31.03.1942,457.471741
30.04.1942,490.313538
31.05.1942,617.596985
30.06.1942,476.822083
