date,kaf
31.10.1921,1.449854177
30.11.1921,1.048502051
31.12.1921,1.032447969
31.01.1922,1.272850701
28.02.1922,1.822286734
31.03.1922,1.885019027
30.04.1922,2.529556804
31.05.1922,3.714517355
30.06.1922,5.48543009
31.07.1922,6.282203151
31.08.1922,5.223434426
30.09.1922,2.253707447
31.10.1922,1.449854177
30.11.1922,1.048502051
31.12.1922,1.032447969
31.01.1923,1.272850701
28.02.1923,1.822286734
31.03.1923,1.885019027
30.04.1923,2.529556804
31.05.1923,3.714517355
30.06.1923,5.48543009
31.07.1923,6.282203151
31.08.1923,5.223434426
30.09.1923,2.253707447
31.10.1923,1.449854177
30.11.1923,1.048502051
31.12.1923,1.032447969
31.01.1924,1.272850701
29.02.1924,1.759449261
31.03.1924,1.885019027
30.04.1924,2.529556804
31.05.1924,3.714517355
30.06.1924,5.48543009
31.07.1924,6.282203151
31.08.1924,5.223434426
30.09.1924,2.253707447
31.10.1924,1.449854177
30.11.1924,1.048502051
31.12.1924,1.032447969
31.01.1925,1.272850701
28.02.1925,1.822286734
31.03.1925,1.885019027
30.04.1925,2.529556804
31.05.1925,3.714517355
30.06.1925,5.48543009
31.07.1925,6.282203151
31.08.1925,5.223434426
30.09.1925,2.253707447
31.10.1925,1.449854177
30.11.1925,1.048502051
31.12.1925,1.032447969
31.01.1926,1.272850701
28.02.1926,1.822286734
31.03.1926,1.885019027
30.04.1926,2.529556804
31.05.1926,3.714517355
30.06.1926,5.48543009
31.07.1926,6.282203151
31.08.1926,5.223434426
30.09.1926,2.253707447
31.10.1926,1.449854177
30.11.1926,1.048502051
31.12.1926,1.032447969
31.01.1927,1.272850701
28.02.1927,1.822286734
31.03.1927,1.885019027
30.04.1927,2.529556804
31.05.1927,3.714517355
30.06.1927,5.48543009
31.07.1927,6.282203151
31.08.1927,5.223434426
30.09.1927,2.253707447
31.10.1927,1.449854177
30.11.1927,1.048502051
31.12.1927,1.032447969
31.01.1928,1.272850701
29.02.1928,1.759449261
31.03.1928,1.885019027
30.04.1928,2.529556804
31.05.1928,3.714517355
30.06.1928,5.48543009
31.07.1928,6.282203151
31.08.1928,5.223434426
30.09.1928,2.253707447
31.10.1928,1.449854177
30.11.1928,1.048502051
31.12.1928,1.032447969
31.01.1929,1.272850701
28.02.1929,1.822286734
31.03.1929,1.885019027
30.04.1929,2.529556804
31.05.1929,3.714517355
30.06.1929,5.48543009
31.07.1929,6.282203151
31.08.1929,5.223434426
30.09.1929,2.253707447
31.10.1929,1.449854177
30.11.1929,1.048502051
31.12.1929,1.032447969
31.01.1930,1.272850701
28.02.1930,1.822286734
31.03.1930,1.885019027
30.04.1930,2.529556804
31.05.1930,3.714517355
30.06.1930,5.48543009
31.07.1930,6.282203151
31.08.1930,5.223434426
30.09.1930,2.253707447
31.10.1930,1.449854177
30.11.1930,1.048502051
31.12.1930,1.032447969
31.01.1931,1.272850701
28.02.1931,1.822286734
31.03.1931,1.885019027
30.04.1931,2.258027627
31.05.1931,3.714517355
30.06.1931,5.48543009
31.07.1931,6.282203151
31.08.1931,5.223434426
30.09.1931,2.253707447
31.10.1931,1.449854177
30.11.1931,1.048502051
31.12.1931,1.032447969
31.01.1932,1.272850701
29.02.1932,1.759449261
