date,kaf
1921-10-31,0.593
1921-11-30,0.478
1921-12-31,0.339
1922-01-31,0.324
1922-02-28,0.347
1922-03-31,0.409
1922-04-30,0.509
1922-05-31,0.809
1922-06-30,0.978
1922-07-31,1.109
1922-08-31,0.901
1922-09-30,0.894
1922-10-31,0.593
1922-11-30,0.478
1922-12-31,0.339
1923-01-31,0.324
1923-02-28,0.347
1923-03-31,0.409
1923-04-30,0.509
1923-05-31,0.809
1923-06-30,0.978
1923-07-31,1.109
1923-08-31,0.901
1923-09-30,0.894
1923-10-31,0.593
1923-11-30,0.478
1923-12-31,0.339
1924-01-31,0.324
1924-02-29,0.347
1924-03-31,0.409
1924-04-30,0.509
1924-05-31,0.809
1924-06-30,0.978
1924-07-31,1.109
1924-08-31,0.901
1924-09-30,0.894
1924-10-31,0.593
1924-11-30,0.478
1924-12-31,0.339
1925-01-31,0.324
1925-02-28,0.347
1925-03-31,0.409
1925-04-30,0.509
1925-05-31,0.809
1925-06-30,0.978
1925-07-31,1.109
1925-08-31,0.901
1925-09-30,0.894
1925-10-31,0.593
1925-11-30,0.478
1925-12-31,0.339
1926-01-31,0.324
1926-02-28,0.347
1926-03-31,0.409
1926-04-30,0.509
1926-05-31,0.809
1926-06-30,0.978
1926-07-31,1.109
1926-08-31,0.901
1926-09-30,0.894
1926-10-31,0.593
1926-11-30,0.478
1926-12-31,0.339
1927-01-31,0.324
1927-02-28,0.347
1927-03-31,0.409
1927-04-30,0.509
1927-05-31,0.809
1927-06-30,0.978
1927-07-31,1.109
1927-08-31,0.901
1927-09-30,0.894
1927-10-31,0.593
1927-11-30,0.478
1927-12-31,0.339
1928-01-31,0.324
1928-02-29,0.347
1928-03-31,0.409
1928-04-30,0.509
1928-05-31,0.809
1928-06-30,0.978
1928-07-31,1.109
1928-08-31,0.901
1928-09-30,0.894
1928-10-31,0.593
1928-11-30,0.478
1928-12-31,0.339
1929-01-31,0.324
1929-02-28,0.347
1929-03-31,0.409
1929-04-30,0.509
1929-05-31,0.809
1929-06-30,0.978
1929-07-31,1.109
1929-08-31,0.901
1929-09-30,0.894
1929-10-31,0.593
1929-11-30,0.478
1929-12-31,0.339
1930-01-31,0.324
1930-02-28,0.347
1930-03-31,0.409
1930-04-30,0.509
1930-05-31,0.809
1930-06-30,0.978
1930-07-31,1.109
1930-08-31,0.901
1930-09-30,0.894
1930-10-31,0.593
1930-11-30,0.478
1930-12-31,0.339
1931-01-31,0.324
1931-02-28,0.347
1931-03-31,0.409
1931-04-30,0.509
1931-05-31,0.809
1931-06-30,0.978
1931-07-31,1.109
1931-08-31,0.901
1931-09-30,0.894
1931-10-31,0.593
1931-11-30,0.478
1931-12-31,0.339
1932-01-31,0.324
1932-02-29,0.347
1932-03-31,0.409
1932-04-30,0.509
1932-05-31,0.809
1932-06-30,0.978
1932-07-31,1.109
1932-08-31,0.901
1932-09-30,0.894
1932-10-31,0.593
1932-11-30,0.478
1932-12-31,0.339
1933-01-31,0.324
1933-02-28,0.347
1933-03-31,0.409
1933-04-30,0.509
1933-05-31,0.809
1933-06-30,0.978
1933-07-31,1.109
1933-08-31,0.901
1933-09-30,0.894
1933-10-31,0.593
1933-11-30,0.478
1933-12-31,0.339
1934-01-31,0.324
1934-02-28,0.347
1934-03-31,0.409
1934-04-30,0.509
1934-05-31,0.809
1934-06-30,0.978
1934-07-31,1.109
1934-08-31,0.901
1934-09-30,0.894
1934-10-31,0.593
1934-11-30,0.478
1934-12-31,0.339
1935-01-31,0.324
1935-02-28,0.347
1935-03-31,0.409
1935-04-30,0.509
1935-05-31,0.809
1935-06-30,0.978
1935-07-31,1.109
1935-08-31,0.901
1935-09-30,0.894
1935-10-31,0.593
1935-11-30,0.478
1935-12-31,0.339
1936-01-31,0.324
1936-02-29,0.347
1936-03-31,0.409
1936-04-30,0.509
1936-05-31,0.809
1936-06-30,0.978
1936-07-31,1.109
1936-08-31,0.901
1936-09-30,0.894
1936-10-31,0.593
1936-11-30,0.478
1936-12-31,0.339
1937-01-31,0.324
1937-02-28,0.347
1937-03-31,0.409
1937-04-30,0.509
1937-05-31,0.809
1937-06-30,0.978
1937-07-31,1.109
1937-08-31,0.901
1937-09-30,0.894
1937-10-31,0.593
1937-11-30,0.478
1937-12-31,0.339
1938-01-31,0.324
1938-02-28,0.347
1938-03-31,0.409
1938-04-30,0.509
1938-05-31,0.809
1938-06-30,0.978
1938-07-31,1.109
1938-08-31,0.901
1938-09-30,0.894
1938-10-31,0.593
1938-11-30,0.478
1938-12-31,0.339
1939-01-31,0.324
1939-02-28,0.347
1939-03-31,0.409
1939-04-30,0.509
1939-05-31,0.809
1939-06-30,0.978
1939-07-31,1.109
1939-08-31,0.901
1939-09-30,0.894
1939-10-31,0.593
1939-11-30,0.478
1939-12-31,0.339
1940-01-31,0.324
1940-02-29,0.347
1940-03-31,0.409
1940-04-30,0.509
1940-05-31,0.809
1940-06-30,0.978
1940-07-31,1.109
1940-08-31,0.901
1940-09-30,0.894
1940-10-31,0.593
1940-11-30,0.478
1940-12-31,0.339
1941-01-31,0.324
1941-02-28,0.347
1941-03-31,0.409
1941-04-30,0.509
1941-05-31,0.809
1941-06-30,0.978
1941-07-31,1.109
1941-08-31,0.901
1941-09-30,0.894
1941-10-31,0.593
1941-11-30,0.478
1941-12-31,0.339
1942-01-31,0.324
1942-02-28,0.347
1942-03-31,0.409
1942-04-30,0.509
1942-05-31,0.809
1942-06-30,0.978
1942-07-31,1.109
1942-08-31,0.901
1942-09-30,0.894
1942-10-31,0.593
1942-11-30,0.478
1942-12-31,0.339
1943-01-31,0.324
1943-02-28,0.347
1943-03-31,0.409
1943-04-30,0.509
1943-05-31,0.809
1943-06-30,0.978
1943-07-31,1.109
1943-08-31,0.901
1943-09-30,0.894
1943-10-31,0.593
1943-11-30,0.478
1943-12-31,0.339
1944-01-31,0.324
1944-02-29,0.347
1944-03-31,0.409
1944-04-30,0.509
1944-05-31,0.809
1944-06-30,0.978
1944-07-31,1.109
1944-08-31,0.901
1944-09-30,0.894
1944-10-31,0.593
1944-11-30,0.478
1944-12-31,0.339
1945-01-31,0.324
1945-02-28,0.347
1945-03-31,0.409
1945-04-30,0.509
1945-05-31,0.809
1945-06-30,0.978
1945-07-31,1.109
1945-08-31,0.901
1945-09-30,0.894
1945-10-31,0.593
1945-11-30,0.478
1945-12-31,0.339
1946-01-31,0.324
1946-02-28,0.347
1946-03-31,0.409
1946-04-30,0.509
1946-05-31,0.809
1946-06-30,0.978
1946-07-31,1.109
1946-08-31,0.901
1946-09-30,0.894
1946-10-31,0.593
1946-11-30,0.478
1946-12-31,0.339
1947-01-31,0.324
1947-02-28,0.347
1947-03-31,0.409
1947-04-30,0.509
1947-05-31,0.809
1947-06-30,0.978
1947-07-31,1.109
1947-08-31,0.901
1947-09-30,0.894
1947-10-31,0.593
1947-11-30,0.478
1947-12-31,0.339
