date,kaf
1921-10-31,21.998
1921-11-30,11.196
1921-12-31,6.859
1922-01-31,7.136
1922-02-28,12.605
1922-03-31,27.031
1922-04-30,33.781
1922-05-31,56.183
1922-06-30,73.868
1922-07-31,78.739
1922-08-31,66.036
1922-09-30,30.291
1922-10-31,21.998
1922-11-30,11.196
1922-12-31,6.859
1923-01-31,7.136
1923-02-28,12.605
1923-03-31,27.031
1923-04-30,33.781
1923-05-31,56.183
1923-06-30,73.868
1923-07-31,78.739
1923-08-31,66.036
1923-09-30,30.291
1923-10-31,21.998
1923-11-30,11.196
1923-12-31,6.859
1924-01-31,7.136
1924-02-29,12.605
1924-03-31,27.031
1924-04-30,33.781
1924-05-31,56.183
1924-06-30,73.868
1924-07-31,78.739
1924-08-31,66.036
1924-09-30,30.291
1924-10-31,21.998
1924-11-30,11.196
1924-12-31,6.859
1925-01-31,7.136
1925-02-28,12.605
1925-03-31,27.031
1925-04-30,33.781
1925-05-31,56.183
1925-06-30,73.868
1925-07-31,78.739
1925-08-31,66.036
1925-09-30,30.291
1925-10-31,21.998
1925-11-30,11.196
1925-12-31,6.859
1926-01-31,7.136
1926-02-28,12.605
1926-03-31,27.031
1926-04-30,33.781
1926-05-31,56.183
1926-06-30,73.868
1926-07-31,78.739
1926-08-31,66.036
1926-09-30,30.291
1926-10-31,21.998
1926-11-30,11.196
1926-12-31,6.859
1927-01-31,7.136
1927-02-28,12.605
1927-03-31,27.031
1927-04-30,33.781
1927-05-31,56.183
1927-06-30,73.868
1927-07-31,78.739
1927-08-31,66.036
1927-09-30,30.291
1927-10-31,21.998
1927-11-30,11.196
1927-12-31,6.859
1928-01-31,7.136
1928-02-29,12.605
1928-03-31,27.031
1928-04-30,33.781
1928-05-31,56.183
1928-06-30,73.868
1928-07-31,78.739
1928-08-31,66.036
1928-09-30,30.291
1928-10-31,21.998
1928-11-30,11.196
1928-12-31,6.859
1929-01-31,7.136
1929-02-28,12.605
1929-03-31,27.031
1929-04-30,33.781
1929-05-31,56.183
1929-06-30,73.868
1929-07-31,78.739
1929-08-31,66.036
1929-09-30,30.291
1929-10-31,21.998
1929-11-30,11.196
1929-12-31,6.859
1930-01-31,7.136
1930-02-28,12.605
1930-03-31,27.031
1930-04-30,33.781
1930-05-31,56.183
1930-06-30,73.868
1930-07-31,78.739
1930-08-31,66.036
1930-09-30,30.291
1930-10-31,21.998
1930-11-30,11.196
1930-12-31,6.859
1931-01-31,7.136
1931-02-28,12.605
1931-03-31,27.031
1931-04-30,33.781
1931-05-31,56.183
1931-06-30,73.868
1931-07-31,78.739
1931-08-31,66.036
1931-09-30,30.291
1931-10-31,21.998
1931-11-30,11.196
1931-12-31,6.859
1932-01-31,7.136
1932-02-29,12.605
1932-03-31,27.031
1932-04-30,33.781
1932-05-31,56.183
1932-06-30,73.868
1932-07-31,78.739
1932-08-31,66.036
1932-09-30,30.291
1932-10-31,21.998
1932-11-30,11.196
1932-12-31,6.859
1933-01-31,7.136
1933-02-28,12.605
1933-03-31,27.031
1933-04-30,33.781
1933-05-31,56.183
1933-06-30,73.868
1933-07-31,78.739
1933-08-31,66.036
1933-09-30,30.291
1933-10-31,21.998
1933-11-30,11.196
1933-12-31,6.859
1934-01-31,7.136
1934-02-28,12.605
1934-03-31,27.031
1934-04-30,33.781
1934-05-31,56.183
1934-06-30,73.868
1934-07-31,78.739
1934-08-31,66.036
1934-09-30,30.291
1934-10-31,21.998
1934-11-30,11.196
1934-12-31,6.859
1935-01-31,7.136
1935-02-28,12.605
1935-03-31,27.031
1935-04-30,33.781
1935-05-31,56.183
1935-06-30,73.868
1935-07-31,78.739
1935-08-31,66.036
1935-09-30,30.291
1935-10-31,21.998
1935-11-30,11.196
1935-12-31,6.859
1936-01-31,7.136
1936-02-29,12.605
1936-03-31,27.031
1936-04-30,33.781
1936-05-31,56.183
1936-06-30,73.868
1936-07-31,78.739
1936-08-31,66.036
1936-09-30,30.291
1936-10-31,21.998
1936-11-30,11.196
1936-12-31,6.859
1937-01-31,7.136
1937-02-28,12.605
1937-03-31,27.031
1937-04-30,33.781
1937-05-31,56.183
1937-06-30,73.868
1937-07-31,78.739
1937-08-31,66.036
1937-09-30,30.291
1937-10-31,21.998
1937-11-30,11.196
1937-12-31,6.859
1938-01-31,7.136
1938-02-28,12.605
1938-03-31,27.031
1938-04-30,33.781
1938-05-31,56.183
1938-06-30,73.868
1938-07-31,78.739
1938-08-31,66.036
1938-09-30,30.291
1938-10-31,21.998
1938-11-30,11.196
1938-12-31,6.859
1939-01-31,7.136
1939-02-28,12.605
1939-03-31,27.031
1939-04-30,33.781
1939-05-31,56.183
