date,kaf
1921-10-31,74.346
1921-11-30,70.566
1921-12-31,70.45
1922-01-31,45.985
1922-02-28,38.35
1922-03-31,70.463
1922-04-30,71.08
1922-05-31,73.446
1922-06-30,71.08
1922-07-31,73.446
1922-08-31,73.446
1922-09-30,71.08
1922-10-31,73.446
1922-11-30,51.18
1922-12-31,67.145
1923-01-31,55.9
1923-02-28,47.29
1923-03-31,74.346
1923-04-30,71.08
1923-05-31,73.446
1923-06-30,71.08
1923-07-31,74.346
1923-08-31,74.346
1923-09-30,71.08
1923-10-31,74.346
1923-11-30,49.444
1923-12-31,37.69
1924-01-31,45.964
1924-02-29,50.527
1924-03-31,74.346
1924-04-30,71.08
1924-05-31,73.446
1924-06-30,71.08
1924-07-31,74.346
1924-08-31,73.446
1924-09-30,71.08
1924-10-31,73.446
1924-11-30,71.08
1924-12-31,70.742
1925-01-31,48.902
1925-02-28,47.865
1925-03-31,73.446
1925-04-30,71.08
1925-05-31,73.446
1925-06-30,71.08
1925-07-31,74.346
1925-08-31,74.346
1925-09-30,71.08
1925-10-31,74.346
1925-11-30,71.08
1925-12-31,73.446
1926-01-31,38.702
1926-02-28,41.951
1926-03-31,70.513
1926-04-30,71.08
1926-05-31,73.446
1926-06-30,71.08
1926-07-31,74.346
1926-08-31,73.446
1926-09-30,71.08
1926-10-31,73.446
1926-11-30,70.792
1926-12-31,55.534
1927-01-31,60.715
1927-02-28,41.829
1927-03-31,63.453
1927-04-30,71.08
1927-05-31,73.446
1927-06-30,71.08
1927-07-31,73.446
1927-08-31,73.446
1927-09-30,71.08
1927-10-31,74.346
1927-11-30,70.774
1927-12-31,42.456
1928-01-31,46.463
1928-02-29,42.849
1928-03-31,56.349
1928-04-30,71.08
1928-05-31,73.446
1928-06-30,71.08
1928-07-31,74.346
1928-08-31,74.346
1928-09-30,71.08
1928-10-31,73.446
1928-11-30,50.403
1928-12-31,48.765
1929-01-31,29.042
1929-02-28,22.971
1929-03-31,49.26
1929-04-30,71.08
1929-05-31,73.446
1929-06-30,71.08
1929-07-31,74.346
1929-08-31,73.446
1929-09-30,71.08
1929-10-31,74.346
1929-11-30,71.08
1929-12-31,43.466
1930-01-31,61.39
1930-02-28,45.904
1930-03-31,74.346
1930-04-30,71.08
1930-05-31,73.446
1930-06-30,71.08
1930-07-31,74.346
1930-08-31,74.346
1930-09-30,71.08
1930-10-31,73.446
1930-11-30,71.08
1930-12-31,38.412
1931-01-31,64.854
1931-02-28,48.106
1931-03-31,74.346
1931-04-30,71.08
1931-05-31,73.446
1931-06-30,71.08
1931-07-31,74.346
1931-08-31,52.518
