date,kaf
1921-10-31,6.497
1921-11-30,0
1921-12-31,0
1922-01-31,0
1922-02-28,0
1922-03-31,0
1922-04-30,0
1922-05-31,27.553
1922-06-30,40.876
1922-07-31,48.288
1922-08-31,46.125
1922-09-30,33.592
1922-10-31,0
1922-11-30,0
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,0
1923-04-30,12.341
1923-05-31,35.538
1923-06-30,49.398
1923-07-31,56.214
1923-08-31,54.044
1923-09-30,40.769
1923-10-31,13.881
1923-11-30,0
1923-12-31,0
1924-01-31,0
1924-02-29,0
1924-03-31,0
1924-04-30,16.776
1924-05-31,39.027
1924-06-30,53.202
1924-07-31,60.35
1924-08-31,58.225
1924-09-30,44.627
1924-10-31,18.908
1924-11-30,0
1924-12-31,0
1925-01-31,0
1925-02-28,0
1925-03-31,0
1925-04-30,13.193
1925-05-31,36.465
1925-06-30,50.413
1925-07-31,57.319
1925-08-31,55.167
1925-09-30,41.815
1925-10-31,14.872
1925-11-30,0
1925-12-31,0
1926-01-31,0
1926-02-28,0
1926-03-31,0
1926-04-30,5.486
1926-05-31,32.537
1926-06-30,46.175
1926-07-31,52.731
1926-08-31,50.607
1926-09-30,37.715
1926-10-31,6.293
1926-11-30,0
1926-12-31,0
1927-01-31,0
1927-02-28,0
1927-03-31,0
1927-04-30,5.294
1927-05-31,32.365
1927-06-30,45.973
1927-07-31,52.505
1927-08-31,50.354
1927-09-30,37.446
1927-10-31,6.054
1927-11-30,0
1927-12-31,0
1928-01-31,0
1928-02-29,0
1928-03-31,0
1928-04-30,13.531
1928-05-31,36.849
1928-06-30,50.828
1928-07-31,57.768
1928-08-31,55.615
1928-09-30,42.218
1928-10-31,0
1928-11-30,0
1928-12-31,0
1929-01-31,0
1929-02-28,0
1929-03-31,0
1929-04-30,14.633
1929-05-31,37.588
1929-06-30,51.649
1929-07-31,58.668
1929-08-31,56.551
1929-09-30,43.12
1929-10-31,0
1929-11-30,0
1929-12-31,0
1930-01-31,0
1930-02-28,0
1930-03-31,0
1930-04-30,10.772
1930-05-31,35.981
1930-06-30,49.914
1930-07-31,56.789
1930-08-31,54.681
1930-09-30,41.436
1930-10-31,12.232
1930-11-30,0
1930-12-31,0
1931-01-31,0
1931-02-28,0
1931-03-31,0
1931-04-30,0
1931-05-31,37.782
1931-06-30,51.858
1931-07-31,58.894
1931-08-31,56.776
1931-09-30,43.322
1931-10-31,0
1931-11-30,0
1931-12-31,0
1932-01-31,0
1932-02-29,0
1932-03-31,0
1932-04-30,0
1932-05-31,31.921
1932-06-30,45.494
1932-07-31,51.986
1932-08-31,49.837
1932-09-30,36.981
1932-10-31,5.523
1932-11-30,0
1932-12-31,0
1933-01-31,0
1933-02-28,0
1933-03-31,0
1933-04-30,0
1933-05-31,0
1933-06-30,47.063
1933-07-31,53.693
1933-08-31,51.564
1933-09-30,38.577
1933-10-31,0
1933-11-30,0
1933-12-31,0
1934-01-31,0
1934-02-28,0
1934-03-31,0
1934-04-30,14.743
1934-05-31,38.757
1934-06-30,52.91
1934-07-31,60.034
1934-08-31,57.91
1934-09-30,44.344
1934-10-31,16.665
1934-11-30,0
1934-12-31,0
1935-01-31,0
1935-02-28,0
1935-03-31,0
1935-04-30,3.409
1935-05-31,0
1935-06-30,44.424
1935-07-31,50.828
1935-08-31,48.685
1935-09-30,35.943
1935-10-31,0
1935-11-30,0
1935-12-31,0
1936-01-31,0
1936-02-29,0
1936-03-31,0
1936-04-30,11.109
1936-05-31,0
1936-06-30,49.065
1936-07-31,55.853
1936-08-31,53.685
1936-09-30,0
1936-10-31,0
1936-11-30,0
1936-12-31,0
1937-01-31,0
1937-02-28,0
1937-03-31,0
1937-04-30,0
1937-05-31,0
1937-06-30,37.12
1937-07-31,42.972
1937-08-31,47.22
1937-09-30,0
1937-10-31,0
1937-11-30,0
1937-12-31,0
1938-01-31,0
1938-02-28,0
1938-03-31,0
1938-04-30,2.82
1938-05-31,30.408
1938-06-30,43.842
1938-07-31,50.19
1938-08-31,48.017
1938-09-30,0
1938-10-31,0
1938-11-30,0
1938-12-31,0
1939-01-31,0
1939-02-28,0
1939-03-31,0
1939-04-30,0
1939-05-31,32.792
1939-06-30,47.776
1939-07-31,54.465
1939-08-31,52.332
1939-09-30,39.268
1939-10-31,9.197
1939-11-30,0
1939-12-31,0
1940-01-31,0
1940-02-29,0
1940-03-31,0
1940-04-30,10.033
1940-05-31,35.144
1940-06-30,48.973
1940-07-31,55.754
1940-08-31,53.586
1940-09-30,40.357
1940-10-31,0
1940-11-30,0
1940-12-31,0
1941-01-31,0
1941-02-28,0
1941-03-31,0
1941-04-30,0
1941-05-31,23.724
1941-06-30,34.069
1941-07-31,43.816
1941-08-31,41.675
1941-09-30,26.136
1941-10-31,0
1941-11-30,0
1941-12-31,0
1942-01-31,0
1942-02-28,0
1942-03-31,0
1942-04-30,0
1942-05-31,32.379
1942-06-30,41.313
1942-07-31,53.929
1942-08-31,51.738
1942-09-30,0
1942-10-31,11.034
1942-11-30,0
1942-12-31,0
1943-01-31,0
1943-02-28,0
1943-03-31,0
1943-04-30,0
1943-05-31,32.567
1943-06-30,46.173
1943-07-31,52.713
1943-08-31,44.27
1943-09-30,0
1943-10-31,0
1943-11-30,0
1943-12-31,0
1944-01-31,0
1944-02-29,0
