date,kaf
date,FLOW_LOC(KAF)
1921-10-31,11.187
1921-11-30,10.571
1921-12-31,12.262
1922-01-31,9.378
1922-02-28,2.96
1922-03-31,3.789
1922-04-30,4.592
1922-05-31,7.544
1922-06-30,12.837
1922-07-31,18.017
1922-08-31,20.315
1922-09-30,19.288
1922-10-31,17.889
1922-11-30,11.769
1922-12-31,9.585
1923-01-31,9.852
1923-02-28,3.326
1923-03-31,4.217
1923-04-30,5.143
1923-05-31,8.136
1923-06-30,13.493
1923-07-31,18.736
1923-08-31,21.06
1923-09-30,20.002
1923-10-31,18.54
1923-11-30,12.106
1923-12-31,9.896
1924-01-31,5.646
1924-02-29,0
1924-03-31,0.073
1924-04-30,0.019
1924-05-31,2.344
1924-06-30,7.156
1924-07-31,11.835
1924-08-31,14.044
1924-09-30,13.471
1924-10-31,12.617
1924-11-30,8.203
1924-12-31,6.311
1925-01-31,10.146
1925-02-28,3.571
1925-03-31,4.506
1925-04-30,5.501
1925-05-31,8.54
1925-06-30,13.935
1925-07-31,19.217
1925-08-31,21.549
1925-09-30,20.458
1925-10-31,18.954
1925-11-30,12.377
1925-12-31,10.145
1926-01-31,7.207
1926-02-28,1.143
1926-03-31,1.644
1926-04-30,1.943
1926-05-31,4.545
1926-06-30,9.556
1926-07-31,14.446
1926-08-31,16.687
1926-09-30,15.914
1926-10-31,14.829
1926-11-30,9.738
1926-12-31,7.719
1927-01-31,10.058
1927-02-28,3.515
1927-03-31,4.442
1927-04-30,5.409
1927-05-31,8.454
1927-06-30,13.836
1927-07-31,19.107
1927-08-31,21.429
1927-09-30,20.334
1927-10-31,18.839
1927-11-30,12.354
1927-12-31,10.123
1928-01-31,10.121
1928-02-29,3.548
1928-03-31,4.479
1928-04-30,5.469
1928-05-31,8.501
1928-06-30,13.893
1928-07-31,19.172
1928-08-31,21.505
1928-09-30,20.417
1928-10-31,18.918
1928-11-30,12.347
1928-12-31,10.117
1929-01-31,5.74
1929-02-28,0
1929-03-31,0.175
1929-04-30,0.14
1929-05-31,2.488
1929-06-30,7.311
1929-07-31,12.003
1929-08-31,14.212
1929-09-30,13.622
1929-10-31,12.753
1929-11-30,8.316
1929-12-31,6.414
1930-01-31,5.844
1930-02-28,0
1930-03-31,0.289
1930-04-30,0.274
1930-05-31,2.649
1930-06-30,7.485
1930-07-31,12.191
