date,kaf
1921-10-31,11.19
1921-11-30,10.57
1921-12-31,12.26
1922-01-31,9.38
1922-02-28,2.96
1922-03-31,3.79
1922-04-30,4.59
1922-05-31,7.54
1922-06-30,12.84
1922-07-31,18.02
1922-08-31,20.32
1922-09-30,19.29
1922-10-31,17.89
1922-11-30,11.77
1922-12-31,9.59
1923-01-31,9.85
1923-02-28,3.33
1923-03-31,4.22
1923-04-30,5.14
1923-05-31,8.14
1923-06-30,13.49
1923-07-31,18.74
1923-08-31,21.06
1923-09-30,20.0
1923-10-31,18.54
1923-11-30,12.11
1923-12-31,9.9
1924-01-31,5.65
1924-02-29,0.0
1924-03-31,0.07
1924-04-30,0.02
1924-05-31,2.34
1924-06-30,7.16
1924-07-31,11.83
1924-08-31,14.04
1924-09-30,13.47
1924-10-31,12.62
1924-11-30,8.2
1924-12-31,6.31
1925-01-31,10.15
1925-02-28,3.57
1925-03-31,4.51
1925-04-30,5.5
1925-05-31,8.54
1925-06-30,13.93
1925-07-31,19.22
1925-08-31,21.55
1925-09-30,20.46
1925-10-31,18.95
1925-11-30,12.38
1925-12-31,10.14
1926-01-31,7.21
1926-02-28,1.14
1926-03-31,1.64
1926-04-30,1.94
1926-05-31,4.54
1926-06-30,9.56
1926-07-31,14.45
1926-08-31,16.69
1926-09-30,15.91
1926-10-31,14.83
1926-11-30,9.74
1926-12-31,7.72
1927-01-31,10.06
1927-02-28,3.51
1927-03-31,4.44
1927-04-30,5.41
1927-05-31,8.45
1927-06-30,13.84
1927-07-31,19.11
1927-08-31,21.43
1927-09-30,20.33
1927-10-31,18.84
1927-11-30,12.35
1927-12-31,10.12
1928-01-31,10.12
1928-02-29,3.55
1928-03-31,4.48
1928-04-30,5.47
1928-05-31,8.5
1928-06-30,13.89
1928-07-31,19.17
1928-08-31,21.5
1928-09-30,20.42
1928-10-31,18.92
1928-11-30,12.35
1928-12-31,10.12
1929-01-31,5.74
1929-02-28,0.0
1929-03-31,0.17
1929-04-30,0.14
1929-05-31,2.49
1929-06-30,7.31
1929-07-31,12.0
1929-08-31,14.21
1929-09-30,13.62
1929-10-31,12.75
1929-11-30,8.32
1929-12-31,6.41
1930-01-31,5.84
1930-02-28,0.0
1930-03-31,0.29
1930-04-30,0.27
1930-05-31,2.65
1930-06-30,7.48
1930-07-31,12.19
1930-08-31,14.4
1930-09-30,13.79
1930-10-31,12.9
1930-11-30,8.44
1930-12-31,6.53
1931-01-31,5.73
1931-02-28,0.0
1931-03-31,0.16
1931-04-30,0.12
1931-05-31,2.47
1931-06-30,7.29
1931-07-31,11.98
1931-08-31,14.19
1931-09-30,13.6
1931-10-31,12.73
1931-11-30,8.3
1931-12-31,6.4
1932-01-31,10.09
1932-02-29,3.54
1932-03-31,4.47
1932-04-30,5.45
1932-05-31,8.5
1932-06-30,13.88
1932-07-31,19.16
1932-08-31,21.48
1932-09-30,20.38
1932-10-31,18.88
1932-11-30,12.39
1932-12-31,10.16
1933-01-31,7.15
1933-02-28,1.09
1933-03-31,1.59
1933-04-30,1.87
1933-05-31,4.46
1933-06-30,9.47
1933-07-31,14.35
1933-08-31,16.59
1933-09-30,15.83
1933-10-31,14.75
1933-11-30,9.67
1933-12-31,7.66
1934-01-31,5.66
1934-02-28,0.0
1934-03-31,0.09
1934-04-30,0.04
1934-05-31,2.37
1934-06-30,7.18
1934-07-31,11.87
1934-08-31,14.08
1934-09-30,13.5
1934-10-31,12.64
1934-11-30,8.22
1934-12-31,6.33
1935-01-31,10.15
1935-02-28,3.6
1935-03-31,4.54
1935-04-30,5.53
1935-05-31,8.6
1935-06-30,13.99
1935-07-31,19.27
1935-08-31,21.6
1935-09-30,20.48
1935-10-31,18.97
1935-11-30,12.47
1935-12-31,10.23
1936-01-31,9.87
1936-02-29,3.34
1936-03-31,4.24
1936-04-30,5.17
1936-05-31,8.17
1936-06-30,13.53
1936-07-31,18.77
1936-08-31,21.1
1936-09-30,20.03
1936-10-31,18.57
1936-11-30,12.13
1936-12-31,9.92
1937-01-31,9.32
1937-02-28,2.9
1937-03-31,3.72
1937-04-30,4.51
1937-05-31,7.45
1937-06-30,12.74
1937-07-31,17.91
1937-08-31,20.21
1937-09-30,19.19
1937-10-31,17.8
1937-11-30,11.7
1937-12-31,9.52
1938-01-31,9.27
1938-02-28,2.86
1938-03-31,3.67
1938-04-30,4.46
1938-05-31,7.38
1938-06-30,12.66
1938-07-31,17.83
1938-08-31,20.13
1938-09-30,19.12
1938-10-31,17.74
1938-11-30,11.64
1938-12-31,9.47
1939-01-31,7.11
1939-02-28,1.06
1939-03-31,1.54
1939-04-30,1.82
1939-05-31,4.4
1939-06-30,9.4
1939-07-31,14.27
1939-08-31,16.51
1939-09-30,15.76
1939-10-31,14.69
1939-11-30,9.62
1939-12-31,7.61
1940-01-31,9.88
1940-02-29,3.35
1940-03-31,4.25
1940-04-30,5.18
1940-05-31,8.18
1940-06-30,13.54
1940-07-31,18.78
1940-08-31,21.11
1940-09-30,20.04
1940-10-31,18.58
1940-11-30,12.14
1940-12-31,9.92
1941-01-31,9.63
1941-02-28,3.19
1941-03-31,4.06
1941-04-30,4.91
1941-05-31,7.93
1941-06-30,13.25
1941-07-31,18.46
1941-08-31,20.76
1941-09-30,19.69
1941-10-31,18.25
1941-11-30,12.07
1941-12-31,9.86
1942-01-31,9.06
1942-02-28,2.67
1942-03-31,3.45
1942-04-30,4.19
1942-05-31,7.06
1942-06-30,12.32
1942-07-31,17.45
1942-08-31,19.75
1942-09-30,18.78
1942-10-31,17.43
1942-11-30,11.39
1942-12-31,9.24
1943-01-31,9.13
1943-02-28,2.74
1943-03-31,3.52
1943-04-30,4.28
1943-05-31,7.17
1943-06-30,12.43
1943-07-31,17.57
1943-08-31,19.87
1943-09-30,18.89
1943-10-31,17.53
1943-11-30,11.47
1943-12-31,9.31
1944-01-31,10.54
1944-02-29,3.93
1944-03-31,4.94
1944-04-30,6.01
1944-05-31,9.15
1944-06-30,14.59
1944-07-31,19.93
1944-08-31,22.26
1944-09-30,21.1
1944-10-31,19.53
1944-11-30,12.85
1944-12-31,10.58
1945-01-31,9.99
1945-02-28,3.45
1945-03-31,4.36
1945-04-30,5.32
1945-05-31,8.34
1945-06-30,13.72
1945-07-31,18.98
1945-08-31,21.3
1945-09-30,20.22
1945-10-31,18.73
1945-11-30,12.27
1945-12-31,10.04
1946-01-31,9.93
1946-02-28,3.4
1946-03-31,4.31
1946-04-30,5.25
1946-05-31,8.26
1946-06-30,13.63
1946-07-31,18.88
1946-08-31,21.21
1946-09-30,20.14
1946-10-31,18.66
1946-11-30,12.21
1946-12-31,9.99
1947-01-31,6.71
1947-02-28,0.69
1947-03-31,1.1
1947-04-30,1.3
1947-05-31,3.78
1947-06-30,8.73
1947-07-31,13.55
1947-08-31,15.8
1947-09-30,15.11
1947-10-31,14.11
1947-11-30,9.14
1947-12-31,7.17
1948-01-31,10.15
1948-02-29,3.57
1948-03-31,4.51
1948-04-30,5.51
1948-05-31,8.55
1948-06-30,13.94
1948-07-31,19.22
1948-08-31,21.56
1948-09-30,20.46
1948-10-31,18.96
1948-11-30,12.38
1948-12-31,10.15
1949-01-31,10.2
1949-02-28,3.62
1949-03-31,4.57
1949-04-30,5.57
