date,kaf
1921-10-31,2.796698
1921-11-30,0
1921-12-31,0
1922-01-31,0
1922-02-28,0
1922-03-31,0
1922-04-30,0
1922-05-31,0
1922-06-30,19.684422
1922-07-31,33.723675
1922-08-31,13.92655
1922-09-30,31.753891
1922-10-31,0
1922-11-30,0
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,0
1923-04-30,0
1923-05-31,0
1923-06-30,27.03054
1923-07-31,41.690273
1923-08-31,47.785202
1923-09-30,0
1923-10-31,0
1923-11-30,0
1923-12-31,0
1924-01-31,0
1924-02-29,0
1924-03-31,0
1924-04-30,13.455546
1924-05-31,0
1924-06-30,35.124638
1924-07-31,45.834473
1924-08-31,51.965736
1924-09-30,38.812054
1924-10-31,0
1924-11-30,0
1924-12-31,0
1925-01-31,0
1925-02-28,0
1925-03-31,0
1925-04-30,9.873373
1925-05-31,0
1925-06-30,28.121078
1925-07-31,42.885345
1925-08-31,23.091965
1925-09-30,0
1925-10-31,11.172179
1925-11-30,0
1925-12-31,0
1926-01-31,0
1926-02-28,0
1926-03-31,0
1926-04-30,0
1926-05-31,31.308992
1926-06-30,40.192234
1926-07-31,38.133221
1926-08-31,44.347755
1926-09-30,0
1926-10-31,0
1926-11-30,0
1926-12-31,0
1927-01-31,0
1927-02-28,0
1927-03-31,0
1927-04-30,1.97382
1927-05-31,30.767483
1927-06-30,45.973381
1927-07-31,52.505386
1927-08-31,50.353649
1927-09-30,37.446259
1927-10-31,2.354366
1927-11-30,0
1927-12-31,0
1928-01-31,0
1928-02-29,0
1928-03-31,0
1928-04-30,10.211319
1928-05-31,41.60796
1928-06-30,50.828075
1928-07-31,57.768482
1928-08-31,55.614616
1928-09-30,42.217712
1928-10-31,11.552514
1928-11-30,0
1928-12-31,0
1929-01-31,0
1929-02-28,0
1929-03-31,0
1929-04-30,11.313151
1929-05-31,42.34676
1929-06-30,51.648872
1929-07-31,58.667919
1929-08-31,56.550625
1929-09-30,43.119579
1929-10-31,12.818472
1929-11-30,0
1929-12-31,0
1930-01-31,0
1930-02-28,0
1930-03-31,0
1930-04-30,7.451615
1930-05-31,40.73946
1930-06-30,49.91354
1930-07-31,56.788822
1930-08-31,54.680824
1930-09-30,41.436001
1930-10-31,8.532411
1930-11-30,0
1930-12-31,0
1931-01-31,0
1931-02-28,0
1931-03-31,0
1931-04-30,10.348501
1931-05-31,42.540253
1931-06-30,51.85778
1931-07-31,58.894135
1931-08-31,77.703392
1931-09-30,0.193347
1931-10-31,11.760544
1931-11-30,0
1931-12-31,0
1932-01-31,0
1932-02-29,0
1932-03-31,0
1932-04-30,1.499678
1932-05-31,36.67955
1932-06-30,45.493584
1932-07-31,51.985836
