date,kaf
1921-10-31,45.549999
1921-11-30,31.16
1921-12-31,25.200001
1922-01-31,19.1
1922-02-28,14.08
1922-03-31,24.35
1922-04-30,35.93
1922-05-31,50.77
1922-06-30,57.970001
1922-07-31,65.919998
1922-08-31,65.32
1922-09-30,54.900002
1922-10-31,45.549999
1922-11-30,31.16
1922-12-31,25.200001
1923-01-31,19.1
1923-02-28,14.08
1923-03-31,24.35
1923-04-30,35.93
1923-05-31,50.77
1923-06-30,57.970001
1923-07-31,65.919998
1923-08-31,65.32
1923-09-30,54.900002
1923-10-31,45.549999
1923-11-30,31.16
1923-12-31,25.200001
1924-01-31,19.1
1924-02-29,14.08
1924-03-31,24.35
1924-04-30,35.93
1924-05-31,50.77
1924-06-30,57.970001
1924-07-31,65.919998
1924-08-31,65.32
1924-09-30,54.900002
1924-10-31,45.549999
1924-11-30,31.16
1924-12-31,25.200001
1925-01-31,19.1
1925-02-28,14.08
1925-03-31,24.35
1925-04-30,35.93
1925-05-31,50.77
1925-06-30,57.970001
1925-07-31,65.919998
1925-08-31,65.32
1925-09-30,54.900002
1925-10-31,45.549999
1925-11-30,31.16
1925-12-31,25.200001
1926-01-31,19.1
1926-02-28,14.08
1926-03-31,24.35
1926-04-30,35.93
1926-05-31,50.77
1926-06-30,57.970001
1926-07-31,65.919998
1926-08-31,65.32
1926-09-30,54.900002
1926-10-31,45.549999
1926-11-30,31.16
1926-12-31,25.200001
1927-01-31,19.1
1927-02-28,14.08
1927-03-31,24.35
1927-04-30,35.93
1927-05-31,50.77
1927-06-30,57.970001
1927-07-31,65.919998
1927-08-31,65.32
1927-09-30,54.900002
1927-10-31,45.549999
1927-11-30,31.16
1927-12-31,25.200001
1928-01-31,19.1
1928-02-29,14.08
1928-03-31,24.35
1928-04-30,35.93
1928-05-31,50.77
1928-06-30,57.970001
1928-07-31,65.919998
1928-08-31,65.32
1928-09-30,54.900002
1928-10-31,45.549999
1928-11-30,31.16
1928-12-31,25.200001
1929-01-31,19.1
1929-02-28,14.08
1929-03-31,24.35
1929-04-30,35.93
1929-05-31,50.77
1929-06-30,57.970001
1929-07-31,65.919998
1929-08-31,65.32
1929-09-30,54.900002
1929-10-31,45.549999
1929-11-30,31.16
1929-12-31,25.200001
1930-01-31,19.1
1930-02-28,14.08
1930-03-31,24.35
1930-04-30,35.93
1930-05-31,50.77
1930-06-30,57.970001
1930-07-31,65.919998
1930-08-31,65.32
1930-09-30,54.900002
1930-10-31,45.549999
1930-11-30,31.16
1930-12-31,25.200001
1931-01-31,19.1
1931-02-28,14.08
1931-03-31,24.35
1931-04-30,35.93
1931-05-31,50.77
1931-06-30,57.970001
1931-07-31,65.919998
1931-08-31,65.32
1931-09-30,54.900002
1931-10-31,45.549999
1931-11-30,31.16
1931-12-31,25.200001
1932-01-31,19.1
1932-02-29,14.08
1932-03-31,24.35
1932-04-30,35.93
1932-05-31,50.77
1932-06-30,57.970001
1932-07-31,65.919998
1932-08-31,65.32
1932-09-30,54.900002
1932-10-31,45.549999
1932-11-30,31.16
1932-12-31,25.200001
1933-01-31,19.1
1933-02-28,14.08
1933-03-31,24.35
1933-04-30,35.93
1933-05-31,50.77
1933-06-30,57.970001
1933-07-31,65.919998
1933-08-31,65.32
1933-09-30,54.900002
1933-10-31,45.549999
1933-11-30,31.16
1933-12-31,25.200001
1934-01-31,19.1
1934-02-28,14.08
1934-03-31,24.35
1934-04-30,35.93
1934-05-31,50.77
1934-06-30,57.970001
