date,kaf
1921-09-30,2500
1921-10-31,2497.963
1921-11-30,2512.895
1921-12-31,2525.615
1922-01-31,2536.797
1922-02-28,2548.228
1922-03-31,2560.407
1922-04-30,2561.542
1922-05-31,2559.258
1922-06-30,2563.31
1922-07-31,2569.79
1922-08-31,2574.844
1922-09-30,2575.609
1922-10-31,2577.256
1922-11-30,2592.076
1922-12-31,2581.696
1923-01-31,2578.575
1923-02-28,2589.93
1923-03-31,2602.027
1923-04-30,2595.975
1923-05-31,2593.691
1923-06-30,2597.743
1923-07-31,2604.223
1923-08-31,2609.277
1923-09-30,2610.042
1923-10-31,2606.189
1923-11-30,2597.909
1923-12-31,2587.53
1924-01-31,2577.606
1924-02-29,2567.219
1924-03-31,2556.634
1924-04-30,2550.581
1924-05-31,2548.298
1924-06-30,2552.349
1924-07-31,2558.83
1924-08-31,2563.884
1924-09-30,2564.649
1924-10-31,2562.612
1924-11-30,2555.146
1924-12-31,2544.765
1925-01-31,2534.843
1925-02-28,2546.198
1925-03-31,2536.559
1925-04-30,2530.507
1925-05-31,2528.223
1925-06-30,2532.275
1925-07-31,2538.755
1925-08-31,2543.809
1925-09-30,2544.574
1925-10-31,2542.537
1925-11-30,2540.267
1925-12-31,2547.567
1926-01-31,2558.678
1926-02-28,2570.033
1926-03-31,2582.13
1926-04-30,2576.077
1926-05-31,2573.794
1926-06-30,2577.846
1926-07-31,2584.326
1926-08-31,2589.38
1926-09-30,2590.145
1926-10-31,2588.108
1926-11-30,2601.03
1926-12-31,2613.75
1927-01-31,2624.86
1927-02-28,2636.216
1927-03-31,2648.312
1927-04-30,2642.26
1927-05-31,2639.977
1927-06-30,2644.028
1927-07-31,2650.509
1927-08-31,2655.563
1927-09-30,2656.328
1927-10-31,2654.291
1927-11-30,2668.078
1927-12-31,2657.698
1928-01-31,2666.112
1928-02-29,2677.467
1928-03-31,2689.564
1928-04-30,2683.511
1928-05-31,2681.228
1928-06-30,2685.28
1928-07-31,2691.76
1928-08-31,2696.814
1928-09-30,2697.579
1928-10-31,2693.726
1928-11-30,2685.446
1928-12-31,2675.066
1929-01-31,2665.143
1929-02-28,2654.755
1929-03-31,2644.17
1929-04-30,2638.118
1929-05-31,2635.834
1929-06-30,2639.886
1929-07-31,2646.366
1929-08-31,2651.42
1929-09-30,2652.186
1929-10-31,2648.333
1929-11-30,2640.053
1929-12-31,2629.673
1930-01-31,2619.75
1930-02-28,2609.362
1930-03-31,2598.777
1930-04-30,2592.724
1930-05-31,2590.441
1930-06-30,2594.492
1930-07-31,2600.973
1930-08-31,2606.027
1930-09-30,2606.792
1930-10-31,2602.939
1930-11-30,2607.239
1930-12-31,2596.859
1931-01-31,2586.936
1931-02-28,2576.548
1931-03-31,2565.963
1931-04-30,2559.911
1931-05-31,2557.627
1931-06-30,2561.679
1931-07-31,2568.159
1931-08-31,2573.213
1931-09-30,2573.979
1931-10-31,2570.125
1931-11-30,2569.618
1931-12-31,2559.238
1932-01-31,2549.315
1932-02-29,2559.606
1932-03-31,2571.703
1932-04-30,2565.65
1932-05-31,2563.367
1932-06-30,2567.418
1932-07-31,2573.899
1932-08-31,2578.953
1932-09-30,2579.718
1932-10-31,2575.865
1932-11-30,2590.16
1932-12-31,2579.78
1933-01-31,2570.658
1933-02-28,2582.014
1933-03-31,2594.111
1933-04-30,2588.058
1933-05-31,2585.775
1933-06-30,2589.826
1933-07-31,2596.307
1933-08-31,2601.361
1933-09-30,2602.126
1933-10-31,2598.273
1933-11-30,2610.429
1933-12-31,2600.049
1934-01-31,2590.126
1934-02-28,2600.417
1934-03-31,2589.832
1934-04-30,2583.779
1934-05-31,2581.496
1934-06-30,2585.547
1934-07-31,2592.028
1934-08-31,2597.082
1934-09-30,2597.847
1934-10-31,2595.81
1934-11-30,2593.889
1934-12-31,2606.609
1935-01-31,2617.72
1935-02-28,2629.075
1935-03-31,2641.172
1935-04-30,2635.119
1935-05-31,2632.836
1935-06-30,2636.887
1935-07-31,2643.368
1935-08-31,2648.422
1935-09-30,2649.187
1935-10-31,2645.334
1935-11-30,2660.154
1935-12-31,2653.883
1936-01-31,2664.993
1936-02-29,2676.349
1936-03-31,2688.446
1936-04-30,2682.393
1936-05-31,2680.109
1936-06-30,2684.161
1936-07-31,2690.641
1936-08-31,2695.696
1936-09-30,2696.461
1936-10-31,2694.423
1936-11-30,2696.828
1936-12-31,2709.548
1937-01-31,2720.659
1937-02-28,2732.014
1937-03-31,2744.111
1937-04-30,2738.058
1937-05-31,2735.775
1937-06-30,2739.827
1937-07-31,2746.307
1937-08-31,2751.361
1937-09-30,2752.126
1937-10-31,2751.097
1937-11-30,2765.917
1937-12-31,2778.638
1938-01-31,2789.748
1938-02-28,2801.104
1938-03-31,2813.2
1938-04-30,2807.148
1938-05-31,2804.864
1938-06-30,2808.916
1938-07-31,2815.396
1938-08-31,2820.45
1938-09-30,2821.216
1938-10-31,2817.363
1938-11-30,2832.183
1938-12-31,2821.802
1939-01-31,2816.905
1939-02-28,2828.26
1939-03-31,2840.357
1939-04-30,2834.305
1939-05-31,2832.021
1939-06-30,2836.073
1939-07-31,2842.553
1939-08-31,2847.607
1939-09-30,2848.372
1939-10-31,2846.335
1939-11-30,2854.625
1939-12-31,2866.757
1940-01-31,2877.867
1940-02-29,2889.223
1940-03-31,2901.32
1940-04-30,2895.267
1940-05-31,2892.983
1940-06-30,2897.035
1940-07-31,2903.515
1940-08-31,2908.57
1940-09-30,2909.335
1940-10-31,2907.297
1940-11-30,2922.117
1940-12-31,2934.837
1941-01-31,2945.948
1941-02-28,2957.303
1941-03-31,2969.4
1941-04-30,2963.348
1941-05-31,2961.064
1941-06-30,2965.116
1941-07-31,2971.596
1941-08-31,2976.65
1941-09-30,2977.416
1941-10-31,2977.896
1941-11-30,2992.717
1941-12-31,3005.437
1942-01-31,3016.547
1942-02-28,3027.903
1942-03-31,3039.999
1942-04-30,3033.947
1942-05-31,3031.663
1942-06-30,3035.715
1942-07-31,3042.195
1942-08-31,3047.25
1942-09-30,3048.015
1942-10-31,3045.977
1942-11-30,3050.261
