date,kaf
1921-10-31,2.167
1921-11-30,0.116
1921-12-31,0.021
1922-01-31,0.021
1922-02-28,0.028
1922-03-31,1.018
1922-04-30,5.117
1922-05-31,10.748
1922-06-30,12.922
1922-07-31,14.514
1922-08-31,11.259
1922-09-30,4.27
1922-10-31,2.167
1922-11-30,0.116
1922-12-31,0.021
1923-01-31,0.021
1923-02-28,0.028
1923-03-31,1.018
1923-04-30,5.117
1923-05-31,10.748
1923-06-30,12.922
1923-07-31,14.514
1923-08-31,11.259
1923-09-30,4.27
1923-10-31,2.167
1923-11-30,0.116
1923-12-31,0.021
1924-01-31,0.021
1924-02-29,0.028
1924-03-31,1.018
1924-04-30,5.117
1924-05-31,10.748
1924-06-30,12.922
1924-07-31,14.514
1924-08-31,11.259
1924-09-30,4.27
1924-10-31,2.167
1924-11-30,0.116
1924-12-31,0.021
1925-01-31,0.021
1925-02-28,0.028
1925-03-31,1.018
1925-04-30,5.117
1925-05-31,10.748
1925-06-30,12.922
1925-07-31,14.514
1925-08-31,11.259
1925-09-30,4.27
1925-10-31,2.167
1925-11-30,0.116
1925-12-31,0.021
1926-01-31,0.021
1926-02-28,0.028
1926-03-31,1.018
1926-04-30,5.117
1926-05-31,10.748
1926-06-30,12.922
1926-07-31,14.514
1926-08-31,11.259
1926-09-30,4.27
1926-10-31,2.167
1926-11-30,0.116
1926-12-31,0.021
1927-01-31,0.021
1927-02-28,0.028
1927-03-31,1.018
1927-04-30,5.117
1927-05-31,10.748
1927-06-30,12.922
1927-07-31,14.514
1927-08-31,11.259
1927-09-30,4.27
1927-10-31,2.167
1927-11-30,0.116
1927-12-31,0.021
1928-01-31,0.021
1928-02-29,0.028
1928-03-31,1.018
1928-04-30,5.117
1928-05-31,10.748
1928-06-30,12.922
1928-07-31,14.514
1928-08-31,11.259
1928-09-30,4.27
1928-10-31,2.167
1928-11-30,0.116
1928-12-31,0.021
1929-01-31,0.021
1929-02-28,0.028
1929-03-31,1.018
1929-04-30,5.117
1929-05-31,10.748
1929-06-30,12.922
1929-07-31,14.514
1929-08-31,11.259
1929-09-30,4.27
1929-10-31,2.167
1929-11-30,0.116
1929-12-31,0.021
1930-01-31,0.021
1930-02-28,0.028
1930-03-31,1.018
1930-04-30,5.117
1930-05-31,10.748
1930-06-30,12.922
1930-07-31,14.514
1930-08-31,11.259
1930-09-30,4.27
1930-10-31,2.167
1930-11-30,0.116
1930-12-31,0.021
1931-01-31,0.021
1931-02-28,0.028
1931-03-31,1.018
1931-04-30,5.117
1931-05-31,10.748
1931-06-30,12.922
1931-07-31,14.514
1931-08-31,11.259
1931-09-30,4.27
1931-10-31,2.167
1931-11-30,0.116
1931-12-31,0.021
1932-01-31,0.021
1932-02-29,0.028
1932-03-31,1.018
1932-04-30,5.117
1932-05-31,10.748
1932-06-30,12.922
1932-07-31,14.514
1932-08-31,11.259
1932-09-30,4.27
1932-10-31,2.167
1932-11-30,0.116
1932-12-31,0.021
1933-01-31,0.021
1933-02-28,0.028
1933-03-31,1.018
1933-04-30,5.117
1933-05-31,10.748
1933-06-30,12.922
1933-07-31,14.514
1933-08-31,11.259
1933-09-30,4.27
1933-10-31,2.167
1933-11-30,0.116
1933-12-31,0.021
1934-01-31,0.021
1934-02-28,0.028
1934-03-31,1.018
1934-04-30,5.117
1934-05-31,10.748
1934-06-30,12.922
1934-07-31,14.514
1934-08-31,11.259
1934-09-30,4.27
1934-10-31,2.167
1934-11-30,0.116
1934-12-31,0.021
1935-01-31,0.021
1935-02-28,0.028
1935-03-31,1.018
1935-04-30,5.117
1935-05-31,10.748
1935-06-30,12.922
1935-07-31,14.514
1935-08-31,11.259
1935-09-30,4.27
1935-10-31,2.167
1935-11-30,0.116
1935-12-31,0.021
1936-01-31,0.021
1936-02-29,0.028
1936-03-31,1.018
1936-04-30,5.117
1936-05-31,10.748
1936-06-30,12.922
1936-07-31,14.514
1936-08-31,11.259
1936-09-30,4.27
1936-10-31,2.167
1936-11-30,0.116
1936-12-31,0.021
1937-01-31,0.021
1937-02-28,0.028
1937-03-31,1.018
1937-04-30,5.117
1937-05-31,10.748
1937-06-30,12.922
1937-07-31,14.514
1937-08-31,11.259
1937-09-30,4.27
1937-10-31,2.167
1937-11-30,0.116
1937-12-31,0.021
1938-01-31,0.021
1938-02-28,0.028
1938-03-31,1.018
1938-04-30,5.117
1938-05-31,10.748
1938-06-30,12.922
1938-07-31,14.514
1938-08-31,11.259
1938-09-30,4.27
1938-10-31,2.167
1938-11-30,0.116
1938-12-31,0.021
1939-01-31,0.021
1939-02-28,0.028
1939-03-31,1.018
1939-04-30,5.117
1939-05-31,10.748
1939-06-30,12.922
1939-07-31,14.514
1939-08-31,11.259
1939-09-30,4.27
1939-10-31,2.167
1939-11-30,0.116
1939-12-31,0.021
1940-01-31,0.021
1940-02-29,0.028
1940-03-31,1.018
1940-04-30,5.117
1940-05-31,10.748
1940-06-30,12.922
1940-07-31,14.514
1940-08-31,11.259
1940-09-30,4.27
1940-10-31,2.167
1940-11-30,0.116
1940-12-31,0.021
1941-01-31,0.021
1941-02-28,0.028
1941-03-31,1.018
1941-04-30,5.117
1941-05-31,10.748
1941-06-30,12.922
1941-07-31,14.514
1941-08-31,11.259
1941-09-30,4.27
1941-10-31,2.167
1941-11-30,0.116
1941-12-31,0.021
1942-01-31,0.021
1942-02-28,0.028
1942-03-31,1.018
1942-04-30,5.117
1942-05-31,10.748
1942-06-30,12.922
1942-07-31,14.514
1942-08-31,11.259
1942-09-30,4.27
1942-10-31,2.167
1942-11-30,0.116
1942-12-31,0.021
1943-01-31,0.021
1943-02-28,0.028
1943-03-31,1.018
1943-04-30,5.117
1943-05-31,10.748
1943-06-30,12.922
1943-07-31,14.514
1943-08-31,11.259
1943-09-30,4.27
1943-10-31,2.167
1943-11-30,0.116
1943-12-31,0.021
1944-01-31,0.021
1944-02-29,0.028
1944-03-31,1.018
1944-04-30,5.117
1944-05-31,10.748
1944-06-30,12.922
1944-07-31,14.514
1944-08-31,11.259
1944-09-30,4.27
1944-10-31,2.167
1944-11-30,0.116
1944-12-31,0.021
1945-01-31,0.021
1945-02-28,0.028
1945-03-31,1.018
1945-04-30,5.117
1945-05-31,10.748
1945-06-30,12.922
1945-07-31,14.514
1945-08-31,11.259
1945-09-30,4.27
1945-10-31,2.167
1945-11-30,0.116
1945-12-31,0.021
1946-01-31,0.021
1946-02-28,0.028
1946-03-31,1.018
1946-04-30,5.117
1946-05-31,10.748
1946-06-30,12.922
1946-07-31,14.514
1946-08-31,11.259
1946-09-30,4.27
1946-10-31,2.167
1946-11-30,0.116
1946-12-31,0.021
1947-01-31,0.021
1947-02-28,0.028
1947-03-31,1.018
1947-04-30,5.117
1947-05-31,10.748
1947-06-30,12.922
1947-07-31,14.514
1947-08-31,11.259
1947-09-30,4.27
1947-10-31,2.167
1947-11-30,0.116
1947-12-31,0.021
1948-01-31,0.021
1948-02-29,0.028
1948-03-31,1.018
1948-04-30,5.117
1948-05-31,10.748
1948-06-30,12.922
1948-07-31,14.514
1948-08-31,11.259
1948-09-30,4.27
1948-10-31,2.167
1948-11-30,0.116
1948-12-31,0.021
1949-01-31,0.021
1949-02-28,0.028
1949-03-31,1.018
1949-04-30,5.117
1949-05-31,10.748
1949-06-30,12.922
1949-07-31,14.514
1949-08-31,11.259
1949-09-30,4.27
1949-10-31,2.167
1949-11-30,0.116
1949-12-31,0.021
1950-01-31,0.021
1950-02-28,0.028
1950-03-31,1.018
1950-04-30,5.117
1950-05-31,10.748
1950-06-30,12.922
1950-07-31,14.514
1950-08-31,11.259
1950-09-30,4.27
1950-10-31,2.167
1950-11-30,0.116
1950-12-31,0.021
1951-01-31,0.021
1951-02-28,0.028
1951-03-31,1.018
1951-04-30,5.117
1951-05-31,10.748
1951-06-30,12.922
1951-07-31,14.514
1951-08-31,11.259
1951-09-30,4.27
1951-10-31,2.167
1951-11-30,0.116
1951-12-31,0.021
1952-01-31,0.021
1952-02-29,0.028
1952-03-31,1.018
1952-04-30,5.117
1952-05-31,10.748
1952-06-30,12.922
1952-07-31,14.514
1952-08-31,11.259
1952-09-30,4.27
1952-10-31,2.167
1952-11-30,0.116
1952-12-31,0.021
1953-01-31,0.021
1953-02-28,0.028
1953-03-31,1.018
1953-04-30,5.117
1953-05-31,10.748
1953-06-30,12.922
1953-07-31,14.514
1953-08-31,11.259
1953-09-30,4.27
1953-10-31,2.167
1953-11-30,0.116
1953-12-31,0.021
1954-01-31,0.021
1954-02-28,0.028
1954-03-31,1.018
1954-04-30,5.117
1954-05-31,10.748
1954-06-30,12.922
1954-07-31,14.514
1954-08-31,11.259
1954-09-30,4.27
1954-10-31,2.167
1954-11-30,0.116
1954-12-31,0.021
1955-01-31,0.021
1955-02-28,0.028
1955-03-31,1.018
1955-04-30,5.117
1955-05-31,10.748
1955-06-30,12.922
1955-07-31,14.514
1955-08-31,11.259
1955-09-30,4.27
1955-10-31,2.167
1955-11-30,0.116
1955-12-31,0.021
1956-01-31,0.021
1956-02-29,0.028
1956-03-31,1.018
1956-04-30,5.117
1956-05-31,10.748
1956-06-30,12.922
1956-07-31,14.514
1956-08-31,11.259
1956-09-30,4.27
1956-10-31,2.167
1956-11-30,0.116
1956-12-31,0.021
1957-01-31,0.021
1957-02-28,0.028
1957-03-31,1.018
1957-04-30,5.117
1957-05-31,10.748
1957-06-30,12.922
1957-07-31,14.514
1957-08-31,11.259
1957-09-30,4.27
1957-10-31,2.167
1957-11-30,0.116
1957-12-31,0.021
1958-01-31,0.021
1958-02-28,0.028
1958-03-31,1.018
1958-04-30,5.117
1958-05-31,10.748
1958-06-30,12.922
1958-07-31,14.514
1958-08-31,11.259
1958-09-30,4.27
1958-10-31,2.167
1958-11-30,0.116
1958-12-31,0.021
1959-01-31,0.021
1959-02-28,0.028
1959-03-31,1.018
1959-04-30,5.117
1959-05-31,10.748
1959-06-30,12.922
1959-07-31,14.514
1959-08-31,11.259
1959-09-30,4.27
1959-10-31,2.167
1959-11-30,0.116
1959-12-31,0.021
1960-01-31,0.021
1960-02-29,0.028
1960-03-31,1.018
1960-04-30,5.117
1960-05-31,10.748
1960-06-30,12.922
1960-07-31,14.514
1960-08-31,11.259
1960-09-30,4.27
1960-10-31,2.167
1960-11-30,0.116
1960-12-31,0.021
1961-01-31,0.021
1961-02-28,0.028
1961-03-31,1.018
1961-04-30,5.117
1961-05-31,10.748
1961-06-30,12.922
1961-07-31,14.514
1961-08-31,11.259
1961-09-30,4.27
1961-10-31,2.167
1961-11-30,0.116
