date,kaf
31.10.1921,5.940329
30.11.1921,5.317023
31.12.1921,5.130617
31.01.1922,4.860749
28.02.1922,5.038203
31.03.1922,4.990823
30.04.1922,5.622376
31.05.1922,5.977983
30.06.1922,6.497437
31.07.1922,6.558183
31.08.1922,6.713509
30.09.1922,6.302767
31.10.1922,5.940329
30.11.1922,5.317023
31.12.1922,5.130617
31.01.1923,4.860749
28.02.1923,5.038203
31.03.1923,4.990823
30.04.1923,5.622376
31.05.1923,5.977983
30.06.1923,6.497437
31.07.1923,6.558183
31.08.1923,6.713509
30.09.1923,6.302767
31.10.1923,5.940329
30.11.1923,5.317023
31.12.1923,5.130617
31.01.1924,4.860749
29.02.1924,5.038203
31.03.1924,4.990823
30.04.1924,5.622376
31.05.1924,5.977983
30.06.1924,6.497437
31.07.1924,6.558183
31.08.1924,6.713509
30.09.1924,6.302767
31.10.1924,5.940329
30.11.1924,5.317023
31.12.1924,5.130617
31.01.1925,4.860749
28.02.1925,5.038203
31.03.1925,4.990823
30.04.1925,5.622376
31.05.1925,5.977983
30.06.1925,6.497437
31.07.1925,6.558183
31.08.1925,6.713509
30.09.1925,6.302767
31.10.1925,5.940329
30.11.1925,5.317023
31.12.1925,5.130617
31.01.1926,4.860749
28.02.1926,5.038203
31.03.1926,4.990823
30.04.1926,5.622376
31.05.1926,5.977983
30.06.1926,6.497437
31.07.1926,6.558183
31.08.1926,6.713509
30.09.1926,6.302767
31.10.1926,5.940329
30.11.1926,5.317023
31.12.1926,5.130617
31.01.1927,4.860749
28.02.1927,5.038203
31.03.1927,4.990823
30.04.1927,5.622376
31.05.1927,5.977983
30.06.1927,6.497437
31.07.1927,6.558183
31.08.1927,6.713509
30.09.1927,6.302767
31.10.1927,5.940329
30.11.1927,5.317023
31.12.1927,5.130617
31.01.1928,4.860749
29.02.1928,5.038203
31.03.1928,4.990823
30.04.1928,5.622376
31.05.1928,5.977983
30.06.1928,6.497437
31.07.1928,6.558183
31.08.1928,6.713509
30.09.1928,6.302767
31.10.1928,5.940329
30.11.1928,5.317023
31.12.1928,5.130617
31.01.1929,4.860749
28.02.1929,5.038203
31.03.1929,4.990823
30.04.1929,5.622376
31.05.1929,5.977983
30.06.1929,6.497437
31.07.1929,6.558183
31.08.1929,6.713509
30.09.1929,6.302767
31.10.1929,5.940329
30.11.1929,5.317023
31.12.1929,5.130617
31.01.1930,4.860749
28.02.1930,5.038203
31.03.1930,4.990823
30.04.1930,5.622376
31.05.1930,5.977983
30.06.1930,6.497437
31.07.1930,6.558183
31.08.1930,6.713509
30.09.1930,6.302767
31.10.1930,5.940329
30.11.1930,5.317023
31.12.1930,5.130617
31.01.1931,4.860749
28.02.1931,5.038203
31.03.1931,4.990823
30.04.1931,5.622376
31.05.1931,5.977983
30.06.1931,6.497437
31.07.1931,6.558183
31.08.1931,6.713509
30.09.1931,6.302767
31.10.1931,5.940329
30.11.1931,5.317023
31.12.1931,5.130617
31.01.1932,4.860749
29.02.1932,5.038203
31.03.1932,4.990823
30.04.1932,5.622376
31.05.1932,5.977983
30.06.1932,6.497437
31.07.1932,6.558183
31.08.1932,6.713509
30.09.1932,6.302767
31.10.1932,5.940329
30.11.1932,5.317023
31.12.1932,5.130617
31.01.1933,4.860749
28.02.1933,5.038203
31.03.1933,4.990823
30.04.1933,5.622376
31.05.1933,5.977983
30.06.1933,6.497437
31.07.1933,6.558183
31.08.1933,6.713509
30.09.1933,6.302767
31.10.1933,5.940329
30.11.1933,5.317023
31.12.1933,5.130617
31.01.1934,4.860749
28.02.1934,5.038203
31.03.1934,4.990823
30.04.1934,5.622376
31.05.1934,5.977983
30.06.1934,6.497437
31.07.1934,6.558183
31.08.1934,6.713509
30.09.1934,6.302767
31.10.1934,5.940329
30.11.1934,5.317023
31.12.1934,5.130617
31.01.1935,4.860749
28.02.1935,5.038203
31.03.1935,4.990823
30.04.1935,5.622376
31.05.1935,5.977983
30.06.1935,6.497437
31.07.1935,6.558183
31.08.1935,6.713509
30.09.1935,6.302767
31.10.1935,5.940329
30.11.1935,5.317023
31.12.1935,5.130617
31.01.1936,4.860749
29.02.1936,5.038203
31.03.1936,4.990823
30.04.1936,5.622376
31.05.1936,5.977983
30.06.1936,6.497437
31.07.1936,6.558183
31.08.1936,6.713509
30.09.1936,6.302767
31.10.1936,5.940329
30.11.1936,5.317023
31.12.1936,5.130617
31.01.1937,4.860749
28.02.1937,5.038203
31.03.1937,4.990823
30.04.1937,5.622376
31.05.1937,5.977983
30.06.1937,6.497437
31.07.1937,6.558183
31.08.1937,6.713509
30.09.1937,6.302767
31.10.1937,5.940329
30.11.1937,5.317023
31.12.1937,5.130617
31.01.1938,4.860749
28.02.1938,5.038203
31.03.1938,4.990823
30.04.1938,5.622376
31.05.1938,5.977983
30.06.1938,6.497437
31.07.1938,6.558183
31.08.1938,6.713509
30.09.1938,6.302767
31.10.1938,5.940329
30.11.1938,5.317023
31.12.1938,5.130617
31.01.1939,4.860749
28.02.1939,5.038203
31.03.1939,4.990823
30.04.1939,5.622376
31.05.1939,5.977983
30.06.1939,6.497437
31.07.1939,6.558183
31.08.1939,6.713509
30.09.1939,6.302767
31.10.1939,5.940329
30.11.1939,5.317023
31.12.1939,5.130617
31.01.1940,4.860749
29.02.1940,5.038203
31.03.1940,4.990823
30.04.1940,5.622376
31.05.1940,5.977983
30.06.1940,6.497437
31.07.1940,6.558183
31.08.1940,6.713509
30.09.1940,6.302767
31.10.1940,5.940329
30.11.1940,5.317023
31.12.1940,5.130617
31.01.1941,4.860749
28.02.1941,5.038203
31.03.1941,4.990823
30.04.1941,5.622376
31.05.1941,5.977983
30.06.1941,6.497437
31.07.1941,6.558183
31.08.1941,6.713509
30.09.1941,6.302767
31.10.1941,5.940329
30.11.1941,5.317023
31.12.1941,5.130617
31.01.1942,4.860749
28.02.1942,5.038203
31.03.1942,4.990823
30.04.1942,5.622376
31.05.1942,5.977983
30.06.1942,6.497437
31.07.1942,6.558183
31.08.1942,6.713509
30.09.1942,6.302767
31.10.1942,5.940329
30.11.1942,5.317023
31.12.1942,5.130617
31.01.1943,4.860749
28.02.1943,5.038203
31.03.1943,4.990823
30.04.1943,5.622376
31.05.1943,5.977983
30.06.1943,6.497437
31.07.1943,6.558183
31.08.1943,6.713509
30.09.1943,6.302767
31.10.1943,5.940329
30.11.1943,5.317023
