date,kaf
1921-10-31,0.149107
1921-11-30,0.114881
1921-12-31,96.284492
1922-01-31,70.250969
1922-02-28,0.086808
1922-03-31,0.099171
1922-04-30,0.132284
1922-05-31,0.196596
1922-06-30,0.238163
1922-07-31,0.274398
1922-08-31,0.226448
1922-09-30,63.819942
1922-10-31,96.349106
1922-11-30,93.214882
1922-12-31,96.284492
1923-01-31,96.279526
1923-02-28,86.986809
1923-03-31,48.391193
1923-04-30,23.034473
1923-05-31,0.196596
1923-06-30,0.238163
1923-07-31,31.93285
1923-08-31,96.426445
1923-09-30,93.318123
1923-10-31,96.349106
1923-11-30,93.214882
1923-12-31,96.284492
1924-01-31,96.279526
1924-02-29,86.986809
1924-03-31,0.099171
1924-04-30,0.132284
1924-05-31,0.196596
1924-06-30,0.238163
1924-07-31,96.474396
1924-08-31,96.426445
1924-09-30,93.318123
1924-10-31,96.349106
1924-11-30,93.214882
1924-12-31,96.284492
1925-01-31,96.279526
1925-02-28,86.986809
1925-03-31,65.403824
1925-04-30,23.034473
1925-05-31,0.196596
1925-06-30,0.238163
1925-07-31,96.474396
1925-08-31,96.426445
1925-09-30,93.318123
1925-10-31,96.349106
1925-11-30,93.214882
1925-12-31,96.284492
1926-01-31,96.279526
1926-02-28,86.986809
1926-03-31,38.48
1926-04-30,19.24
1926-05-31,0.196596
1926-06-30,0.238163
1926-07-31,96.474396
1926-08-31,96.426445
1926-09-30,93.318123
1926-10-31,96.349106
1926-11-30,93.214882
1926-12-31,96.284492
1927-01-31,96.279526
1927-02-28,86.986809
1927-03-31,82.807457
1927-04-30,23.034473
1927-05-31,0.196596
1927-06-30,0.238163
1927-07-31,48.688847
1927-08-31,96.426445
1927-09-30,93.318123
1927-10-31,96.349106
1927-11-30,93.214882
1927-12-31,96.284492
1928-01-31,96.279526
1928-02-29,86.986809
1928-03-31,96.299171
1928-04-30,23.034473
1928-05-31,0.196596
1928-06-30,0.238163
1928-07-31,96.474396
1928-08-31,96.426445
1928-09-30,93.318123
1928-10-31,96.199997
1928-11-30,93.214882
1928-12-31,96.284492
1929-01-31,96.279526
1929-02-28,86.986809
1929-03-31,0.099171
1929-04-30,0.132284
1929-05-31,0.196596
1929-06-30,0.238163
1929-07-31,96.474396
1929-08-31,96.426445
1929-09-30,93.318123
1929-10-31,96.349106
1929-11-30,93.214882
1929-12-31,96.284492
1930-01-31,96.279526
1930-02-28,86.986809
1930-03-31,47.998161
1930-04-30,0.132284
1930-05-31,0.196596
1930-06-30,0.238163
1930-07-31,10.212858
1930-08-31,96.426445
1930-09-30,93.318123
1930-10-31,96.349106
1930-11-30,93.214882
1930-12-31,96.284492
1931-01-31,96.279526
1931-02-28,67.985573
1931-03-31,0.099171
1931-04-30,0.132284
1931-05-31,0.196596
1931-06-30,0.238163
1931-07-31,52.362808
1931-08-31,96.426445
1931-09-30,76.959999
1931-10-31,74.662521
1931-11-30,93.214882
1931-12-31,96.284492
1932-01-31,96.279526
1932-02-29,86.986809
1932-03-31,0.099171
1932-04-30,0.132284
1932-05-31,0.196596
1932-06-30,0.238163
1932-07-31,96.474396
1932-08-31,96.426445
1932-09-30,92.942619
1932-10-31,96.349106
1932-11-30,93.214882
1932-12-31,96.284492
1933-01-31,96.279526
1933-02-28,86.986809
1933-03-31,0.099171
1933-04-30,0.132284
1933-05-31,0.196596
1933-06-30,0.238163
1933-07-31,67.510498
1933-08-31,96.426445
1933-09-30,93.318123
1933-10-31,96.349106
1933-11-30,93.214882
1933-12-31,96.284492
1934-01-31,96.279526
1934-02-28,86.986809
1934-03-31,0.099171
1934-04-30,0.132284
1934-05-31,0.196596
1934-06-30,0.238163
1934-07-31,96.474396
1934-08-31,96.426445
1934-09-30,93.318123
1934-10-31,96.349106
1934-11-30,93.214882
1934-12-31,96.284492
1935-01-31,96.279526
1935-02-28,86.986809
1935-03-31,96.299171
1935-04-30,93.232285
1935-05-31,0.196596
1935-06-30,0.238163
1935-07-31,0.274398
1935-08-31,96.426445
1935-09-30,93.318123
1935-10-31,96.349106
1935-11-30,93.214882
1935-12-31,96.284492
1936-01-31,96.279526
1936-02-29,86.986809
1936-03-31,79.657166
1936-04-30,22.992699
1936-05-31,0.196596
1936-06-30,0.238163
1936-07-31,96.474396
1936-08-31,96.426445
1936-09-30,93.318123
1936-10-31,96.349106
1936-11-30,93.214882
1936-12-31,96.284492
1937-01-31,96.279526
1937-02-28,86.986809
1937-03-31,95.567276
1937-04-30,22.992699
1937-05-31,0.196596
1937-06-30,0.238163
1937-07-31,19.134197
1937-08-31,96.426445
1937-09-30,93.318123
1937-10-31,96.349106
1937-11-30,93.214882
1937-12-31,96.284492
1938-01-31,96.279526
1938-02-28,86.986809
1938-03-31,96.299171
1938-04-30,56.992699
1938-05-31,0.196596
1938-06-30,0.238163
1938-07-31,0.274398
1938-08-31,96.426445
1938-09-30,89.175758
1938-10-31,96.349106
1938-11-30,93.214882
1938-12-31,96.284492
1939-01-31,96.279526
1939-02-28,86.986809
1939-03-31,0.099171
1939-04-30,0.132284
1939-05-31,0.196596
1939-06-30,0.238163
1939-07-31,96.474396
1939-08-31,96.426445
1939-09-30,93.318123
1939-10-31,96.349106
1939-11-30,93.214882
1939-12-31,96.284492
1940-01-31,96.279526
1940-02-29,86.986809
1940-03-31,95.567276
1940-04-30,22.992699
1940-05-31,0.196596
1940-06-30,0.238163
1940-07-31,96.474396
1940-08-31,96.426445
1940-09-30,93.318123
1940-10-31,96.349106
1940-11-30,93.214882
1940-12-31,96.284492
1941-01-31,96.279526
1941-02-28,86.986809
1941-03-31,38.48
1941-04-30,29.696892
1941-05-31,0.196596
1941-06-30,0.238163
1941-07-31,0.274398
1941-08-31,96.426445
1941-09-30,93.318123
1941-10-31,96.349106
1941-11-30,93.214882
1941-12-31,96.284492
1942-01-31,96.279526
1942-02-28,86.986809
1942-03-31,23.333658
1942-04-30,22.992699
1942-05-31,0.196596
1942-06-30,0.238163
1942-07-31,35.488861
1942-08-31,96.426445
1942-09-30,93.318123
1942-10-31,96.349106
1942-11-30,93.214882
1942-12-31,96.284492
1943-01-31,96.279526
1943-02-28,86.986809
1943-03-31,96.299171
1943-04-30,51.183659
1943-05-31,0.196596
1943-06-30,0.238163
1943-07-31,19.24
1943-08-31,96.426445
1943-09-30,92.811005
1943-10-31,96.349106
1943-11-30,93.214882
1943-12-31,96.284492
1944-01-31,96.279526
1944-02-29,86.986809
1944-03-31,51.031437
1944-04-30,0.132284
1944-05-31,0.196596
1944-06-30,0.238163
1944-07-31,8.834183
1944-08-31,96.426445
1944-09-30,93.318123
1944-10-31,96.349106
1944-11-30,93.214882
1944-12-31,96.284492
1945-01-31,96.279526
1945-02-28,86.986809
1945-03-31,22.216095
1945-04-30,0.132284
1945-05-31,0.196596
1945-06-30,0.238163
1945-07-31,76.959999
1945-08-31,96.426445
1945-09-30,93.318123
1945-10-31,96.349106
1945-11-30,93.214882
1945-12-31,96.284492
1946-01-31,96.279526
1946-02-28,86.986809
1946-03-31,22.216095
1946-04-30,13.91646
1946-05-31,0.196596
1946-06-30,0.238163
1946-07-31,96.474396
1946-08-31,96.426445
1946-09-30,93.318123
