date,kaf
1921-10-31,0.188346
1921-11-30,0.145113
1921-12-31,0.106731
1922-01-31,0.100458
1922-02-28,0.109652
1922-03-31,0.125269
1922-04-30,0.167096
1922-05-31,0.248331
1922-06-30,0.300837
1922-07-31,0.346608
1922-08-31,0.286039
1922-09-30,0.27552
1922-10-31,0.188346
1922-11-30,0.145113
1922-12-31,0.106731
1923-01-31,0.100458
1923-02-28,0.109652
1923-03-31,0.125269
1923-04-30,0.167096
1923-05-31,0.248331
1923-06-30,0.300837
1923-07-31,0.346608
1923-08-31,0.286039
1923-09-30,0.27552
1923-10-31,0.188346
1923-11-30,0.145113
1923-12-31,0.106731
1924-01-31,0.100458
1924-02-29,0.109652
1924-03-31,0.125269
1924-04-30,0.167096
1924-05-31,0.248331
1924-06-30,0.300837
1924-07-31,0.346608
1924-08-31,0.286039
1924-09-30,0.27552
1924-10-31,0.188346
1924-11-30,0.145113
1924-12-31,0.106731
1925-01-31,0.100458
1925-02-28,0.109652
1925-03-31,0.125269
1925-04-30,0.167096
1925-05-31,0.248331
1925-06-30,0.300837
1925-07-31,0.346608
1925-08-31,0.286039
1925-09-30,0.27552
1925-10-31,0.188346
1925-11-30,0.145113
1925-12-31,0.106731
1926-01-31,0.100458
1926-02-28,0.109652
1926-03-31,0.125269
1926-04-30,0.167096
1926-05-31,0.248331
1926-06-30,0.300837
1926-07-31,0.346608
1926-08-31,0.286039
1926-09-30,0.27552
1926-10-31,0.188346
1926-11-30,0.145113
1926-12-31,0.106731
1927-01-31,0.100458
1927-02-28,0.109652
1927-03-31,0.125269
1927-04-30,0.167096
1927-05-31,0.248331
1927-06-30,0.300837
1927-07-31,0.346608
1927-08-31,0.286039
1927-09-30,0.27552
1927-10-31,0.188346
1927-11-30,0.145113
1927-12-31,0.106731
1928-01-31,0.100458
1928-02-29,0.109652
1928-03-31,0.125269
1928-04-30,0.167096
1928-05-31,0.248331
1928-06-30,0.300837
1928-07-31,0.346608
1928-08-31,0.286039
1928-09-30,0.27552
1928-10-31,0.188346
