date,kaf
1921-10-31,288.3925
1921-11-30,300.157
1921-12-31,308.639
1922-01-31,309.949
1922-02-28,306.751
1922-03-31,301.6245
1922-04-30,287.2835
1922-05-31,266.259
1922-06-30,253.881
1922-07-31,249.9245
1922-08-31,253.317
1922-09-30,265.859
1922-10-31,279.2515
1922-11-30,291.016
1922-12-31,299.498
1923-01-31,300.808
1923-02-28,297.61
1923-03-31,292.4835
1923-04-30,278.1425
1923-05-31,257.118
1923-06-30,244.74
1923-07-31,240.7835
1923-08-31,244.176
1923-09-30,256.718
1923-10-31,270.1105
1923-11-30,281.875
1923-12-31,290.357
1924-01-31,291.667
1924-02-29,288.469
1924-03-31,283.3425
1924-04-30,269.0015
1924-05-31,247.977
1924-06-30,235.599
1924-07-31,231.6425
1924-08-31,235.035
1924-09-30,247.577
1924-10-31,260.9695
1924-11-30,272.734
1924-12-31,281.216
1925-01-31,282.526
1925-02-28,279.328
1925-03-31,274.2015
1925-04-30,259.8605
1925-05-31,238.836
1925-06-30,226.458
1925-07-31,222.5015
1925-08-31,225.894
1925-09-30,238.436
1925-10-31,251.8285
1925-11-30,263.593
1925-12-31,272.075
1926-01-31,273.385
1926-02-28,270.187
1926-03-31,265.0605
1926-04-30,250.7195
1926-05-31,229.695
1926-06-30,217.317
1926-07-31,213.3605
1926-08-31,216.753
1926-09-30,229.295
1926-10-31,242.6875
1926-11-30,254.452
1926-12-31,262.934
1927-01-31,264.244
1927-02-28,261.046
1927-03-31,255.9195
1927-04-30,241.5785
1927-05-31,220.554
1927-06-30,208.176
1927-07-31,204.2195
1927-08-31,207.612
1927-09-30,220.154
1927-10-31,233.5465
1927-11-30,245.311
1927-12-31,253.793
1928-01-31,255.103
1928-02-29,251.905
1928-03-31,246.7785
1928-04-30,232.4375
1928-05-31,211.413
1928-06-30,199.035
1928-07-31,195.0785
1928-08-31,198.471
1928-09-30,211.013
1928-10-31,224.4055
1928-11-30,236.17
1928-12-31,244.652
1929-01-31,245.962
1929-02-28,242.764
1929-03-31,237.6375
1929-04-30,223.2965
1929-05-31,202.272
1929-06-30,189.894
1929-07-31,185.9375
1929-08-31,189.33
1929-09-30,201.872
1929-10-31,215.2645
1929-11-30,227.029
1929-12-31,235.511
1930-01-31,236.821
1930-02-28,233.623
1930-03-31,228.4965
1930-04-30,214.1555
1930-05-31,193.131
1930-06-30,180.753
1930-07-31,176.7965
1930-08-31,180.189
1930-09-30,192.731
1930-10-31,206.1235
1930-11-30,217.888
1930-12-31,226.37
1931-01-31,227.68
1931-02-28,224.482
1931-03-31,219.3555
1931-04-30,205.0145
1931-05-31,183.99
1931-06-30,171.612
1931-07-31,167.6555
1931-08-31,171.048
1931-09-30,183.59
1931-10-31,196.9825
1931-11-30,208.747
1931-12-31,217.229
1932-01-31,218.539
1932-02-29,215.341
1932-03-31,210.2145
1932-04-30,195.8735
1932-05-31,174.849
1932-06-30,162.471
1932-07-31,158.5145
1932-08-31,161.907
1932-09-30,174.449
1932-10-31,187.8415
1932-11-30,199.606
1932-12-31,208.088
1933-01-31,209.398
1933-02-28,206.2
1933-03-31,201.0735
1933-04-30,186.7325
1933-05-31,165.708
1933-06-30,153.33
1933-07-31,149.3735
1933-08-31,152.766
1933-09-30,165.308
1933-10-31,178.7005
1933-11-30,190.465
1933-12-31,198.947
1934-01-31,200.257
1934-02-28,197.059
1934-03-31,191.9325
1934-04-30,177.5915
1934-05-31,156.567
1934-06-30,144.189
1934-07-31,140.2325
1934-08-31,143.625
1934-09-30,156.167
1934-10-31,169.5595
1934-11-30,181.324
1934-12-31,189.806
1935-01-31,191.116
1935-02-28,187.918
1935-03-31,182.7915
1935-04-30,168.4505
1935-05-31,147.426
1935-06-30,135.048
1935-07-31,131.0915
1935-08-31,134.484
1935-09-30,147.026
1935-10-31,160.4185
1935-11-30,172.183
1935-12-31,180.665
1936-01-31,181.975
1936-02-29,178.777
1936-03-31,173.6505
1936-04-30,159.3095
1936-05-31,138.285
1936-06-30,125.907
1936-07-31,121.9505
1936-08-31,125.343
1936-09-30,137.885
1936-10-31,151.2775
1936-11-30,163.042
1936-12-31,171.524
1937-01-31,172.834
1937-02-28,169.636
1937-03-31,164.5095
1937-04-30,150.1685
1937-05-31,129.144
1937-06-30,116.766
1937-07-31,112.8095
1937-08-31,116.202
1937-09-30,128.744
1937-10-31,142.1365
1937-11-30,153.901
1937-12-31,162.383
1938-01-31,163.693
1938-02-28,160.495
1938-03-31,155.3685
1938-04-30,141.0275
1938-05-31,120.003
1938-06-30,107.625
1938-07-31,103.6685
1938-08-31,107.061
1938-09-30,119.603
1938-10-31,132.9955
1938-11-30,144.76
1938-12-31,153.242
1939-01-31,154.552
1939-02-28,151.354
1939-03-31,146.2275
1939-04-30,131.8865
1939-05-31,110.862
1939-06-30,98.484
1939-07-31,94.5275
1939-08-31,97.92
1939-09-30,110.462
1939-10-31,123.8545
1939-11-30,135.619
1939-12-31,144.101
1940-01-31,145.411
1940-02-29,142.213
1940-03-31,137.0865
1940-04-30,122.7455
1940-05-31,101.721
1940-06-30,89.343
1940-07-31,85.3865
1940-08-31,88.779
1940-09-30,101.321
1940-10-31,114.7135
1940-11-30,126.478
1940-12-31,134.96
1941-01-31,136.27
1941-02-28,133.072
1941-03-31,127.9455
1941-04-30,113.6045
1941-05-31,92.58
1941-06-30,80.202
1941-07-31,76.2455
1941-08-31,79.638
1941-09-30,92.18
1941-10-31,105.5725
1941-11-30,117.337
1941-12-31,125.819
1942-01-31,127.129
1942-02-28,123.931
1942-03-31,118.8045
1942-04-30,104.4635
1942-05-31,83.439
1942-06-30,71.061
1942-07-31,67.1045
1942-08-31,70.497
1942-09-30,83.039
1942-10-31,96.4315
1942-11-30,108.196
1942-12-31,116.678
1943-01-31,117.988
1943-02-28,114.79
1943-03-31,109.6635
1943-04-30,95.3225
1943-05-31,74.298
1943-06-30,61.92
1943-07-31,57.9635
1943-08-31,61.356
1943-09-30,73.898
1943-10-31,87.2905
1943-11-30,99.055
1943-12-31,107.537
1944-01-31,108.847
1944-02-29,105.649
1944-03-31,100.5225
1944-04-30,86.1815
1944-05-31,65.157
1944-06-30,52.779
1944-07-31,48.8225
1944-08-31,52.215
1944-09-30,64.757
1944-10-31,78.1495
1944-11-30,89.914
1944-12-31,98.396
1945-01-31,99.706
1945-02-28,96.508
1945-03-31,91.3815
1945-04-30,77.0405
1945-05-31,56.016
1945-06-30,43.638
1945-07-31,39.6815
1945-08-31,43.074
1945-09-30,55.616
1945-10-31,69.0085
1945-11-30,80.773
1945-12-31,89.255
1946-01-31,90.565
1946-02-28,87.367
1946-03-31,82.2405
1946-04-30,67.8995
1946-05-31,46.875
1946-06-30,34.497
1946-07-31,30.5405
1946-08-31,33.933
1946-09-30,46.475
1946-10-31,59.8675
1946-11-30,71.632
1946-12-31,80.114
1947-01-31,81.424
1947-02-28,78.226
1947-03-31,73.0995
1947-04-30,58.7585
1947-05-31,37.734
1947-06-30,25.356
1947-07-31,21.3995
1947-08-31,24.792
1947-09-30,37.334
1947-10-31,50.7265
1947-11-30,62.491
1947-12-31,70.973
1948-01-31,72.283
1948-02-29,69.085
1948-03-31,63.9585
1948-04-30,49.6175
1948-05-31,28.593
1948-06-30,16.215
1948-07-31,12.2585
1948-08-31,15.651
1948-09-30,28.193
1948-10-31,41.5855
1948-11-30,53.35
1948-12-31,61.832
1949-01-31,63.142
1949-02-28,59.944
1949-03-31,54.8175
1949-04-30,40.4765
1949-05-31,19.452
1949-06-30,7.074
1949-07-31,3.1175
1949-08-31,6.51
1949-09-30,19.052
1949-10-31,32.4445
1949-11-30,44.209
1949-12-31,52.691
1950-01-31,54.001
1950-02-28,50.803
1950-03-31,45.6765
1950-04-30,31.3355
1950-05-31,10.311
1950-06-30,0.0
1950-07-31,0.0
1950-08-31,3.3925
1950-09-30,15.9345
1950-10-31,29.327
1950-11-30,41.0915
1950-12-31,49.5735
1951-01-31,50.8835
1951-02-28,47.6855
1951-03-31,42.559
1951-04-30,28.218
1951-05-31,7.1935
1951-06-30,0.0
1951-07-31,0.0
1951-08-31,3.3925
1951-09-30,15.9345
1951-10-31,29.327
1951-11-30,41.0915
1951-12-31,49.5735
