date,kaf
1921-10-31,97.153
1921-11-30,122.115
1921-12-31,105.028
1922-01-31,19.762
1922-02-28,9.226
1922-03-31,52.138
1922-04-30,10.669
1922-05-31,118.05
1922-06-30,167.9
1922-07-31,74.655
1922-08-31,92.333
1922-09-30,75.787
1922-10-31,27.989
1922-11-30,9.456
1922-12-31,43.757
1923-01-31,8.722
1923-02-28,9.226
1923-03-31,89.35
1923-04-30,16.929
1923-05-31,130.422
1923-06-30,156.22
1923-07-31,125.467
1923-08-31,137.143
1923-09-30,111.24
1923-10-31,81.707
1923-11-30,9.456
1923-12-31,43.759
1924-01-31,8.722
1924-02-29,9.226
1924-03-31,9.32
1924-04-30,20.371
1924-05-31,99.396
1924-06-30,164.973
1924-07-31,129.874
1924-08-31,141.692
1924-09-30,115.404
1924-10-31,83.182
1924-11-30,9.456
1924-12-31,69.628
1925-01-31,8.722
1925-02-28,9.226
1925-03-31,68.024
1925-04-30,18.123
1925-05-31,104.261
1925-06-30,181.058
1925-07-31,127.073
1925-08-31,138.776
1925-09-30,112.761
1925-10-31,75.565
1925-11-30,9.456
1925-12-31,67.613
1926-01-31,8.722
1926-02-28,9.226
1926-03-31,67.705
1926-04-30,41.561
1926-05-31,118.524
1926-06-30,169.923
1926-07-31,115.685
1926-08-31,126.987
1926-09-30,102.007
1926-10-31,65.134
1926-11-30,9.456
1926-12-31,59.963
1927-01-31,10.145
1927-02-28,13.673
1927-03-31,97.28
1927-04-30,10.669
1927-05-31,117.945
1927-06-30,174.927
1927-07-31,114.27
1927-08-31,125.542
1927-09-30,100.668
1927-10-31,63.918
1927-11-30,9.456
1927-12-31,56.992
1928-01-31,8.722
1928-02-29,9.226
1928-03-31,63.741
1928-04-30,17.953
1928-05-31,104.545
1928-06-30,180.838
1928-07-31,126.859
1928-08-31,138.554
1928-09-30,112.559
1928-10-31,75.543
1928-11-30,9.456
1928-12-31,9.575
1929-01-31,8.722
1929-02-28,9.226
1929-03-31,9.32
1929-04-30,43.125
1929-05-31,97.309
1929-06-30,163.361
1929-07-31,127.47
1929-08-31,139.2
1929-09-30,113.134
1929-10-31,77.402
1929-11-30,9.456
1929-12-31,41.99
1930-01-31,8.722
1930-02-28,9.226
1930-03-31,9.32
1930-04-30,28.556
1930-05-31,138.494
1930-06-30,136.504
1930-07-31,121.174
1930-08-31,132.677
1930-09-30,107.189
1930-10-31,69.852
1930-11-30,9.456
1930-12-31,8.929
1931-01-31,8.722
1931-02-28,9.226
1931-03-31,9.32
1931-04-30,11.85
1931-05-31,94.43
1931-06-30,178.224
1931-07-31,124.152
1931-08-31,135.763
1931-09-30,110.001
1931-10-31,72.412
1931-11-30,9.456
1931-12-31,26.558
1932-01-31,8.722
1932-02-29,9.226
1932-03-31,18.858
1932-04-30,17.953
1932-05-31,117.187
1932-06-30,168.482
1932-07-31,114.164
1932-08-31,125.432
1932-09-30,100.568
1932-10-31,63.827
1932-11-30,9.456
1932-12-31,8.929
1933-01-31,8.722
1933-02-28,9.226
1933-03-31,9.32
1933-04-30,13.023
1933-05-31,133.846
1933-06-30,156.736
1933-07-31,115.824
1933-08-31,127.13
1933-09-30,102.138
1933-10-31,65.253
1933-11-30,9.456
1933-12-31,8.929
1934-01-31,8.722
1934-02-28,9.226
1934-03-31,9.32
1934-04-30,27.127
1934-05-31,94.921
1934-06-30,162.135
1934-07-31,124.718
1934-08-31,136.349
1934-09-30,110.536
1934-10-31,73.181
1934-11-30,9.456
1934-12-31,66.127
1935-01-31,8.722
1935-02-28,9.226
1935-03-31,89.267
1935-04-30,10.669
1935-05-31,119.382
1935-06-30,173.488
1935-07-31,112.806
1935-08-31,124.024
1935-09-30,99.285
1935-10-31,62.659
1935-11-30,9.456
1935-12-31,58.184
1936-01-31,28.108
1936-02-29,29.261
1936-03-31,102.748
1936-04-30,14.717
1936-05-31,117.745
1936-06-30,176.829
1936-07-31,122.669
1936-08-31,134.244
1936-09-30,108.598
1936-10-31,71.138
1936-11-30,9.456
1936-12-31,64.881
1937-01-31,8.722
1937-02-28,9.226
1937-03-31,92.353
1937-04-30,10.669
1937-05-31,121.698
1937-06-30,171.282
1937-07-31,110.414
1937-08-31,121.589
1937-09-30,97.02
1937-10-31,61.693
1937-11-30,9.456
1937-12-31,56.918
1938-01-31,23.811
1938-02-28,9.226
1938-03-31,94.73
1938-04-30,10.669
1938-05-31,121.822
1938-06-30,171.054
1938-07-31,110.182
1938-08-31,121.349
1938-09-30,96.801
1938-10-31,60.405
1938-11-30,9.456
1938-12-31,33.793
1939-01-31,8.722
1939-02-28,9.226
1939-03-31,52.788
1939-04-30,11.589
1939-05-31,118.832
1939-06-30,172.944
1939-07-31,118.78
1939-08-31,130.193
1939-09-30,104.929
1939-10-31,67.794
1939-11-30,9.456
1939-12-31,62.064
1940-01-31,8.722
1940-02-29,9.226
1940-03-31,98.341
1940-04-30,14.576
1940-05-31,122.236
1940-06-30,180.506
1940-07-31,119.953
1940-08-31,131.43
1940-09-30,106.034
1940-10-31,87.698
1940-11-30,18.477
1940-12-31,64.526
1941-01-31,18.02
1941-02-28,10.226
1941-03-31,27.936
1941-04-30,29.94
1941-05-31,117.255
1941-06-30,156.565
1941-07-31,95.407
1941-08-31,106.004
1941-09-30,82.906
1941-10-31,48.66
1941-11-30,9.456
1941-12-31,46.05
1942-01-31,29.69
1942-02-28,27.617
1942-03-31,101.759
1942-04-30,13.485
1942-05-31,138.413
1942-06-30,160.1
1942-07-31,120.977
1942-08-31,132.532
1942-09-30,106.993
1942-10-31,69.684
1942-11-30,9.456
1942-12-31,64.09
1943-01-31,8.722
1943-02-28,9.226
1943-03-31,94.462
1943-04-30,10.669
1943-05-31,118.032
1943-06-30,174.834
1943-07-31,114.032
1943-08-31,125.337
1943-09-30,100.436
1943-10-31,63.714
1943-11-30,9.456
1943-12-31,59.374
1944-01-31,8.722
1944-02-29,9.226
1944-03-31,91.664
1944-04-30,10.669
1944-05-31,124.205
1944-06-30,168.759
1944-07-31,108.093
1944-08-31,119.11
1944-09-30,94.84
1944-10-31,58.607
1944-11-30,9.456
1944-12-31,54.726
1945-01-31,8.926
1945-02-28,23.906
1945-03-31,100.217
1945-04-30,11.643
1945-05-31,121.208
1945-06-30,173.015
1945-07-31,118.782
1945-08-31,130.216
1945-09-30,104.928
1945-10-31,67.796
1945-11-30,9.456
1945-12-31,62.242
1946-01-31,8.722
1946-02-28,9.226
1946-03-31,98.244
1946-04-30,13.232
1946-05-31,115.226
1946-06-30,174.977
1946-07-31,120.791
1946-08-31,132.297
1946-09-30,106.825
1946-10-31,69.523
1946-11-30,9.456
1946-12-31,63.606
1947-01-31,8.722
1947-02-28,9.226
1947-03-31,36.015
1947-04-30,24.382
1947-05-31,103.802
1947-06-30,175.127
1947-07-31,134.958
1947-08-31,146.955
1947-09-30,120.205
1947-10-31,94.258
1947-11-30,9.456
1947-12-31,65.776
1948-01-31,8.722
1948-02-29,9.226
1948-03-31,58.708
1948-04-30,18.785
1948-05-31,141.763
1948-06-30,143.074
1948-07-31,127.911
1948-08-31,139.644
1948-09-30,113.553
1948-10-31,77.118
1948-11-30,9.456
1948-12-31,68.182
1949-01-31,8.722
1949-02-28,9.226
1949-03-31,78.988
1949-04-30,17.253
1949-05-31,106.123
1949-06-30,179.98
1949-07-31,125.974
1949-08-31,137.637
1949-09-30,111.724
1949-10-31,73.978
1949-11-30,9.456
1949-12-31,66.867
1950-01-31,15.736
1950-02-28,31.284
1950-03-31,56.884
1950-04-30,16.57
1950-05-31,107.72
1950-06-30,179.118
1950-07-31,125.11
1950-08-31,136.742
1950-09-30,110.908
1950-10-31,73.235
1950-11-30,9.456
1950-12-31,66.28
1951-01-31,8.722
1951-02-28,9.226
1951-03-31,88.747
1951-04-30,14.421
1951-05-31,119.598
1951-06-30,176.464
1951-07-31,122.295
1951-08-31,133.856
1951-09-30,108.245
1951-10-31,82.435
1951-11-30,10.456
1951-12-31,65.627
1952-01-31,9.722
1952-02-29,10.226
1952-03-31,77.487
1952-04-30,17.262
1952-05-31,123.119
1952-06-30,163.199
1952-07-31,102.164
1952-08-31,113.005
1952-09-30,89.286
1952-10-31,54.468
1952-11-30,9.456
1952-12-31,50.638
1953-01-31,8.722
1953-02-28,27.374
1953-03-31,109.095
1953-04-30,22.446
1953-05-31,146.095
1953-06-30,147.619
