date,kaf
31.10.1921,5.148
30.11.1921,4.926
31.12.1921,4.922
31.01.1922,4.93
28.02.1922,4.938
31.03.1922,4.942
30.04.1922,5.152
31.05.1922,5.148
30.06.1922,5.152
31.07.1922,5.188
31.08.1922,5.204
30.09.1922,5.188
31.10.1922,5.148
30.11.1922,4.926
31.12.1922,4.922
31.01.1923,4.93
28.02.1923,4.938
31.03.1923,4.942
30.04.1923,5.152
31.05.1923,5.148
30.06.1923,5.152
31.07.1923,5.188
31.08.1923,5.204
30.09.1923,5.188
31.10.1923,5.148
30.11.1923,4.926
31.12.1923,4.922
31.01.1924,4.93
29.02.1924,4.938
31.03.1924,4.942
30.04.1924,5.152
31.05.1924,5.148
30.06.1924,5.152
31.07.1924,5.188
31.08.1924,5.204
30.09.1924,5.188
31.10.1924,5.148
30.11.1924,4.926
31.12.1924,4.922
31.01.1925,4.93
28.02.1925,4.938
31.03.1925,4.942
30.04.1925,5.152
31.05.1925,5.148
30.06.1925,5.152
31.07.1925,5.188
31.08.1925,5.204
30.09.1925,5.188
31.10.1925,5.148
30.11.1925,4.926
31.12.1925,4.922
31.01.1926,4.93
28.02.1926,4.938
31.03.1926,4.942
30.04.1926,5.152
31.05.1926,5.148
30.06.1926,5.152
31.07.1926,5.188
31.08.1926,5.204
30.09.1926,5.188
31.10.1926,5.148
30.11.1926,4.926
31.12.1926,4.922
31.01.1927,4.93
28.02.1927,4.938
31.03.1927,4.942
30.04.1927,5.152
31.05.1927,5.148
30.06.1927,5.152
31.07.1927,5.188
31.08.1927,5.204
30.09.1927,5.188
31.10.1927,5.148
30.11.1927,4.926
31.12.1927,4.922
31.01.1928,4.93
29.02.1928,4.938
31.03.1928,4.942
30.04.1928,5.152
31.05.1928,5.148
30.06.1928,5.152
31.07.1928,5.188
31.08.1928,5.204
30.09.1928,5.188
31.10.1928,5.148
30.11.1928,4.926
31.12.1928,4.922
31.01.1929,4.93
28.02.1929,4.938
31.03.1929,4.942
30.04.1929,5.152
31.05.1929,5.148
30.06.1929,5.152
31.07.1929,5.188
31.08.1929,5.204
30.09.1929,5.188
31.10.1929,5.148
30.11.1929,4.926
31.12.1929,4.922
31.01.1930,4.93
28.02.1930,4.938
31.03.1930,4.942
30.04.1930,5.152
31.05.1930,5.148
30.06.1930,5.152
31.07.1930,5.188
31.08.1930,5.204
30.09.1930,5.188
31.10.1930,5.148
30.11.1930,4.926
31.12.1930,4.922
31.01.1931,4.93
28.02.1931,4.938
31.03.1931,4.942
30.04.1931,5.152
31.05.1931,5.148
30.06.1931,5.152
31.07.1931,5.188
31.08.1931,5.204
30.09.1931,5.188
31.10.1931,5.148
30.11.1931,4.926
31.12.1931,4.922
31.01.1932,4.93
29.02.1932,4.938
31.03.1932,4.942
30.04.1932,5.152
31.05.1932,5.148
30.06.1932,5.152
31.07.1932,5.188
31.08.1932,5.204
30.09.1932,5.188
31.10.1932,5.148
30.11.1932,4.926
31.12.1932,4.922
31.01.1933,4.93
28.02.1933,4.938
31.03.1933,4.942
30.04.1933,5.152
31.05.1933,5.148
30.06.1933,5.152
31.07.1933,5.188
31.08.1933,5.204
30.09.1933,5.188
31.10.1933,5.148
30.11.1933,4.926
31.12.1933,4.922
31.01.1934,4.93
28.02.1934,4.938
31.03.1934,4.942
30.04.1934,5.152
31.05.1934,5.148
30.06.1934,5.152
31.07.1934,5.188
31.08.1934,5.204
30.09.1934,5.188
31.10.1934,5.148
30.11.1934,4.926
31.12.1934,4.922
31.01.1935,4.93
28.02.1935,4.938
31.03.1935,4.942
30.04.1935,5.152
31.05.1935,5.148
30.06.1935,5.152
31.07.1935,5.188
31.08.1935,5.204
30.09.1935,5.188
31.10.1935,5.148
30.11.1935,4.926
31.12.1935,4.922
31.01.1936,4.93
29.02.1936,4.938
31.03.1936,4.942
30.04.1936,5.152
31.05.1936,5.148
30.06.1936,5.152
31.07.1936,5.188
31.08.1936,5.204
30.09.1936,5.188
31.10.1936,5.148
30.11.1936,4.926
31.12.1936,4.922
31.01.1937,4.93
28.02.1937,4.938
31.03.1937,4.942
30.04.1937,5.152
31.05.1937,5.148
30.06.1937,5.152
31.07.1937,5.188
31.08.1937,5.204
30.09.1937,5.188
31.10.1937,5.148
30.11.1937,4.926
31.12.1937,4.922
31.01.1938,4.93
28.02.1938,4.938
31.03.1938,4.942
30.04.1938,5.152
31.05.1938,5.148
30.06.1938,5.152
31.07.1938,5.188
31.08.1938,5.204
30.09.1938,5.188
31.10.1938,5.148
30.11.1938,4.926
31.12.1938,4.922
31.01.1939,4.93
28.02.1939,4.938
31.03.1939,4.942
30.04.1939,5.152
31.05.1939,5.148
30.06.1939,5.152
31.07.1939,5.188
31.08.1939,5.204
30.09.1939,5.188
31.10.1939,5.148
30.11.1939,4.926
31.12.1939,4.922
31.01.1940,4.93
29.02.1940,4.938
31.03.1940,4.942
30.04.1940,5.152
31.05.1940,5.148
30.06.1940,5.152
31.07.1940,5.188
31.08.1940,5.204
30.09.1940,5.188
31.10.1940,5.148
30.11.1940,4.926
31.12.1940,4.922
31.01.1941,4.93
28.02.1941,4.938
31.03.1941,4.942
30.04.1941,5.152
31.05.1941,5.148
30.06.1941,5.152
31.07.1941,5.188
31.08.1941,5.204
30.09.1941,5.188
31.10.1941,5.148
30.11.1941,4.926
31.12.1941,4.922
31.01.1942,4.93
28.02.1942,4.938
31.03.1942,4.942
30.04.1942,5.152
31.05.1942,5.148
30.06.1942,5.152
31.07.1942,5.188
31.08.1942,5.204
30.09.1942,5.188
31.10.1942,5.148
30.11.1942,4.926
31.12.1942,4.922
31.01.1943,4.93
28.02.1943,4.938
31.03.1943,4.942
30.04.1943,5.152
31.05.1943,5.148
30.06.1943,5.152
31.07.1943,5.188
31.08.1943,5.204
30.09.1943,5.188
31.10.1943,5.148
30.11.1943,4.926
31.12.1943,4.922
31.01.1944,4.93
29.02.1944,4.938
31.03.1944,4.942
30.04.1944,5.152
31.05.1944,5.148
30.06.1944,5.152
31.07.1944,5.188
31.08.1944,5.204
30.09.1944,5.188
31.10.1944,5.148
30.11.1944,4.926
31.12.1944,4.922
31.01.1945,4.93
28.02.1945,4.938
31.03.1945,4.942
30.04.1945,5.152
31.05.1945,5.148
30.06.1945,5.152
31.07.1945,5.188
31.08.1945,5.204
30.09.1945,5.188
31.10.1945,5.148
30.11.1945,4.926
31.12.1945,4.922
31.01.1946,4.93
28.02.1946,4.938
31.03.1946,4.942
30.04.1946,5.152
31.05.1946,5.148
30.06.1946,5.152
31.07.1946,5.188
31.08.1946,5.204
30.09.1946,5.188
31.10.1946,5.148
30.11.1946,4.926
31.12.1946,4.922
31.01.1947,4.93
28.02.1947,4.938
31.03.1947,4.942
30.04.1947,5.152
31.05.1947,5.148
30.06.1947,5.152
31.07.1947,5.188
31.08.1947,5.204
30.09.1947,5.188
31.10.1947,5.148
30.11.1947,4.926
31.12.1947,4.922
31.01.1948,4.93
29.02.1948,4.938
31.03.1948,4.942
30.04.1948,5.152
31.05.1948,5.148
30.06.1948,5.152
31.07.1948,5.188
31.08.1948,5.204
30.09.1948,5.188
31.10.1948,5.148
30.11.1948,4.926
31.12.1948,4.922
31.01.1949,4.93
28.02.1949,4.938
31.03.1949,4.942
30.04.1949,5.152
31.05.1949,5.148
30.06.1949,5.152
31.07.1949,5.188
31.08.1949,5.204
30.09.1949,5.188
31.10.1949,5.148
30.11.1949,4.926
31.12.1949,4.922
31.01.1950,4.93
28.02.1950,4.938
31.03.1950,4.942
30.04.1950,5.152
31.05.1950,5.148
30.06.1950,5.152
31.07.1950,5.188
31.08.1950,5.204
30.09.1950,5.188
31.10.1950,5.148
30.11.1950,4.926
31.12.1950,4.922
31.01.1951,4.93
28.02.1951,4.938
31.03.1951,4.942
30.04.1951,5.152
31.05.1951,5.148
30.06.1951,5.152
31.07.1951,5.188
31.08.1951,5.204
30.09.1951,5.188
31.10.1951,5.148
30.11.1951,4.926
31.12.1951,4.922
31.01.1952,4.93
29.02.1952,4.938
31.03.1952,4.942
30.04.1952,5.152
31.05.1952,5.148
30.06.1952,5.152
31.07.1952,5.188
31.08.1952,5.204
30.09.1952,5.188
31.10.1952,5.148
30.11.1952,4.926
31.12.1952,4.922
31.01.1953,4.93
28.02.1953,4.938
31.03.1953,4.942
30.04.1953,5.152
31.05.1953,5.148
30.06.1953,5.152
31.07.1953,5.188
31.08.1953,5.204
30.09.1953,5.188
31.10.1953,5.148
30.11.1953,4.926
31.12.1953,4.922
31.01.1954,4.93
28.02.1954,4.938
31.03.1954,4.942
30.04.1954,5.152
31.05.1954,5.148
30.06.1954,5.152
31.07.1954,5.188
31.08.1954,5.204
30.09.1954,5.188
31.10.1954,5.148
30.11.1954,4.926
31.12.1954,4.922
31.01.1955,4.93
28.02.1955,4.938
31.03.1955,4.942
30.04.1955,5.152
31.05.1955,5.148
30.06.1955,5.152
31.07.1955,5.188
31.08.1955,5.204
30.09.1955,5.188
31.10.1955,5.148
30.11.1955,4.926
31.12.1955,4.922
31.01.1956,4.93
29.02.1956,4.938
31.03.1956,4.942
30.04.1956,5.152
31.05.1956,5.148
30.06.1956,5.152
31.07.1956,5.188
31.08.1956,5.204
30.09.1956,5.188
31.10.1956,5.148
30.11.1956,4.926
31.12.1956,4.922
31.01.1957,4.93
28.02.1957,4.938
31.03.1957,4.942
30.04.1957,5.152
31.05.1957,5.148
30.06.1957,5.152
31.07.1957,5.188
31.08.1957,5.204
30.09.1957,5.188
31.10.1957,5.148
30.11.1957,4.926
31.12.1957,4.922
31.01.1958,4.93
28.02.1958,4.938
31.03.1958,4.942
30.04.1958,5.152
31.05.1958,5.148
30.06.1958,5.152
31.07.1958,5.188
31.08.1958,5.204
30.09.1958,5.188
31.10.1958,5.148
30.11.1958,4.926
31.12.1958,4.922
31.01.1959,4.93
28.02.1959,4.938
31.03.1959,4.942
30.04.1959,5.152
31.05.1959,5.148
30.06.1959,5.152
31.07.1959,5.188
31.08.1959,5.204
30.09.1959,5.188
31.10.1959,5.148
30.11.1959,4.926
31.12.1959,4.922
31.01.1960,4.93
29.02.1960,4.938
31.03.1960,4.942
30.04.1960,5.152
31.05.1960,5.148
30.06.1960,5.152
31.07.1960,5.188
31.08.1960,5.204
30.09.1960,5.188
31.10.1960,5.148
30.11.1960,4.926
31.12.1960,4.922
31.01.1961,4.93
28.02.1961,4.938
31.03.1961,4.942
30.04.1961,5.152
31.05.1961,5.148
30.06.1961,5.152
31.07.1961,5.188
31.08.1961,5.204
30.09.1961,5.188
31.10.1961,5.148
30.11.1961,4.926
31.12.1961,4.922
31.01.1962,4.93
28.02.1962,4.938
31.03.1962,4.942
30.04.1962,5.152
31.05.1962,5.148
30.06.1962,5.152
31.07.1962,5.188
31.08.1962,5.204
30.09.1962,5.188
31.10.1962,5.148
30.11.1962,4.926
31.12.1962,4.922
31.01.1963,4.93
28.02.1963,4.938
31.03.1963,4.942
30.04.1963,5.152
31.05.1963,5.148
30.06.1963,5.152
31.07.1963,5.188
31.08.1963,5.204
30.09.1963,5.188
31.10.1963,5.148
30.11.1963,4.926
31.12.1963,4.922
31.01.1964,4.93
29.02.1964,4.938
31.03.1964,4.942
30.04.1964,5.152
31.05.1964,5.148
30.06.1964,5.152
31.07.1964,5.188
31.08.1964,5.204
30.09.1964,5.188
31.10.1964,5.148
30.11.1964,4.926
31.12.1964,4.922
31.01.1965,4.93
28.02.1965,4.938
31.03.1965,4.942
30.04.1965,5.152
31.05.1965,5.148
30.06.1965,5.152
31.07.1965,5.188
31.08.1965,5.204
30.09.1965,5.188
31.10.1965,5.148
30.11.1965,4.926
31.12.1965,4.922
31.01.1966,4.93
28.02.1966,4.938
31.03.1966,4.942
30.04.1966,5.152
31.05.1966,5.148
30.06.1966,5.152
31.07.1966,5.188
31.08.1966,5.204
30.09.1966,5.188
31.10.1966,5.148
30.11.1966,4.926
31.12.1966,4.922
31.01.1967,4.93
28.02.1967,4.938
31.03.1967,4.942
30.04.1967,5.152
31.05.1967,5.148
30.06.1967,5.152
31.07.1967,5.188
31.08.1967,5.204
30.09.1967,5.188
31.10.1967,5.148
30.11.1967,4.926
31.12.1967,4.922
31.01.1968,4.93
29.02.1968,4.938
31.03.1968,4.942
30.04.1968,5.152
31.05.1968,5.148
30.06.1968,5.152
31.07.1968,5.188
31.08.1968,5.204
30.09.1968,5.188
31.10.1968,5.148
30.11.1968,4.926
31.12.1968,4.922
31.01.1969,4.93
28.02.1969,4.938
31.03.1969,4.942
30.04.1969,5.152
31.05.1969,5.148
30.06.1969,5.152
31.07.1969,5.188
31.08.1969,5.204
30.09.1969,5.188
31.10.1969,5.148
30.11.1969,4.926
31.12.1969,4.922
31.01.1970,4.93
28.02.1970,4.938
31.03.1970,4.942
30.04.1970,5.152
31.05.1970,5.148
30.06.1970,5.152
31.07.1970,5.188
31.08.1970,5.204
30.09.1970,5.188
31.10.1970,5.148
30.11.1970,4.926
31.12.1970,4.922
31.01.1971,4.93
28.02.1971,4.938
31.03.1971,4.942
30.04.1971,5.152
31.05.1971,5.148
30.06.1971,5.152
31.07.1971,5.188
31.08.1971,5.204
30.09.1971,5.188
31.10.1971,5.148
30.11.1971,4.926
31.12.1971,4.922
31.01.1972,4.93
29.02.1972,4.938
31.03.1972,4.942
30.04.1972,5.152
31.05.1972,5.148
30.06.1972,5.152
31.07.1972,5.188
31.08.1972,5.204
30.09.1972,5.188
31.10.1972,5.148
30.11.1972,4.926
31.12.1972,4.922
31.01.1973,4.93
28.02.1973,4.938
31.03.1973,4.942
30.04.1973,5.152
31.05.1973,5.148
30.06.1973,5.152
31.07.1973,5.188
31.08.1973,5.204
30.09.1973,5.188
31.10.1973,5.148
30.11.1973,4.926
31.12.1973,4.922
31.01.1974,4.93
28.02.1974,4.938
31.03.1974,4.942
30.04.1974,5.152
31.05.1974,5.148
30.06.1974,5.152
31.07.1974,5.188
31.08.1974,5.204
30.09.1974,5.188
31.10.1974,5.148
30.11.1974,4.926
31.12.1974,4.922
31.01.1975,4.93
28.02.1975,4.938
31.03.1975,4.942
30.04.1975,5.152
31.05.1975,5.148
30.06.1975,5.152
31.07.1975,5.188
31.08.1975,5.204
30.09.1975,5.188
31.10.1975,5.148
30.11.1975,4.926
31.12.1975,4.922
31.01.1976,4.93
29.02.1976,4.938
31.03.1976,4.942
30.04.1976,5.152
