date,kaf
1921-10-31,20.867
1921-11-30,13.286
1921-12-31,9.04
1922-01-31,7.708
1922-02-28,9.363
1922-03-31,13.562
1922-04-30,22.636
1922-05-31,35.588
1922-06-30,46.325
1922-07-31,48.735
1922-08-31,35.69681926
1922-09-30,14.42637882
1922-10-31,15.2957021
1922-11-30,13.116
1922-12-31,8.87
1923-01-31,7.538
1923-02-28,9.193
1923-03-31,13.392
1923-04-30,22.636
1923-05-31,12.988
1923-06-30,15.535
1923-07-31,48.735
1923-08-31,35.69744402
1923-09-30,14.42718412
1923-10-31,15.29449671
1923-11-30,13.116
1923-12-31,8.87
1924-01-31,7.538
1924-02-29,9.193
1924-03-31,13.392
1924-04-30,22.636
1924-05-31,12.988
1924-06-30,15.535
1924-07-31,48.735
1924-08-31,14.88020754
1924-09-30,14.42939838
1924-10-31,15.29630474
1924-11-30,13.116
1924-12-31,8.87
1925-01-31,7.538
1925-02-28,9.193
1925-03-31,13.392
1925-04-30,22.636
1925-05-31,12.988
1925-06-30,15.535
1925-07-31,48.735
1925-08-31,14.88121639
1925-09-30,14.43221582
1925-10-31,15.29590299
1925-11-30,13.116
1925-12-31,8.87
1926-01-31,7.538
1926-02-28,9.193
1926-03-31,13.392
1926-04-30,22.636
1926-05-31,19.90099812
1926-06-30,15.535
1926-07-31,48.735
1926-08-31,14.87879498
1926-09-30,14.4304047
1926-10-31,15.29168356
1926-11-30,13.116
1926-12-31,8.87
1927-01-31,7.538
1927-02-28,9.193
1927-03-31,13.392
1927-04-30,22.636
1927-05-31,22.11951921
1927-06-30,15.535
1927-07-31,48.735
1927-08-31,14.88040932
1927-09-30,14.43060595
1927-10-31,15.29268834
1927-11-30,13.116
1927-12-31,8.87
1928-01-31,7.538
1928-02-29,9.193
1928-03-31,13.392
1928-04-30,22.636
1928-05-31,12.988
1928-06-30,15.535
1928-07-31,48.735
1928-08-31,14.87960218
1928-09-30,14.42919711
1928-10-31,15.29730907
1928-11-30,13.116
1928-12-31,8.87
1929-01-31,7.538
1929-02-28,9.193
1929-03-31,13.392
1929-04-30,22.636
1929-05-31,12.988
1929-06-30,15.535
1929-07-31,48.735
1929-08-31,14.87718038
1929-09-30,14.43000219
1929-10-31,15.29128161
1929-11-30,13.116
1929-12-31,8.87
1930-01-31,7.538
