date,kaf
1921-10-31,85.354103
1921-11-30,89.678703
1921-12-31,97.348724
1922-01-31,98.681679
1922-02-28,86.750359
1922-03-31,92.827736
1922-04-30,80.139946
1922-05-31,70.633804
1922-06-30,56.47353
1922-07-31,57.484051
1922-08-31,91.347015
1922-09-30,88.375435
1922-10-31,90.928757
1922-11-30,89.678703
1922-12-31,97.348724
1923-01-31,98.681679
1923-02-28,86.750359
1923-03-31,92.827736
1923-04-30,80.139946
1923-05-31,70.633804
1923-06-30,56.47353
1923-07-31,88.674049
1923-08-31,91.347626
1923-09-30,88.374527
1923-10-31,90.930061
1923-11-30,89.678703
1923-12-31,97.348724
1924-01-31,98.681679
1924-02-29,86.750359
1924-03-31,92.827736
1924-04-30,80.139946
1924-05-31,70.633804
1924-06-30,87.263527
1924-07-31,88.674049
1924-08-31,91.347015
1924-09-30,88.372009
1924-10-31,90.928055
1924-11-30,89.678703
1924-12-31,97.348724
1925-01-31,98.681679
1925-02-28,86.750359
1925-03-31,92.827736
1925-04-30,80.139946
1925-05-31,70.633804
1925-06-30,56.47353
1925-07-31,88.674049
1925-08-31,91.346008
1925-09-30,88.369095
1925-10-31,90.928558
1925-11-30,89.678703
1925-12-31,97.348724
1926-01-31,98.681679
1926-02-28,86.750359
1926-03-31,92.827736
1926-04-30,80.139946
1926-05-31,70.633804
1926-06-30,56.47353
1926-07-31,88.674049
1926-08-31,91.348633
1926-09-30,88.371109
1926-10-31,90.933182
1926-11-30,89.678703
1926-12-31,97.348724
1927-01-31,98.681679
1927-02-28,86.750359
1927-03-31,92.827736
1927-04-30,80.139946
1927-05-31,70.633804
1927-06-30,56.47353
1927-07-31,88.674049
1927-08-31,91.346817
1927-09-30,88.370705
1927-10-31,90.932076
1927-11-30,89.678703
1927-12-31,97.348724
1928-01-31,98.681679
1928-02-29,86.750359
1928-03-31,92.827736
1928-04-30,80.139946
1928-05-31,70.633804
1928-06-30,56.47353
1928-07-31,88.674049
1928-08-31,91.347725
1928-09-30,88.372215
1928-10-31,90.927155
1928-11-30,89.678703
1928-12-31,97.348724
1929-01-31,98.681679
1929-02-28,86.750359
1929-03-31,92.827736
1929-04-30,80.139946
1929-05-31,70.633804
1929-06-30,74.679138
1929-07-31,88.674049
1929-08-31,91.350349
1929-09-30,88.371506
1929-10-31,90.933479
1929-11-30,89.678703
1929-12-31,97.348724
1930-01-31,98.681679
1930-02-28,86.750359
1930-03-31,92.827736
1930-04-30,80.139946
1930-05-31,70.633804
1930-06-30,56.47353
1930-07-31,88.674049
1930-08-31,91.347321
1930-09-30,88.366676
1930-10-31,90.927452
1930-11-30,89.678703
1930-12-31,97.348724
1931-01-31,98.681679
1931-02-28,86.750359
1931-03-31,92.827736
1931-04-30,80.139946
1931-05-31,70.633804
1931-06-30,78.712486
1931-07-31,88.674049
1931-08-31,91.35096
1931-09-30,88.36869
1931-10-31,90.928253
1931-11-30,89.678703
1931-12-31,97.348724
1932-01-31,98.681679
1932-02-29,86.750359
1932-03-31,92.827736
1932-04-30,80.139946
1932-05-31,70.633804
1932-06-30,56.47353
1932-07-31,88.674049
1932-08-31,91.346817
1932-09-30,88.374931
1932-10-31,90.928558
1932-11-30,89.678703
1932-12-31,97.348724
1933-01-31,98.681679
1933-02-28,86.750359
1933-03-31,92.827736
1933-04-30,80.139946
1933-05-31,70.633804
1933-06-30,56.47353
1933-07-31,88.674049
1933-08-31,91.350349
1933-09-30,88.36879
1933-10-31,90.93911
1933-11-30,89.678703
1933-12-31,97.348724
1934-01-31,98.681679
1934-02-28,86.750359
1934-03-31,92.827736
1934-04-30,80.139946
1934-05-31,70.633804
1934-06-30,64.41938
1934-07-31,88.674049
1934-08-31,91.349342
1934-09-30,88.372116
1934-10-31,90.930565
1934-11-30,89.678703
