date,kaf
date,FLOW_LOC(KAF)
1921-10-31,0
1921-11-30,0
1921-12-31,29.793
1922-01-31,8.746
1922-02-28,0
1922-03-31,0.957
1922-04-30,0
1922-05-31,0
1922-06-30,0
1922-07-31,0
1922-08-31,0
1922-09-30,0
1922-10-31,0
1922-11-30,0.137
1922-12-31,0.137
1923-01-31,1.367
1923-02-28,3.827
1923-03-31,5.467
1923-04-30,0.273
1923-05-31,0
1923-06-30,0
1923-07-31,0.273
1923-08-31,0
1923-09-30,0
1923-10-31,0
1923-11-30,8.883
1923-12-31,16.946
1924-01-31,0
1924-02-29,0
1924-03-31,0.547
1924-04-30,7.516
1924-05-31,5.74
1924-06-30,0
1924-07-31,0
1924-08-31,0
1924-09-30,0
1924-10-31,0
1924-11-30,0
1924-12-31,3.007
1925-01-31,0
1925-02-28,0
1925-03-31,1.367
1925-04-30,0
1925-05-31,0
1925-06-30,0
1925-07-31,0
1925-08-31,0
1925-09-30,0
1925-10-31,26.239
1925-11-30,9.156
1925-12-31,5.877
1926-01-31,1.367
1926-02-28,0
1926-03-31,0
1926-04-30,27.196
1926-05-31,0
1926-06-30,0
1926-07-31,0
1926-08-31,0
1926-09-30,0.547
1926-10-31,0
1926-11-30,0
1926-12-31,56.032
1927-01-31,4.1
1927-02-28,10.113
1927-03-31,1.367
1927-04-30,0
1927-05-31,0
1927-06-30,0
1927-07-31,0.82
1927-08-31,0.137
1927-09-30,0
1927-10-31,8.063
1927-11-30,0
1927-12-31,43.049
1928-01-31,0
1928-02-29,2.323
1928-03-31,0.82
1928-04-30,0
1928-05-31,0
1928-06-30,0
1928-07-31,0
1928-08-31,0
1928-09-30,0
1928-10-31,3.007
1928-11-30,0
1928-12-31,0
1929-01-31,1.093
1929-02-28,0
1929-03-31,0
1929-04-30,0
1929-05-31,0
1929-06-30,0
1929-07-31,0
1929-08-31,1.367
1929-09-30,1.64
1929-10-31,0
1929-11-30,0
1929-12-31,0
1930-01-31,7.38
1930-02-28,0
1930-03-31,14.076
1930-04-30,0.273
1930-05-31,6.013
1930-06-30,0
1930-07-31,0
1930-08-31,0
1930-09-30,0
1930-10-31,0
1930-11-30,0
1930-12-31,0
1931-01-31,1.64
1931-02-28,20.089
1931-03-31,0
1931-04-30,11.343
1931-05-31,0
1931-06-30,0
1931-07-31,0
1931-08-31,4.92
1931-09-30,2.46
1931-10-31,2.05
1931-11-30,1.093
1931-12-31,3.553
1932-01-31,0
1932-02-29,18.86
1932-03-31,0
1932-04-30,0.137
1932-05-31,0
1932-06-30,2.05
1932-07-31,0
1932-08-31,0
1932-09-30,9.188
1932-10-31,0
1932-11-30,3.254
1932-12-31,0.335
1933-01-31,18.185
1933-02-28,0
1933-03-31,0
1933-04-30,0.335
1933-05-31,1.675
1933-06-30,0.383
1933-07-31,0
1933-08-31,4.738
1933-09-30,0
1933-10-31,1.053
1933-11-30,6.652
1933-12-31,0
1934-01-31,10.098
1934-02-28,3.302
1934-03-31,0.957
1934-04-30,0
1934-05-31,0
1934-06-30,0.191
1934-07-31,0
1934-08-31,0.239
1934-09-30,0
1934-10-31,4.403
1934-11-30,12.012
1934-12-31,7.801
1935-01-31,11.103
1935-02-28,4.116
1935-03-31,8.423
1935-04-30,2.68
1935-05-31,0
1935-06-30,0
1935-07-31,0
1935-08-31,6.604
1935-09-30,0.335
1935-10-31,0.335
1935-11-30,1.531
1935-12-31,0.191
1936-01-31,0.191
1936-02-29,15.218
1936-03-31,3.446
1936-04-30,1.914
1936-05-31,0
1936-06-30,0.718
1936-07-31,0.239
1936-08-31,0.096
1936-09-30,0
1936-10-31,0.191
1936-11-30,23.689
1936-12-31,2.776
1937-01-31,9.188
1937-02-28,10.863
1937-03-31,12.156
1937-04-30,0.431
1937-05-31,1.579
1937-06-30,0.718
1937-07-31,0
1937-08-31,0
1937-09-30,0
1937-10-31,0
1937-11-30,6.939
1937-12-31,0.096
1938-01-31,2.441
1938-02-28,20.865
1938-03-31,23.545
1938-04-30,1.34
1938-05-31,0
1938-06-30,0
1938-07-31,0
1938-08-31,5.695
1938-09-30,0.766
1938-10-31,0
1938-11-30,22.78
1938-12-31,0
1939-01-31,7.896
1939-02-28,3.733
1939-03-31,8.183
1939-04-30,1.053
1939-05-31,1.819
1939-06-30,0
1939-07-31,0
1939-08-31,0.191
1939-09-30,9.045
1939-10-31,1.292
1939-11-30,1.531
1939-12-31,0.144
1940-01-31,6.796
1940-02-29,6.556
1940-03-31,3.541
1940-04-30,2.871
1940-05-31,0
1940-06-30,0
1940-07-31,0
1940-08-31,0
1940-09-30,0
1940-10-31,0.622
1940-11-30,19.095
1940-12-31,3.063
1941-01-31,7.131
1941-02-28,22.014
1941-03-31,23.641
1941-04-30,11.342
1941-05-31,1.196
1941-06-30,0
1941-07-31,0
1941-08-31,0.239
1941-09-30,0
1941-10-31,1.627
1941-11-30,14.692
1941-12-31,6.269
1942-01-31,0.431
1942-02-28,2.058
1942-03-31,2.68
1942-04-30,5.264
1942-05-31,0
1942-06-30,0
1942-07-31,0
1942-08-31,5.025
1942-09-30,0
1942-10-31,0.526
1942-11-30,1.101
1942-12-31,3.063
1943-01-31,26.752
1943-02-28,9.619
1943-03-31,12.586
1943-04-30,3.254
1943-05-31,0
1943-06-30,0
1943-07-31,0
1943-08-31,0
1943-09-30,1.579
1943-10-31,0.383
1943-11-30,36.132
1943-12-31,0.526
1944-01-31,2.489
1944-02-29,34.648
1944-03-31,6.317
1944-04-30,1.053
1944-05-31,0
1944-06-30,0
1944-07-31,0
1944-08-31,0
1944-09-30,0
1944-10-31,14.07
1944-11-30,2.919
1944-12-31,0
1945-01-31,0
1945-02-28,8.04
1945-03-31,11.725
1945-04-30,1.579
1945-05-31,0
1945-06-30,0
1945-07-31,0
1945-08-31,1.101
1945-09-30,2.01
1945-10-31,0.096
1945-11-30,12.203
1945-12-31,4.738
1946-01-31,0.096
1946-02-28,4.786
1946-03-31,11.916
1946-04-30,1.244
1946-05-31,0
1946-06-30,0
1946-07-31,0.622
1946-08-31,0
1946-09-30,0
1946-10-31,16.128
1946-11-30,10.768
1946-12-31,1.962
1947-01-31,2.058
1947-02-28,0.096
1947-03-31,2.824
1947-04-30,0.957
1947-05-31,0.814
1947-06-30,0
1947-07-31,0
1947-08-31,1.005
1947-09-30,0
1947-10-31,0
1947-11-30,7.896
1947-12-31,0.622
1948-01-31,0
1948-02-29,6.652
1948-03-31,7.226
1948-04-30,1.196
1948-05-31,0
1948-06-30,1.005
1948-07-31,0
1948-08-31,0
1948-09-30,0
1948-10-31,0
1948-11-30,6.987
1948-12-31,1.484
1949-01-31,8.279
1949-02-28,2.393
1949-03-31,1.101
1949-04-30,0.096
1949-05-31,0.622
1949-06-30,0
1949-07-31,0
1949-08-31,0.287
1949-09-30,0
1949-10-31,2.393
1949-11-30,5.073
1949-12-31,0.814
1950-01-31,3.541
1950-02-28,2.776
1950-03-31,5.408
1950-04-30,2.441
1950-05-31,1.292
1950-06-30,0
1950-07-31,1.053
1950-08-31,0
1950-09-30,0.335
1950-10-31,0.479
1950-11-30,0
1950-12-31,0
1951-01-31,6.461
1951-02-28,0.861
1951-03-31,1.436
1951-04-30,3.924
1951-05-31,1.675
1951-06-30,0
1951-07-31,0
1951-08-31,0
1951-09-30,0
1951-10-31,3.446
1951-11-30,20.291
1951-12-31,2.871
1952-01-31,29.91
1952-02-29,2.106
1952-03-31,22.445
1952-04-30,3.254
1952-05-31,0
1952-06-30,0
1952-07-31,1.388
1952-08-31,0
1952-09-30,1.675
1952-10-31,9.093
1952-11-30,9.619
1952-12-31,0
1953-01-31,0.287
1953-02-28,1.531
1953-03-31,0.861
1953-04-30,2.824
1953-05-31,1.101
1953-06-30,0
1953-07-31,0
1953-08-31,0.622
1953-09-30,0
1953-10-31,1.866
1953-11-30,0
1953-12-31,0
1954-01-31,21.679
1954-02-28,7.944
1954-03-31,9.763
1954-04-30,0
