date,kaf
1921-10-31,20003.10652
1921-11-30,20004.80788
1921-12-31,20035.87788
1922-01-31,20045.76324
1922-02-28,20046.96048
1922-03-31,20049.93488
1922-04-30,20054.00252
1922-05-31,20061.00072
1922-06-30,20069.66696
1922-07-31,20079.05984
1922-08-31,20078.6005
1922-09-30,20066.72796
1922-10-31,20064.26318
1922-11-30,20066.10154
1922-12-31,20067.51554
1923-01-31,20070.0219
1923-02-28,20075.04614
1923-03-31,20082.53054
1923-04-30,20086.87118
1923-05-31,20071.26938
1923-06-30,20049.14562
1923-07-31,20058.8115
1923-08-31,20058.35278
1923-09-30,20046.48105
1923-10-31,20044.01507
1923-11-30,20054.59943
1923-12-31,20072.82243
1924-01-31,20073.96179
1924-02-29,20075.15903
1924-03-31,20077.72343
1924-04-30,20089.30707
1924-05-31,20079.44527
1924-06-30,20057.32151
1924-07-31,20066.71439
1924-08-31,20045.43843
1924-09-30,20033.56891
1924-10-31,20031.10474
1924-11-30,20032.8061
1924-12-31,20037.0901
1925-01-31,20038.22946
1925-02-28,20039.4267
1925-03-31,20042.8111
1925-04-30,20046.87874
1925-05-31,20031.27694
1925-06-30,20009.15318
1925-07-31,20018.54606
1925-08-31,19997.27111
1925-09-30,19985.40441
1925-10-31,20009.17883
1925-11-30,20020.03619
1925-12-31,20027.19019
1926-01-31,20029.69655
1926-02-28,20030.89379
1926-03-31,20032.91119
1926-04-30,20064.17483
1926-05-31,20055.48603
1926-06-30,20033.36227
1926-07-31,20042.75515
1926-08-31,20021.47778
1926-09-30,20010.15627
1926-10-31,20007.68747
1926-11-30,20009.38883
1926-12-31,20066.69783
1927-01-31,20071.93719
1927-02-28,20083.24743
1927-03-31,20086.63183
1927-04-30,20090.69947
1927-05-31,20084.22919
1927-06-30,20062.10543
1927-07-31,20072.31831
1927-08-31,20051.17956
1927-09-30,20039.31125
1927-10-31,20044.90646
1927-11-30,20046.60782
1927-12-31,20090.93382
1928-01-31,20092.07318
1928-02-29,20095.59342
1928-03-31,20098.43082
1928-04-30,20102.49846
1928-05-31,20086.89666
1928-06-30,20064.7729
1928-07-31,20074.16578
1928-08-31,20052.88922
1928-09-30,20041.01949
1928-10-31,20041.56332
1928-11-30,20043.26468
1928-12-31,20044.54168
1929-01-31,20046.77404
1929-02-28,20047.97128
1929-03-31,20049.98868
1929-04-30,20054.05632
1929-05-31,20038.45452
