date,kaf
1921-10-31,0.31391
1921-11-30,0.241854
1921-12-31,0.177885
1922-01-31,0.167429
1922-02-28,0.182753
1922-03-31,0.208781
1922-04-30,0.278493
1922-05-31,0.413885
1922-06-30,0.501395
1922-07-31,0.577681
1922-08-31,0.476732
1922-09-30,0.4592
1922-10-31,0.31391
1922-11-30,0.241854
1922-12-31,0.177885
1923-01-31,0.167429
1923-02-28,0.182753
1923-03-31,0.208781
1923-04-30,0.278493
1923-05-31,0.413885
1923-06-30,0.501395
1923-07-31,0.577681
1923-08-31,0.476732
1923-09-30,0.4592
1923-10-31,0.31391
1923-11-30,0.241854
1923-12-31,0.177885
1924-01-31,0.167429
1924-02-29,0.182753
1924-03-31,0.208781
1924-04-30,0.278493
1924-05-31,0.413885
1924-06-30,0.501395
1924-07-31,0.577681
1924-08-31,0.476732
1924-09-30,0.4592
1924-10-31,0.31391
1924-11-30,0.241854
1924-12-31,0.177885
1925-01-31,0.167429
1925-02-28,0.182753
1925-03-31,0.208781
1925-04-30,0.278493
1925-05-31,0.413885
1925-06-30,0.501395
1925-07-31,0.577681
1925-08-31,0.476732
1925-09-30,0.4592
1925-10-31,0.31391
1925-11-30,0.241854
1925-12-31,0.177885
1926-01-31,0.167429
1926-02-28,0.182753
1926-03-31,0.208781
1926-04-30,0.278493
1926-05-31,0.413885
1926-06-30,0.501395
1926-07-31,0.577681
1926-08-31,0.476732
1926-09-30,0.4592
1926-10-31,0.31391
1926-11-30,0.241854
1926-12-31,0.177885
1927-01-31,0.167429
1927-02-28,0.182753
1927-03-31,0.208781
1927-04-30,0.278493
1927-05-31,0.413885
1927-06-30,0.501395
1927-07-31,0.577681
1927-08-31,0.476732
1927-09-30,0.4592
1927-10-31,0.31391
1927-11-30,0.241854
1927-12-31,0.177885
1928-01-31,0.167429
1928-02-29,0.182753
1928-03-31,0.208781
1928-04-30,0.278493
1928-05-31,0.413885
1928-06-30,0.501395
1928-07-31,0.577681
1928-08-31,0.476732
1928-09-30,0.4592
1928-10-31,0.31391
1928-11-30,0.241854
1928-12-31,0.177885
1929-01-31,0.167429
1929-02-28,0.182753
1929-03-31,0.208781
1929-04-30,0.278493
1929-05-31,0.413885
1929-06-30,0.501395
1929-07-31,0.577681
1929-08-31,0.476732
1929-09-30,0.4592
1929-10-31,0.31391
1929-11-30,0.241854
1929-12-31,0.177885
1930-01-31,0.167429
1930-02-28,0.182753
1930-03-31,0.208781
1930-04-30,0.278493
1930-05-31,0.413885
1930-06-30,0.501395
1930-07-31,0.577681
1930-08-31,0.476732
1930-09-30,0.4592
1930-10-31,0.31391
1930-11-30,0.241854
1930-12-31,0.177885
1931-01-31,0.167429
1931-02-28,0.182753
1931-03-31,0.208781
1931-04-30,0.278493
1931-05-31,0.413885
1931-06-30,0.501395
1931-07-31,0.577681
1931-08-31,0.476732
1931-09-30,0.4592
1931-10-31,0.31391
1931-11-30,0.241854
1931-12-31,0.177885
1932-01-31,0.167429
1932-02-29,0.182753
1932-03-31,0.208781
1932-04-30,0.278493
1932-05-31,0.413885
1932-06-30,0.501395
1932-07-31,0.577681
1932-08-31,0.476732
1932-09-30,0.4592
1932-10-31,0.31391
1932-11-30,0.241854
1932-12-31,0.177885
1933-01-31,0.167429
1933-02-28,0.182753
1933-03-31,0.208781
1933-04-30,0.278493
1933-05-31,0.413885
1933-06-30,0.501395
1933-07-31,0.577681
1933-08-31,0.476732
1933-09-30,0.4592
1933-10-31,0.31391
1933-11-30,0.241854
1933-12-31,0.177885
1934-01-31,0.167429
1934-02-28,0.182753
1934-03-31,0.208781
1934-04-30,0.278493
1934-05-31,0.413885
1934-06-30,0.501395
1934-07-31,0.577681
1934-08-31,0.476732
1934-09-30,0.4592
1934-10-31,0.31391
1934-11-30,0.241854
1934-12-31,0.177885
1935-01-31,0.167429
1935-02-28,0.182753
1935-03-31,0.208781
1935-04-30,0.278493
1935-05-31,0.413885
1935-06-30,0.501395
1935-07-31,0.577681
1935-08-31,0.476732
1935-09-30,0.4592
1935-10-31,0.31391
1935-11-30,0.241854
1935-12-31,0.177885
1936-01-31,0.167429
1936-02-29,0.182753
1936-03-31,0.208781
1936-04-30,0.278493
1936-05-31,0.413885
1936-06-30,0.501395
1936-07-31,0.577681
1936-08-31,0.476732
1936-09-30,0.4592
1936-10-31,0.31391
1936-11-30,0.241854
1936-12-31,0.177885
1937-01-31,0.167429
1937-02-28,0.182753
1937-03-31,0.208781
1937-04-30,0.278493
1937-05-31,0.413885
1937-06-30,0.501395
1937-07-31,0.577681
1937-08-31,0.476732
1937-09-30,0.4592
1937-10-31,0.31391
1937-11-30,0.241854
1937-12-31,0.177885
1938-01-31,0.167429
1938-02-28,0.182753
1938-03-31,0.208781
1938-04-30,0.278493
1938-05-31,0.413885
1938-06-30,0.501395
1938-07-31,0.577681
1938-08-31,0.476732
1938-09-30,0.4592
1938-10-31,0.31391
1938-11-30,0.241854
1938-12-31,0.177885
1939-01-31,0.167429
1939-02-28,0.182753
1939-03-31,0.208781
1939-04-30,0.278493
1939-05-31,0.413885
1939-06-30,0.501395
1939-07-31,0.577681
1939-08-31,0.476732
1939-09-30,0.4592
1939-10-31,0.31391
1939-11-30,0.241854
1939-12-31,0.177885
1940-01-31,0.167429
1940-02-29,0.182753
1940-03-31,0.208781
1940-04-30,0.278493
1940-05-31,0.413885
1940-06-30,0.501395
1940-07-31,0.577681
1940-08-31,0.476732
1940-09-30,0.4592
1940-10-31,0.31391
1940-11-30,0.241854
1940-12-31,0.177885
1941-01-31,0.167429
1941-02-28,0.182753
1941-03-31,0.208781
1941-04-30,0.278493
1941-05-31,0.413885
1941-06-30,0.501395
1941-07-31,0.577681
1941-08-31,0.476732
1941-09-30,0.4592
1941-10-31,0.31391
1941-11-30,0.241854
1941-12-31,0.177885
1942-01-31,0.167429
1942-02-28,0.182753
1942-03-31,0.208781
1942-04-30,0.278493
1942-05-31,0.413885
1942-06-30,0.501395
1942-07-31,0.577681
1942-08-31,0.476732
1942-09-30,0.4592
1942-10-31,0.31391
1942-11-30,0.241854
1942-12-31,0.177885
1943-01-31,0.167429
1943-02-28,0.182753
1943-03-31,0.208781
1943-04-30,0.278493
1943-05-31,0.413885
1943-06-30,0.501395
1943-07-31,0.577681
1943-08-31,0.476732
1943-09-30,0.4592
1943-10-31,0.31391
1943-11-30,0.241854
1943-12-31,0.177885
1944-01-31,0.167429
1944-02-29,0.182753
1944-03-31,0.208781
1944-04-30,0.278493
1944-05-31,0.413885
1944-06-30,0.501395
1944-07-31,0.577681
1944-08-31,0.476732
