date,kaf
date,FLOW_LOC(KAF)
1921-10-31,9.28
1921-11-30,9.52
1921-12-31,10
1922-01-31,11
1922-02-28,11.9
1922-03-31,14
1922-04-30,21.9
1922-05-31,18.4
1922-06-30,37.7
1922-07-31,29.8
1922-08-31,14.8
1922-09-30,11.7
1922-10-31,11.7
1922-11-30,12.6
1922-12-31,14.5
1923-01-31,14
1923-02-28,14.6
1923-03-31,14.6
1923-04-30,11.8
1923-05-31,15.44
1923-06-30,16.7
1923-07-31,19
1923-08-31,12.4
1923-09-30,11.8
1923-10-31,11.6
1923-11-30,11.1
1923-12-31,10.5
1924-01-31,10.2
1924-02-29,10.2
1924-03-31,11.1
1924-04-30,8.8
1924-05-31,8.73
1924-06-30,7.26
1924-07-31,6.83
1924-08-31,6.46
1924-09-30,6.72
1924-10-31,7.75
1924-11-30,8.45
1924-12-31,9.1
1925-01-31,8.6
1925-02-28,8.94
1925-03-31,8.42
1925-04-30,8.21
1925-05-31,9.9
1925-06-30,13.65
1925-07-31,15.53
1925-08-31,10.21
1925-09-30,8.11
1925-10-31,9.51
1925-11-30,9.06
1925-12-31,8.93
1926-01-31,8.45
1926-02-28,8.72
1926-03-31,15.4
1926-04-30,10.81
1926-05-31,14.62
1926-06-30,14.86
1926-07-31,8.82
1926-08-31,7.48
1926-09-30,6.89
1926-10-31,8.08
1926-11-30,9.69
1926-12-31,9.45
1927-01-31,9.03
1927-02-28,9.18
1927-03-31,14.55
1927-04-30,10.22
1927-05-31,14.28
1927-06-30,27.15
1927-07-31,20.25
1927-08-31,11.01
1927-09-30,9.09
1927-10-31,10.78
1927-11-30,11.78
1927-12-31,8.82
1928-01-31,8.95
1928-02-29,9.04
1928-03-31,9.83
1928-04-30,7.82
1928-05-31,13.87
1928-06-30,12.84
1928-07-31,7.12
1928-08-31,5.99
1928-09-30,6.23
1928-10-31,7.96
1928-11-30,8.41
1928-12-31,8.7
1929-01-31,8.06
1929-02-28,7.8
1929-03-31,11.68
1929-04-30,7.89
1929-05-31,8.04
1929-06-30,9
1929-07-31,8.25
1929-08-31,6.53
1929-09-30,6.66
1929-10-31,7.95
1929-11-30,8.01
1929-12-31,8.47
1930-01-31,9.14
1930-02-28,8.96
1930-03-31,10.87
1930-04-30,7.05
1930-05-31,7.35
1930-06-30,11.27
1930-07-31,7.61
1930-08-31,6.93
1930-09-30,7.29
1930-10-31,8.4
1930-11-30,7.38
1930-12-31,7.07
1931-01-31,6.96
1931-02-28,7.29
1931-03-31,7.43
1931-04-30,5.85
1931-05-31,5.32
1931-06-30,4.74
1931-07-31,3.72
1931-08-31,4.07
1931-09-30,4.79
1931-10-31,5.72
1931-11-30,6.01
1931-12-31,6.76
1932-01-31,8.54
1932-02-29,9.09
1932-03-31,12.1
1932-04-30,14.3
1932-05-31,9.35
1932-06-30,22.65
1932-07-31,23.81
1932-08-31,10.94
1932-09-30,8.24
1932-10-31,8.38
1932-11-30,8.18
1932-12-31,8.16
1933-01-31,8.65
1933-02-28,8.38
1933-03-31,13.42
1933-04-30,8.93
1933-05-31,7.09
1933-06-30,18.06
1933-07-31,13.44
1933-08-31,7.49
1933-09-30,6.16
1933-10-31,6.94
1933-11-30,7.34
1933-12-31,9.01
1934-01-31,8.96
1934-02-28,7.76
1934-03-31,12.35
1934-04-30,7.05
1934-05-31,8.59
1934-06-30,9.12
1934-07-31,5.97
1934-08-31,4.9
1934-09-30,5.34
1934-10-31,6.502
1934-11-30,7.244
1934-12-31,7.734
1935-01-31,8.392
1935-02-28,8.105
1935-03-31,10.474
1935-04-30,14.208
1935-05-31,11.23
1935-06-30,24.294
1935-07-31,15.113
1935-08-31,8.816
1935-09-30,7.143
1935-10-31,7.775
1935-11-30,7.745
1935-12-31,7.756
1936-01-31,8.653
1936-02-29,8.648
1936-03-31,11.056
1936-04-30,17.014
1936-05-31,15.471
1936-06-30,20.385
1936-07-31,17.154
1936-08-31,9.878
1936-09-30,7.309
1936-10-31,8.845
1936-11-30,8.866
1936-12-31,8.906
1937-01-31,9.625
1937-02-28,11.15
