date,kaf
1921-10-31,38.345856
1921-11-30,44.378857
1921-12-31,22.325727
1922-01-31,30.814106
1922-02-28,12.469
1922-03-31,30.226858
1922-04-30,34.787319
1922-05-31,88.215858
1922-06-30,59.765858
1922-07-31,51.755856
1922-08-31,41.137856
1922-09-30,0
1922-10-31,0
1922-11-30,0
1922-12-31,0
1923-01-31,0
1923-02-28,0
1923-03-31,47.883858
1923-04-30,30.226858
1923-05-31,71.147858
1923-06-30,55.732857
1923-07-31,55.535858
1923-08-31,39.083858
1923-09-30,17.998211
1923-10-31,15.498843
1923-11-30,0
1923-12-31,0
1924-01-31,15.335259
1924-02-29,1.604287
1924-03-31,30.226858
1924-04-30,53.399857
1924-05-31,27.643988
1924-06-30,12.820528
1924-07-31,28.253017
1924-08-31,5.877521
1924-09-30,5.488211
1924-10-31,7.618843
1924-11-30,0.225733
1924-12-31,0
1925-01-31,21.009258
1925-02-28,14.727286
1925-03-31,30.226858
1925-04-30,62.945858
1925-05-31,81.037857
1925-06-30,69.533859
1925-07-31,63.697857
1925-08-31,44.445858
1925-09-30,11.398211
1925-10-31,12.898843
1925-11-30,0
1925-12-31,0
1926-01-31,11.415728
1926-02-28,9.475287
1926-03-31,58.277859
1926-04-30,36.550858
1926-05-31,81.541855
1926-06-30,57.941856
1926-07-31,49.786858
1926-08-31,15.242255
1926-09-30,7.018211
1926-10-31,8.358843
1926-11-30,0
1926-12-31,6.703501
1927-01-31,1.747856
1927-02-28,13.223857
1927-03-31,19.112858
1927-04-30,47.13932
1927-05-31,83.158859
1927-06-30,69.288857
1927-07-31,54.437859
1927-08-31,47.732857
1927-09-30,14.798211
1927-10-31,13.998843
1927-11-30,7.478735
1927-12-31,0
1928-01-31,17.525257
1928-02-29,13.519286
1928-03-31,48.830856
1928-04-30,64.232857
1928-05-31,51.600857
1928-06-30,63.949856
1928-07-31,40.689411
1928-08-31,9.157521
1928-09-30,6.598211
1928-10-31,8.728843
1928-11-30,0
1928-12-31,0
1929-01-31,2.150242
1929-02-28,8.293288
1929-03-31,45.536858
1929-04-30,62.144855
1929-05-31,82.548859
1929-06-30,66.914337
1929-07-31,30.99725
1929-08-31,12.797522
1929-09-30,9.158211
1929-10-31,8.788843
1929-11-30,0
1929-12-31,0
1930-01-31,0
1930-02-28,15.218023
1930-03-31,50.468857
1930-04-30,73.405853
1930-05-31,45.099857
1930-06-30,73.553856
1930-07-31,52.142857
1930-08-31,19.296968
1930-09-30,7.738211
1930-10-31,9.278843
1930-11-30,0
1930-12-31,0
1931-01-31,15.329259
1931-02-28,0.653
1931-03-31,48.074184
1931-04-30,14.495915
1931-05-31,29.450991
1931-06-30,21.706526
1931-07-31,31.875834
1931-08-31,6.327521
1931-09-30,6.838211
1931-10-31,6.818843
1931-11-30,0
1931-12-31,0
1932-01-31,0
1932-02-29,20.403
1932-03-31,44.821857
1932-04-30,66.028847
1932-05-31,84.166855
1932-06-30,79.613861
1932-07-31,61.075859
1932-08-31,39.909859
1932-09-30,13.598211
1932-10-31,13.998843
1932-11-30,0
1932-12-31,0
1933-01-31,29.516859
1933-02-28,8.510287
1933-03-31,55.226856
1933-04-30,66.488853
1933-05-31,69.137856
1933-06-30,71.533859
1933-07-31,63.264854
1933-08-31,40.230858
1933-09-30,10.098211
1933-10-31,0
1933-11-30,0
1933-12-31,0
1934-01-31,5.358565
1934-02-28,6.926288
1934-03-31,63.759857
1934-04-30,65.871857
1934-05-31,31.69599
1934-06-30,23.215528
1934-07-31,20.957857
1934-08-31,6.947521
1934-09-30,7.018211
1934-10-31,8.198843
1934-11-30,0
1934-12-31,0
1935-01-31,0
1935-02-28,0
1935-03-31,30.226858
1935-04-30,65.673782
1935-05-31,80.731857
1935-06-30,85.535858
1935-07-31,52.772858
1935-08-31,49.049858
1935-09-30,11.358211
1935-10-31,11.958843
1935-11-30,0.899733
1935-12-31,0
1936-01-31,19.93726
1936-02-29,5.033
1936-03-31,59.038857
1936-04-30,86.652855
1936-05-31,92.204857
1936-06-30,60.364857
1936-07-31,58.957859
1936-08-31,46.613857
1936-09-30,14.368211
1936-10-31,15.418843
1936-11-30,2.226455
1936-12-31,3.189
1937-01-31,7.58726
1937-02-28,16.502449
1937-03-31,30.226858
1937-04-30,59.900856
1937-05-31,92.635857
1937-06-30,35.118858
1937-07-31,32.194859
1937-08-31,34.31086
1937-09-30,39.957855
1937-10-31,39.022858
1937-11-30,0
1937-12-31,15.473855
1938-01-31,17.483257
1938-02-28,17.645
1938-03-31,30.226858
1938-04-30,30.226858
1938-05-31,74.444855
1938-06-30,50.674858
1938-07-31,30.226858
1938-08-31,31.112858
1938-09-30,32.872265
1938-10-31,0
1938-11-30,2.484859
1938-12-31,0
1939-01-31,0
1939-02-28,0
1939-03-31,30.226858
1939-04-30,45.136856
1939-05-31,50.801857
1939-06-30,44.256859
1939-07-31,40.015858
1939-08-31,39.765858
1939-09-30,13.708211
1939-10-31,16.828842
1939-11-30,0
1939-12-31,0
1940-01-31,18.51852
1940-02-29,21.975
1940-03-31,40.638855
1940-04-30,42.929855
1940-05-31,67.477859
1940-06-30,45.797859
1940-07-31,30.226858
1940-08-31,36.16386
1940-09-30,36.156857
1940-10-31,14.668843
1940-11-30,0
1940-12-31,0
1941-01-31,0
1941-02-28,30.226858
1941-03-31,30.226858
1941-04-30,30.226858
1941-05-31,94.79586
1941-06-30,47.200859
1941-07-31,30.226858
1941-08-31,30.226858
1941-09-30,2.447
1941-10-31,16.254566
1941-11-30,0
1941-12-31,0
1942-01-31,0
1942-02-28,0
1942-03-31,17.797857
1942-04-30,25.533321
1942-05-31,54.345856
1942-06-30,53.407856
1942-07-31,30.226858
1942-08-31,33.171856
1942-09-30,0
1942-10-31,31.00078
1942-11-30,0
1942-12-31,0
1943-01-31,29.483
1943-02-28,27.52
1943-03-31,60.560856
1943-04-30,30.226858
1943-05-31,49.436855
1943-06-30,30.226858
1943-07-31,30.226858
1943-08-31,34.159859
1943-09-30,31.771858
1943-10-31,38.534859
1943-11-30,0
1943-12-31,0
1944-01-31,5.89726
1944-02-29,4.877
1944-03-31,35.99086
1944-04-30,45.540859
1944-05-31,61.376858
1944-06-30,36.866859
1944-07-31,33.828857
1944-08-31,34.353855
1944-09-30,12.838211
1944-10-31,12.948843
1944-11-30,0
1944-12-31,0
1945-01-31,0
1945-02-28,30.226858
1945-03-31,19.570055
1945-04-30,24.234322
1945-05-31,57.706856
1945-06-30,36.839859
1945-07-31,30.226858
1945-08-31,37.090858
1945-09-30,1.571367
1945-10-31,23.80077
1945-11-30,0
1945-12-31,0
1946-01-31,0
1946-02-28,0
1946-03-31,30.226858
1946-04-30,54.329857
1946-05-31,50.069859
1946-06-30,30.226858
1946-07-31,33.290855
1946-08-31,36.418858
1946-09-30,35.876858
1946-10-31,16.138842
1946-11-30,0
1946-12-31,0
1947-01-31,0
1947-02-28,0
1947-03-31,30.445858
1947-04-30,49.226856
1947-05-31,55.946857
1947-06-30,38.458858
1947-07-31,30.603859
1947-08-31,39.099857
1947-09-30,9.138211
1947-10-31,12.608843
1947-11-30,0
1947-12-31,0
1948-01-31,7.81326
1948-02-29,2.133287
1948-03-31,30.226858
1948-04-30,49.448856
1948-05-31,67.50486
1948-06-30,55.926857
1948-07-31,37.873856
1948-08-31,38.272858
1948-09-30,6.898211
1948-10-31,8.908843
1948-11-30,0
1948-12-31,0
1949-01-31,6.694261
1949-02-28,0
1949-03-31,32.131859
1949-04-30,63.360855
1949-05-31,60.929855
1949-06-30,53.654858
1949-07-31,34.096855
1949-08-31,28.516253
1949-09-30,6.538211
1949-10-31,7.698843
1949-11-30,0
1949-12-31,0
1950-01-31,10.218261
1950-02-28,24.461288
1950-03-31,50.169857
1950-04-30,65.126862
1950-05-31,63.758858
1950-06-30,62.389854
1950-07-31,41.346859
1950-08-31,41.412857
1950-09-30,10.388211
1950-10-31,9.958843
1950-11-30,21.55842
1950-12-31,4.071
1951-01-31,0
1951-02-28,0
1951-03-31,20.421999
1951-04-30,26.614
