date,kaf
31.10.1921,132.858994
30.11.1921,66.108803
31.12.1921,179.439926
31.01.1922,168.643204
28.02.1922,83.800232
31.03.1922,147.61908
30.04.1922,132.135818
31.05.1922,170.270172
30.06.1922,181.831375
31.07.1922,196.308777
31.08.1922,181.926956
30.09.1922,185.239761
31.10.1922,229.059006
30.11.1922,204.316208
31.12.1922,207.714661
31.01.1923,217.354614
28.02.1923,189.616791
31.03.1923,195.911102
30.04.1923,155.03801
31.05.1923,170.270172
30.06.1923,181.831375
31.07.1923,227.967224
31.08.1923,278.126953
30.09.1923,214.737946
31.10.1923,229.059006
30.11.1923,203.034668
31.12.1923,201.196655
31.01.1924,217.354614
29.02.1924,189.616791
31.03.1924,147.61908
30.04.1924,132.135818
31.05.1924,170.270172
30.06.1924,181.831375
31.07.1924,292.508759
31.08.1924,278.126953
30.09.1924,214.737946
31.10.1924,229.059006
30.11.1924,204.316208
31.12.1924,208.372665
31.01.1925,217.354614
28.02.1925,189.616791
31.03.1925,212.923737
30.04.1925,155.03801
31.05.1925,170.270172
30.06.1925,181.831375
31.07.1925,292.508759
31.08.1925,278.126953
30.09.1925,214.737946
31.10.1925,229.059006
30.11.1925,203.348663
31.12.1925,207.947662
31.01.1926,217.354614
28.02.1926,189.616791
31.03.1926,185.999908
30.04.1926,151.24353
31.05.1926,170.270172
30.06.1926,181.831375
31.07.1926,292.508759
31.08.1926,278.126953
30.09.1926,214.737946
31.10.1926,229.059006
30.11.1926,204.316208
31.12.1926,211.174805
31.01.1927,217.354614
28.02.1927,189.616791
31.03.1927,230.327362
30.04.1927,155.03801
31.05.1927,170.270172
30.06.1927,181.831375
31.07.1927,244.723221
31.08.1927,278.126953
30.09.1927,214.737946
31.10.1927,229.059006
30.11.1927,204.316208
31.12.1927,210.56366
31.01.1928,217.354614
29.02.1928,189.616791
31.03.1928,243.819077
30.04.1928,155.03801
31.05.1928,170.270172
30.06.1928,181.831375
31.07.1928,292.508759
31.08.1928,278.126953
30.09.1928,214.737946
31.10.1928,228.909897
30.11.1928,204.316208
31.12.1928,208.150665
31.01.1929,217.354614
28.02.1929,189.616791
31.03.1929,147.61908
30.04.1929,132.135818
31.05.1929,170.270172
30.06.1929,181.831375
31.07.1929,292.508759
31.08.1929,278.126953
30.09.1929,214.737946
31.10.1929,229.059006
30.11.1929,203.215668
31.12.1929,207.249664
31.01.1930,217.354614
28.02.1930,189.616791
31.03.1930,195.518066
30.04.1930,132.135818
31.05.1930,170.270172
30.06.1930,181.831375
31.07.1930,206.247238
31.08.1930,278.126953
30.09.1930,214.737946
31.10.1930,229.059006
30.11.1930,204.107666
31.12.1930,208.059662
31.01.1931,217.354614
28.02.1931,163.514999
31.03.1931,147.61908
30.04.1931,132.135818
31.05.1931,170.270172
30.06.1931,181.831375
31.07.1931,248.397186
31.08.1931,278.126953
30.09.1931,198.379822
31.10.1931,207.372421
30.11.1931,201.80867
31.12.1931,205.455658
31.01.1932,217.354614
29.02.1932,162.766235
31.03.1932,147.61908
30.04.1932,132.135818
31.05.1932,170.270172
30.06.1932,181.831375
31.07.1932,292.508759
31.08.1932,278.126953
30.09.1932,214.362442
31.10.1932,229.059006
30.11.1932,202.282669
31.12.1932,200.301666
31.01.1933,172.894043
28.02.1933,189.616791
31.03.1933,147.61908
30.04.1933,132.135818
31.05.1933,170.270172
30.06.1933,181.831375
31.07.1933,263.544861
31.08.1933,278.126953
30.09.1933,214.737946
31.10.1933,229.059006
30.11.1933,202.061661
31.12.1933,207.480667
31.01.1934,217.354614
28.02.1934,189.616791
31.03.1934,147.61908
30.04.1934,132.135818
31.05.1934,170.270172
30.06.1934,181.831375
31.07.1934,292.508759
31.08.1934,278.126953
30.09.1934,214.737946
31.10.1934,229.059006
30.11.1934,204.067657
31.12.1934,209.805664
31.01.1935,217.354614
28.02.1935,185.069229
31.03.1935,243.819077
30.04.1935,225.235825
31.05.1935,170.270172
30.06.1935,181.831375
31.07.1935,196.308777
31.08.1935,278.126953
30.09.1935,214.737946
31.10.1935,229.059006
30.11.1935,204.316208
31.12.1935,209.515656
31.01.1936,217.354614
29.02.1936,178.13623
31.03.1936,227.177078
30.04.1936,154.996231
31.05.1936,170.270172
30.06.1936,181.831375
31.07.1936,292.508759
31.08.1936,278.126953
30.09.1936,214.737946
31.10.1936,229.059006
