date,kaf
1921-10-31,120.586
1921-11-30,104.252
1921-12-31,203.085
1922-01-31,181.963
1922-02-28,98.776
1922-03-31,132.533
1922-04-30,120.632
1922-05-31,149.794
1922-06-30,159.167
1922-07-31,169.842
1922-08-31,158.796
1922-09-30,175.427
1922-10-31,216.786
1922-11-30,197.352
1922-12-31,203.085
1923-01-31,207.992
1923-02-28,185.676
1923-03-31,180.825
1923-04-30,143.534
1923-05-31,149.794
1923-06-30,159.167
1923-07-31,201.501
1923-08-31,254.996
1923-09-30,204.925
1923-10-31,216.786
1923-11-30,197.352
1923-12-31,203.085
1924-01-31,207.992
1924-02-29,185.676
1924-03-31,132.533
1924-04-30,120.632
1924-05-31,149.794
1924-06-30,159.167
1924-07-31,266.042
1924-08-31,254.996
1924-09-30,204.925
1924-10-31,216.786
1924-11-30,197.352
1924-12-31,203.085
1925-01-31,207.992
1925-02-28,185.676
1925-03-31,197.837
1925-04-30,143.534
1925-05-31,149.794
1925-06-30,159.167
1925-07-31,266.042
1925-08-31,254.996
1925-09-30,204.925
1925-10-31,216.786
1925-11-30,197.352
1925-12-31,203.085
1926-01-31,207.992
1926-02-28,185.676
1926-03-31,170.913
1926-04-30,139.74
1926-05-31,149.794
1926-06-30,159.167
1926-07-31,266.042
1926-08-31,254.996
1926-09-30,204.925
1926-10-31,216.786
1926-11-30,197.352
1926-12-31,203.085
1927-01-31,207.992
1927-02-28,185.676
1927-03-31,215.241
1927-04-30,143.534
1927-05-31,149.794
1927-06-30,159.167
1927-07-31,218.257
1927-08-31,254.996
1927-09-30,204.925
1927-10-31,216.786
1927-11-30,197.352
1927-12-31,203.085
1928-01-31,207.992
1928-02-29,185.676
1928-03-31,228.733
1928-04-30,143.534
1928-05-31,149.794
1928-06-30,159.167
1928-07-31,266.042
1928-08-31,254.996
1928-09-30,204.925
1928-10-31,216.637
1928-11-30,197.352
1928-12-31,203.085
1929-01-31,207.992
1929-02-28,185.676
1929-03-31,132.533
1929-04-30,120.632
1929-05-31,149.794
1929-06-30,159.167
1929-07-31,266.042
1929-08-31,254.996
1929-09-30,204.925
1929-10-31,216.786
1929-11-30,197.352
1929-12-31,203.085
1930-01-31,207.992
1930-02-28,185.676
1930-03-31,180.432
1930-04-30,120.632
1930-05-31,149.794
1930-06-30,159.167
1930-07-31,179.781
1930-08-31,254.996
1930-09-30,204.925
1930-10-31,216.786
1930-11-30,197.352
1930-12-31,203.085
1931-01-31,207.992
1931-02-28,166.674
1931-03-31,132.533
1931-04-30,120.632
1931-05-31,149.794
1931-06-30,159.167
1931-07-31,221.931
1931-08-31,254.996
1931-09-30,188.567
1931-10-31,195.1
1931-11-30,197.352
1931-12-31,203.085
1932-01-31,207.992
1932-02-29,185.676
1932-03-31,132.533
1932-04-30,120.632
1932-05-31,149.794
1932-06-30,159.167
1932-07-31,266.042
1932-08-31,254.996
1932-09-30,204.55
1932-10-31,216.786
1932-11-30,197.352
1932-12-31,203.085
1933-01-31,207.992
1933-02-28,185.676
1933-03-31,132.533
1933-04-30,120.632
1933-05-31,149.794
1933-06-30,159.167
1933-07-31,237.078
1933-08-31,254.996
1933-09-30,204.925
1933-10-31,216.786
1933-11-30,197.352
1933-12-31,203.085
