date,kaf
1921-10-31,165.45
1921-11-30,116.13
1921-12-31,86.89
1922-01-31,69.42
1922-02-28,58.68
1922-03-31,62.06
1922-04-30,52.24
1922-05-31,59.34
1922-06-30,58.25
1922-07-31,55.23
1922-08-31,52.98
1922-09-30,30.58
1922-10-31,31.78
1922-11-30,27.37
1922-12-31,25.47
1923-01-31,26.79
1923-02-28,23.61
1923-03-31,34.13
1923-04-30,32.04
1923-05-31,38.99
1923-06-30,45.75
1923-07-31,45.83
1923-08-31,42.93
1923-09-30,19.95
1923-10-31,21.85
1923-11-30,19.58
1923-12-31,18.63
1924-01-31,23.7
1924-02-29,18.28
1924-03-31,23.23
1924-04-30,25.38
1924-05-31,38.44
1924-06-30,44.88
1924-07-31,47.54
1924-08-31,41.61
1924-09-30,19.82
1924-10-31,19.34
1924-11-30,17.51
1924-12-31,16.34
1925-01-31,18.16
1925-02-28,15.16
1925-03-31,25.33
1925-04-30,24.88
1925-05-31,31.19
1925-06-30,34.51
1925-07-31,34.33
1925-08-31,33.2
1925-09-30,15.63
1925-10-31,16.88
1925-11-30,14.58
1925-12-31,14.09
1926-01-31,17.66
1926-02-28,13.9
1926-03-31,20.16
1926-04-30,26.01
1926-05-31,30.07
1926-06-30,31.97
1926-07-31,39.77
1926-08-31,38.87
1926-09-30,14.99
1926-10-31,16.18
1926-11-30,13.31
1926-12-31,11.84
1927-01-31,11.72
1927-02-28,14.58
1927-03-31,21.03
1927-04-30,19.67
1927-05-31,28.33
1927-06-30,27.48
1927-07-31,26.08
1927-08-31,25.83
1927-09-30,10.6
1927-10-31,11.53
1927-11-30,9.95
1927-12-31,10.17
1928-01-31,11.1
1928-02-29,10.09
1928-03-31,15.68
1928-04-30,19.62
1928-05-31,27.46
1928-06-30,31.86
1928-07-31,37.45
1928-08-31,36.68
1928-09-30,12.34
1928-10-31,13.63
1928-11-30,11.38
1928-12-31,11.3
1929-01-31,11.73
1929-02-28,10.79
1929-03-31,16.23
1929-04-30,20.11
1929-05-31,30.99
1929-06-30,33.96
1929-07-31,37.04
1929-08-31,35.64
1929-09-30,12.92
1929-10-31,11.98
1929-11-30,11.89
1929-12-31,11.48
1930-01-31,12.49
1930-02-28,10.18
1930-03-31,19.32
1930-04-30,23.04
1930-05-31,26.46
1930-06-30,31.53
1930-07-31,34.13
1930-08-31,34.56
1930-09-30,12.83
1930-10-31,11.68
1930-11-30,11.35
1930-12-31,11.06
1931-01-31,12.3
1931-02-28,10.38
1931-03-31,15.8
1931-04-30,16.56
1931-05-31,32.98
1931-06-30,33.6
1931-07-31,41.53
1931-08-31,36.69
1931-09-30,12.8
1931-10-31,11.37
1931-11-30,11.52
1931-12-31,20.44
1932-01-31,18.51
1932-02-29,20.55
1932-03-31,24.34
1932-04-30,26.85
1932-05-31,36.1
1932-06-30,41.19
1932-07-31,36.9
1932-08-31,27.51
1932-09-30,9.99
1932-10-31,11.77
1932-11-30,11.24
1932-12-31,15.37
1933-01-31,21.11
1933-02-28,9.4
1933-03-31,17.15
1933-04-30,19.74
1933-05-31,22.78
1933-06-30,30.93
1933-07-31,29.12
1933-08-31,28.28
1933-09-30,11.24
1933-10-31,10.8
1933-11-30,10.85
1933-12-31,10.59
1934-01-31,10.83
1934-02-28,9.75
1934-03-31,20.44
1934-04-30,21.83
1934-05-31,25.44
1934-06-30,27.89
1934-07-31,34.87
1934-08-31,33.93
1934-09-30,11.85
1934-10-31,10.33
1934-11-30,11.28
1934-12-31,11.18
1935-01-31,11.23
1935-02-28,10.24
1935-03-31,18.92
1935-04-30,26.41
1935-05-31,26.58
1935-06-30,31.49
1935-07-31,27.91
1935-08-31,27.27
1935-09-30,11.57
1935-10-31,10.52
1935-11-30,11.14
1935-12-31,10.14
1936-01-31,12.2
1936-02-29,25.53
1936-03-31,18.2
1936-04-30,24.59
1936-05-31,30.64
1936-06-30,25.65
1936-07-31,25.59
1936-08-31,25.51
1936-09-30,10.24
1936-10-31,10.16
1936-11-30,9.95
1936-12-31,14.77
1937-01-31,10.92
1937-02-28,35.4
1937-03-31,22.09
1937-04-30,27.1
1937-05-31,43.51
1937-06-30,27.8
1937-07-31,23.26
1937-08-31,23.73
1937-09-30,10.17
1937-10-31,10.31
1937-11-30,10.26
1937-12-31,21.25
1938-01-31,8.84
1938-02-28,14.73
1938-03-31,39.21
1938-04-30,28.39
1938-05-31,37.52
1938-06-30,34.88
1938-07-31,25.61
1938-08-31,22.75
1938-09-30,11.19
1938-10-31,10.44
1938-11-30,10.38
1938-12-31,11.48
1939-01-31,11.5
1939-02-28,14.42
1939-03-31,22.33
1939-04-30,21.24
1939-05-31,22.29
1939-06-30,23.5
1939-07-31,28.4
1939-08-31,26.3
1939-09-30,12.39
1939-10-31,13.6
1939-11-30,12.5
1939-12-31,12.09
1940-01-31,27.61
1940-02-29,19.99
1940-03-31,18.92
1940-04-30,21.75
1940-05-31,31.06
1940-06-30,27.65
1940-07-31,25.17
1940-08-31,27.23
1940-09-30,12.36
1940-10-31,11.84
1940-11-30,11.73
1940-12-31,17.13
1941-01-31,17.59
1941-02-28,25.02
1941-03-31,29.01
1941-04-30,26.3
1941-05-31,51.29
1941-06-30,38.33
1941-07-31,32.12
1941-08-31,26.22
1941-09-30,13.26
1941-10-31,14.4
1941-11-30,11.2
1941-12-31,20.12
1942-01-31,19.26
1942-02-28,15.57
1942-03-31,18.14
1942-04-30,26.51
1942-05-31,29.9
1942-06-30,36.7
1942-07-31,33.99
1942-08-31,33.83
1942-09-30,14.22
1942-10-31,15.14
1942-11-30,13.24
1942-12-31,13.33
1943-01-31,38.04
1943-02-28,16.21
1943-03-31,50.07
1943-04-30,26.28
1943-05-31,33.87
1943-06-30,29.88
1943-07-31,33.98
1943-08-31,33.7
1943-09-30,14.62
1943-10-31,16.45
1943-11-30,13.25
1943-12-31,13.77
1944-01-31,13.91
1944-02-29,21.51
1944-03-31,30.09
1944-04-30,24.94
1944-05-31,35.49
1944-06-30,36.71
1944-07-31,41.66
1944-08-31,42.41
1944-09-30,17.31
1944-10-31,18.68
1944-11-30,15.87
1944-12-31,15.96
1945-01-31,15.43
1945-02-28,31.75
1945-03-31,27.18
1945-04-30,30.04
1945-05-31,35.74
1945-06-30,38.26
1945-07-31,40.99
1945-08-31,42.49
1945-09-30,16.89
1945-10-31,22.46
1945-11-30,14.85
1945-12-31,22.07
1946-01-31,18.29
1946-02-28,14.13
1946-03-31,26.35
1946-04-30,30.18
1946-05-31,35.96
1946-06-30,36.86
1946-07-31,49.27
1946-08-31,44.68
1946-09-30,17.73
1946-10-31,18.0
1946-11-30,20.65
1946-12-31,15.69
1947-01-31,16.23
1947-02-28,15.58
1947-03-31,27.23
1947-04-30,28.82
1947-05-31,35.5
1947-06-30,41.24
1947-07-31,51.37
1947-08-31,46.19
1947-09-30,18.47
1947-10-31,19.05
1947-11-30,16.3
1947-12-31,14.83
1948-01-31,17.04
1948-02-29,15.72
1948-03-31,19.94
1948-04-30,33.54
1948-05-31,39.57
1948-06-30,44.03
1948-07-31,52.18
1948-08-31,48.97
1948-09-30,17.96
1948-10-31,18.27
1948-11-30,16.09
1948-12-31,15.77
1949-01-31,16.71
1949-02-28,14.39
1949-03-31,22.25
1949-04-30,35.55
1949-05-31,39.83
1949-06-30,45.32
1949-07-31,54.43
1949-08-31,46.97
1949-09-30,18.04
1949-10-31,17.81
1949-11-30,15.12
1949-12-31,14.36
1950-01-31,15.91
1950-02-28,15.53
1950-03-31,32.29
1950-04-30,31.35
1950-05-31,36.18
1950-06-30,45.76
1950-07-31,48.55
1950-08-31,46.13
1950-09-30,15.65
1950-10-31,7.93
1950-11-30,32.13
1950-12-31,13.77
1951-01-31,6.64
1951-02-28,6.72
1951-03-31,18.06
1951-04-30,17.48
1951-05-31,26.96
1951-06-30,36.88
1951-07-31,39.37
1951-08-31,38.49
1951-09-30,9.73
1951-10-31,8.88
1951-11-30,7.38
1951-12-31,24.39
1952-01-31,19.83
1952-02-29,8.66
1952-03-31,26.7
1952-04-30,31.3
1952-05-31,51.77
1952-06-30,38.91
1952-07-31,36.16
1952-08-31,32.25
1952-09-30,9.58
1952-10-31,10.04
1952-11-30,7.73
1952-12-31,8.29
1953-01-31,20.49
1953-02-28,8.45
1953-03-31,12.96
1953-04-30,22.76
1953-05-31,26.68
1953-06-30,38.05
1953-07-31,46.55
1953-08-31,39.42
1953-09-30,10.26
1953-10-31,9.36
1953-11-30,7.85
1953-12-31,7.42
1954-01-31,10.05
1954-02-28,9.26
1954-03-31,29.76
1954-04-30,24.81
1954-05-31,29.57
1954-06-30,38.87
1954-07-31,46.34
1954-08-31,39.94
1954-09-30,11.06
1954-10-31,9.63
1954-11-30,7.99
1954-12-31,7.33
1955-01-31,10.12
1955-02-28,7.9
1955-03-31,19.86
1955-04-30,25.05
1955-05-31,30.74
1955-06-30,43.63
1955-07-31,45.76
1955-08-31,40.32
1955-09-30,10.59
1955-10-31,9.6
1955-11-30,7.39
1955-12-31,15.0
1956-01-31,24.21
1956-02-29,10.88
1956-03-31,23.26
1956-04-30,15.77
1956-05-31,28.1
1956-06-30,43.77
1956-07-31,48.26
1956-08-31,44.7
1956-09-30,10.45
1956-10-31,10.17
1956-11-30,7.81
1956-12-31,8.39
1957-01-31,10.9
1957-02-28,7.62
1957-03-31,21.05
1957-04-30,26.15
1957-05-31,29.93
1957-06-30,46.7
1957-07-31,45.97
1957-08-31,41.6
1957-09-30,11.4
1957-10-31,8.6
1957-11-30,7.68
1957-12-31,7.71
1958-01-31,9.72
1958-02-28,18.41
1958-03-31,38.49
1958-04-30,20.89
1958-05-31,25.82
1958-06-30,43.39
1958-07-31,52.46
1958-08-31,43.04
1958-09-30,19.17
1958-10-31,17.17
1958-11-30,9.6
1958-12-31,9.15
1959-01-31,11.71
1959-02-28,9.39
1959-03-31,17.11
1959-04-30,15.8
