date,kaf
1921-10-31,39.029999
1921-11-30,33.349998
1921-12-31,29.9
1922-01-31,30.110001
1922-02-28,30.82
1922-03-31,34.040001
1922-04-30,41.040001
1922-05-31,48.540001
1922-06-30,55.470001
1922-07-31,57.630001
1922-08-31,54
1922-09-30,46.869999
1922-10-31,39.029999
1922-11-30,33.349998
1922-12-31,29.9
1923-01-31,30.110001
1923-02-28,30.82
1923-03-31,34.040001
1923-04-30,41.040001
1923-05-31,48.540001
1923-06-30,55.470001
1923-07-31,93.072281
1923-08-31,147.156708
1923-09-30,46.869999
1923-10-31,39.029999
1923-11-30,33.349998
1923-12-31,29.9
1924-01-31,30.110001
1924-02-29,30.82
1924-03-31,64.912109
1924-04-30,80.802841
1924-05-31,147.680313
1924-06-30,184.215057
1924-07-31,203.054901
1924-08-31,173.940704
1924-09-30,46.869999
1924-10-31,39.029999
1924-11-30,33.349998
1924-12-31,29.9
1925-01-31,30.110001
1925-02-28,30.82
1925-03-31,34.040001
1925-04-30,41.040001
1925-05-31,48.540001
1925-06-30,155.209213
1925-07-31,176.270905
1925-08-31,173.940704
1925-09-30,46.869999
1925-10-31,39.029999
1925-11-30,33.349998
1925-12-31,29.9
1926-01-31,30.110001
1926-02-28,30.82
1926-03-31,38.185349
1926-04-30,41.040001
1926-05-31,120.896317
1926-06-30,162.09407
1926-07-31,203.054901
1926-08-31,173.940704
1926-09-30,46.869999
1926-10-31,39.029999
1926-11-30,33.349998
1926-12-31,29.9
1927-01-31,30.110001
1927-02-28,30.82
1927-03-31,34.040001
1927-04-30,41.040001
1927-05-31,48.540001
1927-06-30,55.470001
1927-07-31,57.630001
1927-08-31,54
1927-09-30,46.869999
1927-10-31,39.029999
1927-11-30,33.349998
1927-12-31,29.9
1928-01-31,30.110001
1928-02-29,30.82
1928-03-31,38.185349
1928-04-30,41.040001
1928-05-31,120.896317
1928-06-30,159.020004
1928-07-31,203.054901
1928-08-31,147.828888
1928-09-30,46.869999
1928-10-31,39.029999
1928-11-30,33.349998
1928-12-31,29.9
1929-01-31,30.110001
1929-02-28,30.82
1929-03-31,38.185349
1929-04-30,41.040001
1929-05-31,120.896317
1929-06-30,154.266373
1929-07-31,203.054901
1929-08-31,164.138412
1929-09-30,46.869999
1929-10-31,39.029999
1929-11-30,33.349998
1929-12-31,29.9
1930-01-31,30.110001
1930-02-28,30.82
1930-03-31,38.185349
1930-04-30,41.040001
1930-05-31,147.680313
1930-06-30,184.215057
1930-07-31,188.818436
1930-08-31,158.206451
1930-09-30,54.577614
1930-10-31,57.143944
1930-11-30,33.349998
1930-12-31,29.9
1931-01-31,30.110001
1931-02-28,30.82
1931-03-31,93.427353
1931-04-30,72.526718
1931-05-31,147.680313
1931-06-30,184.215057
1931-07-31,203.054901
1931-08-31,164.693619
1931-09-30,46.869999
1931-10-31,39.029999
1931-11-30,33.349998
1931-12-31,29.9
1932-01-31,30.110001
1932-02-29,30.82
1932-03-31,34.040001
1932-04-30,41.040001
1932-05-31,48.540001
1932-06-30,55.470001
1932-07-31,57.630001
1932-08-31,147.156708
1932-09-30,46.869999
1932-10-31,39.029999
1932-11-30,33.349998
1932-12-31,29.9
1933-01-31,30.110001
1933-02-28,30.82
1933-03-31,34.040001
1933-04-30,41.040001
1933-05-31,109.966759
1933-06-30,134.998703
1933-07-31,176.270905
1933-08-31,173.940704
1933-09-30,46.869999
1933-10-31,39.029999
1933-11-30,33.349998
1933-12-31,29.9
1934-01-31,30.110001
1934-02-28,30.82
1934-03-31,38.185349
1934-04-30,72.715355
1934-05-31,147.680313
1934-06-30,184.215057
1934-07-31,203.054901
1934-08-31,163.96077
1934-09-30,46.869999
1934-10-31,39.029999
1934-11-30,33.349998
1934-12-31,29.9
1935-01-31,30.110001
1935-02-28,30.82
1935-03-31,34.040001
1935-04-30,41.040001
1935-05-31,48.540001
1935-06-30,153.250015
1935-07-31,176.270905
1935-08-31,147.156708
1935-09-30,46.869999
1935-10-31,39.029999
1935-11-30,33.349998
1935-12-31,29.9
1936-01-31,30.110001
1936-02-29,30.82
1936-03-31,34.040001
1936-04-30,41.040001
1936-05-31,48.540001
1936-06-30,55.470001
1936-07-31,57.630001
1936-08-31,147.156708
1936-09-30,46.869999
1936-10-31,39.029999
1936-11-30,33.349998
1936-12-31,29.9
1937-01-31,30.110001
1937-02-28,30.82
1937-03-31,34.040001
1937-04-30,41.040001
1937-05-31,48.540001
1937-06-30,55.470001
1937-07-31,57.630001
1937-08-31,54
1937-09-30,46.869999
1937-10-31,39.029999
1937-11-30,33.349998
1937-12-31,29.9
1938-01-31,30.110001
1938-02-28,30.82
1938-03-31,34.040001
1938-04-30,41.040001
1938-05-31,48.540001
1938-06-30,55.470001
1938-07-31,57.630001
1938-08-31,54
1938-09-30,46.869999
1938-10-31,39.029999
1938-11-30,33.349998
1938-12-31,29.9
1939-01-31,30.110001
1939-02-28,30.82
1939-03-31,34.040001
1939-04-30,41.040001
1939-05-31,48.540001
1939-06-30,55.470001
1939-07-31,199.843155
1939-08-31,173.940704
1939-09-30,46.869999
1939-10-31,39.029999
1939-11-30,33.349998
1939-12-31,29.9
1940-01-31,30.110001
1940-02-29,30.82
1940-03-31,34.040001
1940-04-30,41.040001
1940-05-31,48.540001
1940-06-30,55.470001
1940-07-31,57.630001
1940-08-31,54
1940-09-30,46.869999
1940-10-31,39.029999
1940-11-30,33.349998
1940-12-31,29.9
1941-01-31,30.110001
1941-02-28,30.82
1941-03-31,34.040001
1941-04-30,41.040001
1941-05-31,48.540001
1941-06-30,55.470001
1941-07-31,57.630001
1941-08-31,54
1941-09-30,46.869999
1941-10-31,39.029999
1941-11-30,33.349998
1941-12-31,29.9
1942-01-31,30.110001
1942-02-28,30.82
1942-03-31,34.040001
1942-04-30,41.040001
1942-05-31,48.540001
1942-06-30,55.470001
1942-07-31,57.630001
1942-08-31,54
1942-09-30,46.869999
1942-10-31,39.029999
1942-11-30,33.349998
1942-12-31,29.9
1943-01-31,30.110001
1943-02-28,30.82
1943-03-31,34.040001
1943-04-30,41.040001
1943-05-31,48.540001
1943-06-30,55.470001
1943-07-31,57.630001
1943-08-31,54
1943-09-30,46.869999
1943-10-31,39.029999
1943-11-30,33.349998
1943-12-31,29.9
1944-01-31,30.110001
1944-02-29,30.82
1944-03-31,34.040001
1944-04-30,41.040001
1944-05-31,48.540001
1944-06-30,55.470001
1944-07-31,57.630001
1944-08-31,147.156708
1944-09-30,46.869999
1944-10-31,39.029999
1944-11-30,33.349998
1944-12-31,29.9
1945-01-31,30.110001
1945-02-28,30.82
1945-03-31,34.040001
1945-04-30,41.040001
1945-05-31,48.540001
1945-06-30,55.470001
1945-07-31,57.630001
1945-08-31,54
1945-09-30,46.869999
1945-10-31,39.029999
1945-11-30,33.349998
1945-12-31,29.9
1946-01-31,30.110001
1946-02-28,30.82
1946-03-31,34.040001
1946-04-30,41.040001
1946-05-31,48.540001
1946-06-30,55.470001
1946-07-31,57.630001
1946-08-31,114.910416
1946-09-30,46.869999
1946-10-31,39.029999
1946-11-30,33.349998
1946-12-31,29.9
1947-01-31,30.110001
1947-02-28,30.82
1947-03-31,34.040001
1947-04-30,41.040001
1947-05-31,48.540001
1947-06-30,55.470001
1947-07-31,188.818436
