date,kaf
1921-09-30,0
1921-10-31,24.806999
1921-11-30,26.99021
1921-12-31,27.640079
1922-01-31,35.63707
1922-02-28,39.759411
1922-03-31,85.666901
1922-04-30,123.476402
1922-05-31,203.75647
1922-06-30,304.664093
1922-07-31,419.181519
1922-08-31,514.093689
1922-09-30,530.843994
1922-10-31,555.65094
1922-11-30,557.834167
1922-12-31,558.48407
1923-01-31,566.481018
1923-02-28,570.603394
1923-03-31,616.510864
1923-04-30,654.320374
1923-05-31,734.600464
1923-06-30,835.508057
1923-07-31,950.025452
1923-08-31,1044.937622
1923-09-30,1061.687988
1923-10-31,1086.494629
1923-11-30,1088.677368
1923-12-31,1089.326782
1924-01-31,1097.323853
1924-02-29,1101.446167
1924-03-31,1147.353638
1924-04-30,1185.163086
1924-05-31,1265.442749
1924-06-30,1366.350098
1924-07-31,1480.867554
1924-08-31,1575.779785
1924-09-30,1592.529419
1924-10-31,1617.336426
1924-11-30,1619.519653
1924-12-31,1620.169434
1925-01-31,1628.166504
1925-02-28,1632.288818
1925-03-31,1678.196289
1925-04-30,1716.005859
1925-05-31,1796.285889
1925-06-30,1897.193481
1925-07-31,2011.710938
1925-08-31,2106.623047
1925-09-30,2123.373291
1925-10-31,2148.18042
1925-11-30,2150.363525
1925-12-31,2151.013428
1926-01-31,2159.010498
1926-02-28,2163.132812
1926-03-31,2209.040283
1926-04-30,2246.849854
1926-05-31,2327.129883
1926-06-30,2428.037598
1926-07-31,2542.554932
1926-08-31,2637.467041
1926-09-30,2654.217285
1926-10-31,2679.024414
1926-11-30,2681.20752
1926-12-31,2681.857422
1927-01-31,2689.854492
1927-02-28,2693.976807
1927-03-31,2739.884277
1927-04-30,2777.693848
1927-05-31,2857.973877
1927-06-30,2958.881348
1927-07-31,3073.398926
1927-08-31,3168.311035
1927-09-30,3185.061279
1927-10-31,3209.868408
1927-11-30,3212.051514
1927-12-31,3212.701416
1928-01-31,3220.698486
1928-02-29,3224.820801
1928-03-31,3270.728271
1928-04-30,3308.537598
1928-05-31,3388.817871
1928-06-30,3489.725342
1928-07-31,3604.24292
1928-08-31,3699.155029
1928-09-30,3715.905273
1928-10-31,3740.712158
1928-11-30,3742.895508
1928-12-31,3743.54541
1929-01-31,3751.542236
1929-02-28,3755.664795
1929-03-31,3801.572266
1929-04-30,3839.381592
1929-05-31,3919.661621
1929-06-30,4020.569336
1929-07-31,4135.086914
1929-08-31,4229.999023
1929-09-30,4246.749023
1929-10-31,4271.556152
1929-11-30,4273.739258
1929-12-31,4274.38916
1930-01-31,4282.38623
1930-02-28,4286.508789
1930-03-31,4332.416016
1930-04-30,4370.225586
1930-05-31,4450.505859
1930-06-30,4551.413574
1930-07-31,4665.930664
1930-08-31,4760.842773
1930-09-30,4777.593262
1930-10-31,4802.399902
1930-11-30,4804.58252
1930-12-31,4805.231934
1931-01-31,4813.229004
1931-02-28,4817.351562
1931-03-31,4863.258789
1931-04-30,4901.068359
1931-05-31,4981.348145
1931-06-30,5082.255371
1931-07-31,5196.772949
1931-08-31,5291.685059
1931-09-30,5308.43457
1931-10-31,5333.241211
1931-11-30,5335.424316
1931-12-31,5336.07373
1932-01-31,5344.070312
1932-02-29,5348.192871
1932-03-31,5394.100586
1932-04-30,5431.909668
1932-05-31,5512.189453
1932-06-30,5613.09668
1932-07-31,5727.614258
1932-08-31,5822.526367
1932-09-30,5839.276367
1932-10-31,5864.083008
1932-11-30,5866.265625
1932-12-31,5866.915039
1933-01-31,5874.912109
1933-02-28,5879.03418
1933-03-31,5924.941895
1933-04-30,5962.751465
1933-05-31,6043.030762
1933-06-30,6143.938477
1933-07-31,6258.455566
1933-08-31,6353.368164
1933-09-30,6370.117676
1933-10-31,6394.924316
1933-11-30,6397.106934
1933-12-31,6397.756348
1934-01-31,6405.753418
1934-02-28,6409.875977
1934-03-31,6455.783203
1934-04-30,6493.592773
1934-05-31,6573.872559
1934-06-30,6674.779785
1934-07-31,6789.297363
1934-08-31,6884.209473
1934-09-30,6900.958984
1934-10-31,6925.766113
1934-11-30,6927.949219
1934-12-31,6928.599121
1935-01-31,6936.596191
1935-02-28,6940.71875
1935-03-31,6986.625977
1935-04-30,7024.435547
1935-05-31,7104.71582
1935-06-30,7205.623047
1935-07-31,7320.140625
1935-08-31,7415.052734
1935-09-30,7431.803223
1935-10-31,7456.609863
1935-11-30,7458.793457
1935-12-31,7459.443359
1936-01-31,7467.439941
1936-02-29,7471.5625
1936-03-31,7517.469727
1936-04-30,7555.279297
1936-05-31,7635.55957
1936-06-30,7736.467285
1936-07-31,7850.984375
1936-08-31,7945.896973
1936-09-30,7962.646973
1936-10-31,7987.454102
1936-11-30,7989.637207
1936-12-31,7990.287109
1937-01-31,7998.28418
1937-02-28,8002.40625
1937-03-31,8048.313965
1937-04-30,8086.123535
1937-05-31,8136.40332
1937-06-30,8208.311523
1937-07-31,8322.828125
1937-08-31,8417.741211
1937-09-30,8434.491211
1937-10-31,8459.297852
1937-11-30,8461.481445
1937-12-31,8462.130859
1938-01-31,8470.12793
1938-02-28,8474.25
1938-03-31,8520.158203
1938-04-30,8523.967773
1938-05-31,8574.24707
1938-06-30,8646.155273
1938-07-31,8760.672852
1938-08-31,8855.584961
1938-09-30,8872.334961
1938-10-31,8897.141602
1938-11-30,8899.325195
1938-12-31,8899.974609
1939-01-31,8907.97168
1939-02-28,8912.094727
1939-03-31,8958.001953
1939-04-30,8995.811523
1939-05-31,9076.091797
1939-06-30,9176.999023
1939-07-31,9291.516602
1939-08-31,9386.428711
1939-09-30,9403.178711
1939-10-31,9427.986328
1939-11-30,9430.168945
1939-12-31,9430.819336
1940-01-31,9438.816406
1940-02-29,9442.938477
1940-03-31,9488.845703
1940-04-30,9526.655273
1940-05-31,9606.935547
1940-06-30,9707.842773
1940-07-31,9822.360352
1940-08-31,9917.272461
1940-09-30,9934.022461
1940-10-31,9958.830078
1940-11-30,9961.012695
1940-12-31,9961.663086
1941-01-31,9969.660156
1941-02-28,9973.782227
1941-03-31,10019.689453
1941-04-30,10057.499023
1941-05-31,10107.779297
1941-06-30,10179.686523
1941-07-31,10294.204102
1941-08-31,10389.116211
1941-09-30,10405.867188
1941-10-31,10430.673828
1941-11-30,10432.857422
1941-12-31,10432.506836
1942-01-31,10440.503906
1942-02-28,10444.625977
1942-03-31,10490.53418
1942-04-30,10528.342773
1942-05-31,10608.623047
1942-06-30,10709.53125
1942-07-31,10824.048828
1942-08-31,10918.960938
1942-09-30,10935.710938
1942-10-31,10960.517578
1942-11-30,10962.701172
1942-12-31,10963.350586
1943-01-31,10971.347656
1943-02-28,10975.470703
1943-03-31,11021.37793
1943-04-30,11059.1875
1943-05-31,11109.467773
1943-06-30,11181.375
1943-07-31,11295.892578
1943-08-31,11390.804688
1943-09-30,11407.554688
1943-10-31,11432.361328
1943-11-30,11434.544922
1943-12-31,11435.195312
1944-01-31,11443.191406
1944-02-29,11447.314453
1944-03-31,11493.22168
1944-04-30,11531.03125
1944-05-31,11611.311523
1944-06-30,11712.21875
1944-07-31,11826.736328
1944-08-31,11921.648438
1944-09-30,11938.398438
1944-10-31,11963.206055
1944-11-30,11965.388672
1944-12-31,11966.039062
1945-01-31,11974.036133
1945-02-28,11978.158203
1945-03-31,12024.06543
1945-04-30,12061.875
1945-05-31,12142.155273
