date,kaf
1921-10-31,0.0
1921-11-30,0.0
1921-12-31,0.0
1922-01-31,0.0
1922-02-28,0.0
1922-03-31,1.281
1922-04-30,21.082
1922-05-31,21.082
1922-06-30,13.66115659
1922-07-31,6.100343579
1922-08-31,4.815828617
1922-09-30,0.0
1922-10-31,0.0
1922-11-30,3.205119551
1922-12-31,2.11
1923-01-31,10.4
1923-02-28,7.33003793
1923-03-31,11.83661599
1923-04-30,21.082
1923-05-31,21.082
1923-06-30,19.06654212
1923-07-31,5.965883579
1923-08-31,3.330958617
1923-09-30,5.141346278
1923-10-31,3.12329
1923-11-30,2.84773
1923-12-31,2.11
1924-01-31,2.82034
1924-02-29,4.4488
1924-03-31,21.082
1924-04-30,0.0
1924-05-31,0.97525
1924-06-30,21.082
1924-07-31,5.881864227
1924-08-31,2.592368889
1924-09-30,3.49264
1924-10-31,5.899087181
1924-11-30,4.615416829
1924-12-31,2.11
1925-01-31,8.081044827
1925-02-28,4.89813793
1925-03-31,21.082
1925-04-30,21.082
1925-05-31,21.082
1925-06-30,21.082
1925-07-31,17.51738324
1925-08-31,3.148358617
1925-09-30,4.016632913
1925-10-31,4.964507181
1925-11-30,2.08247
1925-12-31,2.11
1926-01-31,7.06503763
1926-02-28,14.2345
1926-03-31,3.570645989
1926-04-30,21.082
1926-05-31,21.082
1926-06-30,19.17557529
1926-07-31,3.173763579
1926-08-31,2.852878617
1926-09-30,3.598312913
1926-10-31,5.504007181
1926-11-30,5.78069976
1926-12-31,0.0
1927-01-31,10.4
1927-02-28,19.28
1927-03-31,21.082
1927-04-30,21.082
1927-05-31,21.082
1927-06-30,21.082
1927-07-31,7.865007263
1927-08-31,3.989978617
1927-09-30,4.157732913
1927-10-31,18.80890718
1927-11-30,7.01
1927-12-31,2.11
1928-01-31,6.946272609
1928-02-29,14.51783793
1928-03-31,21.082
1928-04-30,21.082
1928-05-31,12.84272437
1928-06-30,4.874898385
1928-07-31,3.296603579
1928-08-31,2.671938617
1928-09-30,3.497882913
1928-10-31,3.898787181
1928-11-30,7.01
1928-12-31,2.11
1929-01-31,10.07380893
1929-02-28,18.32
1929-03-31,21.082
1929-04-30,5.4033
1929-05-31,17.72116844
1929-06-30,6.892628385
1929-07-31,4.064353579
1929-08-31,2.871968617
1929-09-30,3.722812913
1929-10-31,3.982617181
1929-11-30,4.397875446
1929-12-31,2.11
1930-01-31,10.4
1930-02-28,17.14197677
1930-03-31,21.082
1930-04-30,6.488751364
1930-05-31,21.082
1930-06-30,21.082
1930-07-31,4.305053579
1930-08-31,2.802248617
1930-09-30,4.315432913
1930-10-31,3.958547181
1930-11-30,5.241965015
1930-12-31,2.11
1931-01-31,10.4
1931-02-28,18.2351
1931-03-31,0.0
1931-04-30,8.3
1931-05-31,3.30921
1931-06-30,21.082
1931-07-31,12.87799217
1931-08-31,2.832238889
1931-09-30,3.49679
1931-10-31,3.702077181
1931-11-30,7.01
1931-12-31,0.319717054
1932-01-31,0.0
1932-02-29,0.0
1932-03-31,21.082
1932-04-30,21.082
1932-05-31,21.082
1932-06-30,21.082
1932-07-31,10.07686404
1932-08-31,4.767688617
1932-09-30,4.057302913
1932-10-31,4.358607181
1932-11-30,4.766395446
1932-12-31,2.11
1933-01-31,10.4
1933-02-28,12.16343793
1933-03-31,18.95718272
1933-04-30,6.226337272
1933-05-31,3.52126048
1933-06-30,6.064288385
1933-07-31,6.686323579
1933-08-31,3.816508617
1933-09-30,3.847312913
1933-10-31,4.442437181
1933-11-30,3.902365446
1933-12-31,2.11
1934-01-31,5.971996254
1934-02-28,14.61763278
1934-03-31,0.0
1934-04-30,0.64325
1934-05-31,2.15053
1934-06-30,16.40536812
1934-07-31,2.364513579
1934-08-31,2.801418617
1934-09-30,3.528592913
1934-10-31,7.582327181
1934-11-30,7.01
1934-12-31,2.11
1935-01-31,5.040962489
1935-02-28,19.28
1935-03-31,21.082
1935-04-30,21.082
1935-05-31,21.082
