date,kaf
1921-10-31,4.62
1921-11-30,4.45
1921-12-31,21.99
1922-01-31,33.700001
1922-02-28,74.029999
1922-03-31,84.029999
1922-04-30,4.45
1922-05-31,4.45
1922-06-30,4.45
1922-07-31,5.03
1922-08-31,4.45
1922-09-30,4.45
1922-10-31,4.89
1922-11-30,6.19
1922-12-31,37.32
1923-01-31,30.309999
1923-02-28,10.56
1923-03-31,4.45
1923-04-30,67.839996
1923-05-31,4.45
1923-06-30,4.45
1923-07-31,4.45
1923-08-31,4.45
1923-09-30,5.37
1923-10-31,4.45
1923-11-30,4.45
1923-12-31,4.45
1924-01-31,4.45
1924-02-29,5.36
1924-03-31,39.139999
1924-04-30,4.45
1924-05-31,4.45
1924-06-30,4.45
1924-07-31,4.45
1924-08-31,4.45
1924-09-30,4.45
1924-10-31,6.5
1924-11-30,4.45
1924-12-31,17.34
1925-01-31,4.45
1925-02-28,12.02
1925-03-31,50.150002
1925-04-30,14.39
1925-05-31,9.28
1925-06-30,4.45
1925-07-31,4.45
1925-08-31,4.45
1925-09-30,4.45
1925-10-31,4.57
1925-11-30,4.45
1925-12-31,6.8
1926-01-31,6.45
1926-02-28,17.15
1926-03-31,4.45
1926-04-30,76.75
1926-05-31,4.45
1926-06-30,5.29
1926-07-31,4.45
1926-08-31,4.45
1926-09-30,4.45
1926-10-31,6.25
1926-11-30,40.68
1926-12-31,13.34
1927-01-31,29.83
1927-02-28,87.720001
1927-03-31,72.160004
1927-04-30,4.45
1927-05-31,4.45
1927-06-30,4.45
1927-07-31,5.47
1927-08-31,4.45
1927-09-30,4.45
1927-10-31,21.6
1927-11-30,19.6
1927-12-31,16.83
1928-01-31,6.39
1928-02-29,11.54
1928-03-31,22.42
1928-04-30,4.45
1928-05-31,6.16
1928-06-30,5.21
1928-07-31,4.45
1928-08-31,4.45
1928-09-30,4.45
1928-10-31,4.45
1928-11-30,10.73
1928-12-31,14.7
1929-01-31,10.91
1929-02-28,8.32
1929-03-31,20.24
1929-04-30,6.51
1929-05-31,4.45
1929-06-30,4.45
1929-07-31,4.45
1929-08-31,4.45
1929-09-30,4.45
1929-10-31,4.45
1929-11-30,4.45
1929-12-31,4.6
1930-01-31,12.62
1930-02-28,13.87
1930-03-31,22.84
1930-04-30,4.45
1930-05-31,8.72
1930-06-30,4.45
1930-07-31,4.45
1930-08-31,4.45
1930-09-30,5.03
1930-10-31,4.45
1930-11-30,6.31
1930-12-31,4.45
1931-01-31,21.9
1931-02-28,21.969999
1931-03-31,4.45
1931-04-30,10
1931-05-31,4.45
1931-06-30,12.42
1931-07-31,4.45
1931-08-31,4.45
1931-09-30,4.45
1931-10-31,4.45
1931-11-30,9.94
1931-12-31,45.880001
1932-01-31,49.130001
1932-02-29,62.990002
1932-03-31,7.84
1932-04-30,4.45
1932-05-31,4.45
1932-06-30,4.45
1932-07-31,4.99
1932-08-31,4.45
1932-09-30,4.45
1932-10-31,4.45
1932-11-30,4.49
1932-12-31,8.38
1933-01-31,90.07
1933-02-28,8.59
1933-03-31,5.18
1933-04-30,4.45
1933-05-31,4.45
1933-06-30,4.45
1933-07-31,5.84
1933-08-31,4.45
1933-09-30,4.45
1933-10-31,4.61
1933-11-30,4.45
1933-12-31,5.48
1934-01-31,4.45
1934-02-28,22.799999
1934-03-31,4.45
1934-04-30,4.45
1934-05-31,4.45
1934-06-30,4.45
1934-07-31,4.45
1934-08-31,4.45
1934-09-30,4.45
1934-10-31,8.81
1934-11-30,20.42
1934-12-31,28.790001
1935-01-31,83.529999
1935-02-28,66.160004
1935-03-31,80.080002
1935-04-30,58.639999
1935-05-31,4.45
1935-06-30,4.45
1935-07-31,4.45
1935-08-31,4.45
1935-09-30,4.45
1935-10-31,7.45
1935-11-30,4.45
1935-12-31,6.99
1936-01-31,5.77
1936-02-29,199.770004
1936-03-31,36.450001
1936-04-30,4.45
1936-05-31,4.45
1936-06-30,4.45
1936-07-31,4.98
1936-08-31,4.45
1936-09-30,4.45
1936-10-31,19.93
1936-11-30,6
1936-12-31,58.009998
1937-01-31,53.16
1937-02-28,84.360001
1937-03-31,144.100006
1937-04-30,14.57
1937-05-31,4.45
1937-06-30,7.1
1937-07-31,4.45
1937-08-31,4.67
1937-09-30,4.45
1937-10-31,4.45
1937-11-30,4.45
1937-12-31,6.98
1938-01-31,42.869999
1938-02-28,169.610001
1938-03-31,339.149994
1938-04-30,67.720001
1938-05-31,6.48
1938-06-30,6.38
1938-07-31,4.45
1938-08-31,4.59
1938-09-30,4.45
1938-10-31,4.45
1938-11-30,4.45
1938-12-31,13.48
1939-01-31,27.950001
1939-02-28,17.27
1939-03-31,65.779999
1939-04-30,9.13
1939-05-31,4.45
1939-06-30,4.9
1939-07-31,4.45
1939-08-31,4.45
1939-09-30,5.14
1939-10-31,4.77
1939-11-30,4.45
1939-12-31,4.45
1940-01-31,61.119999
1940-02-29,159.75
1940-03-31,48.630001
1940-04-30,12.77
1940-05-31,4.45
1940-06-30,4.45
1940-07-31,5.95
1940-08-31,4.45
1940-09-30,4.45
1940-10-31,11.63
1940-11-30,4.45
1940-12-31,60.84
1941-01-31,42.470001
1941-02-28,218.850006
1941-03-31,125.139999
1941-04-30,122.010002
1941-05-31,9.87
1941-06-30,6.88
1941-07-31,4.45
1941-08-31,5.15
1941-09-30,4.45
1941-10-31,6.89
1941-11-30,5.08
1941-12-31,58.459999
1942-01-31,24.860001
1942-02-28,18.799999
1942-03-31,19.93
1942-04-30,36.220001
1942-05-31,6.32
1942-06-30,4.47
1942-07-31,6.43
1942-08-31,5.03
1942-09-30,4.56
1942-10-31,4.45
1942-11-30,4.45
1942-12-31,7.35
1943-01-31,64.919998
1943-02-28,46.119999
1943-03-31,142.059998
1943-04-30,59.509998
1943-05-31,9.97
1943-06-30,5.98
1943-07-31,4.45
1943-08-31,4.73
1943-09-30,4.45
1943-10-31,4.45
1943-11-30,4.45
1943-12-31,6.61
1944-01-31,10.9
1944-02-29,103.610001
1944-03-31,6.85
1944-04-30,19.58
1944-05-31,4.45
1944-06-30,4.45
1944-07-31,5.53
1944-08-31,4.58
1944-09-30,4.45
1944-10-31,4.45
1944-11-30,20.01
1944-12-31,14.26
1945-01-31,6.92
1945-02-28,95.480003
1945-03-31,93.519997
1945-04-30,10.32
1945-05-31,4.45
1945-06-30,5.49
1945-07-31,4.51
1945-08-31,5.03
1945-09-30,4.45
1945-10-31,6.7
1945-11-30,7.4
1945-12-31,14.04
1946-01-31,4.45
1946-02-28,32.669998
1946-03-31,78.889999
1946-04-30,6.26
1946-05-31,7.04
1946-06-30,4.45
1946-07-31,5.81
1946-08-31,4.45
1946-09-30,4.45
1946-10-31,9.49
1946-11-30,7.24
1946-12-31,34.66
1947-01-31,8
1947-02-28,10.45
1947-03-31,10.5
1947-04-30,4.45
1947-05-31,4.45
1947-06-30,4.45
1947-07-31,4.45
1947-08-31,4.45
1947-09-30,4.45
1947-10-31,5.82
1947-11-30,4.45
1947-12-31,4.45
1948-01-31,4.45
1948-02-29,7.87
1948-03-31,27.16
1948-04-30,31.58
1948-05-31,4.45
1948-06-30,4.45
1948-07-31,4.94
1948-08-31,4.45
1948-09-30,4.45
1948-10-31,4.45
1948-11-30,4.45
1948-12-31,5.24
1949-01-31,4.45
1949-02-28,12.16
1949-03-31,43.439999
1949-04-30,4.45
1949-05-31,4.45
1949-06-30,4.45
1949-07-31,4.45
1949-08-31,4.45
1949-09-30,4.45
1949-10-31,4.45
1949-11-30,4.54
1949-12-31,5.49
1950-01-31,18.719999
1950-02-28,10.13
1950-03-31,13.63
1950-04-30,4.45
1950-05-31,4.45
1950-06-30,4.45
1950-07-31,4.45
1950-08-31,4.45
1950-09-30,4.62
1950-10-31,0.43
1950-11-30,0
1950-12-31,0
1951-01-31,21.91
1951-02-28,6.03
1951-03-31,0
1951-04-30,19.26
1951-05-31,0
1951-06-30,0
1951-07-31,0
1951-08-31,0
1951-09-30,0
1951-10-31,0.36
1951-11-30,2.34
1951-12-31,14.41
1952-01-31,131.75
1952-02-29,5.38
1952-03-31,151.300003
1952-04-30,29.469999
1952-05-31,0
1952-06-30,0
1952-07-31,0
1952-08-31,0
1952-09-30,0
1952-10-31,0
1952-11-30,7.05
1952-12-31,61.919998
1953-01-31,25.629999
1953-02-28,0.11
1953-03-31,4.24
1953-04-30,0
1953-05-31,0
1953-06-30,0
1953-07-31,0
1953-08-31,0
1953-09-30,0
1953-10-31,0
1953-11-30,2.64
1953-12-31,0
1954-01-31,21.92
1954-02-28,8.34
1954-03-31,45.709999
1954-04-30,0
1954-05-31,0
1954-06-30,0
1954-07-31,0
1954-08-31,0
1954-09-30,0
1954-10-31,0
1954-11-30,0
1954-12-31,3.35
1955-01-31,49.369999
1955-02-28,18.01
1955-03-31,0
1955-04-30,0
1955-05-31,0
1955-06-30,0
1955-07-31,0
1955-08-31,0
1955-09-30,0
1955-10-31,0
1955-11-30,1.88
1955-12-31,42.349998
1956-01-31,25.450001
1956-02-29,5.14
1956-03-31,0
1956-04-30,20.07
1956-05-31,8.25
1956-06-30,0
1956-07-31,0.51
1956-08-31,0
1956-09-30,0
1956-10-31,2.68
1956-11-30,0
1956-12-31,0
1957-01-31,10.51
1957-02-28,6.72
1957-03-31,8.42
1957-04-30,12.76
1957-05-31,4.58
1957-06-30,0
1957-07-31,1.39
1957-08-31,0
1957-09-30,0
1957-10-31,0
1957-11-30,1.75
1957-12-31,3.38
1958-01-31,23.280001
1958-02-28,110.260002
1958-03-31,228.940002
1958-04-30,104.010002
1958-05-31,14.24
1958-06-30,0.63
1958-07-31,0
1958-08-31,0
1958-09-30,7.95
1958-10-31,0.67
1958-11-30,0
1958-12-31,0
1959-01-31,3.67
1959-02-28,70.459999
1959-03-31,0
1959-04-30,0
1959-05-31,0
1959-06-30,0
1959-07-31,0
1959-08-31,0
1959-09-30,0.52
1959-10-31,0
1959-11-30,0
1959-12-31,0.2
1960-01-31,4.1
1960-02-29,18.9
1960-03-31,0
1960-04-30,0
1960-05-31,0
1960-06-30,0
1960-07-31,0
1960-08-31,0
1960-09-30,0
1960-10-31,0.17
1960-11-30,26.01
1960-12-31,0
1961-01-31,9.82
1961-02-28,2.65
1961-03-31,3.1
1961-04-30,0
1961-05-31,0
1961-06-30,0
1961-07-31,0
1961-08-31,0
1961-09-30,0
1961-10-31,0
1961-11-30,4.51
1961-12-31,6.53
1962-01-31,8.01
1962-02-28,272.690002
1962-03-31,26.9
1962-04-30,0
1962-05-31,0
1962-06-30,0
1962-07-31,0
1962-08-31,0
1962-09-30,0
1962-10-31,0
1962-11-30,0
1962-12-31,0
1963-01-31,0
1963-02-28,14.43
1963-03-31,33.16
1963-04-30,56.310001
1963-05-31,0.44
1963-06-30,0
1963-07-31,0
1963-08-31,0
1963-09-30,0
1963-10-31,13.91
1963-11-30,6.74
1963-12-31,1.31
1964-01-31,3.92
1964-02-29,1.83
1964-03-31,2.88
1964-04-30,5.74
1964-05-31,0
1964-06-30,0
1964-07-31,0
1964-08-31,0
1964-09-30,0
1964-10-31,4.18
1964-11-30,4.47
1964-12-31,0
1965-01-31,0
1965-02-28,0
1965-03-31,8.1
1965-04-30,55.32
1965-05-31,0
1965-06-30,0
1965-07-31,0
1965-08-31,0
1965-09-30,0
1965-10-31,0
1965-11-30,21.440001
1965-12-31,32.66
1966-01-31,4.56
1966-02-28,13.59
1966-03-31,0
1966-04-30,0
1966-05-31,0
1966-06-30,0
1966-07-31,0
1966-08-31,0
1966-09-30,0
1966-10-31,0
1966-11-30,3.44
1966-12-31,0
1967-01-31,38.84
1967-02-28,0
1967-03-31,39.369999
1967-04-30,136.149994
1967-05-31,0
1967-06-30,0
1967-07-31,0
1967-08-31,0
1967-09-30,0
1967-10-31,0
1967-11-30,39.259998
1967-12-31,5.11
1968-01-31,5.86
1968-02-29,10.98
1968-03-31,23.129999
1968-04-30,1.94
1968-05-31,0
1968-06-30,0
1968-07-31,0
1968-08-31,0
1968-09-30,0
1968-10-31,9.7
1968-11-30,5.28
1968-12-31,3.7
1969-01-31,336.920013
1969-02-28,358.350006
1969-03-31,19.719999
1969-04-30,22.43
1969-05-31,5.14
1969-06-30,0
1969-07-31,0
1969-08-31,0
1969-09-30,0
1969-10-31,0
1969-11-30,0.65
1969-12-31,2.33
1970-01-31,42.43
1970-02-28,27.66
1970-03-31,48.57
1970-04-30,5.93
1970-05-31,0
1970-06-30,0
1970-07-31,0
1970-08-31,0
1970-09-30,0
1970-10-31,0
1970-11-30,27.1
1970-12-31,16.889999
1971-01-31,0.84
1971-02-28,1.72
1971-03-31,0
1971-04-30,1.83
1971-05-31,38.209999
1971-06-30,0
1971-07-31,0
1971-08-31,0
1971-09-30,0
1971-10-31,0.14
1971-11-30,0
1971-12-31,12.84
1972-01-31,2.7
1972-02-29,1.73
1972-03-31,0
1972-04-30,0
1972-05-31,0
1972-06-30,0
1972-07-31,0
1972-08-31,0
1972-09-30,0
1972-10-31,3.19
1972-11-30,26.33
1972-12-31,5.96
1973-01-31,138.600006
1973-02-28,151.610001
1973-03-31,135.880005
1973-04-30,0
1973-05-31,0
1973-06-30,0
1973-07-31,0
1973-08-31,0
1973-09-30,0
1973-10-31,3.31
1973-11-30,3.43
1973-12-31,3.58
1974-01-31,123.18
1974-02-28,8.41
1974-03-31,70.389999
1974-04-30,7.1
1974-05-31,0
1974-06-30,0
1974-07-31,0
1974-08-31,0
1974-09-30,0
1974-10-31,31.040001
1974-11-30,5.14
1974-12-31,11.98
1975-01-31,0.61
1975-02-28,25.1
1975-03-31,37.110001
1975-04-30,24.360001
1975-05-31,0
1975-06-30,0
1975-07-31,0
1975-08-31,0
1975-09-30,0
1975-10-31,5.89
1975-11-30,4.65
1975-12-31,0.84
1976-01-31,0
1976-02-29,77.809998
1976-03-31,11.6
1976-04-30,26.26
1976-05-31,0
1976-06-30,0
1976-07-31,0
1976-08-31,0
1976-09-30,25.93
1976-10-31,2.02
1976-11-30,4.75
1976-12-31,1.55
1977-01-31,0.56
1977-02-28,0
1977-03-31,0
1977-04-30,0
1977-05-31,6.74
1977-06-30,0
1977-07-31,0
1977-08-31,0
1977-09-30,0
1977-10-31,0
1977-11-30,0.47
1977-12-31,29.51
1978-01-31,58.560001
1978-02-28,326.440002
1978-03-31,252.259995
1978-04-30,77.059998
1978-05-31,0
1978-06-30,0
1978-07-31,0
1978-08-31,0
1978-09-30,27.620001
1978-10-31,0
1978-11-30,0.44
1978-12-31,9.12
1979-01-31,53.830002
1979-02-28,60.869999
1979-03-31,79.75
1979-04-30,1.47
1979-05-31,0
1979-06-30,0
1979-07-31,0
1979-08-31,0
1979-09-30,0
1979-10-31,2.39
1979-11-30,0.73
1979-12-31,1.75
1980-01-31,73.769997
