date,kaf
31.10.1921,85.643372
30.11.1921,9.213625
31.12.1921,2.687815
31.01.1922,11.601793
28.02.1922,21.569178
31.03.1922,219.482483
30.04.1922,268
31.05.1922,277
30.06.1922,268
31.07.1922,277
31.08.1922,277
30.09.1922,182.673996
31.10.1922,128.798721
30.11.1922,8.993868
31.12.1922,0.418998
31.01.1923,14.464256
28.02.1923,12.116335
31.03.1923,219.086273
30.04.1923,242.504456
31.05.1923,272.595001
30.06.1923,268
31.07.1923,273.432983
31.08.1923,155.136078
30.09.1923,40.19907
31.10.1923,39.557487
30.11.1923,1.675991
31.12.1923,0.418998
31.01.1924,0.418998
29.02.1924,0.809099
31.03.1924,37.993572
30.04.1924,1.675991
31.05.1924,78.153862
30.06.1924,174.81398
31.07.1924,175.449799
31.08.1924,89.737968
30.09.1924,50.867882
31.10.1924,42.158489
30.11.1924,1.675991
31.12.1924,0.418998
31.01.1925,0.418998
28.02.1925,0.837995
31.03.1925,193.920273
30.04.1925,242.504456
31.05.1925,153.654938
30.06.1925,250.512512
31.07.1925,168.87146
31.08.1925,100.522255
30.09.1925,84.741043
31.10.1925,70.247017
30.11.1925,6.598066
31.12.1925,0.418998
31.01.1926,5.059049
28.02.1926,0.837995
31.03.1926,227.974411
30.04.1926,144.407211
31.05.1926,154.733704
30.06.1926,268
31.07.1926,142.573624
31.08.1926,71.638794
30.09.1926,90.609085
31.10.1926,49.786488
30.11.1926,18.812124
31.12.1926,4.780672
31.01.1927,19.4454
28.02.1927,8.603586
31.03.1927,189.762222
30.04.1927,268
31.05.1927,272.595001
30.06.1927,268
31.07.1927,273.432983
31.08.1927,273.432983
30.09.1927,159.696945
31.10.1927,95.27906
30.11.1927,1.675991
31.12.1927,0.418998
31.01.1928,0.418998
29.02.1928,0.809099
31.03.1928,197.017166
30.04.1928,225.643616
31.05.1928,163.768845
30.06.1928,268
31.07.1928,175.232986
31.08.1928,105.743065
30.09.1928,73.846764
31.10.1928,49.985489
30.11.1928,1.868723
31.12.1928,0.418998
31.01.1929,13.869014
28.02.1929,0.837995
31.03.1929,66.732025
30.04.1929,70.20446
31.05.1929,158.401138
30.06.1929,177.949051
31.07.1929,148.57962
31.08.1929,79.888466
30.09.1929,66.444649
31.10.1929,51.029488
30.11.1929,1.675991
31.12.1929,0.418998
31.01.1930,16.969257
28.02.1930,1.878261
31.03.1930,66.732025
30.04.1930,70.20446
31.05.1930,115.612091
30.06.1930,174.81398
31.07.1930,175.232986
31.08.1930,41.85408
30.09.1930,2.513986
31.10.1930,2.094988
30.11.1930,1.675991
31.12.1930,0.418998
31.01.1931,0.418998
28.02.1931,0.837995
31.03.1931,1.256993
30.04.1931,1.675991
31.05.1931,75.644226
30.06.1931,174.81398
31.07.1931,175.232986
31.08.1931,89.480049
30.09.1931,48.51107
31.10.1931,41.113571
30.11.1931,1.675991
31.12.1931,0.418998
31.01.1932,17.564259
29.02.1932,0.809099
31.03.1932,203.732468
30.04.1932,248.832474
31.05.1932,272.595001
30.06.1932,268
31.07.1932,273.432983
31.08.1932,273.432983
30.09.1932,163.870926
31.10.1932,91.149178
30.11.1932,3.395794
31.12.1932,0.418998
31.01.1933,0.418998
28.02.1933,0.837995
31.03.1933,199.836639
30.04.1933,79.261711
31.05.1933,173.616714
30.06.1933,266.629456
31.07.1933,180.754333
31.08.1933,118.426369
30.09.1933,97.053802
31.10.1933,54.02433
30.11.1933,1.675991
31.12.1933,0.418998
31.01.1934,18.187691
28.02.1934,0.837995
31.03.1934,66.732025
30.04.1934,10.372214
31.05.1934,76.890114
30.06.1934,174.81398
31.07.1934,187.952957
31.08.1934,89.512726
30.09.1934,51.920364
31.10.1934,49.415489
30.11.1934,1.675991
31.12.1934,0.418998
31.01.1935,13.074259
28.02.1935,0.837995
31.03.1935,192.840393
30.04.1935,245.720535
31.05.1935,272.595001
30.06.1935,268
31.07.1935,273.432983
31.08.1935,261.311066
