date,kaf
1921-10-31,23.726
1921-11-30,2.444
1921-12-31,2.528
1922-01-31,4.537
1922-02-28,4.726
1922-03-31,40.355
1922-04-30,29.97
1922-05-31,64.335
1922-06-30,93.063
1922-07-31,102.399
1922-08-31,84.509
1922-09-30,13.908
1922-10-31,23.726
1922-11-30,2.444
1922-12-31,2.528
1923-01-31,4.537
1923-02-28,4.726
1923-03-31,40.355
1923-04-30,29.97
1923-05-31,64.335
1923-06-30,93.063
1923-07-31,102.399
1923-08-31,84.509
1923-09-30,13.908
1923-10-31,23.726
1923-11-30,2.444
1923-12-31,2.528
1924-01-31,4.537
1924-02-29,4.726
1924-03-31,40.355
1924-04-30,29.97
1924-05-31,64.335
1924-06-30,93.063
1924-07-31,102.399
1924-08-31,84.509
1924-09-30,13.908
1924-10-31,23.726
1924-11-30,2.444
1924-12-31,2.528
1925-01-31,4.537
1925-02-28,4.726
1925-03-31,40.355
1925-04-30,29.97
1925-05-31,64.335
1925-06-30,93.063
1925-07-31,102.399
1925-08-31,84.509
1925-09-30,13.908
1925-10-31,23.726
1925-11-30,2.444
1925-12-31,2.528
1926-01-31,4.537
1926-02-28,4.726
1926-03-31,40.355
1926-04-30,29.97
1926-05-31,64.335
1926-06-30,93.063
1926-07-31,102.399
1926-08-31,84.509
1926-09-30,13.908
1926-10-31,23.726
1926-11-30,2.444
1926-12-31,2.528
1927-01-31,4.537
1927-02-28,4.726
1927-03-31,40.355
1927-04-30,29.97
1927-05-31,64.335
1927-06-30,93.063
1927-07-31,102.399
1927-08-31,84.509
1927-09-30,13.908
1927-10-31,23.726
1927-11-30,2.444
1927-12-31,2.528
1928-01-31,4.537
1928-02-29,4.726
1928-03-31,40.355
1928-04-30,29.97
1928-05-31,64.335
1928-06-30,93.063
1928-07-31,102.399
1928-08-31,84.509
1928-09-30,13.908
1928-10-31,23.726
1928-11-30,2.444
1928-12-31,2.528
1929-01-31,4.537
1929-02-28,4.726
1929-03-31,40.355
1929-04-30,29.97
1929-05-31,64.335
1929-06-30,93.063
1929-07-31,102.399
1929-08-31,84.509
1929-09-30,13.908
1929-10-31,23.726
1929-11-30,2.444
1929-12-31,2.528
1930-01-31,4.537
1930-02-28,4.726
1930-03-31,40.355
1930-04-30,29.97
1930-05-31,64.335
1930-06-30,93.063
1930-07-31,102.399
1930-08-31,84.509
1930-09-30,13.908
1930-10-31,23.726
1930-11-30,2.444
1930-12-31,2.528
1931-01-31,4.537
1931-02-28,4.726
1931-03-31,40.355
1931-04-30,29.97
1931-05-31,64.335
1931-06-30,93.063
1931-07-31,102.399
1931-08-31,84.509
1931-09-30,13.908
1931-10-31,23.726
1931-11-30,2.444
1931-12-31,2.528
1932-01-31,4.537
1932-02-29,4.726
1932-03-31,40.355
1932-04-30,29.97
1932-05-31,64.335
1932-06-30,93.063
1932-07-31,102.399
1932-08-31,84.509
1932-09-30,13.908
1932-10-31,23.726
1932-11-30,2.444
1932-12-31,2.528
1933-01-31,4.537
1933-02-28,4.726
1933-03-31,40.355
1933-04-30,29.97
1933-05-31,64.335
1933-06-30,93.063
1933-07-31,102.399
1933-08-31,84.509
1933-09-30,13.908
1933-10-31,23.726
1933-11-30,2.444
1933-12-31,2.528
1934-01-31,4.537
1934-02-28,4.726
1934-03-31,40.355
1934-04-30,29.97
1934-05-31,64.335
1934-06-30,93.063
1934-07-31,102.399
1934-08-31,84.509
1934-09-30,13.908
1934-10-31,23.726
1934-11-30,2.444
1934-12-31,2.528
1935-01-31,4.537
1935-02-28,4.726
1935-03-31,40.355
1935-04-30,29.97
1935-05-31,64.335
1935-06-30,93.063
1935-07-31,102.399
1935-08-31,84.509
1935-09-30,13.908
1935-10-31,23.726
1935-11-30,2.444
1935-12-31,2.528
1936-01-31,4.537
1936-02-29,4.726
1936-03-31,40.355
1936-04-30,29.97
1936-05-31,64.335
1936-06-30,93.063
1936-07-31,102.399
1936-08-31,84.509
1936-09-30,13.908
1936-10-31,23.726
1936-11-30,2.444
1936-12-31,2.528
1937-01-31,4.537
1937-02-28,4.726
1937-03-31,40.355
1937-04-30,29.97
1937-05-31,64.335
1937-06-30,93.063
1937-07-31,102.399
1937-08-31,84.509
1937-09-30,13.908
1937-10-31,23.726
1937-11-30,2.444
1937-12-31,2.528
1938-01-31,4.537
1938-02-28,4.726
1938-03-31,40.355
1938-04-30,29.97
1938-05-31,64.335
1938-06-30,93.063
1938-07-31,102.399
1938-08-31,84.509
1938-09-30,13.908
1938-10-31,23.726
1938-11-30,2.444
1938-12-31,2.528
1939-01-31,4.537
1939-02-28,4.726
1939-03-31,40.355
1939-04-30,29.97
1939-05-31,64.335
1939-06-30,93.063
1939-07-31,102.399
1939-08-31,84.509
1939-09-30,13.908
1939-10-31,23.726
1939-11-30,2.444
1939-12-31,2.528
1940-01-31,4.537
1940-02-29,4.726
1940-03-31,40.355
1940-04-30,29.97
1940-05-31,64.335
1940-06-30,93.063
1940-07-31,102.399
1940-08-31,84.509
1940-09-30,13.908
1940-10-31,23.726
1940-11-30,2.444
1940-12-31,2.528
1941-01-31,4.537
1941-02-28,4.726
1941-03-31,40.355
1941-04-30,29.97
1941-05-31,64.335
1941-06-30,93.063
1941-07-31,102.399
1941-08-31,84.509
1941-09-30,13.908
1941-10-31,23.726
1941-11-30,2.444
1941-12-31,2.528
1942-01-31,4.537
1942-02-28,4.726
1942-03-31,40.355
1942-04-30,29.97
1942-05-31,64.335
1942-06-30,93.063
1942-07-31,102.399
1942-08-31,84.509
1942-09-30,13.908
1942-10-31,23.726
1942-11-30,2.444
1942-12-31,2.528
1943-01-31,4.537
1943-02-28,4.726
1943-03-31,40.355
1943-04-30,29.97
1943-05-31,64.335
1943-06-30,93.063
1943-07-31,102.399
1943-08-31,84.509
1943-09-30,13.908
1943-10-31,23.726
1943-11-30,2.444
1943-12-31,2.528
1944-01-31,4.537
1944-02-29,4.726
1944-03-31,40.355
1944-04-30,29.97
1944-05-31,64.335
1944-06-30,93.063
1944-07-31,102.399
1944-08-31,84.509
1944-09-30,13.908
1944-10-31,23.726
1944-11-30,2.444
1944-12-31,2.528
1945-01-31,4.537
1945-02-28,4.726
1945-03-31,40.355
1945-04-30,29.97
1945-05-31,64.335
1945-06-30,93.063
1945-07-31,102.399
1945-08-31,84.509
1945-09-30,13.908
1945-10-31,23.726
1945-11-30,2.444
1945-12-31,2.528
1946-01-31,4.537
1946-02-28,4.726
1946-03-31,40.355
1946-04-30,29.97
1946-05-31,64.335
1946-06-30,93.063
1946-07-31,102.399
1946-08-31,84.509
1946-09-30,13.908
1946-10-31,23.726
1946-11-30,2.444
1946-12-31,2.528
1947-01-31,4.537
1947-02-28,4.726
1947-03-31,40.355
1947-04-30,29.97
1947-05-31,64.335
1947-06-30,93.063
1947-07-31,102.399
1947-08-31,84.509
1947-09-30,13.908
1947-10-31,23.726
1947-11-30,2.444
1947-12-31,2.528
1948-01-31,4.537
1948-02-29,4.726
1948-03-31,40.355
1948-04-30,29.97
1948-05-31,64.335
1948-06-30,93.063
1948-07-31,102.399
1948-08-31,84.509
1948-09-30,13.908
1948-10-31,23.726
1948-11-30,2.444
1948-12-31,2.528
1949-01-31,4.537
1949-02-28,4.726
1949-03-31,40.355
1949-04-30,29.97
1949-05-31,64.335
1949-06-30,93.063
1949-07-31,102.399
1949-08-31,84.509
1949-09-30,13.908
1949-10-31,23.726
1949-11-30,2.444
1949-12-31,2.528
1950-01-31,4.537
1950-02-28,4.726
1950-03-31,40.355
1950-04-30,29.97
1950-05-31,64.335
1950-06-30,93.063
1950-07-31,102.399
1950-08-31,84.509
1950-09-30,13.908
1950-10-31,23.726
1950-11-30,2.444
1950-12-31,2.528
