date,kaf
1921-10-31,6.11
1921-11-30,5.04
1921-12-31,4.32
1922-01-31,4.99
1922-02-28,5.36
1922-03-31,7.87
1922-04-30,57.50928675
1922-05-31,286.65
1922-06-30,276.8676406
1922-07-31,365.01
1922-08-31,317.0672028
1922-09-30,10.38
1922-10-31,6.11
1922-11-30,5.04
1922-12-31,4.32
1923-01-31,4.99
1923-02-28,5.36
1923-03-31,29.08765125
1923-04-30,98.19431813
1923-05-31,284.9252
1923-06-30,364.27
1923-07-31,365.01
1923-08-31,320.2802417
1923-09-30,10.38
1923-10-31,9.94
1923-11-30,5.04
1923-12-31,4.32
1924-01-31,4.99
1924-02-29,5.36
1924-03-31,179.67
1924-04-30,138.12
1924-05-31,285.3628
1924-06-30,364.27
1924-07-31,365.01
1924-08-31,360.02
1924-09-30,10.38
1924-10-31,9.94
1924-11-30,5.04
1924-12-31,4.32
1925-01-31,4.99
1925-02-28,5.36
1925-03-31,14.37
1925-04-30,110.9167181
1925-05-31,281.2324
1925-06-30,326.90182
1925-07-31,360.4529
1925-08-31,301.4629
1925-09-30,10.38
1925-10-31,6.11
1925-11-30,5.04
1925-12-31,4.32
1926-01-31,4.99
1926-02-28,5.36
1926-03-31,62.44371659
1926-04-30,54.37300483
1926-05-31,281.7012
1926-06-30,364.27
1926-07-31,356.2921
1926-08-31,302.8573
1926-09-30,10.38
1926-10-31,6.11
1926-11-30,5.04
1926-12-31,4.32
1927-01-31,4.99
1927-02-28,5.36
1927-03-31,7.87
1927-04-30,10.52
1927-05-31,197.4217
1927-06-30,313.127
1927-07-31,358.8665
1927-08-31,278.5943
1927-09-30,10.38
1927-10-31,6.11
1927-11-30,5.04
1927-12-31,4.32
1928-01-31,4.99
1928-02-29,5.36
1928-03-31,7.87
1928-04-30,83.8978504
1928-05-31,285.6484
1928-06-30,364.27
1928-07-31,365.01
1928-08-31,336.944522
1928-09-30,62.9164
1928-10-31,102.5204
1928-11-30,7.910871368
1928-12-31,4.32
1929-01-31,4.99
1929-02-28,5.36
1929-03-31,179.67
1929-04-30,137.604
1929-05-31,286.65
1929-06-30,364.27
1929-07-31,365.01
1929-08-31,360.02
1929-09-30,10.38
1929-10-31,9.94
1929-11-30,5.04
1929-12-31,4.32
1930-01-31,4.99
1930-02-28,5.36
1930-03-31,29.05583832
1930-04-30,138.12
1930-05-31,282.218
1930-06-30,364.27
1930-07-31,365.01
1930-08-31,360.02
1930-09-30,63.1596
1930-10-31,58.73060006
1930-11-30,5.43
1930-12-31,4.32
1931-01-31,5.72
1931-02-28,6.13
1931-03-31,179.67
1931-04-30,138.12
1931-05-31,286.65
1931-06-30,364.27
1931-07-31,365.01
1931-08-31,360.02
1931-09-30,65.214
1931-10-31,104.37
1931-11-30,5.04
1931-12-31,4.32
1932-01-31,4.99
1932-02-29,5.36
1932-03-31,77.10412728
1932-04-30,137.4712
1932-05-31,286.65
1932-06-30,364.27
1932-07-31,365.01
1932-08-31,360.02
1932-09-30,10.38
1932-10-31,9.94
1932-11-30,5.04
1932-12-31,4.32
1933-01-31,4.99
1933-02-28,5.36
1933-03-31,153.7684
1933-04-30,138.12
1933-05-31,286.65
1933-06-30,364.27
1933-07-31,365.01
1933-08-31,360.02
1933-09-30,10.38
1933-10-31,9.94
1933-11-30,5.04
1933-12-31,4.32
1934-01-31,4.99
1934-02-28,5.36
1934-03-31,179.67
1934-04-30,138.12
1934-05-31,285.558
1934-06-30,364.27
1934-07-31,365.01
1934-08-31,360.02
1934-09-30,10.38
1934-10-31,9.94
1934-11-30,5.04
1934-12-31,4.32
1935-01-31,4.99
1935-02-28,5.36
1935-03-31,7.87
1935-04-30,10.52
1935-05-31,187.9816
1935-06-30,325.46608
1935-07-31,355.4201
1935-08-31,281.5583
1935-09-30,10.38
1935-10-31,6.11
1935-11-30,5.04
1935-12-31,4.32
1936-01-31,4.99
1936-02-29,5.36
1936-03-31,27.53109266
1936-04-30,10.52
1936-05-31,115.90468
1936-06-30,323.13622
1936-07-31,356.8049
1936-08-31,280.4231
1936-09-30,10.38
1936-10-31,6.11
1936-11-30,5.04
1936-12-31,4.32
1937-01-31,4.99
1937-02-28,5.36
1937-03-31,9.895692221
1937-04-30,10.52
1937-05-31,23.12
1937-06-30,174.6401659
1937-07-31,353.2233
1937-08-31,203.8727579
1937-09-30,8.14
1937-10-31,6.11
1937-11-30,5.04
1937-12-31,4.32
1938-01-31,4.99
1938-02-28,5.36
1938-03-31,7.87
1938-04-30,47.63289498
1938-05-31,153.6239644
1938-06-30,29.02
1938-07-31,336.6794957
1938-08-31,232.7071557
1938-09-30,10.38
1938-10-31,9.94
1938-11-30,5.43
1938-12-31,4.32
1939-01-31,4.99
1939-02-28,5.36
1939-03-31,85.0689726
1939-04-30,134.348
1939-05-31,286.1844
1939-06-30,364.27
1939-07-31,365.01
1939-08-31,317.3305359
1939-09-30,10.38
1939-10-31,6.11
1939-11-30,5.04
1939-12-31,4.32
1940-01-31,4.99
1940-02-29,5.36
1940-03-31,7.87
1940-04-30,10.52
1940-05-31,165.28098
1940-06-30,321.37062
1940-07-31,356.8697
1940-08-31,280.4679
1940-09-30,8.14
1940-10-31,6.11
1940-11-30,5.04
1940-12-31,4.32
1941-01-31,4.99
1941-02-28,5.36
1941-03-31,9.009016039
1941-04-30,10.52
1941-05-31,84.03902076
1941-06-30,43.89520594
1941-07-31,352.8697
1941-08-31,228.7287862
1941-09-30,8.14
1941-10-31,6.11
1941-11-30,5.04
1941-12-31,4.32
1942-01-31,4.99
1942-02-28,5.36
1942-03-31,38.44689145
1942-04-30,10.52
1942-05-31,176.9217
1942-06-30,187.3788566
1942-07-31,348.2089
1942-08-31,278.3679451
1942-09-30,8.14
1942-10-31,6.11
1942-11-30,5.04
1942-12-31,4.32
1943-01-31,4.99
1943-02-28,5.36
1943-03-31,7.87
1943-04-30,10.52
1943-05-31,180.7727706
1943-06-30,310.1436614
1943-07-31,365.01
1943-08-31,321.8683
1943-09-30,10.38
1943-10-31,9.94
1943-11-30,5.43
1943-12-31,4.32
1944-01-31,4.99
1944-02-29,5.36
1944-03-31,15.63125364
1944-04-30,138.12
1944-05-31,282.302
1944-06-30,364.27
1944-07-31,360.2489
1944-08-31,280.4511
1944-09-30,10.38
1944-10-31,6.11
1944-11-30,5.04
1944-12-31,4.32
1945-01-31,4.99
1945-02-28,5.36
1945-03-31,70.46542398
1945-04-30,10.52
1945-05-31,196.3881
1945-06-30,327.91462
1945-07-31,350.1817
1945-08-31,278.1335
1945-09-30,8.14
1945-10-31,6.11
1945-11-30,5.04
1945-12-31,4.32
1946-01-31,4.99
1946-02-28,5.36
1946-03-31,112.9882966
1946-04-30,103.3176068
1946-05-31,246.0050266
1946-06-30,353.4869076
1946-07-31,358.4873
1946-08-31,300.8341
1946-09-30,10.38
1946-10-31,6.11
1946-11-30,5.04
1946-12-31,4.32
1947-01-31,4.99
1947-02-28,5.36
1947-03-31,41.54225986
1947-04-30,138.12
1947-05-31,284.9612
1947-06-30,364.27
1947-07-31,365.01
1947-08-31,323.2827
1947-09-30,10.38
1947-10-31,9.94
1947-11-30,5.04
1947-12-31,4.32
1948-01-31,4.99
1948-02-29,5.36
1948-03-31,44.00941485
1948-04-30,77.68057813
1948-05-31,279.0716
1948-06-30,364.27
1948-07-31,359.8825
1948-08-31,307.6366315
1948-09-30,10.38
1948-10-31,6.11
1948-11-30,5.04
1948-12-31,4.32
1949-01-31,4.99
1949-02-28,5.36
1949-03-31,17.2608
1949-04-30,82.35510789
1949-05-31,195.1497
1949-06-30,319.54662
1949-07-31,361.1953
1949-08-31,324.0963
1949-09-30,8.14
1949-10-31,6.11
1949-11-30,5.04
1949-12-31,4.32
1950-01-31,4.99
1950-02-28,5.36
1950-03-31,7.87
1950-04-30,10.52
1950-05-31,195.0225
1950-06-30,326.35222
1950-07-31,359.0193
1950-08-31,281.4815
1950-09-30,8.14
1950-10-31,6.11
1950-11-30,5.04
1950-12-31,4.32
1951-01-31,4.99
1951-02-28,5.36
1951-03-31,41.30268589
1951-04-30,43.29706125
1951-05-31,194.8809
1951-06-30,326.38902
1951-07-31,358.1345
1951-08-31,281.2615
1951-09-30,8.14
1951-10-31,6.11
1951-11-30,5.04
1951-12-31,4.32
1952-01-31,4.99
1952-02-29,5.36
1952-03-31,7.87
1952-04-30,10.52
1952-05-31,23.12
1952-06-30,29.02
1952-07-31,331.0817
1952-08-31,163.1965202
1952-09-30,8.14
1952-10-31,6.11
1952-11-30,5.04
1952-12-31,4.32
1953-01-31,4.99
1953-02-28,5.36
1953-03-31,22.71318463
1953-04-30,111.8799181
1953-05-31,281.706
1953-06-30,364.27
1953-07-31,357.5145
1953-08-31,301.8053
1953-09-30,8.14
1953-10-31,6.11
1953-11-30,5.04
1953-12-31,4.32
1954-01-31,4.99
1954-02-28,5.36
1954-03-31,7.87
1954-04-30,40.43708805
1954-05-31,282.8412
1954-06-30,364.27
1954-07-31,361.1953
1954-08-31,321.2779
1954-09-30,10.38
1954-10-31,9.94
1954-11-30,5.04
1954-12-31,4.32
1955-01-31,4.99
1955-02-28,5.36
1955-03-31,60.58018413
1955-04-30,15.35
1955-05-31,193.1073
1955-06-30,323.54422
1955-07-31,361.1953
1955-08-31,324.8027
1955-09-30,8.14
1955-10-31,6.11
1955-11-30,5.04
1955-12-31,4.32
1956-01-31,4.99
1956-02-29,5.36
1956-03-31,48.99487264
1956-04-30,88.55397892
1956-05-31,117.7788
1956-06-30,199.7953809
1956-07-31,359.4281
1956-08-31,278.6183
1956-09-30,8.14
1956-10-31,6.11
1956-11-30,5.04
1956-12-31,4.32
1957-01-31,4.99
1957-02-28,5.36
1957-03-31,17.2608
1957-04-30,108.7855181
1957-05-31,281.01
1957-06-30,321.50182
1957-07-31,361.1953
1957-08-31,281.5151
1957-09-30,8.14
1957-10-31,6.11
1957-11-30,5.04
1957-12-31,4.32
1958-01-31,4.99
1958-02-28,5.36
1958-03-31,7.87
1958-04-30,10.52
1958-05-31,23.12
1958-06-30,56.19760594
1958-07-31,357.0945
1958-08-31,278.1735
1958-09-30,8.14
1958-10-31,6.11
1958-11-30,5.04
1958-12-31,4.32
1959-01-31,4.99
1959-02-28,5.36
1959-03-31,105.7138439
1959-04-30,136.6192
1959-05-31,282.4572
1959-06-30,364.27
1959-07-31,365.01
1959-08-31,360.02
1959-09-30,10.38
1959-10-31,9.94
1959-11-30,5.04
1959-12-31,4.32
1960-01-31,4.99
1960-02-29,5.36
1960-03-31,54.08553855
1960-04-30,138.12
1960-05-31,282.3164
1960-06-30,364.27
1960-07-31,365.01
1960-08-31,323.9147
1960-09-30,8.14
1960-10-31,9.94
1960-11-30,5.04
1960-12-31,4.32
1961-01-31,4.99
1961-02-28,5.36
1961-03-31,89.32676173
1961-04-30,131.8097276
1961-05-31,285.0276
1961-06-30,364.27
1961-07-31,365.01
1961-08-31,302.5597
1961-09-30,10.38
1961-10-31,6.11
1961-11-30,5.04
1961-12-31,4.32
1962-01-31,4.99
1962-02-28,5.36
1962-03-31,8.129220913
1962-04-30,10.52
1962-05-31,197.4217
1962-06-30,328.68182
1962-07-31,359.5377
1962-08-31,282.4415
1962-09-30,8.14
1962-10-31,6.11
1962-11-30,5.04
1962-12-31,4.32
1963-01-31,4.99
1963-02-28,5.36
1963-03-31,17.2608
1963-04-30,10.52
1963-05-31,189.6817
1963-06-30,258.9303237
1963-07-31,359.6777
1963-08-31,282.4415
1963-09-30,10.38
1963-10-31,9.94
1963-11-30,5.04
1963-12-31,4.32
1964-01-31,4.99
1964-02-29,5.36
1964-03-31,64.09421673
1964-04-30,15.35
1964-05-31,196.5585
1964-06-30,322.99862
1964-07-31,359.8465
1964-08-31,303.6221
1964-09-30,8.14
1964-10-31,6.11
1964-11-30,5.04
1964-12-31,4.32
1965-01-31,4.99
1965-02-28,5.36
1965-03-31,13.5200566
1965-04-30,10.52
1965-05-31,195.8753
1965-06-30,325.22662
1965-07-31,360.3617
1965-08-31,282.4415
1965-09-30,10.38
1965-10-31,6.11
1965-11-30,5.04
1965-12-31,4.32
1966-01-31,4.99
1966-02-28,5.36
1966-03-31,32.58979601
1966-04-30,82.04330779
1966-05-31,286.0852
1966-06-30,323.61142
1966-07-31,361.1953
1966-08-31,324.8027
1966-09-30,8.14
1966-10-31,6.11
1966-11-30,5.04
1966-12-31,4.32
1967-01-31,4.99
1967-02-28,5.36
1967-03-31,7.87
1967-04-30,69.36303813
1967-05-31,34.52883357
1967-06-30,29.02
1967-07-31,76.56818771
1967-08-31,129.4360426
1967-09-30,8.14
1967-10-31,6.11
1967-11-30,5.04
1967-12-31,4.32
1968-01-31,4.99
1968-02-29,5.36
1968-03-31,17.2608
1968-04-30,138.12
1968-05-31,195.5481
1968-06-30,326.65382
1968-07-31,361.1353
1968-08-31,301.1743202
1968-09-30,8.14
1968-10-31,6.11
1968-11-30,5.04
1968-12-31,4.32
1969-01-31,4.99
1969-02-28,5.36
