date,kaf
1921-10-31,77.702652
1921-11-30,46.403938
1921-12-31,34.72765
1922-01-31,25.397757
1922-02-28,23.661736
1922-03-31,21.491571
1922-04-30,18.108965
1922-05-31,23.069807
1922-06-30,24.46983
1922-07-31,11.197257
1922-08-31,4.462884
1922-09-30,5.216972
1922-10-31,3.557384
1922-11-30,4.220537
1922-12-31,4.543173
1923-01-31,3.214916
1923-02-28,3.094572
1923-03-31,4.654728
1923-04-30,9.190453
1923-05-31,10.473563
1923-06-30,7.633338
1923-07-31,4.020661
1923-08-31,0.690297
1923-09-30,2.867115
1923-10-31,1.706448
1923-11-30,1.944667
1923-12-31,1.382182
1924-01-31,0.260738
1924-02-29,1.010249
1924-03-31,-0.780933
1924-04-30,2.458025
1924-05-31,1.663823
1924-06-30,-1.97037
1924-07-31,-2.387283
1924-08-31,-1.48896
1924-09-30,1.512751
1924-10-31,1.232047
1924-11-30,2.212379
1924-12-31,1.801054
1925-01-31,1.254574
1925-02-28,2.346539
1925-03-31,3.2509
1925-04-30,6.575114
1925-05-31,11.465749
1925-06-30,6.880467
1925-07-31,2.451074
1925-08-31,0.208544
1925-09-30,1.616123
1925-10-31,0.001317
1925-11-30,2.175555
1925-12-31,1.342886
1926-01-31,0.401694
1926-02-28,1.72489
1926-03-31,2.20981
1926-04-30,12.886008
1926-05-31,7.41226
1926-06-30,2.330108
1926-07-31,1.021807
1926-08-31,-0.124386
1926-09-30,1.999141
1926-10-31,1.223284
1926-11-30,5.908002
1926-12-31,2.120585
1927-01-31,2.083458
1927-02-28,3.140942
1927-03-31,4.695877
1927-04-30,6.807381
1927-05-31,10.690278
1927-06-30,9.119051
1927-07-31,3.548061
1927-08-31,1.41913
1927-09-30,3.204774
1927-10-31,2.252744
1927-11-30,2.537064
1927-12-31,1.46854
1928-01-31,1.361022
1928-02-29,1.108355
1928-03-31,2.263265
1928-04-30,1.720263
1928-05-31,4.596051
1928-06-30,1.418181
1928-07-31,0.107517
1928-08-31,0.579876
1928-09-30,2.983942
1928-10-31,1.655279
1928-11-30,1.448934
1928-12-31,1.576393
1929-01-31,0.218419
1929-02-28,0.264711
1929-03-31,1.996926
1929-04-30,5.006749
1929-05-31,9.81971
1929-06-30,4.855829
1929-07-31,2.346692
1929-08-31,1.915999
1929-09-30,3.011346
1929-10-31,1.130813
1929-11-30,2.591275
1929-12-31,1.376439
1930-01-31,1.18485
1930-02-28,0.055267
1930-03-31,3.106247
1930-04-30,7.555028
1930-05-31,6.782834
1930-06-30,5.681016
1930-07-31,2.87061
1930-08-31,2.282111
1930-09-30,3.61487
1930-10-31,1.827362
1930-11-30,2.235832
1930-12-31,1.507299
1931-01-31,0.679533
1931-02-28,0.735953
1931-03-31,0.766548
1931-04-30,3.337192
1931-05-31,5.721225
1931-06-30,0.640593
1931-07-31,-0.265621
1931-08-31,-0.28446
1931-09-30,1.328326
1931-10-31,0.593126
1931-11-30,1.76911
1931-12-31,4.987164
1932-01-31,2.487038
1932-02-29,3.875504
1932-03-31,7.587499
1932-04-30,8.80103
1932-05-31,14.160373
1932-06-30,17.689556
1932-07-31,7.918613
1932-08-31,4.945339
1932-09-30,6.511591
1932-10-31,3.760141
1932-11-30,3.372788
1932-12-31,1.801816
1933-01-31,4.75224
1933-02-28,1.654726
1933-03-31,1.980106
1933-04-30,5.709068
1933-05-31,5.312588
1933-06-30,10.027895
1933-07-31,2.200869
1933-08-31,4.076655
1933-09-30,5.054659
1933-10-31,1.87061
1933-11-30,3.079282
1933-12-31,2.640107
1934-01-31,1.479549
1934-02-28,0.07281
1934-03-31,3.890071
1934-04-30,5.496991
1934-05-31,0.902836
1934-06-30,1.243737
1934-07-31,1.477207
1934-08-31,-0.14237
1934-09-30,1.623968
1934-10-31,0.996105
1934-11-30,2.196149
1934-12-31,2.456127
1935-01-31,4.132236
1935-02-28,4.42874
1935-03-31,8.471714
1935-04-30,14.344228
1935-05-31,15.24069
1935-06-30,14.696566
1935-07-31,4.284239
1935-08-31,5.149873
1935-09-30,5.997455
1935-10-31,3.442085
1935-11-30,3.68909
1935-12-31,1.487875
1936-01-31,1.097115
1936-02-29,4.607286
1936-03-31,6.7914
1936-04-30,11.209338
1936-05-31,16.63035
1936-06-30,10.479246
1936-07-31,3.486857
1936-08-31,4.583109
1936-09-30,5.965875
1936-10-31,3.770703
1936-11-30,3.567791
1936-12-31,4.96665
1937-01-31,1.079476
1937-02-28,12.61931
1937-03-31,11.61029
1937-04-30,10.377169
1937-05-31,19.350912
1937-06-30,15.363634
1937-07-31,5.013731
1937-08-31,4.022268
1937-09-30,5.736014
1937-10-31,2.874981
1937-11-30,3.426446
1937-12-31,6.571186
1938-01-31,1.051597
1938-02-28,8.364589
1938-03-31,16.720554
1938-04-30,15.585118
1938-05-31,17.596146
1938-06-30,20.181786
1938-07-31,11.735861
1938-08-31,0.979806
1938-09-30,4.826995
1938-10-31,0.658579
1938-11-30,3.782531
1938-12-31,1.220659
1939-01-31,-0.14604
1939-02-28,-0.034694
1939-03-31,1.774009
1939-04-30,5.983586
1939-05-31,4.599328
1939-06-30,0.504406
1939-07-31,2.612327
1939-08-31,1.205905
1939-09-30,2.49577
1939-10-31,1.464449
1939-11-30,2.043337
1939-12-31,0.261584
1940-01-31,3.153642
1940-02-29,8.579742
1940-03-31,7.592896
1940-04-30,9.647172
1940-05-31,15.914829
1940-06-30,10.836473
1940-07-31,3.31623
1940-08-31,1.915833
1940-09-30,3.458204
1940-10-31,1.577503
1940-11-30,1.844412
1940-12-31,4.137305
1941-01-31,4.922311
1941-02-28,11.020997
1941-03-31,11.734355
1941-04-30,14.621474
1941-05-31,16.944057
1941-06-30,17.067186
1941-07-31,9.349973
1941-08-31,-0.346967
1941-09-30,3.859187
1941-10-31,2.326929
1941-11-30,1.395429
1941-12-31,4.477116
1942-01-31,2.609731
1942-02-28,-0.089962
1942-03-31,1.552382
1942-04-30,7.646405
1942-05-31,10.764893
1942-06-30,13.449987
1942-07-31,5.558306
1942-08-31,-0.350432
1942-09-30,2.083569
1942-10-31,1.183829
1942-11-30,0.724691
1942-12-31,-0.561336
1943-01-31,2.91181
1943-02-28,-1.100737
1943-03-31,8.648137
1943-04-30,7.879647
1943-05-31,13.44654
1943-06-30,7.890879
1943-07-31,0.922023
1943-08-31,-0.161563
1943-09-30,1.727923
1943-10-31,0.607364
1943-11-30,0.295088
1943-12-31,-1.846765
1944-01-31,-1.783585
1944-02-29,0.624386
1944-03-31,0.32607
1944-04-30,1.771184
1944-05-31,6.9414
1944-06-30,6.295475
1944-07-31,2.142477
1944-08-31,1.317648
1944-09-30,2.537561
1944-10-31,0.548403
1944-11-30,0.74605
1944-12-31,-2.133044
1945-01-31,-1.700841
1945-02-28,1.67806
1945-03-31,6.75107
1945-04-30,6.782794
1945-05-31,12.374878
1945-06-30,11.329362
1945-07-31,5.486649
1945-08-31,1.288137
1945-09-30,2.628696
1945-10-31,1.344364
1945-11-30,0.234806
1945-12-31,0.045785
1946-01-31,-0.997283
1946-02-28,-5.278187
1946-03-31,2.483802
1946-04-30,3.276827
1946-05-31,10.994833
1946-06-30,5.185053
