date,kaf
1921-09-30,137073
1921-10-31,137098.109375
1921-11-30,137113.609375
1921-12-31,137127.25
1922-01-31,137139.625
1922-02-28,137150.578125
1922-03-31,137161.625
1922-04-30,137173.8125
1922-05-31,137186.578125
1922-06-30,137192.703125
1922-07-31,137202.140625
1922-08-31,137206.890625
1922-09-30,137209.71875
1922-10-31,137212.0625
1922-11-30,137214.4375
1922-12-31,137218.265625
1923-01-31,137222.125
1923-02-28,137223.71875
1923-03-31,137226.5625
1923-04-30,137233.109375
1923-05-31,137213.328125
1923-06-30,137182.390625
1923-07-31,137140.125
1923-08-31,137126.03125
1923-09-30,137125
1923-10-31,137123.75
1923-11-30,137123.03125
1923-12-31,137123.25
1924-01-31,137122.203125
1924-02-29,137121.4375
1924-03-31,137121
1924-04-30,137098.765625
1924-05-31,136976.1875
1924-06-30,136849.046875
1924-07-31,136724.1875
1924-08-31,136614.734375
1924-09-30,136610.484375
1924-10-31,136606.34375
1924-11-30,136604.15625
1924-12-31,136603.515625
1925-01-31,136602.34375
1925-02-28,136601.359375
1925-03-31,136601.671875
1925-04-30,136603.609375
1925-05-31,136563.515625
1925-06-30,136530.90625
1925-07-31,136485.578125
1925-08-31,136417.296875
1925-09-30,136413.171875
1925-10-31,136409.109375
1925-11-30,136406.328125
1925-12-31,136404.890625
1926-01-31,136402.4375
1926-02-28,136401.09375
1926-03-31,136397.859375
1926-04-30,136400.109375
1926-05-31,136376.375
1926-06-30,136342.4375
1926-07-31,136231.40625
1926-08-31,136119.421875
1926-09-30,136114
1926-10-31,136108.453125
1926-11-30,136106.25
1926-12-31,136104.640625
1927-01-31,136103.53125
1927-02-28,136104.859375
1927-03-31,136106.21875
1927-04-30,136107.703125
1927-05-31,136087.453125
1927-06-30,136056.34375
1927-07-31,136009.484375
1927-08-31,135978.828125
1927-09-30,135975.21875
1927-10-31,135972.71875
1927-11-30,135970.9375
1927-12-31,135969.96875
1928-01-31,135968.046875
1928-02-29,135966.203125
1928-03-31,135964.6875
1928-04-30,135963.875
1928-05-31,135939.34375
1928-06-30,135905.859375
1928-07-31,135794.671875
1928-08-31,135669.3125
1928-09-30,135663.890625
1928-10-31,135658.28125
1928-11-30,135655.359375
1928-12-31,135653.40625
1929-01-31,135651.21875
1929-02-28,135648
1929-03-31,135646.046875
1929-04-30,135645.0625
1929-05-31,135619.953125
1929-06-30,135492.015625
