date,kaf
1921-10-31,0.4376
1921-11-30,3.2416
1921-12-31,1.7056
1922-01-31,18.58
1922-02-28,19.360001
1922-03-31,28.292002
1922-04-30,0
1922-05-31,0
1922-06-30,135.552933
1922-07-31,20.309023
1922-08-31,1.7432
1922-09-30,7.9536
1922-10-31,6.0416
1922-11-30,2.4232
1922-12-31,6.8944
1923-01-31,11.5576
1923-02-28,2.076
1923-03-31,0
1923-04-30,14.7024
1923-05-31,1.7248
1923-06-30,3.8968
1923-07-31,0.8592
1923-08-31,4.4552
1923-09-30,6.0816
1923-10-31,5.464
1923-11-30,5.7112
1923-12-31,3.0792
1924-01-31,1.0584
1924-02-29,0
1924-03-31,0
1924-04-30,0
1924-05-31,1.2872
1924-06-30,5.2536
1924-07-31,0.4872
1924-08-31,0
1924-09-30,4.1256
1924-10-31,4.0168
1924-11-30,5.0624
1924-12-31,0.4888
1925-01-31,1.6592
1925-02-28,16.624001
1925-03-31,5.3168
1925-04-30,1.98
1925-05-31,5.417601
1925-06-30,1.78
1925-07-31,0.7424
1925-08-31,2.1592
1925-09-30,6.464
1925-10-31,2.0208
1925-11-30,5.5472
1925-12-31,2.688
1926-01-31,0.1024
1926-02-28,19.2272
1926-03-31,0
1926-04-30,12.2808
1926-05-31,4.9488
1926-06-30,1.3248
1926-07-31,4.9032
1926-08-31,0.7648
1926-09-30,4.7072
1926-10-31,4.1184
1926-11-30,1.808
1926-12-31,6.0608
1927-01-31,5.7816
1927-02-28,19.360001
1927-03-31,11.676001
1927-04-30,1.5504
1927-05-31,0
1927-06-30,0.6136
1927-07-31,2.3288
1927-08-31,3.8472
1927-09-30,6.9752
1927-10-31,4.012
1927-11-30,7.6104
1927-12-31,3.6728
1928-01-31,0.8632
1928-02-29,0.3816
1928-03-31,14.354401
1928-04-30,0
1928-05-31,1.0016
1928-06-30,0.312
1928-07-31,4.5808
1928-08-31,0.896
1928-09-30,4.4336
1928-10-31,4.6096
1928-11-30,6.5568
1928-12-31,1.3032
1929-01-31,3.2096
1929-02-28,1.6184
1929-03-31,0
1929-04-30,0.516
1929-05-31,0
1929-06-30,5.8552
1929-07-31,0.8224
1929-08-31,0.516
1929-09-30,4.8616
1929-10-31,4.2888
1929-11-30,5.3
1929-12-31,2.8136
1930-01-31,6.1168
1930-02-28,7.416
1930-03-31,0
1930-04-30,0
1930-05-31,4.432
1930-06-30,6.2448
1930-07-31,0
1930-08-31,0
1930-09-30,4.1904
1930-10-31,4.2608
1930-11-30,5.6776
1930-12-31,2.1848
1931-01-31,0.5
1931-02-28,4.0264
1931-03-31,0
1931-04-30,0
1931-05-31,0
1931-06-30,7.3544
1931-07-31,0
1931-08-31,0
1931-09-30,2.136
1931-10-31,2.76
1931-11-30,4.4112
1931-12-31,5.059667
1932-01-31,18.58
1932-02-29,17.868
1932-03-31,4.5032
1932-04-30,0.6488
1932-05-31,0
1932-06-30,0.2336
1932-07-31,5.64
1932-08-31,2.0872
1932-09-30,4.772
1932-10-31,3.6904
1932-11-30,4.248
1932-12-31,3.4744
1933-01-31,9.8016
1933-02-28,0
1933-03-31,25.9016
1933-04-30,0
1933-05-31,0
1933-06-30,0.4656
1933-07-31,32.825291
1933-08-31,0.9048
1933-09-30,3.2688
