date,kaf
1921-10-31,96.752403
1921-11-30,6.7684
1921-12-31,8.6444
1922-01-31,0
1922-02-28,0
1922-03-31,124.9347
1922-04-30,42.058243
1922-05-31,0
1922-06-30,0
1922-07-31,63.840965
1922-08-31,9.126794
1922-09-30,49.016399
1922-10-31,91.148399
1922-11-30,7.5868
1922-12-31,3.4556
1923-01-31,7.0224
1923-02-28,17.284
1923-03-31,138.247696
1923-04-30,0
1923-05-31,0
1923-06-30,42.013199
1923-07-31,83.290787
1923-08-31,6.414794
1923-09-30,50.888397
1923-10-31,88.720566
1923-11-30,4.2988
1923-12-31,7.2708
1924-01-31,17.521601
1924-02-29,19.360001
1924-03-31,0
1924-04-30,0
1924-05-31,0
1924-06-30,40.656399
1924-07-31,83.662788
1924-08-31,10.869994
1924-09-30,52.844398
1924-10-31,93.173203
1924-11-30,4.9476
1924-12-31,9.8612
1925-01-31,16.920799
1925-02-28,2.735999
1925-03-31,159.9832
1925-04-30,0
1925-05-31,0
1925-06-30,81.548195
1925-07-31,88.014717
1925-08-31,88.498718
1925-09-30,50.505997
1925-10-31,95.169197
1925-11-30,4.4628
1925-12-31,7.662
1926-01-31,18.4776
1926-02-28,0.1328
1926-03-31,144.788788
1926-04-30,46.899097
1926-05-31,0
1926-06-30,44.585197
1926-07-31,88.014717
1926-08-31,10.105194
1926-09-30,52.262798
1926-10-31,93.071602
1926-11-30,8.202
1926-12-31,4.2892
1927-01-31,12.7984
1927-02-28,0
1927-03-31,153.623993
1927-04-30,57.629498
1927-05-31,89.22831
1927-06-30,96.489357
1927-07-31,88.014717
1927-08-31,88.498718
1927-09-30,49.994797
1927-10-31,93.178001
1927-11-30,2.3996
1927-12-31,6.6772
1928-01-31,17.716801
1928-02-29,18.978399
1928-03-31,150.945602
1928-04-30,28.926985
1928-05-31,-0
1928-06-30,45.597996
1928-07-31,79.569191
1928-08-31,9.973994
1928-09-30,0
1928-10-31,0
1928-11-30,0.972329
1928-12-31,9.0468
1929-01-31,15.370399
1929-02-28,17.7416
1929-03-31,0
1929-04-30,0
1929-05-31,0
1929-06-30,40.054798
1929-07-31,83.327591
1929-08-31,10.353994
1929-09-30,52.108398
1929-10-31,92.901199
1929-11-30,4.71
1929-12-31,7.5364
1930-01-31,12.4632
1930-02-28,11.943999
1930-03-31,155.74469
1930-04-30,0
1930-05-31,0
1930-06-30,39.665199
1930-07-31,84.149986
1930-08-31,10.869994
1930-09-30,0
1930-10-31,0
1930-11-30,4.3324
1930-12-31,8.1652
1931-01-31,18.08
1931-02-28,15.3336
1931-03-31,0
1931-04-30,0
1931-05-31,0
1931-06-30,38.555599
1931-07-31,84.149986
1931-08-31,10.869994
1931-09-30,0
1931-10-31,0
1931-11-30,5.5988
1931-12-31,5.290333
1932-01-31,0
1932-02-29,1.492
1932-03-31,142.410385
1932-04-30,0
1932-05-31,0
1932-06-30,45.676399
1932-07-31,78.509987
1932-08-31,8.782794
1932-09-30,52.197998
1932-10-31,93.499603
1932-11-30,5.762
1932-12-31,6.8756
1933-01-31,8.7784
1933-02-28,19.360001
1933-03-31,53.672707
1933-04-30,0
1933-05-31,0
1933-06-30,45.444397
1933-07-31,51.324699
1933-08-31,9.965194
1933-09-30,53.701199
1933-10-31,93.445198
1933-11-30,6.1644
1933-12-31,5.8148
1934-01-31,17.034399
1934-02-28,0
1934-03-31,0
1934-04-30,0
1934-05-31,0
1934-06-30,43.696396
1934-07-31,83.721992
1934-08-31,10.869994
1934-09-30,54.325996
1934-10-31,93.101997
1934-11-30,4.1732
1934-12-31,9.3396
1935-01-31,0
1935-02-28,0
1935-03-31,113.963196
1935-04-30,62.443596
1935-05-31,93.398125
1935-06-30,83.702606
1935-07-31,88.014717
1935-08-31,88.498718
1935-09-30,51.801197
1935-10-31,91.665199
1935-11-30,4.1636
1935-12-31,6.3348
1936-01-31,16.2096
1936-02-29,0
1936-03-31,125.981194
1936-04-30,59.179897
1936-05-31,158.814255
1936-06-30,40.364399
1936-07-31,88.014717
1936-08-31,88.498718
1936-09-30,51.121197
1936-10-31,87.648399
1936-11-30,3.6332
1936-12-31,9.2548
1937-01-31,1.6776
1937-02-28,0
1937-03-31,68.885597
1937-04-30,56.804699
1937-05-31,213.136414
1937-06-30,150.146988
1937-07-31,88.014717
1937-08-31,88.498718
1937-09-30,51.185997
1937-10-31,92.2332
1937-11-30,4.414
1937-12-31,10.35
1938-01-31,0
1938-02-28,0
1938-03-31,0
1938-04-30,36.723595
1938-05-31,101.879585
1938-06-30,145.081009
1938-07-31,106.20874
1938-08-31,88.498718
1938-09-30,50.136398
1938-10-31,81.857452
1938-11-30,4.3084
1938-12-31,3.5676
1939-01-31,18.58
1939-02-28,14.8056
1939-03-31,124.878471
1939-04-30,0
1939-05-31,0
1939-06-30,40.196396
1939-07-31,82.675591
1939-08-31,9.859594
1939-09-30,51.384399
1939-10-31,91.7276
1939-11-30,4.5276
1939-12-31,7.3092
1940-01-31,0
1940-02-29,0
1940-03-31,137.779205
1940-04-30,52.4655
1940-05-31,121.369255
1940-06-30,38.598797
1940-07-31,79.824387
1940-08-31,88.498718
1940-09-30,51.169197
1940-10-31,91.541199
1940-11-30,4.1612
1940-12-31,0
1941-01-31,0
1941-02-28,0
1941-03-31,56.46283
1941-04-30,0
1941-05-31,221.271698
1941-06-30,149.858551
1941-07-31,88.014717
1941-08-31,88.498718
1941-09-30,48.941196
1941-10-31,90.995598
1941-11-30,2.5756
1941-12-31,8.567135
1942-01-31,0
1942-02-28,4.7096
1942-03-31,96.680733
1942-04-30,45.295898
1942-05-31,109.72831
1942-06-30,165.825882
1942-07-31,88.014717
1942-08-31,88.498718
1942-09-30,49.542
1942-10-31,92.258003
1942-11-30,2.8844
1942-12-31,4.5452
1943-01-31,18.58
1943-02-28,11.6456
1943-03-31,91.532669
1943-04-30,76.834694
1943-05-31,32.527935
1943-06-30,97.812874
1943-07-31,77.664391
1943-08-31,7.935594
1943-09-30,51.748398
1943-10-31,81.857452
1943-11-30,4.2716
1943-12-31,4.5124
1944-01-31,10.6992
1944-02-29,0
1944-03-31,142.179733
1944-04-30,0
1944-05-31,0
1944-06-30,37.506798
1944-07-31,88.014717
1944-08-31,88.498718
1944-09-30,50.773197
1944-10-31,91.868401
1944-11-30,1.4244
1944-12-31,2.9668
1945-01-31,16.0872
1945-02-28,0
1945-03-31,42.3302
1945-04-30,117.848396
1945-05-31,89.22831
1945-06-30,81.548195
